DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,1.0670,1.0893,1.0446,1.0625,111984600,0
20010103,1.0357,1.1920,1.0313,1.1696,202321000,0
20010104,1.2946,1.3125,1.2054,1.2188,184361800,0
20010105,1.2098,1.2411,1.1473,1.1696,102219600,0
20010108,1.2098,1.2098,1.1384,1.1830,92568000,0
20010109,1.2009,1.2589,1.1830,1.2277,144173400,0
20010110,1.1920,1.1964,1.1473,1.1830,144482800,0
20010111,1.1607,1.3214,1.1607,1.2857,199857000,0
20010112,1.2768,1.2857,1.2232,1.2277,105562800,0
20010115,1.2277,1.2277,1.2277,1.2277,0,0
20010116,1.2455,1.2500,1.2143,1.2232,75797400,0
20010117,1.2522,1.2545,1.1786,1.2009,184333800,0
20010118,1.2679,1.3393,1.2634,1.3348,305326000,0
20010119,1.3884,1.3973,1.3348,1.3929,194017600,0
20010122,1.3571,1.3929,1.3170,1.3750,129689000,0
20010123,1.3795,1.4955,1.3616,1.4643,218509200,0
20010124,1.4732,1.4777,1.3973,1.4643,178932600,0
20010125,1.4643,1.4643,1.4107,1.4241,121419200,0
20010126,1.3929,1.4152,1.3616,1.3973,120342600,0
20010129,1.4018,1.5536,1.3973,1.5491,213494400,0
20010130,1.5446,1.5714,1.4911,1.5536,172699800,0
20010131,1.5357,1.6339,1.5313,1.5446,182163800,0
20010201,1.4777,1.5357,1.4688,1.5089,92352400,0
20010202,1.5089,1.5625,1.4643,1.4732,106710800,0
20010205,1.4688,1.4688,1.4107,1.4420,81335800,0
20010206,1.4420,1.5313,1.4308,1.5089,115465000,0
20010207,1.4777,1.4866,1.4152,1.4821,97430200,0
20010208,1.4688,1.5022,1.4420,1.4821,150899000,0
20010209,1.4598,1.4821,1.3348,1.3661,147043400,0
20010212,1.3661,1.4286,1.3438,1.4063,68226200,0
20010213,1.4241,1.4554,1.3571,1.3661,58991800,0
20010214,1.3304,1.4018,1.3259,1.3929,75772200,0
20010215,1.4152,1.4688,1.4063,1.4330,77715400,0
20010216,1.3616,1.3929,1.3393,1.3571,65871400,0
20010219,1.3571,1.3571,1.3571,1.3571,0,0
20010220,1.3683,1.3705,1.2991,1.3080,77259000,0
20010221,1.3036,1.4241,1.3036,1.3482,97329400,0
20010222,1.3661,1.3795,1.2857,1.3438,106932000,0
20010223,1.3304,1.3438,1.3036,1.3438,73096800,0
20010226,1.3616,1.4063,1.3259,1.3929,51494800,0
20010227,1.3795,1.3884,1.3348,1.3839,72497600,0
20010228,1.3884,1.3884,1.2946,1.3036,123463200,0
20010301,1.2723,1.3393,1.2277,1.3393,82419400,0
20010302,1.3080,1.4598,1.3036,1.3750,101305400,0
20010305,1.3839,1.4643,1.3750,1.4554,80887800,0
20010306,1.4777,1.5714,1.4777,1.5357,182596400,0
20010307,1.5223,1.5446,1.4821,1.5179,104755000,0
20010308,1.4777,1.5089,1.4643,1.4866,50072400,0
20010309,1.4688,1.4777,1.4286,1.4464,74685800,0
20010312,1.4085,1.4196,1.2946,1.3214,97571600,0
20010313,1.3438,1.3973,1.3036,1.3973,1107400000,0
20010314,1.3214,1.4643,1.3170,1.4598,119288400,0
20010315,1.4911,1.5268,1.4063,1.4063,131016200,0
20010316,1.3571,1.4509,1.3571,1.4018,109461800,0
20010319,1.4107,1.4732,1.3929,1.4688,88775400,0
20010320,1.4821,1.4911,1.4063,1.4063,124664400,0
20010321,1.4129,1.4866,1.3884,1.4375,92425200,0
