DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,24.06,24.56,24.00,24.06,45152,0
20010103,24.19,24.78,23.47,23.53,98218,0
20010104,22.81,22.97,21.13,21.38,313222,0
20010105,21.59,21.88,21.16,21.50,134578,0
20010108,21.25,21.75,21.06,21.28,86960,0
20010109,21.41,22.13,21.41,21.75,80578,0
20010110,21.84,22.19,21.22,21.28,66328,0
20010111,21.41,21.78,21.00,21.03,495804,0
20010112,21.22,21.94,21.16,21.78,80224,0
20010115,21.78,21.78,21.78,21.78,0,0
20010116,21.75,22.88,21.75,22.50,99816,0
20010117,22.50,22.59,21.78,22.13,69100,0
20010118,22.50,22.94,22.22,22.53,77096,0
20010119,22.25,22.50,22.00,22.03,66484,0
20010122,22.03,22.03,22.03,22.03,0,0
20010123,22.06,22.31,21.84,22.00,71992,0
20010124,21.59,21.81,21.44,21.63,109188,0
20010125,22.06,23.00,21.97,22.81,96080,0
20010126,22.94,23.44,22.94,23.09,67042,0
20010129,24.09,24.41,23.00,23.23,7770400,0
20010130,23.83,23.91,22.50,23.55,5389600,0
20010131,22.48,22.60,21.72,22.45,5438400,0
20010201,22.45,22.99,22.31,22.99,4121400,0
20010202,23.00,23.13,22.65,22.75,4140200,0
20010205,22.64,23.26,22.64,23.16,4517400,0
20010206,23.17,23.77,23.13,23.58,7281200,0
20010207,23.50,23.86,23.50,23.78,7267000,0
20010208,23.75,24.58,23.75,24.15,83622400,0
20010209,24.45,24.45,23.92,24.20,6900800,0
20010212,24.44,24.75,24.35,24.75,8105800,0
20010213,24.27,24.33,23.74,23.83,9218800,0
20010214,23.95,24.00,23.64,23.70,5000600,0
20010215,23.51,23.98,23.19,23.98,5999800,0
20010216,24.13,24.25,23.00,24.25,6425600,0
20010219,24.25,24.25,24.25,24.25,0,0
20010220,24.16,24.25,24.06,24.25,5357200,0
20010221,24.42,25.00,24.39,25.00,7053400,0
20010222,24.80,25.25,24.43,24.98,13155000,0
20010223,24.71,24.75,24.08,24.45,5245600,0
20010226,24.63,24.64,24.27,24.60,4346600,0
20010227,24.60,24.73,24.00,24.31,32340400,0
20010228,24.42,24.94,24.23,24.50,15909600,0
20010301,24.50,25.00,24.25,24.92,4221800,0
20010302,24.88,24.95,24.35,24.83,5489200,0
20010305,24.80,24.82,24.26,24.49,3165000,0
20010306,24.65,24.66,23.85,24.03,5005600,0
20010307,23.95,24.02,22.97,23.57,6233800,0
20010308,23.63,24.63,23.45,24.25,5531800,0
20010309,24.25,24.49,23.70,23.88,20595600,0
20010312,23.63,24.27,23.59,23.59,4145000,0
20010313,23.55,24.01,23.16,23.92,5673800,0
20010314,23.75,23.75,23.05,23.14,6896200,0
20010315,23.14,23.25,22.67,23.14,7531200,0
20010316,22.63,22.74,22.05,22.50,12000200,0
20010319,22.02,22.50,22.00,22.38,7377200,0
20010320,22.39,22.39,21.60,21.65,12220000,0
20010321,22.05,22.30,21.85,22.00,8075400,0
20010322,21.77,22.00,21.20,21.63,10793400,0
20010323,21.30,22.01,21.13,21.74,6071400,0
20010326,22.00,22.14,21.81,22.03,8515800,0
20010327,22.13,22.50,22.00,22.39,6209400,0
20010328,22.23,22.95,22.20,22.77,4306400,0
20010329,22.63,23.39,21.23,23.25,6244200,0
20010330,23.25,23.70,23.01,23.59,11482400,0
20010402,23.45,23.52,22.82,23.02,5169800,0
20010403,23.13,23.45,22.07,22.46,7635400,0
20010404,22.20,22.79,21.72,22.75,7786400,0
20010405,23.23,23.50,23.06,23.50,7742200,0
20010406,23.50,23.65,23.17,23.64,5800600,0
20010409,23.64,24.21,23.60,24.21,6708400,0
20010410,24.75,24.75,23.75,24.10,5254000,0
20010411,23.75,23.75,22.78,23.49,9211200,0
20010412,23.00,23.59,22.70,22.83,13404400,0
20010416,23.20,23.75,22.50,23.27,5722000,0
20010417,23.15,23.73,23.15,23.55,6667600,0
20010418,23.31,23.44,22.85,23.44,7601800,0
20010419,23.43,23.49,22.77,22.86,5488600,0
20010420,22.27,22.55,22.17,22.55,9523600,0
20010423,22.70,22.76,22.13,22.27,39699200,0
20010424,22.48,22.61,22.08,22.22,4954400,0
20010425,22.22,22.99,22.15,22.76,2917000,0
20010426,22.15,22.61,22.15,22.43,38855200,0
20010427,22.60,23.05,22.42,22.99,6256800,0
20010430,23.00,23.42,22.77,23.19,4370600,0
20010501,23.13,23.15,22.85,22.90,6059200,0
20010502,22.30,22.83,22.30,22.68,8360000,0
20010503,22.65,22.92,22.50,22.91,4670600,0
20010504,22.92,23.34,22.81,23.30,12805400,0
20010507,23.13,23.73,23.13,23.50,4761600,0
20010508,23.45,23.98,23.25,23.85,8615200,0
20010509,24.00,24.30,23.80,24.18,6656400,0
20010510,24.18,24.42,23.97,24.05,6926000,0
20010511,24.50,24.70,24.08,24.63,6384200,0
20010514,24.63,24.92,24.57,24.92,5682200,0
20010515,25.25,25.80,25.20,25.75,14133400,0
20010516,25.75,26.90,25.65,26.90,14521200,0
20010517,26.90,27.00,26.41,26.85,12150600,0
20010518,26.85,26.85,26.16,26.50,9217400,0
20010521,26.51,26.68,26.34,26.63,6327600,0
20010522,26.45,26.63,26.30,26.48,5553200,0
20010523,26.63,26.75,25.90,26.45,8660600,0
20010524,25.92,26.07,25.27,25.97,34295400,0
20010525,25.75,25.88,25.35,25.70,4287800,0
20010528,25.70,25.70,25.70,25.70,0,0
20010529,25.60,25.83,25.50,25.67,8435400,0
20010530,25.80,26.05,25.64,25.74,5954400,0
20010531,25.74,25.98,25.48,25.98,8267200,0
20010601,25.53,25.95,25.25,25.81,5834000,0
20010604,25.60,25.95,25.56,25.92,7474400,0
20010605,25.60,26.42,25.52,26.42,8688600,0
20010606,26.17,26.33,25.58,25.84,5315400,0
20010607,25.38,25.89,25.32,25.87,5364200,0
20010608,25.55,25.83,25.50,25.76,3566800,0
20010611,25.75,25.80,25.15,25.19,26192000,0
20010612,25.45,25.75,25.14,25.36,5477400,0
20010613,25.25,25.48,25.15,25.39,4274600,0
20010614,25.14,25.85,25.14,25.25,6008600,0
20010615,25.13,25.60,25.05,25.28,9014600,0
20010618,25.25,25.67,25.25,25.55,8436600,0
20010619,25.50,25.74,25.36,25.64,7728600,0
20010620,26.08,26.34,25.90,26.13,10262200,0
20010621,26.13,26.63,26.00,26.50,12669600,0
20010622,26.13,26.19,25.65,26.01,7582800,0
20010625,26.08,26.45,25.93,25.93,4738800,0
20010626,25.58,26.23,25.58,25.74,6320200,0
20010627,25.74,25.95,25.00,25.00,5658200,0
20010628,24.95,25.44,24.95,25.31,6224000,0
20010629,25.48,25.50,23.50,24.00,53766000,0
