DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010719,15.10,15.29,15.00,15.17,34990700,0
20010720,15.05,15.05,14.80,15.01,9150500,0
20010723,15.00,15.01,14.55,15.00,7501000,0
20010724,14.95,14.97,14.70,14.86,3537300,0
20010725,14.70,14.95,14.65,14.95,4202500,0
20010726,14.95,14.99,14.50,14.50,6286600,0
20010727,14.51,14.59,14.50,14.51,3253000,0
20010730,14.50,14.78,14.50,14.70,3633300,0
20010731,14.71,15.01,14.60,14.96,1429000,0
20010801,15.00,15.50,14.90,15.50,2076400,0
20010802,15.40,15.50,15.10,15.40,1716400,0
20010803,15.40,15.40,14.98,15.15,983600,0
20010806,15.15,15.22,15.02,15.10,777400,0
20010807,15.10,15.55,15.10,15.50,783900,0
20010808,15.40,15.60,15.00,15.00,2187800,0
20010809,15.05,15.50,15.00,15.50,903000,0
20010810,15.40,15.40,15.12,15.19,702300,0
20010813,15.15,15.34,14.90,15.01,1770400,0
20010814,15.05,15.06,14.65,14.70,986900,0
20010815,14.75,14.90,14.70,14.79,530900,0
20010816,14.78,14.78,14.05,14.05,1522200,0
20010817,14.06,14.80,13.90,14.52,2342400,0
20010820,14.60,15.35,14.49,15.35,1434900,0
20010821,15.25,15.60,15.01,15.46,1014100,0
20010822,15.32,15.39,14.78,15.34,829000,0
20010823,15.45,15.45,15.25,15.25,470000,0
20010824,15.25,15.48,15.00,15.40,686100,0
20010827,15.48,15.65,15.40,15.48,827700,0
20010828,15.42,15.58,15.25,15.36,736900,0
20010829,15.29,15.31,15.00,15.01,397400,0
20010830,14.85,15.04,14.85,14.95,640100,0
20010831,15.00,15.10,14.90,14.90,3327900,0
20010903,14.90,14.90,14.90,14.90,0,0
20010904,15.00,15.65,15.00,15.38,1068000,0
20010905,15.38,15.38,14.90,14.91,1053200,0
20010906,14.75,15.01,14.40,14.50,1384500,0
20010907,14.45,14.64,14.35,14.52,1408500,0
20010910,14.58,15.16,14.55,15.15,622100,0
20010911,15.15,15.15,15.15,15.15,0,0
20010917,15.14,15.14,14.47,14.60,1934300,0
20010918,14.60,15.00,14.35,14.55,902800,0
20010919,14.60,14.69,13.72,13.95,2415400,0
20010920,13.90,13.90,12.84,12.95,3498900,0
20010921,12.85,13.00,12.16,12.75,2051800,0
20010924,13.00,13.28,12.95,13.20,1964200,0
20010925,13.20,13.20,12.70,12.80,1827300,0
20010926,12.80,12.96,12.20,12.20,3327200,0
20010927,12.26,12.26,11.61,11.85,2347500,0
20010928,12.10,13.45,12.10,12.75,2844000,0
20011001,12.65,13.00,12.65,12.70,878800,0
20011002,12.55,12.70,12.12,12.58,1895400,0
20011003,12.62,13.06,12.60,12.95,2539400,0
20011004,12.97,13.80,12.97,13.49,3007400,0
20011005,13.50,13.74,13.32,13.55,2172300,0
20011008,13.60,13.69,13.23,13.23,576100,0
20011009,13.48,13.80,13.38,13.40,1589100,0
20011010,13.35,13.75,13.30,13.67,1650400,0
20011011,15.50,15.50,14.70,15.16,4059400,0
20011012,15.26,16.55,15.26,16.50,5158500,0
20011015,16.51,17.95,16.51,17.50,2946800,0
20011016,17.65,18.05,16.90,17.45,1996000,0
20011017,17.65,17.74,16.85,16.98,1823900,0
20011018,16.98,16.98,16.61,16.70,942000,0
20011019,16.70,16.85,16.54,16.85,2062500,0
20011022,17.00,17.57,16.97,17.50,429900,0
20011023,17.50,17.73,17.27,17.62,915400,0
20011024,17.68,17.76,17.57,17.74,469000,0
20011025,17.74,17.75,17.13,17.74,265100,0
20011026,17.70,17.78,17.50,17.62,566300,0
20011029,17.72,17.73,17.40,17.55,616200,0
20011030,17.45,17.45,17.15,17.35,574700,0
20011031,17.42,17.60,17.10,17.57,665400,0
20011101,17.52,18.59,17.52,18.31,1089900,0
20011102,18.50,19.10,18.10,18.25,2362200,0
20011105,18.25,18.27,17.77,18.10,1552700,0
20011106,17.98,17.98,17.35,17.97,562600,0
20011107,17.98,18.90,17.96,18.90,1986800,0
20011108,18.70,19.97,18.70,19.95,1747100,0
20011109,19.75,19.95,19.65,19.95,1324200,0
20011112,19.75,19.75,19.00,19.49,2398300,0
20011113,19.70,21.24,19.66,20.80,1463000,0
20011114,21.00,21.40,19.97,20.21,1391400,0
20011115,20.05,20.45,20.05,20.25,628200,0
20011116,20.25,21.25,20.20,21.04,639100,0
20011119,21.10,22.25,21.10,22.00,1430000,0
20011120,21.96,21.96,21.15,21.25,1016400,0
20011121,21.20,21.21,19.80,20.35,1442600,0
20011122,20.35,20.35,20.35,20.35,0,0
20011123,20.34,20.62,20.26,20.55,281500,0
20011126,20.68,21.60,20.27,21.50,1064900,0
20011127,21.60,22.75,21.50,22.50,1209800,0
20011128,22.00,22.10,20.86,21.85,1415900,0
20011129,21.83,22.24,21.01,21.43,1326400,0
20011130,21.46,22.66,21.41,22.60,2009300,0
20011203,22.75,24.00,22.50,22.90,1243200,0
20011204,22.75,24.50,22.65,24.20,1746100,0
20011205,24.40,26.80,24.34,26.65,3316100,0
20011206,26.65,27.17,25.90,26.25,3190200,0
20011207,25.90,25.95,24.80,24.86,1115400,0
20011210,25.00,26.20,24.00,24.60,1732100,0
20011211,24.55,24.88,24.50,24.76,1713200,0
20011212,24.75,25.30,24.54,25.17,2044100,0
20011213,25.12,25.13,23.20,23.30,1444800,0
20011214,23.35,23.85,22.64,23.65,1080500,0
20011217,23.80,25.50,23.71,25.46,1430400,0
20011218,25.75,26.10,25.51,25.95,2640200,0
20011219,25.90,26.38,25.45,26.03,1159900,0
20011220,27.60,28.00,25.61,27.05,2424700,0
20011221,26.65,27.25,26.12,26.15,1900500,0
20011224,26.15,26.15,25.95,26.01,181100,0
20011226,26.11,26.24,26.01,26.24,665000,0
20011227,26.23,26.30,26.00,26.29,702000,0
20011228,26.29,26.59,26.00,26.55,1174700,0
20011231,26.56,26.93,26.10,26.92,920700,0
20020102,26.90,26.91,25.95,26.21,900500,0
20020103,26.23,26.27,25.30,25.39,698200,0
20020104,25.39,28.20,25.24,27.70,2708500,0
20020107,27.77,27.80,26.45,26.45,1112600,0
20020108,26.46,27.30,24.12,27.28,1746900,0
20020109,27.00,28.34,26.26,27.57,2965400,0
20020110,27.98,28.15,27.26,27.82,2384800,0
20020111,27.60,27.75,26.01,26.47,3886400,0
