DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,46.13,46.13,45.25,45.56,10253,0
20010103,45.56,46.63,43.50,43.63,14239,0
20010104,43.00,43.06,40.50,41.56,18952,0
20010105,41.50,42.44,40.75,40.81,14865,0
20010108,40.81,41.56,40.38,41.50,545088,0
20010109,41.50,42.25,41.19,42.25,8559,0
20010110,42.13,42.75,41.38,41.63,13253,0
20010111,41.75,41.75,39.31,39.81,15499,0
20010112,39.75,40.50,39.31,40.50,42386,0
20010115,40.50,40.50,40.50,40.50,0,0
20010116,40.63,40.75,39.44,40.69,21823,0
20010117,40.69,41.44,40.13,40.69,0,0
20010118,40.44,41.31,40.44,41.19,12319,0
20010119,40.88,42.06,40.13,41.25,35116,0
20010122,41.25,41.25,41.25,41.25,0,0
20010123,41.50,42.75,41.50,42.13,4506,0
20010124,42.25,43.44,42.25,43.13,8138,0
20010125,44.13,44.19,43.50,43.56,7780,0
20010126,43.63,44.06,42.25,43.38,19890,0
20010129,45.06,46.34,44.00,45.56,529100,0
20010130,45.94,46.09,44.00,45.91,691000,0
20010131,43.93,43.93,43.00,43.25,4880900,0
20010201,43.25,43.44,42.71,43.02,943600,0
20010202,43.03,43.80,43.03,43.30,0,0
20010205,43.50,44.19,43.50,44.00,589500,0
20010206,44.00,44.60,44.00,44.51,2426000,0
20010207,44.75,45.07,44.21,44.37,782600,0
20010208,44.55,45.28,44.41,45.20,3642800,0
20010209,45.60,46.31,45.35,46.12,1059500,0
20010212,46.25,46.47,45.00,45.52,775700,0
20010213,45.52,46.20,44.75,45.49,566000,0
20010214,45.49,46.78,44.90,45.31,0,0
20010215,45.06,45.44,44.85,45.36,537500,0
20010216,45.80,46.50,45.80,46.30,904500,0
20010219,46.30,46.30,46.30,46.30,0,0
20010220,46.00,47.15,46.00,46.97,1416500,0
20010221,46.97,47.95,46.85,46.95,610900,0
20010222,47.25,47.85,47.05,47.49,828300,0
20010223,47.60,47.90,46.15,47.20,586400,0
20010226,47.22,48.10,46.85,47.28,2507800,0
20010227,47.00,47.70,47.00,47.48,435300,0
20010228,48.00,48.06,47.05,47.53,1398100,0
20010301,47.60,47.99,47.33,47.55,2369600,0
20010302,47.55,47.95,46.62,47.17,1346900,0
20010305,47.17,47.35,46.88,47.07,619900,0
20010306,47.75,47.75,46.76,47.18,767800,0
20010307,46.71,47.49,46.61,47.13,10566400,0
20010308,46.10,47.14,46.10,46.79,1149800,0
20010309,46.79,46.84,46.09,46.64,1105600,0
20010312,46.55,47.13,46.43,46.46,904700,0
20010313,46.25,46.29,45.70,45.72,469900,0
20010314,45.30,45.33,44.40,44.59,531000,0
20010315,44.64,45.25,44.60,45.12,490100,0
20010316,45.01,45.40,44.41,44.70,936900,0
20010319,44.70,44.80,43.95,44.17,1420500,0
20010320,44.50,45.23,44.08,44.65,987300,0
20010321,44.15,44.94,43.80,43.91,1536900,0
20010322,43.91,44.10,41.45,42.00,1143300,0
20010323,42.30,43.01,42.11,42.75,2010800,0
20010326,43.70,44.40,43.50,44.15,282600,0
20010327,44.25,45.19,44.25,44.82,5540900,0
20010328,44.82,45.40,44.30,45.14,842300,0
20010329,45.14,45.75,44.15,45.74,7541500,0
20010330,46.00,47.03,46.00,46.81,1032800,0
20010402,47.38,47.74,47.01,47.61,726400,0
20010403,47.36,48.40,46.90,48.02,30033400,0
20010404,47.60,48.20,47.30,47.61,1969200,0
20010405,47.52,47.59,46.90,47.54,1486700,0
20010406,47.75,47.94,46.00,47.34,1459000,0
