DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,1966.25,1966.25,1917.50,1937.50,2534,0
20010103,1937.50,1957.50,1901.25,1918.75,4396,0
20010104,1918.75,1918.75,1760.00,1780.00,6177,0
20010105,1805.00,1817.50,1746.25,1757.50,3037,0
20010108,1767.50,1796.25,1752.50,1768.75,2491,0
20010109,1765.00,1778.75,1740.00,1740.00,2410,0
20010110,1732.50,1763.75,1721.25,1730.00,3529,0
20010111,1750.00,1753.75,1666.25,1686.25,3491,0
20010112,1686.25,1690.00,1616.25,1643.75,4579,0
20010115,1643.75,1643.75,1643.75,1643.75,0,0
20010116,1645.00,1698.75,1640.00,1696.25,3247,0
20010117,1710.00,1726.25,1693.75,1700.00,5281,0
20010118,1700.00,1732.50,1691.25,1730.00,2733,0
20010119,1720.00,1730.00,1672.50,1682.50,4073,0
20010122,1682.50,1682.50,1682.50,1682.50,0,0
20010123,1695.00,1727.50,1675.00,1720.00,3079,0
20010124,1725.00,1758.75,1715.00,1757.50,3218,0
20010125,1766.25,1786.25,1753.75,1772.50,2223,0
20010126,1792.50,1792.50,1745.00,1755.00,1468,0
20010129,1805.00,1821.87,1747.50,1763.75,154885,0
20010130,1748.12,1781.87,1720.00,1758.75,266585,0
20010131,1730.00,1740.00,1675.00,1700.40,313185,0
20010201,1709.00,1737.80,1700.00,1710.80,214545,0
20010202,1710.80,1731.00,1696.00,1727.80,203025,0
20010205,1759.00,1774.00,1740.60,1762.00,197075,0
20010206,1768.80,1769.80,1706.60,1731.00,219860,0
20010207,1736.00,1755.00,1731.00,1738.00,150705,0
20010208,1738.00,1751.00,1685.00,1714.00,386215,0
20010209,1714.00,1735.00,1695.00,1733.60,192395,0
20010212,1755.00,1790.00,1753.00,1790.00,268135,0
20010213,1790.00,1790.20,1769.20,1778.80,277005,0
20010214,1779.60,1781.40,1720.20,1720.40,474450,0
20010215,1718.00,1734.00,1713.40,1732.40,175345,0
