DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,42.94,42.94,39.94,41.13,26415,0
20010103,41.13,42.75,39.88,40.75,31978,0
20010104,39.75,40.19,37.25,37.94,270024,0
20010105,38.50,38.94,37.88,38.00,91622,0
20010108,38.00,39.69,37.94,39.69,21995,0
20010109,39.50,39.56,38.00,38.50,17915,0
20010110,38.00,38.25,36.75,37.88,36136,0
20010111,37.63,38.00,35.88,36.50,35333,0
20010112,35.75,35.81,33.56,34.94,48893,0
20010115,34.94,34.94,34.94,34.94,0,0
20010116,35.00,36.94,35.00,36.25,36924,0
20010117,36.88,37.13,36.00,36.19,25373,0
20010118,36.13,36.50,34.00,35.38,291495,0
20010119,34.88,35.13,33.88,34.75,36793,0
20010122,34.75,34.75,34.75,34.75,0,0
20010123,37.25,37.94,36.44,37.69,20307,0
20010124,37.50,38.63,37.25,38.31,28850,0
20010125,38.75,38.94,37.44,37.81,29156,0
20010126,38.25,38.38,37.13,37.88,16030,0
20010129,38.16,40.09,38.00,38.97,495867,0
20010130,38.22,40.50,38.00,40.28,2459500,0
20010131,38.70,39.50,37.50,38.88,3700800,0
20010201,38.88,39.25,38.00,38.99,3913900,0
20010202,38.82,40.25,38.75,40.25,2681400,0
20010205,39.80,40.39,39.71,40.20,2161000,0
20010206,40.19,40.25,39.40,40.04,1761400,0
20010207,40.50,41.30,40.37,40.82,3958600,0
20010208,40.82,41.49,40.80,41.28,2634000,0
20010209,41.11,41.40,40.40,41.40,1703500,0
20010212,41.60,42.00,41.51,42.00,1604200,0
20010213,42.00,42.00,40.77,41.37,3843000,0
20010214,41.00,42.00,41.00,41.26,1922200,0
20010215,41.00,41.19,40.55,41.02,1643500,0
20010216,41.25,42.10,41.05,41.66,2260400,0
20010219,41.66,41.66,41.66,41.66,0,0
20010220,41.89,41.89,40.60,41.25,2588300,0
20010221,40.73,40.97,39.00,39.54,3268200,0
20010222,38.75,39.80,38.30,39.63,2796300,0
20010223,39.00,39.90,39.00,39.75,17208900,0
20010226,40.00,40.25,39.60,40.22,1584600,0
20010227,39.90,41.60,39.90,41.55,3075500,0
20010228,41.89,41.89,39.75,39.86,2318700,0
20010301,40.80,41.20,39.90,41.00,18630000,0
20010302,41.00,41.80,40.50,41.44,1652500,0
20010305,41.68,41.87,41.04,41.70,2098000,0
20010306,41.88,42.06,40.90,41.53,1907400,0
20010307,41.75,41.94,41.15,41.69,2628100,0
20010308,41.95,42.29,41.80,41.98,2013100,0
20010309,42.08,42.08,41.15,41.32,2303600,0
20010312,42.00,42.20,39.85,40.08,7699700,0
20010313,40.14,40.14,39.18,39.49,2556900,0
20010314,37.81,39.98,37.80,39.51,3481300,0
20010315,39.45,40.90,39.45,40.07,4746700,0
20010316,40.00,40.80,39.70,39.80,2486500,0
20010319,39.56,39.90,38.34,39.27,2163100,0
20010320,39.52,39.70,38.69,38.69,2617000,0
20010321,38.50,38.99,38.00,38.27,2193100,0
20010322,38.85,39.40,37.51,38.24,3690200,0
20010323,38.40,39.90,38.29,39.21,2679200,0
20010326,39.45,40.10,39.45,39.88,1096800,0
20010327,39.92,40.39,39.22,39.75,2624900,0
20010328,39.34,39.65,39.34,39.45,45814300,0
20010329,39.36,40.30,39.35,40.13,7278400,0
20010330,40.35,41.94,40.24,41.94,29433700,0
20010402,41.76,43.45,41.65,41.96,4381900,0
20010403,41.90,41.90,40.99,41.36,2388700,0
20010404,40.26,42.01,40.25,41.81,4097500,0
20010405,41.80,42.78,41.38,42.50,2849300,0
20010406,42.16,42.48,40.85,41.15,1860300,0
20010409,41.35,41.40,40.70,41.00,1953800,0
20010410,41.10,41.58,40.52,40.90,1869300,0
20010411,40.75,41.02,40.30,40.96,1820500,0
20010412,40.90,41.49,40.23,40.75,1348200,0
20010416,40.65,41.25,40.50,41.15,1084900,0
20010417,40.95,41.16,40.25,40.98,1341600,0
20010418,41.22,42.56,41.18,42.50,3705800,0
20010419,43.90,44.60,43.72,44.25,6509700,0
20010420,44.10,44.10,42.32,42.58,8619800,0
20010423,42.58,42.90,42.00,42.89,1806100,0
20010424,42.40,42.65,41.22,41.22,2691500,0
20010425,40.90,41.60,40.40,41.30,2238100,0
20010426,40.75,41.70,40.20,41.17,9288600,0
20010427,41.20,42.48,41.14,42.26,1964000,0
20010430,42.00,42.65,41.55,41.75,1614400,0
20010501,42.00,42.14,41.55,42.12,4798200,0
20010502,42.00,42.11,41.11,41.38,1375600,0
20010503,40.96,41.31,40.72,41.19,1586300,0
20010504,40.90,41.38,40.66,41.35,1565500,0
20010507,41.47,41.72,41.15,41.22,1327900,0
20010508,41.46,41.92,41.41,41.90,13900000,0
20010509,41.70,42.25,41.69,42.09,1516100,0
20010510,42.50,42.58,41.34,42.01,92262000,0
20010511,41.90,42.53,41.53,41.83,929500,0
20010514,41.94,42.38,41.06,42.00,1126600,0
20010515,41.80,42.30,41.70,42.30,725900,0
20010516,42.30,43.88,42.00,43.27,1957800,0
20010517,43.60,43.67,43.04,43.04,2269800,0
20010518,42.90,44.10,42.90,43.87,3416100,0
20010521,44.29,44.95,43.90,44.87,2487600,0
20010522,45.00,45.25,44.00,44.84,2390100,0
20010523,44.54,44.98,44.10,44.25,1370100,0
20010524,44.01,44.85,44.00,44.24,1075600,0
20010525,44.05,44.60,44.05,44.47,1041800,0
20010528,44.47,44.47,44.47,44.47,0,0
20010529,44.28,45.62,44.28,44.86,4879100,0
20010530,44.62,45.55,44.53,45.18,2166700,0
20010531,45.90,45.90,44.70,45.02,14205900,0
20010601,45.08,45.08,42.90,43.10,8934500,0
20010604,43.80,43.80,42.90,43.00,32147800,0
20010605,43.30,44.00,43.20,43.90,3257100,0
20010606,44.15,44.28,43.56,44.10,1562400,0
20010607,43.75,44.21,43.05,43.64,1407100,0
20010608,43.60,43.95,43.58,43.86,694200,0
20010611,44.00,44.44,43.86,44.15,1481700,0
20010612,44.09,44.75,43.17,44.30,2300800,0
20010613,44.63,44.98,44.36,44.66,1940500,0
20010614,44.56,44.63,44.25,44.52,2558100,0
20010615,44.00,44.20,43.75,43.79,5578500,0
20010618,43.57,43.96,43.20,43.50,883300,0
20010619,43.60,43.62,42.75,43.20,11557100,0
20010620,43.30,43.99,43.20,43.65,1873400,0
20010621,43.55,44.95,43.55,44.95,1875000,0
20010622,44.95,44.95,43.39,43.68,3072400,0
20010625,43.68,43.97,43.47,43.73,1366400,0
20010626,43.56,44.15,42.99,44.00,2333100,0
20010627,43.78,44.23,43.77,43.93,1383300,0
20010628,43.80,44.64,43.80,44.31,6290500,0
20010629,44.35,44.35,43.52,43.99,1976800,0
20010702,44.20,45.00,44.00,44.49,2086500,0
20010703,44.78,44.88,44.00,44.23,1045400,0
20010704,44.23,44.23,44.23,44.23,0,0
20010705,43.80,43.99,43.26,43.32,1857600,0
20010706,43.56,43.56,42.70,42.73,2227800,0
20010709,42.97,43.58,42.85,43.50,2018300,0
20010710,43.00,43.24,42.90,43.15,12337000,0
20010711,42.00,43.39,41.80,43.01,5199900,0
20010712,43.11,43.24,42.52,42.92,29429300,0
20010713,42.72,43.11,42.35,42.50,3801200,0
20010716,43.00,43.00,42.21,42.31,15951100,0
20010717,42.00,42.18,40.57,41.34,4947000,0
20010718,40.90,41.25,40.60,41.20,3297100,0
20010719,38.40,38.55,35.50,36.00,14907800,0
20010720,35.75,36.02,32.50,33.15,25005600,0
20010723,33.25,33.68,32.97,33.04,6449700,0
20010724,32.84,33.58,32.48,33.40,9477000,0
20010725,33.50,34.31,33.26,34.30,5049100,0
20010726,34.35,35.75,34.35,35.65,18922500,0
20010727,35.55,35.88,35.00,35.51,3917100,0
20010730,35.29,35.41,34.06,34.45,3528300,0
20010731,34.90,35.74,34.90,34.96,4213900,0
20010801,34.99,35.78,34.76,35.25,4279600,0
20010802,35.20,35.31,33.25,33.95,3379000,0
20010803,33.70,34.10,32.95,33.50,7277100,0
20010806,32.90,33.15,32.76,32.99,3018400,0
20010807,33.00,33.49,32.92,33.39,3706500,0
20010808,33.05,33.60,33.05,33.40,1832300,0
20010809,33.25,33.49,33.15,33.26,2227200,0
20010810,33.26,33.45,33.26,33.40,24745500,0
20010813,33.29,34.29,33.27,34.05,46931000,0
20010814,34.05,34.23,33.95,34.01,4929600,0
20010815,34.23,34.27,33.88,33.88,3112600,0
20010816,33.68,34.10,33.20,33.87,13099400,0
20010817,33.90,34.35,33.71,33.81,2728400,0
20010820,34.20,34.75,34.19,34.51,8867800,0
20010821,34.65,34.70,34.10,34.41,23937200,0
20010822,34.31,34.35,33.99,34.20,66150500,0
20010823,34.05,34.58,34.05,34.30,5755500,0
20010824,34.70,34.87,34.31,34.50,1597100,0
20010827,34.26,34.80,34.20,34.30,2004600,0
20010828,34.33,34.79,34.00,34.35,2014900,0
20010829,34.16,34.55,33.70,34.25,2031900,0
20010830,34.49,34.78,34.00,34.25,7977200,0
20010831,34.20,34.52,33.65,33.93,2441100,0
20010903,33.93,33.93,33.93,33.93,0,0
20010904,34.17,34.17,33.31,33.45,3362000,0
20010905,33.50,33.84,33.22,33.72,2910300,0
20010906,33.40,33.95,33.40,33.66,3614600,0
20010907,33.45,33.65,33.06,33.18,2845800,0
20010910,33.25,34.73,33.20,34.08,3552500,0
20010911,34.08,34.08,34.08,34.08,0,0
20010917,30.00,33.59,30.00,33.50,17984700,0
20010918,32.51,33.08,32.28,32.77,2862900,0
20010919,32.70,33.17,32.38,32.77,3425800,0
20010920,32.10,32.39,31.60,31.75,2577700,0
20010921,30.05,31.99,30.00,31.75,3947700,0
20010924,32.45,34.08,32.30,33.81,3000100,0
20010925,33.00,34.24,32.60,33.85,2965100,0
20010926,34.20,34.39,33.76,34.35,2309500,0
20010927,34.25,36.05,34.20,35.59,2157300,0
20010928,35.85,37.79,35.67,37.35,3254400,0
20011001,37.00,37.45,35.60,35.99,2715300,0
20011002,35.99,37.51,35.59,37.46,3054700,0
20011003,37.20,38.38,37.13,37.49,3578900,0
20011004,37.55,38.09,36.90,37.60,2802800,0
20011005,37.16,37.22,35.85,36.98,2244500,0
20011008,36.98,36.98,35.75,36.39,1313500,0
20011009,36.50,37.00,36.36,36.54,967400,0
20011010,36.73,36.79,36.19,36.28,2028500,0
20011011,34.00,35.00,32.25,32.76,10136600,0
20011012,32.80,34.00,32.75,33.85,4328800,0
20011015,33.20,34.14,33.16,33.71,22250100,0
20011016,33.95,34.30,33.60,33.98,1920600,0
20011017,34.00,34.01,33.17,33.61,2433300,0
20011018,33.90,33.98,32.47,32.64,2883700,0
20011019,32.85,32.85,31.00,32.39,1705500,0
20011022,32.40,33.75,32.35,33.58,1574900,0
20011023,33.38,33.38,32.85,33.18,8053400,0
20011024,33.00,33.05,32.51,32.80,4305800,0
20011025,32.00,32.60,31.95,32.60,8144900,0
20011026,32.40,32.75,32.00,32.52,1806400,0
20011029,32.40,32.72,32.00,32.39,9120700,0
20011030,31.79,32.10,31.30,31.64,2419000,0
20011031,31.60,31.63,30.90,31.39,2894200,0
20011101,30.90,31.90,30.77,31.75,2690500,0
20011102,31.65,32.28,31.55,31.94,1969200,0
20011105,32.80,32.93,32.40,32.74,24230300,0
20011106,32.98,32.98,32.16,32.60,1600600,0
20011107,32.60,32.60,32.23,32.50,1617900,0
20011108,32.50,32.62,32.20,32.31,42384800,0
20011109,32.69,32.69,31.52,31.77,1827600,0
20011112,32.01,32.01,30.67,31.72,1568700,0
20011113,32.25,32.49,31.90,32.30,1520800,0
20011114,31.75,31.90,31.50,31.65,2438800,0
20011115,32.30,32.63,31.79,32.09,2907600,0
20011116,32.18,32.58,32.00,32.45,2019200,0
20011119,32.60,32.60,32.16,32.50,3224800,0
20011120,32.50,32.79,32.20,32.65,1744000,0
20011121,32.85,32.98,32.40,32.69,1298100,0
20011122,32.69,32.69,32.69,32.69,0,0
20011123,32.88,33.07,32.52,33.05,695400,0
20011126,33.05,33.40,32.91,33.28,1515600,0
20011127,33.45,34.09,32.99,33.70,2477900,0
20011128,33.10,34.25,33.08,33.26,2733600,0
20011129,33.50,34.28,33.40,34.11,2105400,0
20011130,33.86,34.50,33.81,34.24,2106400,0
20011203,34.00,34.98,33.87,33.90,2566500,0
20011204,33.00,33.40,32.74,32.80,6249800,0
20011205,33.00,33.95,32.61,32.96,3313300,0
20011206,32.90,33.35,32.67,33.23,1738700,0
20011207,32.60,33.01,31.96,32.15,3849400,0
20011210,32.60,32.70,32.00,32.12,1935400,0
20011211,32.32,32.55,31.50,31.50,2578800,0
20011212,31.82,31.96,31.10,31.28,3759300,0
20011213,31.27,31.50,30.58,31.02,2234500,0
20011214,31.25,31.80,30.88,31.61,1914000,0
20011217,31.86,32.61,31.56,32.59,2851100,0
20011218,32.40,32.94,32.40,32.71,1885500,0
20011219,32.45,32.59,32.20,32.21,1860700,0
20011220,32.52,33.33,32.26,32.32,1979000,0
20011221,32.55,32.58,32.00,32.00,2555400,0
20011224,32.45,32.64,31.97,32.00,693100,0
20011226,32.34,32.67,32.30,32.30,1561500,0
20011227,32.40,33.25,32.13,32.91,10214400,0
20011228,33.30,33.95,33.26,33.86,2111500,0
20011231,33.99,34.40,33.51,33.70,1761000,0
20020102,33.61,33.67,33.00,33.19,2035700,0
20020103,33.15,33.30,32.38,32.58,2563000,0
20020104,32.40,32.80,32.31,32.69,1794800,0
20020107,32.70,33.26,32.52,33.05,2327200,0
20020108,32.70,33.00,32.50,33.00,1967200,0
20020109,32.90,33.75,32.81,33.01,1926700,0
20020110,32.60,32.66,32.07,32.48,3862400,0
20020111,32.45,32.58,32.15,32.25,1595300,0
20020114,32.25,32.50,32.11,32.35,1992100,0
20020115,32.74,33.38,32.55,33.02,2262800,0
20020116,33.10,33.23,32.40,32.40,1830800,0
20020117,32.50,32.73,32.00,32.34,1835400,0
20020118,32.04,32.35,31.71,31.95,7301800,0
20020121,31.95,31.95,31.95,31.95,0,0
20020122,31.80,32.11,31.40,31.72,1987600,0
20020123,31.87,31.97,31.58,31.87,1943400,0
20020124,31.70,32.29,31.60,32.00,2655800,0
20020125,32.21,32.65,32.13,32.40,3076900,0
20020128,32.60,32.65,32.10,32.16,1748800,0
20020129,32.44,32.77,31.40,31.56,2675300,0
20020130,31.85,32.50,31.60,32.32,3995000,0
20020131,32.32,32.42,31.83,32.26,3220600,0
20020201,32.65,32.92,32.30,32.70,2191600,0
20020204,32.85,32.85,32.35,32.50,2213700,0
20020205,32.49,33.65,32.30,32.87,2347700,0
20020206,32.00,32.78,31.03,32.20,5017900,0
20020207,33.00,34.00,32.76,33.39,4057900,0
20020208,33.39,33.89,33.39,33.73,2880400,0
20020211,33.80,34.25,33.57,33.89,5450000,0
20020212,34.00,34.26,33.70,33.76,1238300,0
20020213,34.00,35.10,33.94,34.90,2880200,0
20020214,35.18,35.26,34.46,35.12,1631100,0
20020215,35.12,35.12,33.56,34.00,2800600,0
20020218,34.00,34.00,34.00,34.00,0,0
20020219,33.50,34.00,33.24,33.30,1734800,0
20020220,33.50,34.56,33.26,34.46,2934800,0
20020221,34.23,34.47,33.78,33.78,1189100,0
20020222,33.86,34.31,33.60,34.19,1448900,0
20020225,34.30,35.00,34.30,34.86,3732400,0
20020226,35.15,35.29,34.77,35.01,1444100,0
20020227,35.05,35.75,34.88,35.37,1541100,0
20020228,35.30,36.15,35.00,35.02,1890900,0
20020301,35.02,35.84,34.91,35.67,1528100,0
20020304,36.75,36.91,36.10,36.19,23900000,0
20020305,36.30,37.00,36.19,36.32,2885600,0
20020306,36.14,37.00,36.06,36.73,1757800,0
20020307,37.05,37.05,35.61,35.93,6989700,0
20020308,36.55,36.85,36.10,36.52,2320700,0
20020311,36.30,37.11,36.30,37.01,2289500,0
20020312,36.90,37.00,36.21,36.93,1960100,0
20020313,36.85,37.00,36.62,36.83,1540400,0
20020314,36.80,37.78,36.72,37.21,1725000,0
20020315,37.50,37.78,37.23,37.58,9438400,0
20020318,37.50,37.85,37.15,37.42,1424500,0
20020319,37.85,38.00,37.64,37.74,2613900,0
20020320,37.74,37.74,36.76,36.76,2466800,0
20020321,36.80,37.25,36.52,36.96,2143700,0
20020322,36.96,37.20,36.70,36.93,1354600,0
20020325,36.75,37.07,36.40,36.41,1315100,0
20020326,36.50,37.50,36.46,36.77,2175700,0
20020327,36.90,37.57,36.90,37.40,1631400,0
20020328,37.40,37.99,37.24,37.77,1447100,0
20020401,37.60,37.83,36.78,37.71,1346300,0
20020402,37.71,38.16,37.62,37.79,1910200,0
20020403,37.80,38.10,37.50,37.74,2309900,0
20020404,38.00,38.60,37.99,38.19,2117000,0
20020405,38.25,38.74,38.25,38.43,1548300,0
20020408,38.00,38.71,38.00,38.68,1549500,0
20020409,38.80,39.50,38.70,39.37,3000600,0
20020410,39.25,39.36,38.96,39.22,2109900,0
20020411,39.22,39.30,38.65,38.92,1912600,0
20020412,38.78,39.25,38.65,39.21,1540900,0
20020415,39.21,39.30,38.30,38.65,1403800,0
20020416,38.70,39.17,38.69,39.05,1468400,0
20020417,39.50,41.25,39.50,41.06,5504900,0
20020418,40.52,41.03,39.92,40.28,3746200,0
20020419,40.40,41.10,40.34,40.59,2781300,0
20020422,40.70,41.07,40.54,40.60,1839600,0
20020423,40.50,40.70,40.25,40.27,2195600,0
20020424,40.52,40.70,40.17,40.27,1309100,0
20020425,40.02,40.15,39.10,39.72,2315500,0
20020426,39.60,40.07,39.57,39.96,1591900,0
20020429,39.82,39.88,39.42,39.54,1685200,0
20020430,39.85,40.09,39.05,39.74,2009000,0
20020501,39.55,39.73,38.75,39.38,2181300,0
20020502,39.22,39.92,39.20,39.86,1945100,0
20020503,39.70,39.89,39.37,39.65,1547400,0
20020506,39.40,40.00,39.00,39.00,1586400,0
20020507,39.00,39.18,38.76,38.95,1751800,0
20020508,39.08,39.21,38.85,38.90,6956300,0
20020509,38.55,39.64,38.52,38.96,1857000,0
20020510,39.10,39.20,38.59,38.60,1799600,0
20020513,38.95,39.22,38.70,39.12,2167000,0
20020514,39.25,39.60,38.97,39.40,1700400,0
20020515,39.39,39.57,38.98,39.08,1751100,0
20020516,39.00,39.09,38.20,39.01,1704300,0
20020517,39.20,39.49,39.12,39.30,2591700,0
20020520,39.30,39.30,39.30,39.30,0,0
20020521,37.80,38.12,37.70,37.98,11398300,0
20020522,38.00,38.60,37.91,38.50,1398500,0
20020523,38.50,39.00,38.25,38.53,1454800,0
20020524,38.70,38.85,38.39,38.45,1391700,0
20020527,38.45,38.45,38.45,38.45,0,0
20020528,38.70,38.70,38.03,38.30,839800,0
20020529,38.20,38.84,38.20,38.43,990500,0
20020530,38.18,38.99,38.18,38.58,1368600,0
20020531,38.55,38.95,38.48,38.48,2056700,0
20020603,38.50,38.68,37.75,37.76,1526100,0
20020604,37.40,37.96,36.94,37.85,2488400,0
20020605,37.82,38.04,37.45,37.59,1729500,0
