DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,65.8750,66.5000,62.3750,62.8750,6406000,0
20010103,63.1250,67.3125,60.6250,67.0000,9998700,0
20010104,65.8750,67.0625,61.4375,62.6875,8641600,0
20010105,62.3750,62.4375,57.8750,58.3750,15100900,0
20010108,58.1250,59.1250,54.2500,58.6875,10646700,0
20010109,58.8125,62.1250,58.8125,62.0000,8997900,0
20010110,60.6250,62.5000,60.1250,60.7500,9245800,0
20010111,60.5000,62.8125,58.7500,60.6250,7848000,0
20010112,61.0312,61.1875,58.8750,59.7500,54900000,0
20010115,59.7500,59.7500,59.7500,59.7500,0,0
20010116,60.0000,63.1250,59.6250,61.5625,54800000,0
20010117,62.3750,63.8125,58.8750,60.5000,6614300,0
20010118,60.9375,62.6250,60.3125,62.0625,5487600,0
20010119,61.5000,61.8750,58.5000,60.0000,6646500,0
20010122,69.5000,70.0625,66.3750,67.6250,54772500,0
20010123,66.8750,68.9375,66.8750,67.7500,16394700,0
20010124,67.6250,70.1875,66.8750,69.0625,13063600,0
20010125,70.5000,72.1250,70.2500,72.0000,21361700,0
20010126,71.9375,72.3750,70.5000,71.6875,8581100,0
20010129,71.2500,72.7500,70.3750,71.0000,7100400,0
20010130,71.0938,71.9375,70.0625,71.0000,7079400,0
20010131,70.6875,71.0625,69.7500,70.3125,8879600,0
20010201,69.8125,70.3125,68.8750,69.3125,7676300,0
20010202,69.5000,71.0000,69.3125,69.9375,5880600,0
20010205,69.8125,70.1250,68.0000,68.3125,7037600,0
20010206,68.3125,70.6875,67.9375,69.8750,8030500,0
20010207,69.5938,71.0000,69.3750,70.6250,8204300,0
20010208,71.0625,71.2500,69.4375,69.8125,4377300,0
20010209,69.3750,72.6875,68.3750,72.5625,10292300,0
20010212,72.0000,74.9375,72.0000,74.2500,11108400,0
20010213,74.2500,75.0625,72.1250,72.3125,8524200,0
20010214,70.3750,72.1250,70.0625,72.0000,8094500,0
20010215,71.7500,72.1250,70.9375,72.0625,6091900,0
20010216,71.3750,72.1875,70.1875,71.2500,5915700,0
20010219,71.2500,71.2500,71.2500,71.2500,0,0
20010220,71.1250,71.1563,68.0000,68.4375,10705500,0
20010221,68.5000,72.5000,68.5000,70.6250,10515800,0
20010222,70.5625,72.8125,69.5000,70.0625,9864700,0
20010223,69.0625,70.5625,68.2500,70.4375,8397800,0
20010226,70.8125,73.6875,70.3750,73.3750,8785800,0
20010227,72.5312,74.8125,72.5312,73.9375,10428400,0
20010228,74.8750,75.2188,71.8750,72.0625,10783500,0
20010301,71.6250,72.1250,69.5625,71.0313,9841100,0
20010302,70.9375,74.0625,70.3750,72.4375,8462500,0
20010305,71.7500,74.0000,71.5625,72.6875,6085400,0
20010306,72.7500,73.8750,71.8750,73.6875,6925000,0
20010307,73.5625,74.0625,69.8125,71.1875,8904400,0
20010308,70.8125,70.8125,67.3750,68.6875,12371100,0
20010309,68.1250,70.7500,66.5000,66.6250,7708100,0
20010312,65.0625,66.1250,61.2500,62.0000,9531400,0
20010313,62.6875,66.3125,62.0000,65.0625,12055000,0
20010314,63.1250,67.8750,63.1250,65.0000,13282200,0
20010315,66.2500,66.7813,64.8125,65.1250,6765600,0
20010316,63.2500,65.0000,61.0000,62.5625,11448500,0
20010319,63.1250,65.0000,62.1875,63.9375,7939900,0
20010320,63.7500,63.8750,61.2500,61.3125,8765400,0
20010321,61.0625,61.0625,54.7500,55.5000,24162500,0
20010322,53.2500,55.0625,45.7500,54.9375,48389200,0
20010323,54.5625,56.7500,54.4375,56.1875,14410800,0
