DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,15.8125,15.8750,13.6250,13.8750,9181100,0
20010103,13.6250,17.8438,13.5625,17.5625,14578500,0
20010104,16.9375,17.5625,15.4375,15.5000,10599500,0
20010105,15.5000,15.8125,13.5625,14.5625,8756300,0
20010108,14.4375,15.5000,13.7500,14.9375,6892800,0
20010109,14.5625,16.6250,14.1875,16.3750,23425400,0
20010110,15.8750,17.0000,15.6250,16.5000,10847400,0
20010111,15.7500,17.3125,15.6250,17.0000,12742400,0
20010112,17.3750,18.5000,17.1250,17.6875,8422000,0
20010115,17.6875,17.6875,17.6875,17.6875,0,0
20010116,18.2500,18.3125,17.2500,18.0625,6007100,0
20010117,18.8125,19.5625,17.7500,18.3750,9155400,0
20010118,18.4062,19.5000,17.9375,19.5000,3943400,0
20010119,20.3750,20.6875,18.7500,19.9375,5979900,0
20010122,19.4375,19.9375,18.5000,18.5000,4376500,0
20010123,18.3750,19.3125,18.2500,18.9375,4711200,0
20010124,19.1250,22.3750,19.0000,21.8750,13832900,0
20010125,21.5625,21.6562,19.0000,19.0000,7045100,0
20010126,18.9375,20.2500,18.8750,19.5000,5091500,0
20010129,19.1875,20.7500,18.8125,20.1250,7653600,0
20010130,20.5625,20.6250,18.0625,18.9375,10578500,0
20010131,18.9375,19.5625,17.0625,17.3125,20441500,0
20010201,17.1562,17.1562,15.9375,16.2500,9414900,0
20010202,16.1875,16.1875,14.2500,14.3750,12045100,0
20010205,14.5937,15.6250,14.3125,14.4375,9159100,0
20010206,13.8750,15.8750,13.5625,15.8125,18979000,0
20010207,15.1250,15.7500,14.6250,15.0000,7547300,0
20010208,15.3125,15.8750,14.3750,14.3750,5267800,0
20010209,14.3125,14.6875,13.3750,13.3750,7443600,0
20010212,14.1250,15.0000,13.6875,14.5000,5286200,0
20010213,15.0000,15.0313,13.7500,13.7500,4709400,0
20010214,13.6563,14.7500,13.5000,14.4375,8105300,0
20010215,13.5313,14.8125,13.5000,14.5000,16324100,0
20010216,13.9375,14.0000,13.3125,13.6875,6441700,0
20010219,13.6875,13.6875,13.6875,13.6875,0,0
20010220,13.6250,13.6875,12.4375,12.5000,6415400,0
20010221,12.2187,12.5000,11.3125,11.9375,7536900,0
20010222,11.9375,12.1250,11.3750,11.9375,8236300,0
20010223,11.9063,12.0625,11.0625,11.8125,5145500,0
20010226,12.0625,12.2500,11.5000,11.9375,6062400,0
20010227,11.8125,12.0937,11.6250,11.7500,7705200,0
20010228,11.3125,11.6875,10.0000,10.1875,14584000,0
20010301,9.8125,10.6875,9.5938,10.4375,10952900,0
20010302,10.0313,10.6250,10.0000,10.0000,7526400,0
20010305,12.3750,13.0625,11.5000,12.6250,23495200,0
20010306,13.1250,14.0000,11.2500,11.8750,21732200,0
20010307,11.8750,12.5625,11.5625,12.2500,10575200,0
20010308,11.9375,12.0000,11.6250,11.6875,4919800,0
20010309,11.4375,12.5000,11.2500,12.2500,8817500,0
20010312,11.3750,11.6250,10.5625,10.6250,5704100,0
20010313,10.8438,11.0625,10.5000,11.0000,3322100,0
20010314,10.2500,10.9375,10.1250,10.6250,3112500,0
20010315,11.3750,11.4375,10.8125,10.8750,5823500,0
20010316,10.6250,11.0625,10.2500,11.0000,6975200,0
20010319,11.1875,11.2500,10.1250,10.5000,6669900,0
20010320,10.6250,11.5000,10.1250,10.2500,6292300,0
20010321,10.3125,10.4375,10.0000,10.0000,5497900,0
20010322,10.0625,10.2500,9.5625,10.1875,6553000,0
20010323,10.6250,10.8125,9.9375,10.2500,3688200,0
20010326,11.2300,11.2700,10.8500,10.9300,6830800,0
20010327,10.9200,11.8000,10.5100,11.6000,5579800,0
20010328,11.1000,11.1600,10.8000,10.8000,3369000,0
20010329,10.5800,11.0300,10.0000,10.0000,4637300,0
20010330,10.1200,10.9700,9.9100,10.2300,3549500,0
20010402,10.3500,10.3900,8.5000,9.1000,8793800,0
20010403,8.7000,9.1500,8.5100,8.6400,4859000,0
20010404,8.6200,9.0000,8.1000,8.3500,5693100,0
20010405,9.0200,9.2700,8.7200,9.1200,5411300,0
20010406,8.8900,8.9000,8.2000,8.3700,5272300,0
20010409,11.8500,11.8500,10.7200,11.1500,23356800,0
20010410,11.2400,13.5000,11.2000,12.0100,18791000,0
20010411,13.0900,13.6500,12.1800,13.3200,13338200,0
20010412,13.0500,15.0100,13.0100,14.6700,11476400,0
20010416,14.5000,14.9800,13.6500,14.0300,6186200,0
20010417,13.8400,14.8600,13.8000,14.7400,4989800,0
20010418,15.6600,18.1300,15.5800,16.5400,18734300,0
20010419,16.9000,16.9000,15.6900,15.9900,8668500,0
20010420,15.6200,16.1300,14.9700,15.7800,8438200,0
20010423,16.3500,17.4300,16.0300,16.2000,11660400,0
20010424,16.4400,16.8000,15.4800,15.7700,6447800,0
20010425,15.6900,16.1000,14.7000,16.0900,9262400,0
20010426,16.2500,16.5000,15.0000,15.4300,5978600,0
20010427,15.7200,15.7200,15.0300,15.2700,4515700,0
20010430,15.6300,16.9000,15.5900,15.7800,5745400,0
20010501,15.8900,17.0000,15.8000,16.8900,5036600,0
20010502,17.1400,17.4300,16.8700,17.1100,7485000,0
20010503,16.8500,17.0000,16.3100,16.7500,5006800,0
20010504,16.3400,17.6000,15.9900,17.5500,6572700,0
20010507,17.3500,17.5200,16.5100,16.9200,5080100,0
20010508,16.2700,16.4900,15.6000,16.1800,6318500,0
20010509,15.5500,15.6600,15.0100,15.0200,4467300,0
20010510,15.4000,15.6000,14.6000,14.6200,4993800,0
20010511,14.5500,14.8000,14.0000,14.6800,3478300,0
20010514,14.5300,14.5300,13.1600,13.3300,6184100,0
20010515,13.3500,14.3000,13.1500,13.5400,6079100,0
20010516,13.4400,14.3800,13.1000,14.1300,7272900,0
20010517,14.0900,15.0000,14.0500,14.7800,6648200,0
20010518,14.8200,15.0000,14.4900,14.7200,5042600,0
20010521,14.9500,16.4200,14.5500,16.3800,7227800,0
20010522,16.7900,17.5000,15.9000,16.2500,7291800,0
20010523,16.2000,16.8000,15.0900,15.6000,8896200,0
20010524,15.7000,16.7500,15.2500,16.7500,5297400,0
20010525,16.6500,17.5300,16.3800,17.0900,6914800,0
20010528,17.0900,17.0900,17.0900,17.0900,0,0
20010529,17.2100,17.5400,16.7000,17.2200,9391300,0
20010530,16.5400,16.9900,15.6200,15.6600,8615800,0
20010531,15.8300,17.3000,15.7700,16.6900,8830600,0
20010601,17.1500,17.3000,16.4000,16.9500,6450800,0
20010604,17.3300,17.3500,16.1500,16.9100,6137700,0
20010605,17.0600,17.3900,16.1500,16.4400,12706700,0
20010606,16.6700,16.7100,15.4800,15.9900,9712200,0
20010607,15.8200,16.1700,15.6900,16.1200,3414600,0
20010608,16.2400,16.3100,15.6800,15.7000,2489900,0
20010611,15.5000,15.5300,14.0000,14.8600,4945800,0
20010612,14.6000,14.7900,14.3100,14.6400,4333400,0
20010613,14.9500,15.1500,14.1100,14.1200,3774600,0
20010614,14.1100,14.1200,13.1600,13.2900,5063200,0
20010615,13.0100,13.4400,12.3000,12.4900,7600100,0
20010618,12.4500,12.7000,11.6700,11.8300,5515900,0
20010619,12.4500,12.6100,11.2000,11.3600,6097400,0
20010620,11.2700,12.7000,11.2100,12.5400,10626200,0
20010621,12.7000,13.2000,12.6000,13.0800,9711000,0
20010622,13.1400,13.2300,12.3800,12.4000,6312200,0
20010625,12.7100,13.1300,12.5700,12.8100,6941400,0
20010626,12.5500,13.7200,12.0400,13.2900,6402000,0
20010627,13.8000,14.2500,13.2000,14.0300,7611900,0
20010628,14.2100,14.5700,13.7700,14.3600,5512500,0
20010629,14.3200,14.6500,13.7200,14.4200,4260700,0
20010702,14.1000,14.7100,13.9000,14.5300,6333900,0
20010703,14.4600,14.5000,14.0000,14.1300,2701100,0
20010704,14.1300,14.1300,14.1300,14.1300,0,0
20010705,14.2300,15.4500,14.2300,15.2700,12066200,0
20010706,14.9000,16.7200,14.8000,15.2700,9058300,0
20010709,15.3500,15.9000,15.1200,15.8100,7973400,0
20010710,16.0800,16.1000,14.7100,15.6100,8638400,0
20010711,15.4300,16.2400,14.9500,15.3400,5698200,0
20010712,15.7000,16.5400,15.7000,16.4900,5969000,0
20010713,16.2600,17.0000,16.1300,16.9800,6816800,0
20010716,16.9400,17.4100,16.0100,16.0100,7291200,0
20010717,15.8400,16.4900,15.8300,16.3500,3695300,0
20010718,16.0900,16.6500,15.8800,15.9600,3661200,0
20010719,16.1500,16.8000,16.1400,16.4800,5182000,0
20010720,16.5300,17.2500,16.4800,16.9800,3726600,0
20010723,17.0200,17.1000,15.9600,16.0400,6950600,0
20010724,13.6400,13.6500,11.9000,12.0600,32497800,0
20010725,12.3000,12.3100,11.1100,11.5100,12542700,0
20010726,11.6800,12.7500,11.2600,12.4300,10144300,0
20010727,12.3200,12.3500,11.7000,12.2500,9071900,0
20010730,12.2300,12.7500,12.1800,12.5500,5176800,0
20010731,12.6400,12.8100,12.3500,12.4800,4354300,0
20010801,12.7400,12.8500,12.1700,12.5000,4850700,0
20010802,12.5900,12.5900,12.1000,12.1900,3868400,0
20010803,12.2400,12.3900,12.1200,12.1500,3083500,0
20010806,12.1800,12.2000,11.8500,11.9000,2538800,0
20010807,11.9000,11.9000,11.5200,11.6000,2558100,0
20010808,11.5200,11.5500,11.0300,11.2100,3362000,0
20010809,11.1500,11.1500,10.2800,10.4600,6020700,0
20010810,10.5800,10.6300,9.9400,9.9500,9185200,0
20010813,10.1100,10.2300,9.7700,10.1200,4826400,0
20010814,10.3300,11.0400,9.8600,10.5100,4800700,0
20010815,10.5800,10.8300,10.0000,10.0800,3324600,0
20010816,10.0800,10.1300,9.4000,9.8100,6195600,0
20010817,9.5000,10.0900,9.4500,9.9900,5319400,0
20010820,10.1800,10.4100,9.9500,10.4000,3607500,0
20010821,10.7010,10.7900,9.8800,9.8900,5119400,0
20010822,10.1700,10.2300,9.5900,10.2000,4119500,0
20010823,10.1400,10.1400,9.5700,9.6300,3886600,0
20010824,9.8400,10.3000,9.7300,10.2300,3745600,0
20010827,10.1000,10.2700,9.9100,10.1400,2622300,0
20010828,10.1200,10.1300,9.5600,9.9700,3177800,0
20010829,10.0400,10.0500,9.0100,9.2000,3798700,0
20010830,9.0500,9.4600,8.5500,8.6900,5838700,0
20010831,8.7050,9.2200,8.7000,8.9400,3634600,0
20010903,8.9400,8.9400,8.9400,8.9400,0,0
20010904,8.9600,9.1900,8.5300,8.5900,4822300,0
20010905,8.6600,8.8300,6.8500,7.6200,21076200,0
20010906,7.8500,8.1900,7.6710,8.1500,7091000,0
20010907,7.9600,8.6100,7.8500,8.5100,7116500,0
20010910,8.4000,8.6500,8.0600,8.6300,5832500,0
20010911,8.6300,8.6300,8.6300,8.6300,0,0
20010917,7.3050,8.0400,6.4000,7.4900,10550200,0
20010918,7.6000,7.7500,7.2500,7.2900,6223200,0
20010919,7.3400,7.4500,6.6400,7.3100,9428900,0
20010920,7.1000,7.6400,7.1000,7.4800,8609200,0
20010921,6.9500,7.7000,6.6900,7.4800,12842900,0
20010924,7.7000,7.8100,7.3400,7.4600,5080300,0
20010925,7.4900,7.5500,7.0200,7.0900,4675800,0
20010926,7.2000,7.2200,6.0000,6.3500,7801400,0
20010927,6.4700,6.6000,5.0400,6.2000,8243400,0
20010928,6.2400,6.4610,5.8300,5.9700,6708600,0
20011001,5.9200,6.1000,5.5600,6.0100,7993400,0
20011002,6.1400,6.1600,5.9700,6.0800,5516300,0
20011003,6.1900,7.2100,6.0300,6.7600,5318600,0
20011004,7.0700,7.8300,6.7000,7.0400,6191700,0
20011005,6.9700,7.9000,6.7500,7.1900,5893000,0
20011008,7.0500,7.3000,6.9100,7.1200,3931000,0
20011009,7.1200,7.1200,6.6700,6.9200,2747000,0
20011010,6.9000,7.3100,6.8000,7.2600,3043200,0
20011011,7.5300,8.1400,7.5300,7.8500,6648900,0
20011012,7.7500,8.1300,7.5000,8.1200,3624200,0
20011015,8.2400,9.1900,8.2400,8.8900,8599100,0
20011016,9.2300,9.7000,9.1100,9.5600,8272300,0
20011017,9.9800,9.9900,8.8500,8.9200,8943100,0
20011018,8.9100,9.2100,8.3800,8.4700,4300200,0
20011019,8.5000,8.5000,7.5100,8.0100,6998900,0
20011022,8.0700,8.8300,8.0600,8.7700,4220200,0
20011023,9.2500,9.5900,8.8500,9.5500,11359800,0
20011024,8.0500,8.1500,7.4000,7.6400,26661600,0
