DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,34.81,36.44,34.56,35.41,57898,0
20010103,35.44,35.44,33.00,33.06,47548,0
20010104,32.97,33.00,31.41,31.50,48894,0
20010105,32.25,34.31,32.13,33.69,174472,0
20010108,34.13,34.72,33.75,34.03,29290,0
20010109,34.69,34.75,32.69,33.28,34056,0
20010110,33.28,33.88,33.09,33.22,161394,0
20010111,33.63,34.13,33.13,33.28,33864,0
20010112,32.91,32.97,32.13,32.53,26880,0
20010115,32.53,32.53,32.53,32.53,0,0
20010116,32.56,32.81,32.00,32.56,47760,0
20010117,32.19,32.19,30.63,30.91,39128,0
20010118,30.00,30.19,29.13,29.81,332588,0
20010119,29.44,30.63,29.28,30.13,47050,0
20010122,30.13,30.13,30.13,30.13,0,0
20010123,30.75,31.56,30.25,30.78,26244,0
20010124,31.38,31.53,30.56,30.72,32046,0
20010125,31.19,32.09,31.16,31.94,53332,0
20010126,32.06,32.31,30.88,30.97,249696,0
20010129,31.44,31.59,30.50,31.09,0,0
20010130,30.16,30.91,29.00,29.56,4702200,0
20010131,29.50,29.70,28.50,28.83,3929400,0
20010201,29.10,29.22,28.33,28.55,3917200,0
20010202,28.88,30.26,28.88,30.10,9626400,0
20010205,30.02,30.98,30.02,30.19,3143200,0
20010206,29.88,31.10,29.50,30.93,3073000,0
20010207,31.05,31.58,30.35,31.38,10789600,0
20010208,31.38,31.62,30.90,31.00,2903400,0
20010209,30.75,32.05,30.75,31.35,30397800,0
20010212,31.35,31.57,30.75,31.26,2541600,0
20010213,31.00,31.86,30.98,31.61,5900800,0
20010214,31.98,32.33,31.05,31.05,4982800,0
20010215,30.25,30.86,29.98,30.51,3319600,0
20010216,31.05,31.65,30.45,30.69,3816400,0
20010219,30.69,30.69,30.69,30.69,0,0
20010220,31.02,31.45,30.88,31.30,2571200,0
20010221,32.00,32.75,30.92,31.03,4752000,0
20010222,31.00,31.25,30.13,30.56,4574800,0
20010223,30.80,30.81,29.60,30.02,2421600,0
20010226,30.02,30.55,29.94,30.34,2426400,0
20010227,30.25,30.99,30.15,30.27,2958800,0
20010228,30.55,30.55,29.33,29.35,12153000,0
20010301,29.50,29.71,29.23,29.65,2596800,0
20010302,29.98,30.58,29.75,30.42,11644200,0
20010305,30.85,31.35,30.74,31.22,1687800,0
20010306,31.50,32.50,31.35,32.26,35507400,0
20010307,33.00,33.70,32.76,33.51,4596400,0
20010308,33.75,34.25,33.20,34.25,8241800,0
20010309,34.25,34.25,33.44,33.70,2687600,0
20010312,33.10,33.10,31.65,32.55,5700400,0
20010313,32.65,32.65,31.35,31.76,53223200,0
20010314,31.45,31.95,30.88,31.25,4328600,0
20010315,31.65,31.65,30.47,30.83,6989200,0
20010316,30.85,31.38,30.25,30.35,3090400,0
20010319,30.75,31.38,30.50,30.93,2582400,0
20010320,31.10,31.93,31.05,31.36,2833400,0
20010321,30.80,31.07,30.01,30.10,2875400,0
20010322,30.08,30.08,27.50,28.46,7154400,0
20010323,29.50,29.55,28.76,29.33,3940600,0
20010326,30.13,30.13,29.31,29.77,15272200,0
20010327,29.79,29.98,28.67,28.92,4118200,0
20010328,29.00,29.00,28.30,28.42,3599600,0
20010329,27.80,27.80,27.10,27.44,4308800,0
20010330,27.75,29.00,27.75,28.81,47382400,0
20010402,28.50,28.50,26.92,27.23,6825400,0
20010403,27.23,27.30,25.58,25.85,5336000,0
20010404,26.25,27.17,25.88,26.75,17665600,0
20010405,26.83,27.83,26.78,27.75,19021400,0
20010406,27.33,27.92,26.75,27.81,3745200,0
20010409,28.34,28.98,28.26,28.80,2550000,0
20010410,28.80,29.87,28.80,29.67,4823600,0
20010411,29.57,29.89,29.15,29.33,2792400,0
20010412,30.00,30.50,29.90,30.25,27114200,0
20010416,30.52,31.25,30.48,31.20,2075200,0
20010417,31.20,32.01,30.75,31.92,4809800,0
20010418,31.52,31.82,30.70,30.83,4527800,0
20010419,30.75,30.75,29.77,30.55,10972600,0
20010420,30.55,31.20,30.35,30.36,26559600,0
20010423,30.75,31.73,30.75,31.58,3145400,0
20010424,31.88,32.03,31.38,31.75,2460400,0
