DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,35.54,36.99,34.50,34.63,5802400,0
20010103,34.06,34.50,31.82,32.30,7424000,0
20010104,32.60,32.83,29.75,30.50,6990800,0
20010105,30.75,32.40,30.75,31.88,13219000,0
20010108,32.17,32.92,31.78,32.01,5051200,0
20010109,32.25,32.40,30.50,30.83,7435600,0
20010110,31.25,31.44,30.41,30.50,5459200,0
20010111,31.38,31.63,30.40,30.88,15390200,0
20010112,30.50,30.95,30.25,30.67,3575400,0
20010115,30.67,30.67,30.67,30.67,0,0
20010116,30.88,31.73,30.77,31.61,8406400,0
20010117,31.33,31.33,29.50,29.83,4434000,0
20010118,29.05,29.42,27.98,28.51,8059800,0
20010119,27.88,29.23,27.83,28.45,5830400,0
20010122,28.45,28.45,28.45,28.45,0,0
20010123,29.08,30.35,29.05,30.03,3085200,0
20010124,30.23,30.40,29.35,29.39,3445200,0
20010125,29.90,31.39,29.70,31.26,3496000,0
20010126,31.27,31.88,29.63,29.88,10368600,0
20010129,30.16,30.55,29.50,30.39,11687000,0
20010130,30.41,30.41,28.00,29.05,6515000,0
20010131,29.08,29.50,28.34,28.46,27937800,0
20010201,29.00,29.00,27.00,27.29,9516800,0
20010202,27.75,30.00,27.70,30.00,12335400,0
20010205,29.55,31.25,29.52,30.70,34383800,0
20010206,30.52,31.90,30.17,31.73,4071200,0
20010207,31.98,32.67,31.17,32.37,0,0
20010208,32.45,32.80,31.91,32.15,3067600,0
20010209,32.22,33.45,32.17,33.10,5876600,0
20010212,33.10,33.10,32.35,32.78,3634600,0
20010213,32.74,34.05,32.50,34.01,4278200,0
20010214,33.92,34.70,33.63,33.81,5357800,0
20010215,33.24,33.62,33.05,33.50,5610200,0
20010216,34.35,34.90,33.55,34.10,6401000,0
20010219,34.10,34.10,34.10,34.10,0,0
20010220,34.10,34.63,33.35,33.53,11932800,0
20010221,33.90,34.10,32.32,32.42,9885000,0
20010222,32.83,33.03,31.78,31.88,4204000,0
20010223,32.15,32.28,31.17,31.40,3260200,0
20010226,31.40,31.98,31.23,31.73,2383400,0
20010227,32.00,32.30,31.55,31.98,4503000,0
20010228,32.00,32.17,31.11,31.25,7675400,0
20010301,31.35,31.82,31.27,31.75,5165200,0
20010302,32.10,32.63,31.75,32.50,3503200,0
20010305,32.75,33.50,32.44,33.27,2379200,0
20010306,33.90,34.36,33.40,34.24,20917400,0
20010307,34.53,36.50,34.53,36.50,39351000,0
20010308,35.25,36.01,34.76,35.33,12176000,0
20010309,35.45,35.92,35.08,35.28,5410200,0
20010312,34.97,34.98,33.13,33.28,5887600,0
20010313,33.40,33.45,32.25,32.81,4996200,0
20010314,32.81,32.81,32.06,32.37,5170800,0
20010315,32.78,32.78,31.50,31.72,3868200,0
20010316,31.45,32.18,30.88,31.01,5443800,0
20010319,31.36,32.30,31.20,31.67,4684600,0
20010320,32.40,33.47,32.08,33.03,8323000,0
20010321,32.90,33.04,31.50,31.67,6063600,0
20010322,31.70,31.73,29.60,30.42,5955600,0
20010323,31.13,31.63,30.40,31.30,6043000,0
20010326,31.65,32.24,31.52,32.12,4759600,0
20010327,32.15,32.58,31.03,31.27,4286800,0
20010328,31.22,31.48,30.59,30.77,4163600,0
20010329,30.50,30.53,29.53,30.10,24222000,0
20010330,30.20,31.96,30.20,31.39,6931800,0
20010402,31.10,31.12,29.67,29.88,4653000,0
20010403,29.88,30.00,28.10,28.17,13764400,0
20010404,28.25,29.90,28.25,29.58,7659800,0
20010405,30.63,30.63,29.38,30.43,5188000,0
20010406,30.11,31.04,29.42,30.90,4341200,0
20010409,31.17,31.93,31.15,31.63,4100800,0
20010410,32.00,32.64,31.77,32.60,5065200,0
20010411,32.47,32.69,31.84,32.00,3702400,0
20010412,32.42,33.17,32.38,32.67,3791000,0
