DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,54.50,54.69,51.56,52.00,38414,0
20010103,51.63,57.06,51.44,55.94,78453,0
20010104,56.50,56.81,53.75,54.19,71759,0
20010105,53.25,53.25,50.50,51.56,55537,0
20010108,51.88,51.88,47.75,48.94,76831,0
20010109,49.00,49.50,46.19,46.94,86797,0
20010110,46.81,47.94,46.25,46.69,93951,0
20010111,46.56,48.56,46.13,47.94,81975,0
20010112,48.94,48.94,46.94,47.94,61801,0
20010115,47.94,47.94,47.94,47.94,0,0
20010116,48.00,48.94,47.50,48.31,49476,0
20010117,49.44,50.06,48.94,49.44,69832,0
20010118,50.63,50.69,49.13,49.63,44443,0
20010119,49.63,49.88,47.06,48.63,70637,0
20010122,48.63,48.63,48.63,48.63,0,0
20010123,47.69,47.75,45.00,46.50,177117,0
20010124,47.50,47.50,45.56,46.25,117335,0
20010125,47.06,47.63,46.00,46.38,74713,0
20010126,46.38,47.00,45.88,46.63,68097,0
20010129,50.06,50.09,48.00,48.91,6459700,0
20010130,47.00,49.84,47.00,49.84,7909200,0
20010131,47.80,48.50,46.50,47.10,7320000,0
20010201,47.10,47.84,47.10,47.49,5136400,0
20010202,47.49,49.80,47.45,48.11,7589600,0
20010205,48.25,48.96,47.95,48.41,3454900,0
20010206,48.41,48.82,46.80,46.99,5076000,0
20010207,47.35,48.15,45.90,46.37,6653000,0
20010208,46.50,48.25,46.50,47.10,5425400,0
20010209,47.90,47.99,46.95,47.03,3423200,0
20010212,47.05,48.20,47.05,48.11,3477400,0
20010213,48.02,48.50,46.30,46.78,4763300,0
20010214,47.00,47.11,46.18,46.65,3736800,0
20010215,46.71,47.09,46.31,46.87,3672600,0
20010216,46.91,47.48,41.50,47.22,3949000,0
20010219,47.22,47.22,47.22,47.22,0,0
20010220,47.30,47.43,45.10,45.98,4945400,0
20010221,45.28,45.80,43.75,43.97,4762600,0
20010222,43.97,44.60,41.90,44.50,8742300,0
20010223,44.70,45.17,43.50,44.90,4939500,0
20010226,44.94,45.23,43.70,45.20,27776900,0
20010227,44.50,45.85,44.41,45.44,5540800,0
20010228,45.50,45.50,43.70,43.88,6325600,0
20010301,43.73,43.73,42.00,43.00,7282600,0
20010302,42.70,44.48,42.50,43.75,4556200,0
20010305,44.00,44.15,42.53,43.29,3292400,0
20010306,43.82,44.40,42.55,43.02,6651100,0
20010307,43.10,44.20,43.02,44.20,4121200,0
20010308,44.80,45.17,43.80,44.45,5893800,0
20010309,44.18,44.19,42.30,42.73,4792300,0
20010312,42.05,42.05,39.93,40.40,7095700,0
20010313,41.00,41.70,40.30,41.63,5732200,0
20010314,39.25,40.40,38.00,38.48,10305800,0
20010315,40.10,40.25,39.15,39.80,21169200,0
20010316,39.80,40.30,38.10,38.18,10398300,0
20010319,39.25,39.25,38.08,38.71,6232800,0
20010320,39.30,40.00,37.01,37.27,9082200,0
20010321,36.89,36.89,34.50,34.99,14170000,0
20010322,35.10,36.38,34.00,34.75,20824300,0
20010323,35.15,36.85,34.96,36.81,10197500,0
20010326,37.45,38.62,37.30,37.65,8752400,0
20010327,37.99,40.00,37.20,39.65,9127100,0
20010328,39.30,39.88,38.46,39.00,6303600,0
20010329,38.41,39.56,38.41,38.96,5464200,0
20010330,41.75,42.00,39.40,41.30,20071500,0
20010402,38.88,40.30,38.50,39.71,11637600,0
20010403,39.05,39.40,37.63,37.99,6265700,0
20010404,37.53,38.15,35.97,36.20,7804900,0
20010405,37.49,38.34,37.04,38.31,7646900,0
20010406,36.76,37.96,36.40,36.71,6682200,0
20010409,36.98,37.68,36.55,37.06,4533200,0
20010410,37.90,38.38,37.30,38.17,7470500,0
20010411,39.00,39.89,38.00,38.57,5396400,0
20010412,37.98,39.50,37.90,39.19,4113300,0
20010416,38.55,39.25,37.92,38.53,3900400,0
20010417,38.10,39.24,37.54,38.98,3560700,0
20010418,39.17,43.00,39.17,42.58,9340800,0
20010419,42.48,43.60,42.22,42.96,6203800,0
20010420,42.71,42.71,41.40,41.50,5049200,0
20010423,41.25,41.30,39.91,40.50,5930500,0
20010424,41.28,41.47,40.40,40.75,5084100,0
20010425,40.70,41.40,40.07,41.10,5749000,0
20010426,41.50,42.73,41.50,41.90,5194900,0
20010427,42.55,43.90,42.55,43.75,5362000,0
20010430,43.99,44.12,42.44,42.44,5188700,0
20010501,42.19,43.02,42.01,42.25,4822700,0
20010502,42.75,43.85,42.46,43.24,6368600,0
20010503,42.55,42.75,41.90,42.46,5174400,0
20010504,42.46,42.46,42.46,42.46,0,0
20010507,43.40,43.74,43.10,43.23,2214500,0
20010508,43.20,43.20,40.50,41.30,8729600,0
20010509,40.69,41.90,40.69,41.60,4445100,0
20010510,42.70,43.15,42.55,42.84,5119900,0
20010511,42.52,42.90,41.85,42.27,25685100,0
20010514,41.95,42.58,41.93,42.41,2140300,0
20010515,42.41,42.63,41.50,41.84,4307500,0
20010516,41.60,44.58,41.25,44.30,5950900,0
20010517,44.30,44.65,43.55,44.38,5083200,0
20010518,44.37,44.48,43.08,43.70,4251100,0
20010521,43.60,45.25,43.32,44.99,4282700,0
20010522,45.55,46.55,45.15,46.05,5854100,0
20010523,45.75,45.75,44.53,44.70,4451600,0
20010524,44.93,45.08,43.60,44.60,3660200,0
20010525,44.60,44.60,43.20,43.33,3334400,0
20010528,43.33,43.33,43.33,43.33,0,0
20010529,43.58,43.58,42.37,42.41,5933900,0
20010530,42.45,43.20,42.15,42.27,4074100,0
20010531,42.75,42.83,41.75,42.12,4499600,0
20010601,42.12,42.45,41.50,42.38,5770400,0
20010604,42.39,42.85,42.00,42.74,5940900,0
20010605,42.40,43.05,42.00,42.60,6206400,0
20010606,42.55,42.55,41.77,41.88,3127700,0
20010607,41.41,41.60,40.50,41.16,8247900,0
20010608,41.16,41.28,40.70,41.05,2508000,0
20010611,41.50,41.93,41.00,41.41,4511500,0
20010612,41.41,42.17,40.90,41.80,5721700,0
20010613,41.85,42.68,41.37,41.52,4266900,0
20010614,40.32,40.32,39.15,39.77,7074500,0
20010615,39.26,39.68,38.58,38.94,8477400,0
20010618,38.95,39.23,38.27,38.54,6213400,0
20010619,38.90,39.09,38.40,38.64,5976500,0
20010620,38.98,39.60,38.71,39.46,5604100,0
20010621,39.05,40.90,39.05,40.40,6302100,0
20010622,40.70,40.97,40.10,40.75,4450200,0
20010625,40.75,41.00,39.75,39.88,4497900,0
20010626,39.21,39.50,38.20,39.00,4960300,0
20010627,39.32,39.45,38.14,38.25,5563600,0
20010628,38.25,40.00,38.25,39.47,5895700,0
20010629,39.73,39.74,38.80,38.80,5657100,0
20010702,39.00,39.95,38.61,39.51,4336900,0
20010703,39.90,40.06,39.42,39.94,2120200,0
20010704,39.94,39.94,39.94,39.94,0,0
20010705,39.94,39.97,39.28,39.49,3482800,0
20010706,39.10,39.28,38.22,38.28,2514800,0
20010709,38.45,38.46,37.92,38.12,3481100,0
20010710,38.19,38.19,36.90,37.00,6217400,0
20010711,36.95,37.46,36.60,37.33,4769800,0
