DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,64.88,65.19,60.56,62.00,36107,0
20010103,60.75,63.75,59.19,62.56,64172,0
20010104,64.00,64.00,60.25,61.00,38529,0
20010105,61.38,61.44,58.13,58.75,37505,0
20010108,58.75,60.50,58.69,59.00,29284,0
20010109,59.00,59.00,57.19,58.94,52765,0
20010110,58.38,60.88,58.31,60.38,36595,0
20010111,60.00,60.69,59.00,59.13,33836,0
20010112,59.31,60.63,58.56,60.63,30050,0
20010115,60.63,60.63,60.63,60.63,0,0
20010116,59.94,61.63,59.50,61.00,30033,0
20010117,62.44,62.69,58.25,58.75,65891,0
20010118,56.50,58.00,55.63,57.38,60335,0
20010119,57.38,57.44,55.50,55.69,42877,0
20010122,55.69,55.69,55.69,55.69,0,0
20010123,56.13,58.00,56.06,57.50,43382,0
20010124,56.88,58.00,56.88,57.44,29973,0
20010125,56.50,59.69,56.50,59.25,36837,0
20010126,58.75,59.63,57.50,58.06,22990,0
20010129,58.97,59.09,57.00,57.44,2422000,0
20010130,57.44,58.09,55.00,56.47,4410600,0
20010131,56.50,58.91,56.50,58.50,3614600,0
20010201,58.00,58.50,56.06,56.52,7558700,0
20010202,56.97,57.50,56.04,56.69,2121700,0
20010205,56.73,58.04,56.55,57.93,2188100,0
20010206,57.88,58.46,56.47,56.73,2348500,0
20010207,56.95,57.89,56.65,57.45,2182900,0
20010208,57.35,58.26,57.12,57.51,2802100,0
20010209,57.70,58.13,56.78,57.31,2016700,0
20010212,57.50,59.10,57.50,59.07,3701600,0
20010213,59.10,61.38,59.10,60.72,4615200,0
20010214,61.72,61.94,60.34,60.59,3503400,0
20010215,60.17,60.50,58.84,60.15,2527900,0
20010216,59.80,60.61,59.70,59.99,2926800,0
20010219,59.99,59.99,59.99,59.99,0,0
20010220,60.35,62.80,60.15,61.85,3141000,0
20010221,61.85,62.38,60.15,60.20,2287900,0
20010222,60.20,62.23,60.20,61.28,2767200,0
20010223,60.99,61.75,60.65,61.61,2013900,0
20010226,61.45,62.97,61.02,62.76,1772600,0
20010227,62.30,63.90,62.00,63.70,2512600,0
20010228,63.70,63.90,61.99,62.20,7814500,0
20010301,61.85,61.86,58.60,59.65,4226000,0
20010302,59.55,61.45,58.30,60.10,3754000,0
20010305,59.90,62.15,59.88,61.91,2788200,0
20010306,62.05,62.55,61.29,62.13,2781900,0
20010307,61.95,64.20,61.90,64.10,4316200,0
20010308,64.00,65.20,63.55,64.75,10006100,0
20010309,64.45,65.60,64.20,65.50,2718100,0
20010312,64.20,64.28,60.99,61.16,4249600,0
20010313,62.20,62.90,60.06,60.57,4788700,0
20010314,59.40,59.40,56.83,58.02,6064800,0
20010315,58.02,58.02,55.52,56.10,5175700,0
20010316,55.63,56.20,52.85,53.75,9017300,0
20010319,54.57,56.25,53.87,56.02,6185200,0
20010320,56.60,57.15,54.76,55.00,4358300,0
20010321,54.60,55.40,53.20,53.85,3580700,0
20010322,53.20,53.35,49.70,52.00,6584400,0
20010323,52.75,53.42,51.60,53.00,6198900,0
20010326,53.55,56.17,53.55,55.35,19224200,0
20010327,55.27,56.24,54.25,55.20,4117000,0
20010328,54.56,55.18,54.00,55.00,2861600,0
20010329,54.55,56.26,54.25,55.95,2523600,0
20010330,55.40,57.27,55.40,55.71,3803700,0
20010402,55.84,56.60,54.53,55.02,3182300,0
20010403,55.40,55.42,54.11,54.61,4155900,0
20010404,54.50,55.20,53.92,54.63,2774900,0
20010405,56.00,57.50,55.86,56.73,2659600,0
20010406,56.00,56.60,55.33,55.94,2785500,0
20010409,56.05,57.74,56.00,56.87,2547300,0
20010410,58.10,60.19,57.87,59.82,4016500,0
20010411,60.57,61.00,58.50,59.12,3977800,0
20010412,58.95,60.50,58.71,60.50,1566700,0
20010416,60.25,60.95,59.18,59.75,2058400,0
20010417,59.75,60.60,59.00,60.60,2258700,0
20010418,60.88,63.68,60.70,61.30,3072700,0
20010419,61.50,61.62,59.55,60.63,3529400,0
20010420,61.90,64.90,60.50,61.70,7126600,0
20010423,60.90,61.12,59.62,60.14,5853500,0
20010424,60.00,62.10,60.00,60.80,3076700,0
20010425,59.95,60.41,59.90,60.34,3216500,0
20010426,60.09,61.20,59.80,60.98,2882700,0
20010427,60.92,61.78,60.84,61.62,2082100,0
20010430,62.40,64.10,61.80,61.80,3061500,0
20010501,62.70,64.48,62.70,63.43,4744700,0
20010502,63.70,64.30,63.25,64.00,8732400,0
20010503,63.75,64.20,62.71,64.00,2161500,0
20010504,63.23,65.00,63.02,64.50,2216500,0
20010507,64.31,65.28,64.25,64.69,2099600,0
20010508,64.50,65.20,64.30,64.63,2646800,0
20010509,64.05,65.50,64.01,65.00,2327500,0
20010510,65.55,66.00,65.16,65.95,2437800,0
20010511,65.99,66.40,65.30,66.01,1636200,0
20010514,66.00,66.75,65.87,66.74,1399700,0
20010515,66.02,66.70,65.45,66.59,2582800,0
20010516,66.30,66.75,65.65,66.75,10692500,0
20010517,66.75,69.85,66.57,68.79,6037300,0
20010518,68.80,68.89,67.97,68.35,5323200,0
20010521,67.90,68.75,67.90,68.69,1551500,0
20010522,68.10,68.95,67.50,68.00,2725900,0
20010523,67.40,67.56,66.00,66.00,3662800,0
20010524,66.20,67.36,64.05,65.20,4253100,0
20010525,64.90,64.90,62.90,63.33,31300000,0
20010528,63.33,63.33,63.33,63.33,0,0
20010529,63.50,63.85,63.20,63.53,18883900,0
20010530,63.57,63.94,62.80,63.05,3197700,0
20010531,63.30,63.40,62.33,62.89,2650200,0
20010601,63.00,65.57,62.90,65.00,5063000,0
20010604,64.90,66.70,64.90,66.03,2464100,0
20010605,67.03,67.50,66.70,66.93,3141100,0
20010606,66.10,66.26,65.72,66.10,3200100,0
20010607,65.96,66.06,65.12,65.65,4943400,0
20010608,65.62,65.62,64.10,64.56,2222700,0
20010611,64.59,64.75,63.67,64.50,1662300,0
20010612,64.30,66.13,64.20,65.71,3100500,0
20010613,65.60,66.49,65.41,65.48,2155600,0
20010614,65.48,65.48,63.32,63.56,3680500,0
20010615,63.87,64.50,63.73,64.25,5591200,0
20010618,64.85,64.98,64.41,64.88,2425400,0
20010619,64.60,64.80,61.54,61.80,4453100,0
20010620,61.72,62.85,60.38,61.11,5949200,0
20010621,59.83,59.83,56.70,57.57,9713800,0
20010622,57.75,57.88,55.40,57.00,6123900,0
20010625,56.95,57.78,56.40,56.85,5413600,0
20010626,56.71,57.82,56.07,57.06,4503200,0
20010627,57.02,58.04,56.88,57.70,3005600,0
20010628,57.30,58.34,56.88,57.24,4012300,0
20010629,56.89,57.40,55.58,55.60,4208500,0
20010702,56.60,57.22,56.30,56.36,3017700,0
20010703,56.36,57.00,56.16,56.33,2202600,0
20010704,56.33,56.33,56.33,56.33,0,0
20010705,56.70,56.70,55.15,55.23,3137300,0
20010706,55.05,55.48,53.77,54.39,5644300,0
20010709,53.70,53.99,52.55,52.83,5212500,0
20010710,53.73,54.62,53.19,54.15,20323400,0
20010711,54.00,54.21,52.91,52.92,3296900,0
20010712,53.36,54.79,53.26,54.50,3221300,0
20010713,54.50,55.21,53.77,55.07,4379900,0
20010716,54.62,55.39,54.13,55.28,1945300,0
20010717,55.40,56.72,55.40,56.30,3823500,0
20010718,57.60,57.60,55.05,57.13,5450700,0
20010719,57.41,57.95,55.70,56.39,3417200,0
20010720,56.39,57.15,56.30,56.79,1834100,0
20010723,57.05,57.25,56.05,56.25,2078300,0
20010724,56.60,56.60,55.21,55.26,2170300,0
20010725,55.95,56.80,55.82,56.67,1590500,0
20010726,56.55,58.18,56.52,58.11,4057300,0
20010727,57.95,58.90,57.95,58.14,2527500,0
20010730,58.52,58.74,57.40,57.40,2613500,0
20010731,57.21,58.79,57.16,58.53,3276200,0
20010801,58.65,59.34,58.54,59.00,2175100,0
20010802,59.50,59.75,58.32,58.82,2347800,0
20010803,58.82,59.25,58.60,59.21,17934400,0
20010806,59.00,59.80,58.34,58.40,2722100,0
20010807,57.44,57.70,56.50,57.50,4111100,0
20010808,57.50,57.65,56.32,56.61,2818700,0
20010809,56.51,57.04,55.89,56.36,3755500,0
20010810,56.51,56.93,56.11,56.85,11132400,0
20010813,56.55,57.24,56.15,56.45,1641800,0
20010814,56.45,56.70,55.85,55.89,6003000,0
20010815,55.55,56.10,54.39,54.44,3322700,0
20010816,54.10,55.13,53.79,55.13,2703700,0
20010817,54.86,54.86,53.40,54.00,2156200,0
20010820,53.75,53.80,52.80,53.30,2730200,0
20010821,53.27,53.31,51.95,52.00,3109000,0
20010822,51.91,52.60,51.79,52.30,4190500,0
20010823,52.10,52.50,52.00,52.17,8370300,0
20010824,52.34,53.95,52.30,53.68,2328900,0
20010827,53.91,53.91,53.01,53.06,1689000,0
20010828,53.00,53.20,51.56,51.63,4484300,0
20010829,51.80,52.00,50.51,50.70,3541600,0
20010830,50.73,51.15,50.17,50.50,2545200,0
20010831,50.50,51.20,50.27,51.20,1922200,0
20010903,51.20,51.20,51.20,51.20,0,0
20010904,49.76,51.97,49.49,49.95,3227800,0
20010905,50.20,51.25,49.92,50.61,3300600,0
20010906,50.10,50.45,48.45,48.84,3898700,0
20010907,47.71,47.99,44.79,45.18,7972400,0
20010910,44.90,45.95,43.46,43.46,6366000,0
20010911,43.46,43.46,43.46,43.46,0,0
20010917,35.65,38.70,35.50,35.80,20980500,0
20010918,35.75,36.10,32.50,33.14,16789800,0
20010919,32.00,33.81,31.95,32.61,15143200,0
20010920,32.10,32.18,29.75,29.76,12004300,0
20010921,28.26,30.29,27.70,30.10,13511400,0
20010924,30.09,33.39,30.09,32.80,13947000,0
20010925,33.21,34.48,32.76,34.33,10093000,0
20010926,34.62,34.62,33.39,34.29,6318200,0
20010927,33.93,34.50,32.15,34.40,8983900,0
20010928,34.40,34.41,32.90,33.50,6773700,0
20011001,33.50,34.23,32.05,32.40,6757100,0
20011002,33.48,34.40,33.14,34.25,7075300,0
20011003,34.51,37.52,34.50,36.59,8510800,0
20011004,36.59,36.88,35.25,36.29,6383000,0
20011005,36.50,37.04,35.00,36.26,3662800,0
20011008,36.20,37.64,35.94,36.62,5168700,0
20011009,36.90,36.95,35.62,36.00,3318400,0
20011010,36.05,36.56,35.40,35.76,4516800,0
20011011,35.91,36.69,35.91,36.18,5384300,0
20011012,36.00,36.00,34.93,35.83,4608100,0
20011015,35.60,35.75,34.80,35.27,4321400,0
20011016,35.35,35.52,34.88,35.12,3414200,0
20011017,35.26,35.43,33.51,33.70,4086900,0
20011018,33.95,34.08,32.57,32.86,5445200,0
20011019,33.36,33.75,32.85,33.45,4725300,0
20011022,33.80,34.60,33.54,33.70,3398700,0
20011023,34.01,34.49,33.80,33.90,3898200,0
20011024,34.65,34.96,33.99,34.24,3686700,0
20011025,34.10,35.95,33.63,35.90,5181200,0
20011026,36.10,38.07,36.05,37.68,11339300,0
20011029,35.10,35.30,33.50,33.75,9925800,0
20011030,33.65,34.15,33.03,33.03,5359700,0
20011031,33.15,33.55,32.42,32.60,4586400,0
20011101,32.50,34.00,32.34,33.19,4504400,0
20011102,33.49,34.55,33.22,34.35,4514500,0
20011105,35.00,35.52,34.60,35.05,4333900,0
20011106,34.90,35.74,34.30,35.52,3362300,0
20011107,35.23,35.52,34.77,34.89,2971600,0
20011108,35.00,35.75,34.60,34.90,2713400,0
20011109,35.14,35.20,32.24,33.24,13547500,0
