DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,23.74,24.28,23.71,24.06,60223,0
20010103,24.06,24.47,22.82,23.19,69959,0
20010104,23.01,23.06,21.51,21.88,88761,0
20010105,22.12,22.42,21.93,22.28,138872,0
20010108,22.33,23.04,22.33,22.82,77531,0
20010109,23.32,23.32,23.04,23.06,89096,0
20010110,23.06,23.34,22.47,22.80,47969,0
20010111,22.87,23.14,22.02,22.72,59206,0
20010112,22.75,22.85,22.15,22.38,0,0
20010115,22.38,22.38,22.38,22.38,0,0
20010116,22.40,22.79,22.22,22.77,45611,0
20010117,22.80,22.85,22.18,22.30,55992,0
20010118,22.44,22.85,22.40,22.82,125810,0
20010119,22.82,23.12,22.20,22.30,48085,0
20010122,22.30,22.30,22.30,22.30,0,0
20010123,23.36,23.46,22.42,22.82,72548,0
20010124,22.38,22.42,21.88,22.28,651071,0
20010125,22.52,23.26,22.33,23.24,879006,0
20010126,23.24,23.90,23.22,23.51,43477,0
20010129,24.26,24.46,23.63,23.97,3668731,0
20010130,23.98,24.16,23.36,23.78,2183361,0
20010131,23.59,23.63,23.04,23.59,2924183,0
20010201,23.63,23.63,23.36,23.62,2622118,0
20010202,23.61,23.69,23.24,23.53,4079182,0
20010205,23.30,23.65,23.30,23.58,4198369,0
20010206,23.63,23.63,23.43,23.61,1942751,0
20010207,23.68,23.79,23.47,23.61,3024748,0
20010208,23.61,23.69,23.44,23.69,3119725,0
20010209,23.63,23.88,23.59,23.63,2375177,0
20010212,23.71,24.03,23.68,23.99,2352830,0
20010213,24.02,24.04,23.47,23.83,4184216,0
20010214,23.75,23.92,23.56,23.61,44527221,0
20010215,23.43,23.45,22.97,23.08,0,0
20010216,23.17,23.29,22.97,23.28,4631540,0
20010219,23.28,23.28,23.28,23.28,0,0
20010220,23.44,24.06,23.43,23.99,6383219,0
20010221,23.91,25.01,23.91,24.62,9250044,0
20010222,24.83,24.93,24.06,24.30,13248030,0
20010223,24.16,24.37,23.66,24.00,6219337,0
20010226,24.16,24.26,23.70,24.26,7513263,0
20010227,24.26,24.45,24.11,24.44,2910402,0
20010228,24.70,24.97,24.63,24.72,5524699,0
20010301,24.70,24.86,24.14,24.86,4647556,0
20010302,25.01,25.09,24.46,25.06,12439419,0
20010305,25.06,25.51,25.05,25.51,5586155,0
20010306,25.44,25.47,25.26,25.36,4587590,0
20010307,25.48,25.49,24.06,24.25,114043900,0
20010308,24.30,24.91,23.99,24.89,6227159,0
20010309,25.05,25.12,24.53,24.94,4253866,0
20010312,24.90,25.20,24.16,24.23,15990453,0
20010313,24.22,24.72,23.72,24.67,36478732,0
20010314,24.67,24.67,24.03,24.30,6500544,0
20010315,24.43,24.43,24.00,24.18,25013669,0
20010316,24.11,24.24,23.91,24.14,11470651,0
20010319,24.03,24.22,23.90,24.17,3976755,0
20010320,24.16,24.37,23.93,24.00,4420355,0
20010321,24.11,24.32,23.68,24.01,8970699,0
20010322,23.66,23.66,22.82,22.87,14234676,0
20010323,23.20,23.68,23.17,23.62,7232428,0
20010326,23.62,24.06,23.50,23.76,3337242,0
20010327,24.15,24.56,24.04,24.26,7061097,0
20010328,24.16,25.02,24.08,24.88,6211515,0
20010329,24.94,25.36,24.70,25.23,7213805,0
20010330,25.51,25.51,24.93,25.24,5878909,0
20010402,25.10,25.19,24.45,24.88,4362996,0
20010403,24.75,24.88,24.03,24.16,12093031,0
20010404,24.22,24.86,23.71,24.77,8098398,0
20010405,25.20,25.37,24.97,25.24,6675228,0
20010406,25.14,25.14,23.90,24.12,8988950,0
20010409,24.15,24.35,24.03,24.27,4146225,0
20010410,24.55,24.77,23.98,24.31,5976121,0
20010411,24.30,24.30,23.56,23.90,5480004,0
20010412,23.96,24.29,23.78,24.04,2263439,0
20010416,24.24,24.55,23.90,24.28,4151439,0
20010417,24.35,24.89,24.33,24.69,6026403,0
20010418,24.90,24.90,24.19,24.35,5215185,0
20010419,24.43,24.57,23.81,24.00,7877157,0
20010420,23.56,24.15,23.41,24.07,5313142,0
20010423,24.08,24.35,23.87,23.95,2545019,0
20010424,23.91,24.02,23.54,23.61,4094825,0
20010425,23.67,24.45,23.67,24.43,4437116,0
20010426,24.43,24.50,23.98,24.49,4088493,0
20010427,24.46,24.62,24.09,24.62,3072050,0
20010430,24.57,24.77,24.27,24.47,3320481,0
20010501,24.54,25.06,24.39,25.06,4357410,0
20010502,24.97,24.97,24.32,24.57,5080354,0
20010503,25.10,25.32,24.75,25.15,7106537,0
20010504,25.29,25.69,25.29,25.43,5331392,0
20010507,25.61,25.61,25.30,25.51,13409,0
20010508,25.40,25.40,24.93,25.04,3279138,0
20010509,25.24,25.36,24.81,25.20,3811383,0
20010510,25.33,25.33,24.96,25.10,923328,0
20010511,25.11,25.25,24.79,24.83,274131,0
20010514,24.94,25.19,24.88,24.92,2706294,0
20010515,24.97,25.42,24.89,25.36,2181871,0
20010516,25.25,25.77,25.16,25.61,8133781,0
20010517,25.68,26.14,25.64,26.10,7054392,0
20010518,26.20,26.30,25.72,25.85,3207253,0
20010521,25.85,26.47,25.85,26.35,4113821,0
20010522,26.35,26.50,26.31,26.42,2311487,0
20010523,26.37,26.49,25.96,26.30,4393911,0
20010524,26.30,26.31,25.81,26.31,7077,0
20010525,26.04,26.07,25.79,25.99,6228276,0
20010528,25.99,25.99,25.99,25.99,0,0
20010529,26.00,26.11,25.91,25.94,10576002,0
20010530,26.20,26.43,26.18,26.34,3754769,0
20010531,26.63,26.63,26.47,26.47,7199652,0
20010601,26.85,26.85,26.42,26.42,13651776,0
20010604,26.90,27.25,26.69,27.17,2848574,0
20010605,27.23,27.44,26.67,26.97,31878293,0
20010606,27.11,27.11,26.63,26.69,4877364,0
20010607,26.74,26.93,26.59,26.73,5753017,0
20010608,26.85,26.97,26.61,26.86,1674766,0
20010611,26.71,26.82,26.34,26.52,1579975,0
20010612,26.65,26.70,26.27,26.48,1774027,0
20010613,26.48,26.74,26.15,26.60,21348104,0
20010614,26.64,26.84,26.63,26.73,2778924,0
20010615,26.69,27.20,26.67,27.12,4739740,0
20010618,27.14,27.63,26.85,27.21,6179111,0
20010619,27.39,28.19,27.14,28.07,6801120,0
20010620,28.07,28.59,28.07,28.28,4751658,0
20010621,28.23,29.26,28.15,29.00,6360686,0
20010622,28.73,28.73,27.39,28.21,5717633,0
20010625,28.37,28.42,28.00,28.35,7227959,0
20010626,28.06,28.33,27.78,27.83,14636188,0
20010627,28.06,28.41,28.01,28.17,3194776,0
20010628,28.14,28.75,28.14,28.48,7416796,0
20010629,27.47,27.92,26.03,26.31,12173296,0
20010702,26.79,27.22,26.49,26.85,8880191,0
20010703,26.82,26.88,26.30,26.31,4755383,0
20010704,26.31,26.31,26.31,26.31,0,0
20010705,26.84,26.84,26.02,26.04,9667758,0
20010706,25.91,26.04,25.71,25.72,11969002,0
20010709,25.99,26.54,25.77,26.40,4362252,0
20010710,26.54,26.56,25.88,26.06,4230401,0
20010711,26.37,26.43,25.65,25.70,5839242,0
20010712,25.65,26.02,25.54,25.84,5226172,0
20010713,25.72,26.18,25.59,25.59,22174592,0
20010716,25.59,25.77,25.53,25.69,21170068,0
20010717,25.88,25.88,25.58,25.67,3606344,0
20010718,25.72,25.72,25.13,25.51,6676718,0
20010719,26.10,26.69,26.04,26.10,9494564,0
20010720,26.12,26.47,25.88,26.10,9226020,0
20010723,26.39,26.45,26.15,26.23,4265226,0
20010724,26.23,26.31,25.77,25.88,2797547,0
20010725,26.02,26.79,25.97,26.69,4736201,0
20010726,26.82,27.13,26.69,26.69,3172801,0
20010727,26.58,26.66,26.07,26.23,3905243,0
20010730,26.12,26.38,26.10,26.25,2645956,0
20010731,26.53,26.98,26.47,26.74,3918465,0
20010801,26.69,27.94,26.63,26.87,4925225,0
20010802,26.61,26.96,26.04,26.17,4828944,0
20010803,26.26,26.26,25.66,25.88,3836710,0
20010806,25.96,26.19,25.43,25.63,2237181,0
20010807,25.64,26.31,25.26,26.28,5553751,0
20010808,26.02,26.66,25.95,26.08,8470858,0
20010809,26.37,26.63,26.23,26.60,5662509,0
20010810,26.66,26.87,26.38,26.61,8525609,0
20010813,26.75,27.48,26.70,27.28,9454711,0
20010814,27.65,28.16,27.60,27.85,57990346,0
20010815,27.90,28.17,27.32,28.04,3495723,0
20010816,27.97,28.08,27.63,27.95,4677911,0
20010817,27.87,28.76,27.81,28.55,4979232,0
20010820,28.46,28.57,28.30,28.33,3075961,0
20010821,28.46,28.89,27.90,27.99,12034555,0
20010822,27.99,28.14,27.74,28.10,8113482,0
20010823,27.95,28.16,27.79,28.05,6524941,0
20010824,28.19,28.52,28.14,28.42,2419500,0
20010827,28.52,28.72,28.28,28.46,1287967,0
20010828,28.19,28.20,27.61,27.79,25358380,0
20010829,27.92,28.18,27.84,27.92,11027796,0
20010830,27.93,28.46,27.93,28.29,4717392,0
20010831,28.24,28.31,27.68,27.71,3312101,0
20010903,27.71,27.71,27.71,27.71,0,0
20010904,27.52,28.19,27.30,28.02,4763205,0
20010905,28.03,28.78,27.88,28.60,6064766,0
20010906,28.89,28.94,28.30,28.57,6583603,0
20010907,28.38,28.50,27.76,28.08,9436833,0
20010910,28.08,28.65,27.65,28.63,3683257,0
20010911,28.63,28.63,28.63,28.63,0,0
20010917,29.00,29.00,28.46,28.68,6342249,0
20010918,28.55,28.73,28.28,28.46,37519758,0
20010919,28.46,28.57,27.87,28.21,9842442,0
20010920,27.95,28.17,27.68,27.87,4516078,0
20010921,27.66,28.19,27.12,27.26,11342338,0
20010924,27.39,27.55,26.71,27.02,6781752,0
20010925,27.07,27.63,26.74,27.61,6967237,0
20010926,27.61,28.46,27.60,28.38,6096053,0
20010927,28.25,29.75,28.25,29.62,9778192,0
20010928,29.69,30.01,29.12,29.56,88086790,0
20011001,29.53,29.80,29.30,29.80,5022996,0
20011002,29.00,29.56,28.08,28.73,10711391,0
20011003,28.60,28.62,27.82,27.95,10794636,0
20011004,28.45,28.62,28.03,28.24,6407243,0
20011005,28.43,28.78,28.33,28.57,4206377,0
20011008,28.56,28.84,28.38,28.71,2861238,0
20011009,28.71,29.05,28.46,28.65,3142259,0
20011010,28.65,28.88,28.51,28.71,3067394,0
20011011,28.48,28.65,27.64,27.97,68905100,0
20011012,27.90,28.41,27.68,28.24,3794436,0
20011015,27.82,28.12,27.44,27.82,28761175,0
20011016,27.71,28.04,27.55,27.68,5831048,0
20011017,27.65,27.86,27.32,27.62,5217792,0
20011018,27.25,27.55,25.30,26.60,20451779,0
20011019,26.77,27.58,26.66,27.52,15856181,0
20011022,27.39,27.95,27.12,27.95,4247161,0
20011023,28.67,28.67,27.89,27.90,6650273,0
20011024,27.76,27.77,26.84,27.04,26959213,0
20011025,27.01,27.01,26.44,26.75,6037390,0
20011026,26.82,27.11,26.55,26.84,3489205,0
20011029,27.03,27.08,26.17,26.45,3062925,0
20011030,26.31,26.37,25.80,25.98,32309229,0
20011031,26.11,26.27,25.86,25.97,4125181,0
20011101,26.10,26.58,26.10,26.39,3752721,0
20011102,26.31,26.58,26.04,26.33,4951856,0
20011105,25.51,25.72,24.59,24.88,25718922,0
20011106,24.57,24.81,24.30,24.67,18682594,0
20011107,24.70,25.79,24.70,25.71,14344366,0
20011108,25.91,26.16,25.40,25.62,9673531,0
20011109,25.72,26.02,25.46,25.50,5226731,0
20011112,25.51,26.07,25.29,25.96,5818756,0
20011113,26.98,27.01,26.18,26.28,5407933,0
20011114,26.39,26.47,25.77,25.77,3817901,0
20011115,25.77,26.06,25.37,26.02,6874122,0
20011116,25.88,26.40,25.83,26.40,5338655,0
20011119,26.45,26.45,26.07,26.28,2428812,0
20011120,26.31,26.85,26.11,26.60,4510304,0
20011121,26.70,26.90,26.45,26.50,3140769,0
20011122,26.50,26.50,26.50,26.50,0,0
20011123,26.31,26.37,26.19,26.31,1989309,0
20011126,26.58,26.79,26.31,26.60,4072664,0
