DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,55.75,55.88,54.44,55.00,22878,0
20010103,55.50,56.19,53.19,56.00,290283,0
20010104,56.13,58.06,55.94,56.25,151644,0
20010105,55.75,56.00,54.13,54.56,27734,0
20010108,54.19,54.56,53.69,54.31,13188,0
20010109,54.44,55.06,52.56,53.13,19466,0
20010110,53.00,54.31,52.56,53.38,22163,0
20010111,53.75,55.00,53.38,53.50,38678,0
20010112,52.75,53.00,50.00,50.38,98284,0
20010115,50.38,50.38,50.38,50.38,0,0
20010116,50.50,52.38,50.44,51.88,34279,0
20010117,51.88,52.19,50.19,50.69,35027,0
20010118,51.19,51.19,49.00,49.50,43320,0
20010119,49.75,49.75,46.81,47.38,54155,0
20010122,47.38,47.38,47.38,47.38,0,0
20010123,49.69,52.50,49.56,51.94,25421,0
20010124,52.94,52.94,51.75,52.06,19115,0
20010125,52.13,53.00,50.69,52.44,21256,0
20010126,52.75,53.81,51.94,53.44,56450,0
20010129,52.22,56.34,52.00,54.13,2071600,0
20010130,54.88,57.09,53.31,55.78,2082000,0
20010131,54.70,54.99,53.72,54.73,2234100,0
20010201,54.25,54.50,53.60,54.18,1667600,0
20010202,53.93,54.74,53.26,53.70,7538900,0
20010205,54.00,54.86,53.20,54.71,2522300,0
20010206,54.10,54.24,53.04,53.75,5435400,0
20010207,53.50,54.36,53.45,53.92,1070900,0
20010208,53.55,54.34,52.70,53.21,1683500,0
20010209,53.40,53.95,53.01,53.95,1301300,0
20010212,53.70,54.70,53.67,54.30,11525800,0
20010213,53.94,54.60,53.71,54.02,12217600,0
20010214,54.55,54.63,53.65,53.80,2366100,0
20010215,53.26,53.70,52.78,53.51,12620600,0
20010216,53.72,54.62,53.20,54.00,1901700,0
20010219,54.00,54.00,54.00,54.00,0,0
20010220,53.50,53.50,50.15,50.68,3310800,0
20010221,50.10,51.08,49.67,50.35,16788500,0
20010222,50.55,50.58,47.81,50.25,3059700,0
20010223,49.95,50.97,49.26,50.71,2090900,0
20010226,51.25,51.40,49.80,51.20,3121800,0
20010227,51.70,52.58,50.85,51.95,2011700,0
