DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,73.00,73.50,70.88,71.50,42153,0
20010103,71.44,71.50,66.44,66.81,181741,0
20010104,64.50,64.69,60.75,63.06,139708,0
20010105,65.00,66.25,62.50,64.44,94391,0
20010108,65.31,66.69,64.06,65.00,43722,0
20010109,65.00,68.25,65.00,66.56,52119,0
20010110,67.75,67.88,65.19,65.94,53821,0
20010111,66.00,66.00,63.00,64.50,55716,0
20010112,64.63,67.31,64.56,67.19,40626,0
20010115,67.19,67.19,67.19,67.19,0,0
20010116,66.94,68.19,66.00,67.94,36134,0
20010117,67.50,67.63,65.13,65.81,49660,0
20010118,66.50,69.56,66.06,67.44,73009,0
20010119,66.38,68.31,65.38,66.06,44629,0
20010122,66.06,66.06,66.06,66.06,0,0
20010123,66.50,66.75,64.94,66.25,55001,0
20010124,64.50,65.25,63.38,64.88,187844,0
20010125,64.00,65.31,64.00,64.38,116328,0
20010126,64.88,65.19,63.81,64.06,57148,0
20010129,64.84,66.03,61.88,62.47,5782700,0
20010130,62.63,64.19,62.00,63.03,5272100,0
20010131,61.53,61.83,60.10,61.83,7884600,0
20010201,61.50,63.61,61.50,63.12,10384700,0
20010202,64.10,65.07,63.35,64.59,5497400,0
20010205,64.75,65.40,64.03,64.30,33216100,0
20010206,64.22,64.77,63.40,63.55,2773100,0
20010207,64.20,65.22,63.25,64.98,4336900,0
20010208,65.10,65.25,63.80,64.69,2801200,0
20010209,63.85,65.03,63.85,64.26,2630300,0
20010212,64.85,65.53,64.02,65.16,3320900,0
20010213,65.90,65.90,62.60,63.04,3046400,0
20010214,63.45,63.50,61.72,62.25,3038400,0
20010215,61.32,64.30,61.06,63.30,6285400,0
20010216,63.30,63.31,62.28,62.99,4310100,0
20010219,62.99,62.99,62.99,62.99,0,0
20010220,62.48,63.15,62.48,62.76,2910300,0
20010221,63.50,63.81,62.50,62.50,3159000,0
20010222,61.70,62.00,60.60,61.75,4164500,0
20010223,61.21,62.08,61.05,61.94,4250200,0
20010226,62.05,63.60,61.67,63.60,3231500,0
20010227,62.00,62.55,61.20,62.06,5564800,0
20010228,62.35,63.50,62.01,63.41,29454700,0
20010301,63.42,63.46,62.25,63.28,3916600,0
20010302,63.25,64.50,63.01,64.20,3389800,0
20010305,63.40,63.50,62.85,63.40,2515800,0
20010306,63.75,63.95,61.79,62.00,4126400,0
20010307,62.00,62.00,59.25,60.60,17684500,0
20010308,60.60,61.96,60.25,61.91,4514800,0
20010309,62.70,64.00,62.50,63.20,5099900,0
20010312,63.20,63.94,61.54,61.75,4583000,0
20010313,61.90,61.90,58.69,61.00,6619300,0
20010314,59.52,60.30,58.00,58.89,5757200,0
20010315,57.65,58.87,56.90,58.64,5834500,0
20010316,57.00,57.93,55.67,56.15,9367900,0
20010319,57.00,59.06,56.75,58.51,3600900,0
20010320,57.61,59.00,56.20,56.84,6122000,0
20010321,56.70,57.00,54.15,54.75,4512400,0
20010322,54.00,55.20,51.00,55.00,7741100,0
20010323,56.50,57.20,55.02,56.53,4482300,0
20010326,57.10,58.00,56.50,57.22,3667500,0
20010327,57.35,58.75,57.34,58.26,3600000,0
20010328,57.80,59.18,57.62,58.64,2997200,0
20010329,59.30,60.73,58.55,59.57,4142500,0
20010330,60.20,60.38,57.60,59.40,5343400,0
20010402,58.58,58.80,57.28,58.00,3588700,0
20010403,57.10,58.35,54.50,55.50,7421100,0
20010404,55.39,56.95,55.29,56.59,4463700,0
20010405,57.90,58.32,57.00,58.16,3377800,0
20010406,58.16,58.55,55.99,57.50,3188200,0
20010409,56.70,58.50,56.70,58.50,3195200,0
20010410,59.10,59.30,56.59,58.40,3805800,0
20010411,57.00,57.00,55.80,56.36,4404800,0
20010412,57.00,58.40,56.40,58.00,3880500,0
20010416,58.50,58.88,57.18,57.81,2864700,0
20010417,57.81,59.85,57.81,59.85,4098300,0
20010418,58.51,59.20,56.17,57.35,8351900,0
20010419,56.00,56.65,55.05,56.60,5486600,0
20010420,56.45,57.11,55.40,56.30,6727800,0
20010423,56.80,57.75,56.70,56.95,4925100,0
20010424,56.95,57.10,54.85,54.90,6938500,0
20010425,54.80,57.05,54.59,56.85,6870600,0
20010426,56.00,57.45,55.96,57.04,4772300,0
20010427,57.10,57.75,55.60,57.75,3891500,0
20010430,57.75,58.15,56.00,56.00,5384700,0
20010501,56.45,56.70,54.95,55.41,11976100,0
20010502,55.41,55.90,54.75,54.75,5547200,0
20010503,54.80,55.43,54.26,55.05,4696300,0
20010504,56.00,56.25,55.31,55.82,4018000,0
20010507,56.50,57.21,56.20,57.12,4697700,0
20010508,56.05,56.76,55.85,56.00,3915700,0
20010509,56.60,60.25,55.86,56.00,6690900,0
20010510,56.40,56.40,55.41,55.51,3314900,0
20010511,56.25,56.25,55.43,55.97,3306400,0
20010514,55.90,56.65,55.80,55.93,3257600,0
20010515,55.90,56.25,55.77,56.25,2729500,0
20010516,55.05,57.52,55.05,56.90,7851800,0
20010517,57.10,57.25,56.20,56.60,6404600,0
20010518,56.84,56.85,55.80,56.00,5882400,0
20010521,56.20,56.60,54.85,55.29,9307300,0
20010522,55.30,55.50,54.76,54.94,5547700,0
20010523,54.95,55.20,53.90,54.26,7481500,0
20010524,53.95,53.95,51.93,53.50,13330100,0
20010525,53.80,54.30,53.21,54.20,4191300,0
20010528,54.20,54.20,54.20,54.20,0,0
20010529,54.45,55.10,53.88,54.16,6312400,0
20010530,54.38,55.03,54.32,54.89,5959500,0
20010531,54.10,54.57,53.73,54.24,6356000,0
20010601,55.20,56.60,54.90,56.25,6121900,0
20010604,56.50,57.08,56.05,56.99,4832700,0
20010605,56.96,58.09,56.41,57.91,5009600,0
20010606,57.85,57.85,56.15,56.60,4495600,0
20010607,56.75,57.25,56.50,56.68,21288900,0
20010608,55.67,56.67,55.00,56.46,5855500,0
20010611,56.60,56.63,55.70,56.08,3644300,0
20010612,56.15,56.30,55.05,55.30,4610500,0
20010613,55.45,56.49,55.15,56.00,3271500,0
20010614,56.01,56.79,56.01,56.10,2976900,0
20010615,56.01,57.09,55.30,55.50,77323200,0
20010618,55.41,55.99,54.30,55.06,5543900,0
20010619,55.40,55.57,54.60,54.95,4269200,0
20010620,54.75,55.24,54.60,55.16,5548400,0
20010621,55.05,55.41,54.45,55.36,4431700,0
20010622,54.50,54.64,53.64,54.36,5199600,0
20010625,54.20,54.71,53.25,53.88,3512000,0
20010626,52.90,53.40,52.76,53.24,4182100,0
20010627,53.00,53.05,51.90,52.10,4325600,0
20010628,52.05,53.25,51.80,52.70,5391000,0
20010629,53.40,53.60,51.60,52.30,6835200,0
20010702,52.85,53.75,52.85,53.47,3555600,0
20010703,54.00,54.10,53.41,53.58,2279700,0
20010704,53.58,53.58,53.58,53.58,0,0
20010705,53.65,53.70,52.90,53.19,3442600,0
20010706,53.60,53.60,52.49,53.10,15122600,0
20010709,53.80,54.22,53.34,53.97,3105600,0
20010710,54.00,54.50,53.45,54.50,3840100,0
20010711,54.30,54.30,52.96,53.37,4643200,0
20010712,53.10,53.10,51.60,52.38,7290600,0
20010713,52.38,53.87,52.35,52.76,5276200,0
20010716,52.70,52.95,51.85,52.24,3279900,0
20010717,52.30,53.45,51.85,53.02,7075100,0
