DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,47.46,49.50,47.30,48.22,2300000,0
20010103,48.22,48.60,46.20,46.70,1100000,0
20010104,46.60,46.80,45.04,45.88,1105000,0
20010105,45.80,45.80,44.80,44.98,830000,0
20010108,45.06,45.50,43.64,44.84,800000,0
20010109,45.08,46.08,43.96,44.00,985000,0
20010110,44.12,44.86,43.00,44.86,1320000,0
20010111,44.92,45.00,42.96,43.40,925000,0
20010112,43.30,43.96,42.84,43.80,890000,0
20010115,43.80,43.80,43.80,43.80,0,0
20010116,43.88,45.10,43.82,44.54,895000,0
20010117,45.20,45.66,44.80,45.10,425000,0
20010118,45.16,45.78,45.10,45.38,465000,0
20010119,45.52,45.60,44.76,44.84,305000,0
20010122,44.84,44.84,44.84,44.84,0,0
20010123,44.90,45.14,44.22,44.72,575000,0
20010124,44.56,44.62,44.18,44.32,365000,0
20010125,44.06,44.62,44.06,44.48,320000,0
20010126,44.64,44.82,44.40,44.48,395000,0
20010129,44.60,45.06,44.30,44.58,475000,0
20010130,44.58,45.56,44.34,45.52,700000,0
20010131,45.56,45.56,44.64,45.00,605000,0
20010201,45.00,46.00,44.92,46.00,955000,0
20010202,46.04,46.98,45.94,46.64,600000,0
20010205,46.64,46.87,45.50,46.02,820000,0
20010206,46.16,46.20,45.50,45.50,290000,0
20010207,45.44,45.66,45.00,45.00,415000,0
20010208,45.28,46.20,45.28,46.06,500000,0
20010209,46.06,46.24,45.74,45.84,450000,0
20010212,45.74,46.56,45.74,46.30,580000,0
20010213,46.50,46.96,46.38,46.96,910000,0
20010214,46.80,47.20,46.36,46.46,520000,0
20010215,47.24,47.96,46.20,46.44,1010000,0
20010216,46.50,46.64,46.32,46.56,460000,0
20010219,46.56,46.56,46.56,46.56,0,0
20010220,46.60,46.66,45.42,45.74,305000,0
20010221,45.74,46.38,45.50,45.68,335000,0
20010222,45.68,46.16,45.36,45.74,430000,0
20010223,45.60,45.82,45.40,45.50,345000,0
20010226,45.50,46.86,45.40,46.64,1190000,0
20010227,46.64,47.24,46.38,47.22,345000,0
20010228,47.30,47.34,46.56,46.78,865000,0
20010301,46.50,46.78,45.94,46.76,625000,0
20010302,46.76,47.88,46.12,46.42,780000,0
20010305,46.30,47.60,46.20,47.40,870000,0
20010306,47.20,47.38,47.00,47.38,455000,0
20010307,47.44,47.74,47.26,47.44,365000,0
20010308,47.44,47.96,47.30,47.72,260000,0
20010309,47.60,47.90,47.16,47.46,355000,0
20010312,48.00,48.00,46.04,46.32,1190000,0
20010313,46.20,46.62,45.98,46.12,690000,0
20010314,44.92,45.86,43.64,43.84,1030000,0
20010315,44.32,45.58,44.32,45.18,1025000,0
20010316,44.70,44.74,42.60,43.24,960000,0
20010319,42.80,43.40,42.18,43.22,600000,0
20010320,43.24,43.34,42.72,43.00,1230000,0
20010321,42.60,43.48,42.26,43.18,825000,0
20010322,42.50,43.06,41.70,42.88,1585000,0
20010323,43.32,44.36,43.20,44.36,850000,0
20010326,44.40,44.88,44.07,44.26,430000,0
