DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,463.50,464.60,448.30,452.30,1325080,0
20010103,452.30,492.60,451.20,492.00,3399170,0
20010104,493.70,513.90,492.00,498.70,2826530,0
20010105,494.80,497.60,470.20,480.80,2293000,0
20010108,480.30,484.80,472.40,478.10,1214300,0
20010109,478.10,481.90,466.90,467.40,1329410,0
20010110,466.20,487.00,464.60,483.10,1526640,0
20010111,483.60,495.30,481.40,492.60,1390470,0
20010112,490.30,490.90,468.50,475.80,1346470,0
20010115,475.80,475.80,475.80,475.80,0,0
20010116,470.70,491.50,465.70,489.80,1479220,0
20010117,488.10,492.00,475.20,481.90,1350750,0
20010118,483.10,485.80,478.10,485.80,1414940,0
20010119,485.80,491.50,483.60,487.00,1210410,0
20010122,489.80,494.80,474.70,482.50,1571470,0
20010123,485.80,496.50,481.90,491.50,1175280,0
20010124,494.30,504.30,488.60,499.80,1573880,0
20010125,501.50,507.20,488.10,495.30,1262170,0
20010126,496.00,499.30,488.60,494.30,1237170,0
20010129,498.80,505.10,496.10,503.30,948210,0
20010130,506.00,506.40,497.10,503.30,1210210,0
20010131,507.80,510.40,494.40,501.20,1559030,0
20010201,500.50,508.20,498.60,503.80,1031170,0
20010202,503.80,509.00,493.80,497.90,865460,0
20010205,504.60,507.30,498.40,505.50,896000,0
20010206,505.50,505.50,493.80,495.00,892830,0
20010207,499.60,500.00,485.40,488.10,1011920,0
20010208,491.60,493.50,482.60,485.70,972080,0
20010209,488.90,489.30,480.30,485.30,1129400,0
20010212,485.30,498.30,485.10,497.80,788880,0
20010213,498.30,502.40,487.10,490.10,1085930,0
20010214,491.10,492.40,480.30,481.70,1077070,0
20010215,483.90,491.10,480.90,485.40,981590,0
20010216,479.40,493.30,479.20,484.80,1120440,0
20010219,484.80,484.80,484.80,484.80,0,0
20010220,484.90,487.40,455.60,459.70,1362260,0
20010221,453.50,460.60,430.50,433.60,1835370,0
20010222,435.00,441.50,415.70,436.30,2191980,0
20010223,435.40,440.80,408.50,432.70,1772930,0
20010226,435.40,451.60,432.90,451.60,1339590,0
20010227,448.90,464.20,438.60,447.10,1629530,0
20010228,448.90,450.70,434.50,441.50,1469710,0
20010301,433.60,438.80,424.30,436.80,1447170,0
20010302,432.70,444.30,426.60,431.00,1398630,0
20010305,434.50,437.80,426.20,433.20,1201160,0
20010306,443.50,446.70,433.90,436.60,1219910,0
20010307,439.90,453.20,435.60,452.90,1000850,0
20010308,452.90,462.40,448.90,455.60,1109100,0
20010309,451.20,451.20,438.10,441.10,1090310,0
20010312,428.70,432.70,415.20,422.90,1782150,0
20010313,422.40,434.50,415.70,434.50,1990270,0
20010314,408.50,420.60,395.90,403.10,2535130,0
20010315,412.50,421.10,411.60,416.60,1766200,0
20010316,413.40,424.40,408.50,408.50,2023750,0
20010319,413.40,419.70,400.90,415.70,1308160,0
20010320,421.50,421.50,392.80,397.70,1696210,0
20010321,397.80,404.00,373.40,379.30,2109140,0
20010322,375.30,378.40,350.10,364.50,3046000,0
20010323,372.60,387.00,370.30,384.70,1957780,0
20010326,391.40,398.60,387.10,396.80,1384670,0
20010327,398.20,417.50,387.40,417.00,2087950,0
20010328,410.30,411.20,400.00,404.90,1438250,0
20010329,402.20,407.40,397.00,401.30,1119100,0
20010330,400.90,404.50,391.40,403.80,1717440,0
20010402,400.00,415.20,395.90,413.60,1566130,0
20010403,402.20,408.10,386.60,392.30,1508210,0
20010404,388.30,394.60,371.70,383.40,2094130,0
20010405,393.80,404.00,390.50,404.00,1628510,0
20010406,398.60,401.60,383.80,383.80,1656870,0
20010409,390.10,395.00,383.40,384.50,1116570,0
