DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,23.13,23.63,22.81,23.16,30618,0
20010103,22.38,23.34,21.78,23.25,124678,0
20010104,23.25,24.81,23.25,24.34,88726,0
20010105,24.25,24.25,22.66,22.94,279702,0
20010108,22.69,23.00,22.56,22.88,192740,0
20010109,22.88,22.88,22.44,22.84,37700,0
20010110,22.75,22.81,22.03,22.53,36198,0
20010111,22.69,22.69,22.06,22.66,33598,0
20010112,22.63,22.63,21.56,21.84,34380,0
20010115,21.84,21.84,21.84,21.84,0,0
20010116,21.88,22.34,21.53,22.34,136284,0
20010117,22.34,22.81,22.16,22.50,43810,0
20010118,20.94,21.03,20.25,20.88,90830,0
20010119,20.50,20.53,19.91,20.31,54924,0
20010122,20.31,20.31,20.31,20.31,0,0
20010123,20.13,21.00,20.09,20.81,56776,0
20010124,20.56,21.44,20.53,21.09,36702,0
20010125,21.44,22.00,21.22,21.63,110868,0
20010126,21.56,21.84,21.28,21.63,28314,0
20010129,21.97,22.75,21.52,21.67,23800000,0
20010130,21.84,23.05,21.39,22.63,4627400,0
20010131,22.20,22.50,22.00,22.13,3889000,0
20010201,22.24,22.25,21.85,22.17,2723200,0
20010202,22.13,22.46,21.95,22.14,4185200,0
20010205,22.00,22.19,21.86,21.90,7448400,0
20010206,21.92,22.03,21.66,21.76,2293200,0
20010207,21.77,21.94,21.69,21.81,1660400,0
20010208,20.94,21.88,20.94,21.59,1954000,0
20010209,21.54,21.63,21.25,21.50,3125800,0
20010212,21.63,21.92,21.57,21.57,8704600,0
20010213,21.58,22.08,21.58,21.63,2676600,0
20010214,21.98,22.25,21.44,21.46,4329400,0
20010215,21.98,22.50,21.95,22.06,3352200,0
20010216,21.96,22.34,21.75,21.83,3291400,0
20010219,21.83,21.83,21.83,21.83,0,0
20010220,21.70,21.70,20.90,20.90,4268200,0
20010221,21.01,21.14,20.45,20.48,4827200,0
20010222,20.70,20.73,20.10,20.34,3215400,0
20010223,20.34,20.38,19.88,20.05,6824200,0
20010226,20.34,20.90,20.28,20.82,1612000,0
20010227,20.77,21.33,20.77,21.25,3600200,0
20010228,21.18,21.59,20.50,20.80,2964600,0
20010301,20.81,21.38,20.80,21.00,3337000,0
20010302,21.13,21.73,21.07,21.34,2634000,0
20010305,21.83,22.35,21.65,22.17,3613200,0
20010306,22.54,22.60,22.07,22.25,3706000,0
20010307,22.95,23.41,22.55,23.40,6150200,0
20010308,23.50,24.00,23.48,23.90,7466600,0
20010309,23.88,23.88,23.15,23.42,4933800,0
20010312,22.75,23.40,22.39,22.48,4545000,0
20010313,22.50,23.11,22.44,23.02,3460200,0
20010314,22.35,22.75,22.28,22.39,4260400,0
20010315,22.43,22.60,22.20,22.50,2572400,0
20010316,22.77,22.77,22.13,22.30,5316800,0
20010319,22.06,22.65,22.00,22.57,2640600,0
20010320,22.45,22.78,21.88,21.93,4687800,0
20010321,21.63,21.63,20.77,21.09,5206800,0
20010322,20.98,20.99,20.08,20.68,4416000,0
20010323,20.93,20.99,20.27,20.89,4631800,0
20010326,21.27,21.88,21.13,21.38,3879200,0
20010327,21.45,22.40,21.24,22.40,4649000,0
20010328,22.40,22.75,21.78,22.75,14062400,0
20010329,22.20,22.77,21.63,22.31,6439600,0
20010330,22.21,22.47,21.89,22.20,3042200,0
20010402,22.30,22.84,21.91,22.22,4331600,0
20010403,21.98,21.98,20.75,21.08,6226800,0
20010404,20.98,21.97,20.95,21.77,4592800,0
20010405,21.77,23.00,21.77,22.89,3676600,0
20010406,22.52,22.55,21.94,22.27,3953400,0
20010409,22.35,22.83,22.28,22.49,3739800,0
20010410,22.55,23.50,22.50,22.85,5083200,0
20010411,23.00,23.05,22.46,22.57,3410200,0
20010412,22.50,23.50,22.50,23.50,2901000,0
20010416,23.16,23.62,22.81,23.38,3681800,0
20010417,23.23,23.25,22.73,22.88,5740800,0
20010418,22.95,24.50,22.83,24.23,7148400,0
20010419,24.00,24.00,23.49,23.84,3211000,0
20010420,23.50,24.11,23.43,23.93,2820200,0
20010423,24.13,24.20,23.88,24.13,3197000,0
20010424,24.25,24.58,24.10,24.15,4999000,0
20010425,24.17,25.01,23.77,25.00,5157200,0
20010426,25.00,25.20,24.56,24.67,4833800,0
20010427,24.88,25.42,24.75,25.16,3798400,0
20010430,25.17,25.73,25.10,25.10,14321400,0
20010501,25.10,25.50,24.78,25.39,42437800,0
20010502,25.50,25.50,24.70,25.14,4182400,0
20010503,24.92,25.10,24.47,25.02,2384800,0
20010504,24.53,25.30,24.53,25.27,4005600,0
20010507,25.05,26.06,25.05,25.75,36191600,0
20010508,25.90,26.13,25.83,25.92,4536600,0
20010509,25.93,26.35,25.82,26.00,3444000,0
20010510,26.15,27.00,26.08,26.72,5333800,0
20010511,26.80,26.95,26.49,26.60,5630800,0
20010514,26.50,26.60,26.20,26.41,16604400,0
20010515,26.00,27.13,25.90,26.57,5987200,0
20010516,26.38,28.25,26.38,27.95,6937600,0
20010517,27.75,28.01,27.63,27.63,7408200,0
20010518,27.63,27.73,27.16,27.63,34151800,0
20010521,27.25,27.85,27.10,27.85,4775200,0
20010522,27.85,28.25,27.74,28.10,4059800,0
