DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,30.83,31.33,30.37,30.41,3234000,0
20010103,31.50,31.50,28.90,29.25,5100000,0
20010104,29.43,29.43,27.13,27.21,8699400,0
20010105,27.68,28.44,27.63,28.02,4510600,0
20010108,28.03,28.85,28.03,28.64,4684000,0
20010109,28.83,29.26,28.19,29.17,4910800,0
20010110,29.00,29.06,28.49,28.78,2970400,0
20010111,28.85,28.85,28.17,28.30,3423200,0
20010112,28.30,28.64,27.78,28.17,2856800,0
20010115,28.17,28.17,28.17,28.17,0,0
20010116,28.17,28.44,27.74,28.17,3030200,0
20010117,28.17,28.17,27.19,27.51,2873000,0
20010118,27.50,28.26,27.06,27.67,3026200,0
20010119,27.67,27.93,27.00,27.57,2802600,0
20010122,27.57,27.88,27.17,27.63,2788800,0
20010123,27.75,28.35,27.65,28.09,2749200,0
20010124,27.89,28.46,27.26,28.27,2841400,0
20010125,27.88,28.58,27.38,28.39,2803800,0
20010126,28.49,28.76,27.68,27.74,3021600,0
20010129,27.75,27.81,27.13,27.43,2488600,0
20010130,27.49,28.86,27.44,28.57,3565800,0
20010131,28.45,29.24,27.76,29.23,3374200,0
20010201,29.23,29.92,29.23,29.72,4760600,0
20010202,29.75,30.05,29.15,29.58,3541000,0
20010205,29.58,29.90,29.05,29.12,3516400,0
20010206,29.22,29.58,28.83,29.22,2478400,0
20010207,28.22,28.90,27.97,28.88,10432400,0
20010208,29.00,29.24,28.47,29.15,5343400,0
20010209,29.23,29.24,28.81,28.89,2211800,0
20010212,28.89,29.00,27.98,28.62,3202000,0
20010213,28.62,28.63,28.02,28.22,3961200,0
20010214,28.22,28.22,27.40,27.44,4497000,0
20010215,27.30,27.83,27.16,27.59,3723600,0
20010216,28.34,28.90,28.32,28.83,4063600,0
20010219,28.83,28.83,28.83,28.83,0,0
20010220,28.95,29.32,28.83,29.22,2877200,0
20010221,29.09,29.19,28.36,28.78,3691200,0
20010222,29.05,29.32,28.39,28.83,4147400,0
20010223,28.70,28.75,27.93,28.42,2825800,0
20010226,28.02,28.47,27.91,28.30,2759600,0
20010227,28.27,28.90,28.23,28.58,3416000,0
20010228,28.70,28.91,28.51,28.73,2216600,0
20010301,28.61,28.70,27.86,28.00,2392000,0
20010302,27.93,28.48,27.93,28.28,3081000,0
20010305,28.32,28.51,27.95,28.47,2092800,0
20010306,28.47,28.47,28.02,28.13,2447200,0
20010307,27.83,28.75,27.83,28.31,3433200,0
20010308,28.58,29.34,28.39,29.19,3189000,0
20010309,29.19,29.24,28.32,28.66,2250200,0
20010312,28.34,28.70,27.58,27.66,2893800,0
20010313,27.68,27.68,26.88,27.44,2928400,0
20010314,27.32,27.44,26.78,26.99,2918400,0
20010315,26.99,26.99,25.91,26.71,4126200,0
20010316,26.03,26.88,26.03,26.38,4838800,0
20010319,26.27,26.43,25.97,26.00,2833600,0
20010320,26.00,26.75,25.98,26.11,4046600,0
20010321,26.03,26.08,24.99,24.99,4904600,0
20010322,24.69,24.93,23.60,24.82,6359800,0
20010323,24.69,25.20,24.48,25.06,5829600,0
20010326,25.50,25.89,25.19,25.83,4004000,0
20010327,25.81,27.10,25.72,26.86,5860200,0
20010328,26.86,27.06,26.15,26.96,3422000,0
20010329,26.88,26.88,26.08,26.37,3570800,0
20010330,26.37,27.05,26.16,26.89,2498000,0
20010402,26.95,27.41,26.47,26.69,2825400,0
20010403,26.61,26.67,25.83,25.98,3189400,0
20010404,25.86,26.67,25.44,26.30,3050200,0
20010405,26.51,27.00,25.93,27.00,2947000,0
20010406,26.51,26.59,25.35,26.15,3298600,0
20010409,25.30,25.99,25.30,25.35,5604200,0
20010410,25.10,25.42,24.99,25.08,4896800,0
20010411,25.08,25.10,24.62,24.94,4111600,0
20010412,25.16,25.89,25.06,25.89,3740800,0
20010416,26.03,26.25,25.74,25.96,2279200,0
20010417,25.64,25.91,25.42,25.73,3249400,0
20010418,25.83,25.94,25.06,25.18,6061600,0
20010419,25.79,25.91,25.47,25.58,6557000,0
20010420,25.61,26.10,25.25,25.93,5099400,0
20010423,26.03,26.26,25.72,25.81,3262600,0
20010424,25.69,25.96,25.43,25.57,3496600,0
20010425,25.57,26.11,25.47,26.05,2992000,0
20010426,26.11,26.67,25.86,26.25,4396000,0
20010427,26.59,27.25,26.48,27.16,3880600,0
20010430,27.48,27.77,26.97,27.25,3329000,0
20010501,27.58,27.86,27.08,27.56,5687400,0
20010502,27.45,27.67,26.94,27.33,4706200,0
20010503,27.33,27.48,26.94,27.25,2610600,0
20010504,27.28,27.80,27.18,27.72,1849400,0
20010507,27.75,27.99,27.70,27.91,1895000,0
20010508,28.01,28.06,27.48,27.95,2392000,0
20010509,28.06,28.23,27.77,28.00,1872000,0
20010510,28.18,28.31,28.00,28.31,2211200,0
20010511,28.50,28.67,28.14,28.38,1768400,0
20010514,28.48,28.49,28.23,28.40,2153200,0
20010515,28.40,28.46,27.58,27.67,4564600,0
20010516,27.77,28.59,27.50,28.56,4119400,0
20010517,28.72,28.82,28.10,28.33,2957400,0
20010518,28.33,28.45,27.82,28.01,2460400,0
20010521,27.89,28.20,27.67,28.11,2385200,0
20010522,27.79,27.94,27.41,27.43,3180800,0
20010523,27.42,27.94,27.42,27.71,3099800,0
20010524,27.65,28.01,27.58,27.91,1591400,0
20010525,27.79,27.94,27.53,27.71,1379600,0
20010528,27.71,27.71,27.71,27.71,0,0
20010529,27.71,28.40,27.67,28.30,2398200,0
20010530,28.25,28.35,27.78,28.08,2269400,0
20010531,27.94,28.02,27.55,27.64,3290200,0
20010601,27.69,28.04,27.42,27.94,1859800,0
20010604,28.06,28.10,27.58,28.04,1984600,0
20010605,28.14,28.50,27.93,28.40,2122400,0
20010606,28.52,28.82,28.34,28.52,3070000,0
20010607,28.65,28.92,28.58,28.67,2625000,0
20010608,28.65,28.77,28.35,28.73,2218600,0
20010611,28.74,28.74,28.50,28.70,1670200,0
20010612,28.75,28.82,28.40,28.71,2007000,0
20010613,28.45,28.59,28.20,28.25,2413400,0
20010614,28.23,28.38,27.86,28.17,1917000,0
20010615,28.17,28.55,28.00,28.25,5860800,0
20010618,28.25,28.40,28.01,28.26,2543000,0
20010619,28.25,28.45,28.06,28.39,2714200,0
20010620,28.28,29.17,28.28,28.89,2976000,0
20010621,28.99,29.77,28.72,29.77,4543800,0
20010622,29.48,29.48,28.77,28.97,3683400,0
20010625,29.01,29.08,28.23,28.75,3920200,0
20010626,28.59,29.62,28.51,29.62,4602400,0
20010627,29.52,29.65,29.24,29.58,2879600,0
20010628,29.65,29.77,29.44,29.75,2956400,0
20010629,29.75,29.77,28.74,28.79,6990000,0
20010702,28.79,29.39,28.79,29.27,4171000,0
20010703,29.28,29.50,28.98,29.41,1415000,0
20010704,29.41,29.41,29.41,29.41,0,0
20010705,29.33,29.33,28.82,29.10,2311200,0
20010706,29.10,29.14,28.69,28.81,2006200,0
20010709,28.81,28.83,28.31,28.51,3962600,0
20010710,28.58,28.58,27.82,27.94,5028800,0
20010711,28.06,28.08,26.50,26.97,8892400,0
20010712,27.06,27.13,26.35,26.78,6944600,0
20010713,26.48,27.01,26.35,26.94,4277400,0
20010716,26.89,27.67,26.84,27.25,3809600,0
20010717,27.50,27.59,27.27,27.48,3210600,0
20010718,27.23,27.47,26.84,26.98,4192800,0
20010719,27.23,27.36,26.84,27.03,3554000,0
20010720,27.03,27.40,27.03,27.24,2849800,0
20010723,26.59,26.82,25.96,26.67,5614600,0
20010724,26.59,26.64,26.22,26.42,3723200,0
20010725,26.38,26.65,26.33,26.55,2588200,0
20010726,26.55,26.59,26.14,26.40,4049400,0
20010727,26.45,26.45,26.11,26.35,3247200,0
20010730,26.35,26.55,26.11,26.44,3276400,0
20010731,26.40,26.84,26.39,26.45,5643800,0
20010801,26.52,26.55,25.72,25.84,3572400,0
20010802,25.96,26.18,25.79,25.83,3569000,0
20010803,25.95,26.16,25.75,26.06,2418800,0
20010806,25.92,26.01,25.51,25.81,2573800,0
20010807,26.03,26.28,25.66,25.84,2343600,0
20010808,25.82,26.21,25.65,25.86,3010200,0
20010809,25.86,26.33,25.79,26.11,4463800,0
20010810,26.23,26.45,26.06,26.11,3210600,0
20010813,26.23,26.86,26.20,26.72,2997400,0
20010814,26.72,26.93,26.50,26.65,2231000,0
20010815,26.65,26.79,26.49,26.54,2233200,0
20010816,26.69,27.05,26.65,27.01,3278000,0
20010817,27.06,27.23,26.89,26.98,2257000,0
20010820,26.85,27.16,26.79,27.06,1941400,0
20010821,27.11,27.35,26.97,27.08,3051200,0
20010822,27.18,27.52,26.90,27.42,3165600,0
20010823,27.42,27.43,27.03,27.32,3896000,0
20010824,27.32,27.36,27.10,27.26,3114600,0
20010827,27.26,27.26,26.92,27.01,3464600,0
20010828,27.14,27.14,26.69,26.70,2655400,0
20010829,26.82,26.82,26.50,26.59,1738800,0
20010830,26.62,26.79,26.34,26.50,2665800,0
20010831,26.18,26.75,26.18,26.42,1690800,0
20010903,26.42,26.42,26.42,26.42,0,0
20010904,26.48,27.01,26.36,26.69,2418800,0
20010905,26.75,27.42,26.36,27.19,6285400,0
20010906,27.19,27.52,27.09,27.48,3686200,0
20010907,27.59,27.68,27.22,27.33,5306200,0
20010910,27.25,28.02,27.08,27.94,4357800,0
20010911,27.94,27.94,27.94,27.94,0,0
20010917,27.69,28.06,27.25,28.01,5216400,0
20010918,28.45,28.55,27.94,28.31,5810400,0
20010919,28.31,28.31,27.52,27.79,6391400,0
20010920,27.48,27.51,26.59,26.76,4653800,0
20010921,25.82,26.11,25.15,25.69,7057800,0
20010924,25.99,26.70,25.99,26.61,3235800,0
20010925,27.08,27.20,26.84,27.14,4801800,0
20010926,27.50,27.77,27.18,27.67,4947800,0
20010927,27.67,28.33,27.58,28.29,4150800,0
20010928,28.29,28.42,27.97,28.42,4458400,0
20011001,28.18,28.25,27.65,28.01,4315000,0
20011002,27.82,28.06,27.69,28.06,2368400,0
20011003,27.82,27.92,27.08,27.69,4104200,0
20011004,27.67,27.75,27.25,27.40,2733200,0
20011005,27.40,28.31,27.31,28.23,3236400,0
20011008,28.06,28.07,27.58,27.80,1915200,0
20011009,27.86,28.06,27.58,27.94,1924200,0
20011010,27.82,28.50,27.74,28.30,2472600,0
20011011,28.31,28.48,27.84,28.14,2877400,0
20011012,28.16,28.23,27.67,28.01,2219800,0
20011015,28.03,28.14,27.69,27.86,1960600,0
20011016,27.40,28.01,27.03,27.93,4124200,0
20011017,27.97,27.97,27.45,27.70,3006800,0
20011018,27.45,28.25,27.38,28.11,2299800,0
20011019,28.11,28.47,28.06,28.39,3638400,0
20011022,28.35,29.11,28.31,29.00,2828200,0
20011023,28.92,28.92,28.50,28.66,2969400,0
20011024,28.61,28.91,28.42,28.63,3385800,0
20011025,28.51,28.87,27.98,28.83,2259200,0
20011026,28.71,28.76,28.25,28.64,3409000,0
20011029,28.58,28.60,27.85,28.20,4116000,0
20011030,27.78,28.44,27.78,28.28,2209800,0
20011031,28.19,28.30,27.94,28.16,2912000,0
20011101,28.03,28.36,27.82,28.27,4045400,0
20011102,28.27,28.64,28.08,28.64,3057800,0
20011105,28.76,28.94,28.52,28.66,2755000,0
20011106,28.57,28.88,28.42,28.82,2187200,0
20011107,28.82,29.06,28.60,28.71,1787400,0
20011108,28.66,28.76,28.12,28.27,3682600,0
20011109,28.39,28.44,28.00,28.08,3119200,0
20011112,28.10,28.10,27.53,27.81,3210600,0
20011113,28.08,28.36,27.95,28.33,2744800,0
20011114,28.33,28.36,28.08,28.26,2517800,0
20011115,28.19,28.67,28.19,28.58,3632000,0
20011116,28.47,28.83,28.39,28.66,2829200,0
20011119,28.74,28.85,28.47,28.69,2105800,0
20011120,28.44,28.83,28.44,28.72,2300600,0
20011121,28.66,28.88,28.51,28.67,1883400,0
20011122,28.67,28.67,28.67,28.67,0,0
20011123,28.61,28.76,28.42,28.70,967800,0
20011126,28.61,28.91,28.49,28.81,2501400,0
20011127,28.76,28.83,28.27,28.29,2843400,0
20011128,28.29,28.62,28.12,28.36,2011600,0
20011129,28.44,28.44,27.91,28.24,2637000,0
20011130,28.08,28.67,27.92,28.57,2587200,0
20011203,28.42,28.57,28.10,28.44,3405400,0
20011204,28.34,28.57,28.27,28.52,1698400,0
20011205,28.40,28.78,28.27,28.36,3583200,0
20011206,28.08,28.19,27.81,27.81,3876800,0
20011207,27.83,27.92,27.49,27.74,2746200,0
20011210,27.59,27.91,27.45,27.71,2972000,0
20011211,27.73,27.90,27.34,27.72,2862600,0
20011212,28.15,28.32,27.85,27.89,2743000,0
20011213,27.95,28.14,27.83,27.91,2299600,0
20011214,27.95,27.95,27.35,27.68,2470600,0
20011217,27.68,27.85,27.48,27.58,1914600,0
20011218,27.68,28.19,27.62,28.17,3061000,0
20011219,28.00,28.66,27.92,28.58,3389000,0
20011220,28.39,28.67,28.34,28.49,3269400,0
20011221,28.51,28.56,27.81,28.23,4628000,0
20011224,28.27,28.34,28.15,28.21,890200,0
20011226,28.17,28.64,28.16,28.42,1533800,0
20011227,28.34,28.49,28.27,28.47,1187800,0
20011228,28.47,28.54,28.16,28.46,2533000,0
20011231,28.39,28.58,28.17,28.27,2051200,0
20020102,28.02,28.27,27.73,28.20,2360400,0
20020103,28.08,28.11,27.84,28.11,2003200,0
20020104,27.99,27.99,27.23,27.53,4467600,0
20020107,27.29,27.43,27.12,27.24,3746800,0
20020108,27.36,27.53,27.29,27.42,6180800,0
20020109,27.68,27.68,27.42,27.53,3999000,0
20020110,27.58,27.58,27.02,27.12,2821800,0
20020111,27.12,27.40,26.99,27.06,2567400,0
20020114,26.88,27.66,26.88,27.33,2359200,0
20020115,27.36,27.99,27.36,27.83,2662000,0
20020116,27.75,28.03,27.63,27.85,3064200,0
20020117,27.70,28.04,27.58,27.95,1725600,0
20020118,27.85,28.05,27.75,27.98,1947600,0
20020121,27.98,27.98,27.98,27.98,0,0
20020122,27.81,27.90,27.51,27.78,2537600,0
20020123,27.69,27.87,27.36,27.65,3579600,0
20020124,27.63,27.72,27.42,27.45,2437800,0
20020125,27.48,27.90,27.35,27.70,2565200,0
20020128,27.55,27.77,27.33,27.74,2131800,0
20020129,27.58,27.69,27.25,27.26,3023400,0
20020130,27.14,27.74,27.10,27.55,3658000,0
20020131,27.63,28.07,27.38,28.07,3966800,0
20020201,28.07,28.17,27.65,28.07,2576600,0
20020204,28.07,28.24,27.55,27.66,2946800,0
20020205,26.40,27.67,26.26,27.48,10797000,0
20020206,27.38,27.38,26.96,27.19,5850800,0
20020207,27.13,27.13,26.60,26.73,6470200,0
20020208,26.61,26.73,26.37,26.72,4806400,0
20020211,26.67,26.76,26.52,26.59,3361400,0
20020212,26.64,26.87,26.57,26.81,4608400,0
20020213,26.93,27.06,26.61,27.06,2927600,0
20020214,26.89,27.11,26.81,27.03,2371800,0
20020215,27.01,27.69,26.99,27.50,3170000,0
20020218,27.50,27.50,27.50,27.50,0,0
20020219,27.60,27.60,27.13,27.31,2722200,0
20020220,27.31,27.68,27.04,27.59,2535200,0
20020221,27.67,27.92,27.49,27.50,3069200,0
20020222,27.42,28.14,27.29,27.84,3240800,0
20020225,28.09,28.18,27.58,27.97,2353800,0
20020226,27.97,27.97,27.52,27.81,2975600,0
20020227,27.90,27.92,27.52,27.69,3190200,0
20020228,27.55,27.87,27.33,27.49,4424400,0
20020301,27.60,27.94,27.52,27.92,2458200,0
20020304,27.97,27.97,27.42,27.68,2892200,0
20020305,27.38,27.40,26.75,27.18,4458200,0
20020306,27.28,27.60,27.08,27.45,3076400,0
20020307,27.38,27.38,26.64,26.78,4227600,0
20020308,26.76,26.91,26.45,26.68,4707800,0
20020311,26.61,26.64,26.19,26.57,3618400,0
20020312,26.44,27.14,26.39,27.14,4117800,0
20020313,27.14,27.17,26.70,26.86,3132400,0
20020314,26.91,26.97,26.76,26.79,2544200,0
20020315,26.91,27.50,26.88,27.49,5317600,0
20020318,27.50,27.82,27.33,27.71,3556000,0
20020319,27.75,28.31,27.75,27.93,5880200,0
20020320,27.99,28.13,27.90,27.90,2413200,0
20020321,27.90,28.02,27.60,27.81,2782800,0
20020322,27.69,28.05,27.65,27.94,2487000,0
20020325,27.84,27.85,27.53,27.54,2441600,0
20020326,27.65,28.01,27.53,27.83,3623800,0
20020327,27.92,28.24,27.80,28.15,2991600,0
20020328,27.99,28.25,27.97,28.07,2249400,0
20020401,27.94,27.99,27.63,27.80,8098600,0
20020402,27.84,28.04,27.67,27.91,2092600,0
20020403,27.84,27.90,27.51,27.74,2556000,0
20020404,27.69,28.21,27.69,28.18,3370200,0
20020405,28.23,28.25,28.01,28.17,2074800,0
20020408,28.07,28.28,28.02,28.25,2031000,0
20020409,28.24,28.31,27.94,28.17,2373800,0
20020410,28.11,28.74,27.99,28.68,4911000,0
20020411,28.56,28.67,28.16,28.19,3718400,0
20020412,28.19,28.91,28.19,28.84,2842600,0
20020415,28.90,28.90,28.31,28.42,2764600,0
20020416,28.33,28.70,28.21,28.66,4591000,0
20020417,28.66,28.88,28.28,28.36,5098400,0
20020418,26.54,27.40,26.08,26.50,23881000,0
20020419,26.91,26.91,26.52,26.72,10715200,0
20020422,26.83,27.05,26.52,26.83,5539400,0
20020423,26.87,27.27,26.75,27.06,4319800,0
20020424,27.06,27.36,27.06,27.25,8353400,0
20020425,27.25,27.46,26.98,27.42,4682600,0
20020426,27.37,27.41,27.14,27.14,4137800,0
20020429,27.02,27.21,26.59,26.59,3978600,0
20020430,26.36,26.68,26.11,26.11,5674200,0
20020501,26.24,26.56,26.24,26.39,4238000,0
20020502,26.41,27.06,26.31,27.00,5300600,0
20020503,27.00,27.17,26.82,26.88,4610600,0
20020506,26.98,27.43,26.92,27.18,4083200,0
20020507,27.30,27.47,27.06,27.08,3586000,0
20020508,27.27,27.29,26.94,27.29,4626800,0
20020509,27.22,27.51,27.01,27.05,2592200,0
20020510,27.06,27.40,26.99,27.35,2877000,0
20020513,27.25,27.51,27.23,27.40,2394800,0
20020514,27.40,27.49,27.23,27.42,3302000,0
20020515,27.34,27.44,27.13,27.35,3357800,0
20020516,27.35,27.50,27.19,27.42,3230800,0
20020517,27.34,27.44,26.89,27.11,3671400,0
20020520,27.00,27.25,26.93,27.02,2018400,0
20020521,27.12,27.17,26.60,26.64,2651600,0
20020522,26.43,26.69,26.39,26.65,4404200,0
20020523,26.68,26.70,26.17,26.58,3982200,0
20020524,26.58,26.63,26.26,26.34,3172000,0
20020527,26.34,26.34,26.34,26.34,0,0
20020528,26.22,26.33,25.62,25.73,4953800,0
20020529,25.69,25.84,25.27,25.50,5588000,0
20020530,25.52,25.79,25.33,25.57,6183800,0
20020531,25.72,26.85,25.70,26.70,7214600,0
20020603,26.58,27.05,26.58,26.63,4395000,0
20020604,26.63,26.91,26.48,26.59,4174400,0
20020605,26.48,27.47,26.36,27.39,6204400,0
20020606,27.40,27.55,27.13,27.17,5598600,0
20020607,27.09,27.32,26.77,27.17,3723600,0
20020610,26.80,26.94,26.39,26.57,7772800,0
20020611,26.80,26.83,26.16,26.16,3558800,0
20020612,26.31,26.66,26.19,26.53,5003200,0
20020613,26.36,26.51,25.94,26.01,2806600,0
20020614,25.69,25.94,25.47,25.89,4187000,0
20020617,26.11,26.48,26.05,26.47,2751600,0
20020618,26.45,26.48,25.98,26.08,3797800,0
20020619,25.92,26.18,25.81,26.01,3874400,0
20020620,25.69,25.86,25.42,25.42,5341600,0
20020621,25.25,25.47,24.58,24.87,6165600,0
20020624,24.75,25.03,23.68,24.46,8228800,0
20020625,24.36,24.39,23.50,23.63,6528200,0
20020626,23.35,24.51,22.61,24.47,11144000,0
20020627,24.88,25.55,24.71,25.40,10043800,0
20020628,25.27,25.50,24.65,24.66,6462200,0
20020701,24.75,25.59,24.74,25.46,4940400,0
20020702,25.23,25.27,24.83,24.91,5780200,0
20020703,24.88,25.06,24.41,24.71,4631800,0
20020704,24.71,24.71,24.71,24.71,0,0
20020705,25.08,25.49,24.83,25.49,2756200,0
20020708,25.42,25.61,25.14,25.27,2043400,0
20020709,25.08,25.25,24.56,24.66,3587800,0
20020710,24.64,24.74,24.40,24.41,3699400,0
20020711,24.39,24.90,24.19,24.89,6802200,0
20020712,24.93,25.00,24.06,24.38,6915800,0
20020715,24.14,24.19,22.65,24.02,5612600,0
20020716,23.77,23.80,22.88,23.50,3683000,0
20020717,23.90,23.94,23.08,23.23,5371400,0
20020718,23.28,23.67,22.67,22.75,4285000,0
20020719,22.17,22.49,21.70,21.85,6525400,0
20020722,22.07,22.94,21.95,22.33,5810400,0
20020723,22.69,23.75,22.36,23.25,7528200,0
20020724,23.25,24.98,23.20,24.73,8307000,0
20020725,24.84,25.10,24.16,25.02,5757600,0
20020726,25.23,25.23,24.63,24.85,7259400,0
20020729,25.23,25.97,25.07,25.95,5283000,0
20020730,25.67,25.72,25.15,25.37,5529600,0
20020731,25.37,25.43,24.67,25.40,6566000,0
20020801,25.37,26.20,25.27,25.92,6087200,0
20020802,25.92,26.18,25.43,25.89,5616200,0
20020805,25.82,25.86,25.11,25.18,4305400,0
20020806,25.31,25.98,25.31,25.55,6216200,0
20020807,25.55,25.97,25.48,25.97,4765600,0
20020808,26.07,26.83,26.02,26.77,3970800,0
20020809,26.73,26.81,26.32,26.74,3806800,0
20020812,26.46,26.68,26.32,26.57,2191200,0
20020813,26.21,26.81,26.11,26.33,4047000,0
20020814,26.45,26.92,26.01,26.92,2828800,0
20020815,26.92,27.10,26.72,27.10,2828400,0
20020816,26.66,26.95,26.46,26.68,3688600,0
20020819,26.68,27.16,26.53,27.15,2857200,0
20020820,27.03,27.08,26.63,26.85,2958800,0
20020821,26.91,27.15,26.84,27.06,2184800,0
20020822,27.10,27.20,26.85,27.02,2566200,0
20020823,27.02,27.08,26.51,26.59,2979400,0
20020826,26.51,26.56,26.09,26.34,3163600,0
20020827,26.46,26.83,26.22,26.74,3762400,0
20020828,26.75,26.89,26.37,26.54,2870200,0
20020829,26.31,26.81,26.21,26.53,3470200,0
20020830,26.53,27.27,26.51,26.98,2765600,0
20020902,26.98,26.98,26.98,26.98,0,0
20020903,26.49,26.76,26.03,26.06,4055800,0
20020904,26.17,27.01,26.15,26.96,4562200,0
20020905,27.20,28.32,26.97,27.76,11297000,0
20020906,27.69,27.80,27.07,27.15,5692000,0
20020909,26.95,27.77,26.93,27.62,3919400,0
20020910,27.52,27.80,27.40,27.55,3821400,0
20020911,27.77,27.89,27.60,27.65,2202200,0
20020912,27.40,27.52,26.99,27.15,2920200,0
20020913,27.00,27.57,26.75,27.45,2749600,0
20020916,27.57,27.80,27.23,27.73,3191800,0
20020917,27.82,28.01,27.09,27.10,5354200,0
20020918,26.83,27.15,26.66,26.98,2613000,0
20020919,26.75,26.88,26.37,26.42,3175200,0
20020920,26.36,26.49,26.10,26.36,5027600,0
20020923,26.36,26.68,26.07,26.45,2394400,0
20020924,26.46,26.52,25.97,25.97,4816000,0
20020925,26.10,26.68,26.03,26.55,4702800,0
20020926,26.61,27.52,26.54,27.46,4182400,0
20020927,27.48,27.52,26.95,27.06,6176000,0
20020930,26.81,27.08,26.58,26.68,6348000,0
20021001,26.70,27.16,26.70,27.10,4161200,0
20021002,26.70,27.25,26.27,26.78,3432200,0
20021003,26.70,26.98,26.56,26.80,3605200,0
20021004,26.85,27.03,26.44,26.79,3271000,0
20021007,26.75,27.52,26.75,27.08,5263000,0
20021008,27.20,27.61,26.96,27.35,4692600,0
20021009,27.00,27.25,26.86,27.00,4618800,0
20021010,26.98,27.48,26.85,27.38,5682400,0
20021011,27.48,28.10,27.25,27.90,4522000,0
20021014,27.65,28.19,27.65,28.19,4484000,0
20021015,28.56,28.56,27.15,27.74,9482600,0
20021016,27.67,27.79,27.05,27.10,5606800,0
20021017,27.84,27.86,27.22,27.55,4919400,0
20021018,27.20,28.32,27.20,28.03,4469800,0
20021021,28.03,28.68,27.84,28.64,3968000,0
20021022,28.32,28.34,27.80,28.00,4771000,0
20021023,28.00,28.27,27.66,28.08,3466600,0
20021024,28.41,28.41,27.41,27.49,2799600,0
20021025,27.33,27.71,27.17,27.67,2436000,0
20021028,27.64,27.64,26.94,27.17,4234000,0
20021029,27.39,27.69,26.95,27.63,3681800,0
20021030,27.81,27.92,27.58,27.76,2765200,0
20021031,27.76,27.78,27.14,27.28,3231200,0
20021101,27.40,27.40,26.84,27.29,4177800,0
20021104,27.24,27.30,26.34,26.44,5181800,0
20021105,26.57,27.04,26.57,27.04,3657000,0
20021106,26.97,26.99,26.27,26.50,4871600,0
20021107,26.50,26.82,26.40,26.71,4684600,0
20021108,26.79,27.26,26.59,26.81,2787400,0
20021111,27.04,27.19,26.49,26.76,3508200,0
20021112,26.94,27.01,26.11,26.24,4507400,0
20021113,26.17,26.37,25.91,26.09,6292000,0
20021114,26.17,26.26,25.83,26.26,4537800,0
20021115,26.26,26.34,25.88,26.34,5395200,0
20021118,26.37,26.47,26.07,26.12,2381200,0
20021119,26.00,26.51,26.00,26.19,3369600,0
20021120,26.37,26.50,25.77,26.36,3301200,0
20021121,26.36,26.36,25.30,25.50,7770200,0
20021122,25.70,26.12,25.55,25.58,6574200,0
20021125,25.71,25.73,25.25,25.33,4986600,0
20021126,25.31,25.58,25.06,25.38,4884400,0
20021127,25.38,26.05,25.28,25.75,3061800,0
20021128,25.75,25.75,25.75,25.75,0,0
20021129,25.73,25.73,25.46,25.50,1351600,0
20021202,25.50,25.55,25.31,25.50,3031600,0
20021203,25.63,25.91,25.60,25.65,3315800,0
20021204,25.73,26.49,25.73,26.35,4342200,0
20021205,26.35,26.62,26.07,26.08,3395800,0
20021206,26.08,26.53,26.01,26.53,3293200,0
20021207,26.53,26.53,26.53,26.53,0,0
20021208,26.53,26.53,26.53,26.53,0,0
20021209,26.58,26.69,26.32,26.62,3477600,0
20021210,26.63,26.86,26.42,26.84,2493200,0
20021211,26.84,26.84,26.34,26.56,3705000,0
20021212,26.52,26.61,26.04,26.33,2577600,0
20021213,26.34,26.34,25.90,26.25,4488600,0
20021216,26.19,26.28,25.88,26.17,4094200,0
20021217,26.00,26.18,25.83,26.01,4438800,0
20021218,25.95,26.22,25.93,26.13,2956600,0
20021219,26.00,26.09,25.70,25.75,3996600,0
20021220,25.80,26.12,25.80,26.00,4394400,0
20021223,26.00,26.34,25.90,26.12,1982200,0
20021224,26.06,26.13,25.92,26.02,822400,0
20021226,26.09,26.32,26.06,26.10,1456400,0
20021227,26.01,26.07,25.81,25.88,1432600,0
20021230,25.85,26.05,25.75,25.89,1802600,0
20021231,25.84,26.09,25.59,26.01,1996200,0
20030102,26.06,26.70,26.06,26.69,2932600,0
20030103,26.42,26.62,26.31,26.38,2150000,0
20030106,26.38,27.01,26.35,26.95,2743800,0
20030107,26.92,26.95,26.58,26.58,3488200,0
20030108,26.62,26.86,26.40,26.40,3868000,0
20030109,26.30,26.54,26.25,26.34,3377600,0
20030110,26.30,26.34,26.13,26.26,2800600,0
20030113,26.27,26.34,26.03,26.22,2739200,0
20030114,26.09,26.14,25.99,26.08,2297200,0
20030115,26.09,26.15,25.80,25.95,1827600,0
20030116,26.02,26.92,26.00,26.79,3488800,0
20030117,26.80,27.10,26.57,26.67,3719000,0
20030120,26.67,26.67,26.67,26.67,0,0
20030121,26.79,27.01,26.33,26.33,3211400,0
20030122,26.27,26.34,25.74,25.79,3720000,0
20030123,25.55,26.00,25.55,25.99,2562400,0
20030124,25.99,26.00,25.42,25.60,3267600,0
20030127,25.58,25.58,25.01,25.23,4140200,0
20030128,25.23,25.75,25.08,25.56,3323000,0
