DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,64.63,64.63,61.13,61.94,11394,0
20010103,61.25,68.75,60.50,67.00,19581,0
20010104,66.25,70.44,65.88,67.00,30034,0
20010105,61.63,64.94,61.63,64.50,17996,0
20010108,64.50,64.94,62.00,62.69,15532,0
20010109,63.19,63.81,60.31,60.75,11952,0
20010110,60.50,63.00,60.19,62.94,11293,0
20010111,62.94,66.31,62.94,63.63,11861,0
20010112,63.69,65.00,62.94,63.56,9171,0
20010115,63.56,63.56,63.56,63.56,0,0
20010116,64.25,66.13,63.50,64.69,12497,0
20010117,66.00,67.94,65.63,66.13,24857,0
20010118,65.19,66.50,62.06,63.50,38590,0
20010119,61.75,62.19,60.31,61.44,47115,0
20010122,61.44,61.44,61.44,61.44,0,0
20010123,62.38,63.69,61.06,63.00,13565,0
20010124,63.38,65.69,62.94,65.56,15524,0
20010125,65.31,65.50,64.00,64.44,10599,0
20010126,64.44,65.69,63.31,65.63,8791,0
20010129,67.00,70.03,67.00,67.78,11318900,0
20010130,67.78,69.09,65.00,65.00,3146800,0
20010131,64.50,64.50,62.05,63.02,1721500,0
20010201,63.10,63.10,62.00,62.54,1484900,0
20010202,62.70,63.99,61.56,61.83,1098900,0
20010205,61.76,62.00,61.05,61.76,2540300,0
20010206,61.72,62.55,60.58,61.86,1264800,0
20010207,61.86,63.67,61.52,61.52,915300,0
20010208,61.55,63.35,61.55,61.71,1156400,0
20010209,61.66,63.30,61.50,62.24,775900,0
20010212,62.00,63.75,62.00,63.75,991400,0
20010213,63.85,64.30,62.50,62.50,792700,0
20010214,62.51,62.75,60.00,60.10,1318700,0
20010215,60.64,61.35,58.32,61.02,2362900,0
20010216,61.10,61.90,60.40,60.50,4009500,0
20010219,60.50,60.50,60.50,60.50,0,0
20010220,59.85,60.50,57.55,57.90,1679800,0
20010221,57.85,57.86,55.40,55.85,1878700,0
20010222,55.75,55.75,50.61,54.87,6669100,0
20010223,54.81,56.49,53.31,56.15,1858400,0
20010226,56.48,56.79,54.13,55.50,1927200,0
20010227,55.40,58.30,54.19,57.89,2350500,0
20010228,58.10,58.10,54.10,55.25,1601100,0
20010301,55.79,55.80,54.38,55.80,1192700,0
20010302,55.80,58.00,55.35,57.25,1064900,0
20010305,58.75,58.75,56.15,56.76,1243800,0
20010306,57.01,59.10,56.52,57.25,774600,0
20010307,57.50,57.94,56.00,57.02,1471100,0
20010308,57.35,57.91,56.95,57.46,871800,0
20010309,57.46,57.50,55.88,56.66,934400,0
20010312,55.90,55.90,52.00,52.13,1675800,0
20010313,53.60,55.50,52.75,55.29,1578800,0
20010314,53.10,54.60,52.00,53.50,4332400,0
20010315,54.45,55.18,54.05,54.12,1896900,0
20010316,54.13,55.03,53.40,54.38,2449000,0
20010319,54.63,55.16,52.30,53.94,2105900,0
20010320,54.00,54.55,51.65,51.70,1621900,0
20010321,51.05,52.09,49.20,49.20,2658700,0
20010322,48.45,49.00,46.90,47.84,3264500,0
20010323,48.25,51.50,48.20,51.04,1686300,0
20010326,51.80,53.09,50.49,50.65,2899400,0
20010327,51.18,54.85,50.55,54.58,5713600,0
20010328,53.20,55.35,53.00,54.95,9799200,0
20010329,54.55,55.10,52.10,53.00,2753400,0
20010330,53.60,55.50,53.41,55.50,2286700,0
20010402,54.00,56.52,53.83,56.15,2654200,0
20010403,55.70,56.20,53.84,53.85,1769200,0
20010404,53.85,54.33,51.62,52.35,1287300,0
20010405,53.45,55.29,53.39,55.06,1285900,0
20010406,54.25,55.40,53.59,53.78,2668800,0
20010409,53.79,55.30,53.79,55.01,1386000,0
20010410,55.85,58.90,55.59,58.20,2223400,0
20010411,61.39,61.39,59.66,60.13,2817200,0
20010412,59.40,60.50,59.05,59.75,1870100,0
20010416,59.95,60.65,58.60,59.05,831800,0
20010417,59.05,60.90,58.39,58.39,1671400,0
20010418,60.65,66.26,60.65,66.00,3641900,0
20010419,64.50,65.52,62.52,63.77,3065400,0
20010420,62.40,63.20,62.30,62.90,2038400,0
20010423,63.00,63.20,61.81,62.36,3073200,0
20010424,62.30,62.75,60.90,61.40,1145500,0
20010425,61.40,62.19,60.53,61.96,1282600,0
20010426,61.85,63.50,61.72,62.84,972300,0
20010427,63.70,64.20,63.20,63.99,887100,0
20010430,64.10,64.95,62.52,62.86,788900,0
20010501,62.61,63.94,62.05,63.87,1526100,0
20010502,63.87,64.89,63.50,64.44,761200,0
20010503,64.20,64.75,63.00,63.42,1236800,0
20010504,61.89,65.60,61.75,65.11,1412700,0
20010507,65.18,65.50,64.84,65.08,1246800,0
20010508,64.50,64.87,64.02,64.20,1540900,0
20010509,63.30,63.75,62.80,63.75,1809400,0
20010510,64.50,65.05,63.60,63.80,3094200,0
20010511,63.80,64.90,63.49,63.98,1557200,0
20010514,63.83,64.45,62.90,63.24,6791500,0
20010515,63.40,64.54,62.43,64.33,957200,0
20010516,63.70,66.80,63.21,66.60,1849500,0
20010517,66.42,67.25,66.18,66.77,2103700,0
20010518,66.67,67.00,65.40,66.57,1769200,0
20010521,66.40,69.00,65.97,68.97,1112200,0
20010522,70.00,72.58,69.75,72.06,3452400,0
20010523,71.71,71.77,69.15,69.50,3664100,0
20010524,69.30,69.70,67.55,68.00,4339300,0
20010525,66.85,67.84,66.85,67.23,1515600,0
20010528,67.23,67.23,67.23,67.23,0,0
