DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,26.67,27.43,26.56,26.64,1802000,0
20010103,26.38,26.61,25.80,25.94,2144000,0
20010104,25.68,25.76,24.75,25.62,2109600,0
20010105,25.59,26.56,25.59,26.09,1686800,0
20010108,26.11,26.60,26.00,26.11,1085600,0
20010109,26.06,26.11,25.24,25.71,1689200,0
20010110,25.50,25.68,25.13,25.24,1440400,0
20010111,25.57,25.92,25.39,25.50,1664600,0
20010112,25.48,25.74,25.36,25.74,2106400,0
20010115,25.74,25.74,25.74,25.74,0,0
20010116,25.85,26.56,25.83,26.52,2806600,0
20010117,26.82,26.82,25.85,25.89,3795400,0
20010118,26.03,26.03,25.50,25.74,1421200,0
20010119,25.76,25.97,25.53,25.80,1902600,0
20010122,25.94,26.61,25.92,26.35,2136600,0
20010123,26.44,26.73,26.32,26.61,1791000,0
20010124,26.58,26.79,26.38,26.50,2180800,0
20010125,27.00,27.46,26.91,27.11,3027200,0
20010126,27.19,27.32,26.52,26.56,2564000,0
20010129,26.84,26.84,26.45,26.74,1317600,0
20010130,26.94,26.99,26.36,26.90,1386600,0
20010131,27.55,27.55,27.08,27.38,2275400,0
20010201,27.32,27.32,26.76,27.10,1615400,0
20010202,27.19,27.41,27.06,27.14,1620000,0
20010205,24.67,25.01,24.14,24.91,27004800,0
20010206,25.07,25.21,24.70,25.21,13557600,0
20010207,25.21,25.70,25.09,25.61,10664600,0
20010208,25.61,25.65,25.33,25.58,8347400,0
20010209,25.77,26.08,25.72,26.03,6257800,0
20010212,26.42,26.46,26.15,26.31,8131200,0
20010213,26.31,26.70,26.15,26.69,5917000,0
20010214,26.66,26.68,26.08,26.41,9193400,0
20010215,26.52,26.52,26.03,26.19,7771200,0
20010216,26.47,26.51,26.08,26.29,4586200,0
20010219,26.29,26.29,26.29,26.29,0,0
20010220,26.29,26.58,26.17,26.30,3058800,0
20010221,26.28,26.33,26.01,26.07,3753200,0
20010222,26.18,26.25,25.97,26.02,4429800,0
20010223,26.03,26.09,25.64,25.85,4268000,0
20010226,25.92,26.02,25.82,25.83,4147000,0
20010227,26.07,26.12,25.73,25.83,3179600,0
20010228,25.83,25.84,24.99,25.04,3936000,0
20010301,24.90,25.34,24.90,25.13,4411000,0
20010302,25.16,25.93,25.06,25.82,4264800,0
20010305,25.82,26.12,25.77,26.01,3684400,0
20010306,26.01,26.16,25.76,26.03,2927000,0
20010307,26.16,26.42,26.13,26.40,4871000,0
20010308,26.40,27.07,26.33,27.07,6760400,0
20010309,27.07,27.32,26.82,27.00,3963000,0
20010312,26.97,26.97,26.39,26.43,3431400,0
20010313,26.43,26.43,25.71,25.91,3038600,0
20010314,25.74,25.76,25.47,25.69,3414200,0
20010315,25.83,25.92,25.49,25.86,2676200,0
20010316,25.86,25.93,25.70,25.82,4405600,0
20010319,25.83,26.35,25.83,26.08,3952000,0
20010320,26.08,26.68,25.79,26.19,3867600,0
20010321,26.20,26.20,25.54,25.84,3648200,0
20010322,25.83,25.83,24.66,25.06,4546400,0
20010323,25.20,25.63,24.90,25.56,4881600,0
20010326,25.56,25.74,25.33,25.33,4033400,0
20010327,25.42,25.74,25.39,25.43,3707200,0
20010328,25.38,25.41,25.14,25.17,3668600,0
20010329,25.16,25.16,24.50,25.08,4781400,0
20010330,25.10,25.98,25.10,25.86,3446400,0
20010402,25.89,26.07,25.04,25.11,3763200,0
20010403,25.16,25.32,24.80,24.89,3549200,0
20010404,25.13,25.74,25.11,25.35,4300600,0
20010405,25.35,26.08,25.27,26.07,4700600,0
20010406,26.07,26.07,25.32,25.87,3440000,0
20010409,26.10,26.43,26.10,26.43,2773600,0
20010410,26.77,27.18,26.73,27.06,4523000,0
20010411,27.06,27.21,26.50,26.52,7496800,0
20010412,26.50,26.86,26.47,26.58,9021800,0
20010416,26.82,27.29,26.77,27.28,6021600,0
20010417,27.28,27.36,27.10,27.28,5786600,0
20010418,27.28,27.52,26.97,27.15,5497200,0
20010419,27.25,27.43,26.94,26.94,7566600,0
20010420,26.94,27.36,26.86,26.90,3488000,0
20010423,27.25,27.76,27.18,27.57,4718000,0
20010424,27.75,27.95,27.72,27.81,3402800,0
20010425,27.92,28.15,27.75,28.11,3675600,0
20010426,28.33,28.47,28.25,28.33,4765400,0
20010427,28.40,28.49,28.17,28.34,4260000,0
20010430,28.34,28.56,28.15,28.16,5240000,0
20010501,28.16,28.25,27.87,27.99,3704800,0
20010502,27.59,27.59,26.65,26.75,6105000,0
20010503,26.76,26.78,26.17,26.59,4095400,0
20010504,26.76,27.20,26.76,27.15,3396000,0
20010507,27.40,27.51,27.12,27.36,2430400,0
20010508,27.36,27.68,27.13,27.50,2449800,0
20010509,27.64,28.16,27.64,28.13,4584600,0
20010510,28.13,28.44,28.02,28.10,4241200,0
20010511,28.11,28.15,27.88,28.11,2401800,0
20010514,28.20,28.94,28.19,28.88,3414200,0
20010515,28.88,29.52,28.82,29.44,4639200,0
20010516,29.76,30.38,29.67,30.31,8926800,0
20010517,30.42,31.53,30.28,31.12,8814200,0
20010518,31.18,32.13,31.18,31.90,7283200,0
20010521,31.90,31.90,31.58,31.78,4691000,0
20010522,31.78,32.08,31.57,31.58,5277000,0
20010523,31.56,31.75,31.27,31.33,4878000,0
20010524,31.42,31.46,31.08,31.14,4864000,0
20010525,31.04,31.10,30.45,30.70,4113400,0
20010528,30.70,30.70,30.70,30.70,0,0
20010529,30.82,31.00,30.58,30.70,3631400,0
20010530,30.68,30.71,30.42,30.64,2753400,0
20010531,30.64,30.75,30.29,30.58,5349600,0
20010601,30.52,30.59,30.28,30.46,2703600,0
20010604,30.71,30.94,30.53,30.64,3907600,0
20010605,30.63,30.63,30.26,30.48,3189600,0
20010606,30.11,30.11,29.36,29.91,4119000,0
20010607,29.93,29.94,29.42,29.42,3555600,0
20010608,29.58,29.74,29.17,29.52,1998000,0
20010611,29.65,29.75,29.32,29.46,3147800,0
20010612,29.43,29.65,29.39,29.64,2952800,0
20010613,29.59,29.71,29.07,29.34,2764600,0
20010614,29.34,29.36,28.67,28.71,2204800,0
20010615,28.44,29.03,28.44,28.66,3600000,0
20010618,28.79,28.79,28.30,28.35,3587200,0
20010619,28.47,28.63,28.17,28.57,2397600,0
20010620,28.51,28.81,28.16,28.23,2966600,0
20010621,28.24,28.25,27.19,27.47,4586000,0
20010622,27.47,27.73,27.00,27.68,3700000,0
20010625,27.68,27.72,27.17,27.17,5031600,0
20010626,27.23,27.40,27.14,27.34,3113800,0
20010627,27.02,27.03,26.19,26.43,4686400,0
20010628,26.41,26.47,26.10,26.26,5656800,0
20010629,26.36,27.05,26.26,26.93,4330200,0
20010702,27.01,27.08,26.60,26.70,3644200,0
20010703,27.05,27.05,26.60,26.86,1517800,0
20010704,26.86,26.86,26.86,26.86,0,0
20010705,27.07,27.37,26.83,27.17,3928400,0
20010706,27.28,27.47,26.95,27.13,3405200,0
20010709,27.17,27.17,26.76,26.84,3529000,0
20010710,26.84,27.07,26.67,26.91,3889000,0
20010711,26.74,26.74,26.25,26.45,3017400,0
20010712,26.34,26.95,26.03,26.22,3354600,0
