DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,38.1250,38.5000,32.6250,33.3125,12017600,0
20010103,32.5625,41.7500,32.0000,41.3125,16399200,0
20010104,42.4375,44.5000,40.9063,41.8750,10923100,0
20010105,42.7500,42.9375,36.6250,36.6250,12224100,0
20010108,35.7500,36.5625,33.7500,36.5312,90751700,0
20010109,37.6875,38.7500,36.1250,37.1250,75165500,0
20010110,34.5000,37.3125,33.6875,36.2500,21244800,0
20010111,34.7500,39.5000,34.7500,39.1250,13581500,0
20010112,39.1875,39.7188,37.5000,38.0000,66252500,0
20010115,38.0000,38.0000,38.0000,38.0000,0,0
20010116,38.0000,38.7500,37.2500,38.5000,47705900,0
20010117,39.9375,41.1250,38.3125,39.0000,69179700,0
20010118,39.0625,42.0000,38.0000,41.8750,78072200,0
20010119,43.9063,43.9375,40.1875,40.3750,78128100,0
20010122,40.6875,42.3125,39.9375,41.4375,59539700,0
20010123,41.6875,42.8750,40.4375,42.6250,54703600,0
20010124,43.1250,43.3750,41.5000,42.5625,69733900,0
20010125,42.0000,42.4375,39.1875,39.3125,63910100,0
20010126,37.2500,38.3750,36.1875,38.3750,14835000,0
20010129,36.1250,38.0000,34.3125,37.1875,11616000,0
20010130,37.8125,38.9375,37.3750,38.0000,73927400,0
20010131,38.8125,39.5000,37.3125,37.4375,82910600,0
20010201,37.6250,38.5625,37.5000,38.2500,46217600,0
20010202,38.3750,38.6250,35.2500,35.5000,57287900,0
20010205,34.5625,34.9375,33.5000,34.5625,72698100,0
20010206,34.8125,36.1875,34.5625,35.7500,82523500,0
20010207,31.9375,32.6250,29.8750,31.0625,28073000,0
20010208,31.1875,31.6250,30.0000,30.0000,100587000,0
20010209,29.8438,30.0000,28.1250,28.1875,13327900,0
20010212,28.5625,29.8125,27.9375,29.5625,97093200,0
20010213,29.7500,34.1250,28.4375,28.5000,73713200,0
20010214,28.1250,29.9375,28.0625,29.3750,72547200,0
20010215,30.4375,31.4375,30.3125,30.8125,98860900,0
20010216,28.8125,29.0313,28.0000,28.2500,86271400,0
20010219,28.2500,28.2500,28.2500,28.2500,0,0
20010220,28.6250,28.6875,26.0625,26.0625,102654000,0
20010221,25.6875,26.6875,25.0625,25.1250,95480900,0
20010222,25.6875,26.8750,24.3125,26.4375,11387900,0
20010223,26.4375,27.0000,25.0313,26.8125,100547000,0
20010226,27.1875,27.2500,25.2500,26.0625,90974400,0
20010227,25.8125,26.6875,23.6875,24.0000,12401400,0
20010228,24.3750,24.8750,23.3125,23.6875,11698100,0
20010301,23.2500,24.5000,22.2500,24.5000,11865400,0
20010302,23.5000,23.8125,21.9375,22.1875,12261100,0
20010305,22.9375,23.2500,22.6250,23.0625,82104900,0
20010306,24.0625,24.9375,23.9375,24.0000,88520600,0
20010307,24.8125,24.9375,23.5625,24.0000,74312100,0
20010308,23.7500,24.7500,22.6250,22.8125,78078200,0
20010309,22.1250,22.1875,20.3125,20.7500,15921200,0
20010312,19.1250,19.8750,18.4375,18.8125,17696600,0
20010313,19.3750,21.4375,19.3750,21.3750,13453400,0
20010314,20.4375,21.0000,19.7500,20.2500,11984300,0
20010315,21.4375,21.4375,19.7500,20.3125,86714000,0
20010316,19.7500,20.2500,19.0625,19.9375,11233100,0
20010319,20.5000,20.8750,19.0000,20.8125,66714900,0
20010320,21.3125,21.9375,19.0625,19.0625,11965100,0
20010321,19.3125,20.0000,18.7500,19.2500,10788600,0
20010322,19.7500,19.8750,18.6562,19.7500,11846100,0
20010323,20.4375,20.5000,18.5000,18.7500,12793900,0
20010326,19.0625,19.1250,17.5625,17.8750,11943300,0
20010327,17.9400,18.6900,17.5000,18.1200,996400,0
20010328,16.7500,16.8100,15.4400,15.7500,18300500,0
20010329,15.6900,16.1900,15.0000,15.3100,14027400,0
20010330,15.5600,16.1300,15.0000,15.8100,98805500,0
20010402,15.6300,15.8100,15.0000,15.0600,73939200,0
20010403,14.8800,15.0000,13.5600,13.7500,13790300,0
20010404,14.0600,14.4400,13.1900,13.6300,15959000,0
20010405,14.7500,15.1300,14.0600,14.9400,11311300,0
20010406,14.7500,14.7500,13.3800,13.6300,97827700,0
20010409,14.1600,14.5000,13.7000,14.4900,75399100,0
20010410,14.9500,16.2500,14.9400,15.8600,11297800,0
20010411,17.5000,18.0000,16.6500,17.4000,15582500,0
20010412,17.2000,19.0000,16.6000,17.9800,86820400,0
20010416,17.6500,18.3400,15.1800,17.2000,1736300,0
20010417,15.9000,17.0700,15.8600,16.6500,17491500,0
20010418,17.8900,19.9400,17.2000,18.0000,13979300,0
20010419,18.3600,18.9900,18.0800,18.9300,92130700,0
20010420,18.8400,19.9800,18.4000,19.1500,81088400,0
20010423,18.5500,18.5500,16.8900,17.3300,85742300,0
20010424,17.2000,17.2300,16.2400,16.2600,82234900,0
20010425,16.0600,16.2200,15.4000,15.7300,90288400,0
20010426,16.1700,16.5800,15.0000,15.2100,99182800,0
20010427,15.9000,16.0000,15.2000,15.5900,62807500,0
20010430,16.5000,17.9800,15.7500,16.9800,88628400,0
20010501,17.1100,18.8700,16.3800,17.8000,83091100,0
20010502,19.2600,20.2200,18.2000,20.0000,16974200,0
20010503,19.3700,19.4500,18.1900,18.6600,101556000,0
20010504,17.9300,19.7500,17.7700,19.6400,103255000,0
20010507,19.8800,20.8700,18.8200,19.2500,12361900,0
20010508,20.5000,20.6200,19.8400,20.3600,16265100,0
20010509,18.9700,19.9800,18.7100,19.0900,11882400,0
20010510,19.5300,19.5600,18.7800,18.8300,63978200,0
20010511,18.9100,19.9200,18.6100,19.0500,44958200,0
20010514,18.9300,19.0400,18.0000,18.5700,40318700,0
20010515,18.6400,19.6400,18.4100,18.7400,86189000,0
20010516,18.4200,20.0300,18.2500,20.0000,90822600,0
20010517,20.0000,20.7300,18.8200,19.8600,99586200,0
20010518,19.7100,20.3300,19.6700,20.2000,73446600,0
20010521,20.3000,22.9200,20.2100,22.8700,14098600,0
20010522,23.4000,24.1300,22.1500,23.4800,14845700,0
20010523,23.0800,23.1100,22.3000,22.4300,73247900,0
20010524,22.4200,22.9700,20.7800,22.9100,79578000,0
20010525,22.9900,23.0400,21.1900,22.0500,46012400,0
20010528,22.0500,22.0500,22.0500,22.0500,0,0
20010529,21.7500,21.7500,20.3800,20.4600,66770800,0
20010530,19.8100,19.9000,18.8400,19.0000,81231400,0
20010531,19.0900,19.8000,19.0500,19.2600,55661400,0
20010601,19.5900,19.7500,18.0700,18.8500,72472600,0
20010604,19.0500,19.8000,19.0500,19.7300,52038000,0
20010605,20.2600,21.8800,20.2000,21.5400,87245800,0
20010606,21.2600,21.6200,20.0200,20.7600,56479600,0
20010607,20.4600,22.1300,20.2900,21.8200,52254200,0
20010608,21.2900,21.3600,20.3200,20.4900,51209100,0
20010611,20.3100,20.4300,18.8700,20.3800,49252900,0
20010612,19.9300,20.5500,19.2500,20.3700,57656100,0
