DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,29.91,29.91,28.47,28.59,53222,0
20010103,28.59,28.59,26.56,26.97,106614,0
20010104,27.13,27.50,24.75,25.50,114234,0
20010105,25.63,26.25,25.16,25.84,437894,0
20010108,26.13,26.53,25.75,26.44,66686,0
20010109,26.75,27.34,26.31,27.13,61736,0
20010110,27.06,28.06,26.84,27.97,58844,0
20010111,28.09,28.16,26.25,26.97,52116,0
20010112,26.81,26.91,26.47,26.75,108692,0
20010115,26.75,26.75,26.75,26.75,0,0
20010116,26.75,27.69,26.75,27.63,38464,0
20010117,27.72,27.94,27.13,27.41,42330,0
20010118,27.63,28.22,27.44,27.94,41928,0
20010119,27.91,27.91,27.03,27.22,44568,0
20010122,27.22,27.22,27.22,27.22,0,0
20010123,27.59,27.91,27.34,27.91,30198,0
20010124,27.91,28.50,27.78,28.47,45496,0
20010125,28.47,28.66,27.63,28.50,124452,0
20010126,28.50,29.16,28.41,29.16,38848,0
20010129,29.41,30.02,28.50,29.52,11839200,0
20010130,29.52,29.55,28.50,28.97,20958400,0
20010131,28.52,29.75,28.40,29.52,4452200,0
20010201,29.60,29.77,28.75,28.96,23218200,0
20010202,29.25,29.57,28.90,29.45,29285800,0
20010205,29.55,29.62,28.60,28.85,23292600,0
20010206,29.13,29.28,28.20,28.76,6100200,0
20010207,28.88,29.92,28.77,29.90,4265000,0
20010208,29.98,30.00,29.42,29.51,5032000,0
20010209,29.52,29.70,28.91,29.57,3568400,0
20010212,29.67,30.00,29.35,30.00,3471000,0
20010213,29.77,29.83,29.30,29.42,3044800,0
20010214,29.42,29.85,29.20,29.70,5322400,0
20010215,29.76,30.03,29.51,29.95,3758200,0
20010216,30.17,31.10,30.15,30.80,6632800,0
20010219,30.80,30.80,30.80,30.80,0,0
20010220,30.85,31.88,30.85,31.00,11291200,0
20010221,30.53,30.83,29.70,29.79,6550200,0
20010222,29.92,29.92,28.58,29.17,5473000,0
20010223,28.86,29.09,28.33,28.48,3306800,0
20010226,28.50,29.39,28.50,29.39,31902800,0
20010227,30.00,30.40,29.67,29.73,7093200,0
20010228,30.15,31.10,30.13,30.50,5724600,0
20010301,30.50,30.55,29.52,29.71,12241800,0
20010302,29.70,30.38,29.50,30.20,4435600,0
20010305,30.00,30.60,30.00,30.17,3273400,0
20010306,30.50,30.50,30.01,30.25,3141000,0
20010307,30.15,30.88,30.12,30.40,13256600,0
20010308,30.48,31.20,30.38,31.05,3161600,0
20010309,30.73,30.73,30.20,30.43,2578200,0
20010312,30.19,30.19,29.85,29.87,3542200,0
20010313,29.67,29.72,27.83,28.50,4912200,0
20010314,27.98,28.80,27.98,28.70,2874000,0
20010315,28.83,29.10,28.80,29.06,3151600,0
20010316,28.95,29.20,27.67,27.79,3887000,0
20010319,27.98,28.10,27.20,27.80,2954600,0
20010320,28.00,28.08,27.10,27.30,3017000,0
20010321,27.33,27.58,26.93,27.50,3815400,0
20010322,27.50,27.50,26.41,26.80,4850400,0
20010323,26.88,27.51,26.28,27.51,4032600,0
20010326,27.64,27.75,26.73,27.27,4781400,0
20010327,27.53,28.38,27.42,28.21,10511400,0
20010328,28.08,28.15,27.36,28.13,4194400,0
20010329,28.10,28.30,27.45,28.23,5622200,0
20010330,28.70,29.50,28.55,29.25,5340800,0
20010402,29.00,29.40,28.88,29.11,3619200,0
20010403,29.30,29.36,28.75,28.75,5502800,0
20010404,28.83,29.08,28.75,28.98,4933000,0
20010405,28.73,28.84,27.70,27.95,5203600,0
20010406,27.91,28.02,27.25,28.00,3795000,0
20010409,27.70,28.05,27.00,27.12,3451400,0
20010410,27.40,28.70,27.23,28.49,32076800,0
20010411,28.40,28.40,26.75,27.22,4629600,0
20010412,27.50,28.20,27.37,28.00,4001200,0
20010416,28.13,28.25,27.51,27.67,2050400,0
20010417,27.73,28.30,27.55,28.25,2410600,0
20010418,28.55,28.98,28.00,28.40,5292400,0
20010419,28.45,28.67,27.98,28.63,3827400,0
20010420,28.59,28.68,26.47,28.48,4067400,0
20010423,28.75,28.75,27.99,28.05,2725200,0
20010424,28.17,28.22,27.50,27.75,4278400,0
20010425,27.88,28.50,27.75,28.20,43469600,0
20010426,28.50,28.92,28.38,28.92,3337600,0
20010427,29.10,30.13,29.10,29.76,2502600,0
20010430,29.92,30.15,29.33,29.48,4726200,0
20010501,29.50,29.88,29.39,29.84,3091800,0
20010502,29.63,29.63,27.50,27.92,12648400,0
20010503,27.80,28.10,27.15,27.23,7898000,0
20010504,26.99,26.99,26.67,26.90,5527800,0
20010507,26.77,26.84,25.79,26.40,9345000,0
20010508,26.70,27.45,26.50,27.14,6799000,0
20010509,27.14,27.66,26.93,27.66,6405000,0
20010510,27.68,27.80,26.98,27.10,3892200,0
20010511,27.42,27.58,26.25,26.33,5916600,0
20010514,26.33,26.57,25.98,26.20,6236800,0
20010515,26.38,26.40,25.80,26.00,6448400,0
20010516,26.13,26.88,26.06,26.50,21486800,0
20010517,26.65,27.83,26.52,27.13,8323600,0
20010518,27.33,27.36,26.55,27.36,4582800,0
20010521,27.34,27.77,27.27,27.38,6253800,0
20010522,27.35,27.83,27.24,27.27,3166200,0
20010523,27.38,27.50,26.93,27.01,3589000,0
20010524,27.20,27.27,26.75,26.93,24341600,0
20010525,27.35,27.75,27.25,27.58,3172200,0
20010528,27.58,27.58,27.58,27.58,0,0
20010529,27.27,27.27,26.50,26.65,8248400,0
20010530,26.73,27.49,26.63,27.45,5988200,0
20010531,27.45,27.81,27.25,27.45,4084000,0
20010601,27.38,27.42,27.00,27.21,2591400,0
20010604,27.30,27.30,27.01,27.18,1846400,0
20010605,27.23,27.48,27.13,27.34,6411400,0
20010606,27.34,28.20,27.00,28.05,5828200,0
20010607,28.00,28.45,27.81,28.29,3100800,0
20010608,28.48,28.48,27.85,28.03,9374800,0
20010611,28.03,28.03,27.03,27.10,3971600,0
20010612,27.00,27.52,26.97,27.47,112263200,0
20010613,27.47,27.51,27.16,27.29,30488800,0
20010614,27.20,27.38,27.05,27.25,8267400,0
20010615,25.13,25.20,23.35,23.77,21760000,0
20010618,24.00,24.45,24.00,24.35,36364200,0
20010619,24.50,24.50,24.13,24.42,7723400,0
