DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,44.94,45.78,44.23,45.36,31140,0
20010103,44.71,45.89,36.51,45.54,33883,0
20010104,45.54,47.08,45.36,46.78,40052,0
20010105,46.01,46.31,45.12,45.54,28477,0
20010108,45.30,46.55,43.58,45.89,23285,0
20010109,44.94,45.00,43.82,44.11,290854,0
20010110,43.10,44.59,42.45,44.53,30320,0
20010111,43.16,43.58,41.74,42.75,47457,0
20010112,41.86,41.86,40.31,41.03,55211,0
20010115,41.03,41.03,41.03,41.03,0,0
20010116,41.26,42.51,40.61,42.51,32498,0
20010117,41.98,42.93,41.32,42.09,28643,0
20010118,41.74,42.09,40.49,41.56,30807,0
20010119,41.56,41.56,40.02,40.49,31749,0
20010122,40.49,40.49,40.49,40.49,0,0
20010123,40.61,40.91,39.72,39.96,34416,0
20010124,39.78,40.43,39.42,39.78,53902,0
20010125,39.66,40.85,39.18,39.90,52212,0
20010126,39.48,39.84,38.24,38.89,80952,0
20010129,39.10,40.94,38.95,40.82,3524100,0
20010130,40.37,42.84,38.95,41.56,6682500,0
20010131,41.04,41.79,39.93,41.52,5239500,0
20010201,41.52,42.03,40.32,41.08,3972000,0
20010202,40.57,41.69,40.02,40.13,18481000,0
20010205,40.13,41.59,40.13,41.55,4084600,0
20010206,41.11,41.71,40.89,41.20,2581900,0
20010207,40.87,41.36,40.38,40.84,2147000,0
20010208,40.70,41.08,39.81,40.13,3207800,0
20010209,39.90,40.91,39.42,39.89,2139300,0
20010212,39.37,40.79,39.35,40.32,2098300,0
20010213,39.66,41.20,39.54,40.70,3270600,0
20010214,40.47,40.89,40.00,40.36,3741900,0
20010215,40.94,41.95,40.88,41.75,3363900,0
20010216,41.70,41.99,40.43,41.04,2551400,0
20010219,41.04,41.04,41.04,41.04,0,0
20010220,41.13,41.90,40.38,40.51,2191400,0
20010221,40.08,40.47,39.41,40.31,4540600,0
20010222,40.32,41.42,40.01,41.12,3475300,0
20010223,41.12,41.12,39.55,39.93,2933300,0
20010226,40.23,42.29,40.15,42.29,3390900,0
20010227,41.80,42.06,41.32,42.01,3460300,0
20010228,42.24,42.42,40.86,41.50,3824700,0
20010301,41.50,42.07,41.23,41.55,3476200,0
20010302,42.08,42.97,41.37,42.48,3972600,0
20010305,42.98,44.07,42.65,44.03,3445600,0
20010306,44.12,44.17,43.47,43.73,2541800,0
20010307,43.70,45.48,43.58,45.41,5277500,0
20010308,45.22,45.74,44.23,45.60,2757100,0
20010309,45.27,45.45,44.28,44.74,2831600,0
20010312,44.31,44.62,43.14,43.20,3054300,0
20010313,43.53,43.62,41.97,43.09,2806600,0
20010314,41.95,42.49,41.23,41.52,3633200,0
20010315,42.55,42.55,40.61,40.85,2713300,0
20010316,40.62,41.64,40.22,40.22,4490600,0
20010319,40.56,41.90,40.56,41.46,2635600,0
20010320,41.46,42.86,40.51,41.32,35900000,0
20010321,41.51,41.61,40.13,40.70,3883500,0
20010322,40.07,40.09,37.87,38.93,6511800,0
20010323,39.18,40.06,38.52,38.98,3847800,0
20010326,39.04,40.28,38.91,39.78,3682900,0
20010327,40.13,40.62,39.49,40.32,4043700,0
20010328,40.11,40.13,38.96,39.41,3023300,0
20010329,39.41,39.94,38.90,39.62,2523400,0
20010330,39.01,39.14,38.06,38.66,5467000,0
20010402,39.49,40.13,38.69,38.91,7624600,0
20010403,39.14,39.14,38.00,38.24,16747600,0
20010404,38.22,39.64,38.22,39.39,3868000,0
20010405,40.51,41.39,40.14,41.32,3762100,0
20010406,41.23,41.23,39.71,40.28,2582700,0
20010409,40.55,41.89,40.51,41.28,2286300,0
20010410,41.37,43.57,41.37,43.34,4730500,0
20010411,43.34,43.34,42.56,42.79,3490100,0
20010412,42.75,43.36,42.47,43.36,2833400,0
20010416,43.32,44.08,42.34,43.12,2385400,0
20010417,42.58,42.97,42.08,42.92,1771200,0
