DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,28.13,28.44,27.63,27.94,64569,0
20010103,28.63,31.31,28.38,31.06,150021,0
20010104,31.00,33.44,30.88,31.94,103347,0
20010105,32.50,32.63,31.31,31.56,64097,0
20010108,31.50,31.56,29.56,30.13,48496,0
20010109,30.44,31.00,29.88,30.13,46844,0
20010110,30.19,30.56,29.88,30.31,32977,0
20010111,30.63,31.31,29.31,29.50,58404,0
20010112,30.13,31.88,29.81,31.56,82145,0
20010115,31.56,31.56,31.56,31.56,0,0
20010116,31.94,33.25,31.81,33.06,61312,0
20010117,32.69,34.00,32.50,33.31,62171,0
20010118,32.81,33.44,32.06,33.13,47636,0
20010119,33.00,33.44,32.38,32.69,65238,0
20010122,32.69,32.69,32.69,32.69,0,0
20010123,30.75,31.13,29.88,30.00,80566,0
20010124,30.44,31.06,29.88,30.50,80940,0
20010125,30.75,30.88,30.00,30.06,57871,0
20010126,29.94,29.94,29.31,29.88,87516,0
20010129,30.09,33.09,30.00,32.59,4631400,0
20010130,32.50,33.09,30.06,32.81,4639400,0
20010131,30.41,30.89,30.32,30.45,5046300,0
20010201,30.45,31.61,30.26,31.50,5804900,0
20010202,31.25,31.25,30.55,30.75,9622200,0
20010205,30.31,30.80,29.81,30.43,5971700,0
20010206,31.20,32.10,31.00,31.61,9082900,0
20010207,31.21,32.85,31.00,31.00,8053800,0
20010208,31.10,32.50,31.10,32.13,7018600,0
20010209,31.65,32.13,31.25,31.95,4922100,0
20010212,31.95,32.98,31.95,32.51,6050900,0
20010213,32.70,32.90,31.30,31.50,6066400,0
20010214,31.90,31.91,30.75,31.00,5385300,0
20010215,31.41,32.50,31.26,32.41,4575300,0
20010216,32.97,32.97,31.55,32.01,4496200,0
20010219,32.01,32.01,32.01,32.01,0,0
20010220,32.00,32.09,31.13,31.15,4889700,0
20010221,31.10,32.00,31.10,31.51,3802800,0
20010222,31.70,31.70,30.60,30.94,59300000,0
20010223,31.00,31.00,29.61,30.30,5505500,0
20010226,30.15,31.40,29.90,31.40,4282400,0
20010227,31.12,31.12,30.11,30.75,3933800,0
20010228,31.15,31.23,30.32,30.95,3609200,0
20010301,30.03,31.00,29.92,30.34,6241000,0
20010302,29.51,30.20,28.68,29.99,6629600,0
20010305,29.78,30.00,29.30,29.53,4263300,0
20010306,29.87,29.90,29.10,29.73,6967900,0
20010307,30.40,30.40,29.90,29.98,6038000,0
20010308,30.00,30.37,29.75,29.86,6339100,0
20010309,29.55,30.17,29.40,29.72,3343100,0
20010312,29.30,29.35,27.00,27.51,7089400,0
20010313,27.27,28.18,27.00,28.02,8449900,0
20010314,26.30,28.05,26.30,27.09,5933300,0
20010315,27.06,28.12,27.00,28.00,5182800,0
20010316,27.20,27.97,27.06,27.53,7992200,0
20010319,27.75,28.20,27.31,28.01,3488400,0
20010320,28.23,28.23,26.65,26.91,4253900,0
20010321,26.50,27.90,26.50,27.38,6904000,0
20010322,26.72,27.50,23.32,26.97,8902200,0
20010323,27.10,27.99,26.57,27.82,6850300,0
20010326,28.00,28.20,27.68,27.85,5046300,0
20010327,27.92,29.76,27.90,29.20,7527900,0
20010328,27.86,28.51,27.49,28.36,9016300,0
20010329,27.51,28.47,27.36,28.09,2774600,0
20010330,28.20,28.85,27.70,28.60,3953400,0
20010402,28.29,28.96,27.89,27.97,3886300,0
20010403,27.29,27.72,26.48,27.10,11608000,0
20010404,27.10,27.50,26.86,27.10,6273200,0
20010405,27.50,28.29,27.29,28.08,5311200,0
20010406,28.04,28.49,27.63,28.49,3958600,0
20010409,28.49,28.90,28.05,28.54,3303500,0
20010410,28.80,29.64,28.66,29.25,4551800,0
20010411,29.20,29.25,28.32,28.63,4379300,0
20010412,28.45,29.18,28.20,29.09,3015000,0
20010416,28.95,29.65,28.91,29.16,3209300,0
20010417,28.92,30.00,28.84,30.00,4771100,0
20010418,30.00,31.98,29.78,31.90,7481900,0
20010419,31.75,32.00,31.24,31.88,5028900,0
20010420,31.30,31.61,30.51,31.36,5141300,0
20010423,31.36,31.36,29.90,30.03,56100000,0
20010424,29.55,29.99,28.58,28.58,6064900,0
20010425,29.40,30.94,28.85,30.81,9017900,0
20010426,31.70,31.97,31.00,31.52,6054900,0
20010427,31.73,31.73,30.50,30.93,4801400,0
20010430,30.80,31.61,30.25,30.25,3368400,0
20010501,30.50,31.50,30.28,30.50,23632700,0
20010502,30.72,31.85,30.71,31.25,4321000,0
20010503,31.40,31.40,30.57,30.96,3980400,0
20010504,30.68,30.94,30.30,30.91,2242100,0
20010507,30.85,31.14,30.35,30.98,3515800,0
20010508,30.82,30.97,30.37,30.56,2643100,0
20010509,30.05,30.33,29.85,29.85,3394200,0
20010510,30.45,31.25,30.24,31.08,4976400,0
20010511,30.91,31.70,30.87,31.27,4097800,0
20010514,31.16,31.65,30.75,30.95,2740500,0
20010515,30.73,31.85,30.56,31.10,4621000,0
20010516,31.10,32.50,30.90,32.06,7710600,0
20010517,32.24,33.25,32.01,32.51,9389600,0
20010518,32.21,32.68,32.20,32.60,7702400,0
20010521,33.73,34.60,33.53,34.28,9730400,0
20010522,33.90,34.80,33.66,34.50,6777100,0
20010523,34.35,34.35,33.10,33.11,6053100,0
20010524,33.22,33.93,33.11,33.30,5777800,0
20010525,33.00,33.01,32.16,32.64,9680000,0
20010528,32.64,32.64,32.64,32.64,0,0
20010529,32.08,32.80,32.00,32.62,4315200,0
20010530,32.18,32.45,31.65,31.78,5614700,0
20010531,31.58,32.05,31.34,31.64,4893500,0
20010601,31.53,31.80,31.20,31.72,3476400,0
20010604,31.60,31.75,31.21,31.56,4420800,0
20010605,31.40,31.61,31.18,31.35,3648900,0
20010606,31.62,31.88,31.38,31.60,4023900,0
20010607,31.60,32.41,31.54,32.16,5756900,0
20010608,32.05,32.23,31.39,31.85,2896700,0
20010611,31.60,31.67,31.07,31.51,3096000,0
20010612,31.03,31.73,30.68,31.49,3475300,0
20010613,31.05,31.43,30.50,30.80,3438700,0
20010614,30.50,30.81,29.65,29.86,4123700,0
20010615,29.56,29.80,29.27,29.70,6944100,0
20010618,29.30,29.55,28.90,29.03,6091500,0
20010619,29.25,29.60,28.84,28.85,5137500,0
20010620,28.35,29.54,28.30,29.25,5969400,0
20010621,29.25,30.29,29.01,30.10,4514200,0
20010622,30.00,30.00,28.75,29.19,6002500,0
20010625,29.14,29.19,28.29,28.99,5857400,0
20010626,28.60,28.95,27.95,28.25,6350300,0
20010627,28.24,28.37,27.37,28.15,7594100,0
20010628,28.27,28.89,28.10,28.30,5000200,0
20010629,28.34,28.99,27.80,28.89,4438800,0
20010702,28.55,29.00,28.10,28.74,4247800,0
20010703,28.70,28.70,28.25,28.35,2810400,0
20010704,28.35,28.35,28.35,28.35,0,0
20010705,28.36,28.67,28.10,28.19,3510400,0
20010706,27.96,28.12,27.27,27.71,4455200,0
20010709,27.71,28.09,27.41,27.69,3538100,0
20010710,27.65,27.80,27.02,27.10,3642300,0
20010711,27.15,28.20,27.12,28.00,8016600,0
20010712,28.05,28.05,26.81,27.62,7173200,0
20010713,27.87,28.30,27.53,28.19,7649700,0
20010716,28.60,28.62,27.48,27.60,5702200,0
20010717,27.75,28.30,27.43,28.30,5274300,0
20010718,27.65,27.75,26.90,27.01,5743700,0
20010719,27.75,27.75,26.79,27.15,6030500,0
20010720,27.15,27.40,26.83,27.00,4407100,0
20010723,27.00,27.28,26.76,26.88,4595600,0
20010724,26.63,26.80,26.03,26.15,5075100,0
20010725,26.10,26.65,26.10,26.47,6198900,0
20010726,26.70,27.10,26.30,26.90,9225600,0
20010727,26.95,27.35,26.90,27.03,3955000,0
20010730,27.25,27.31,26.40,26.60,9574200,0
20010731,26.70,26.83,26.18,26.27,8185600,0
20010801,26.55,26.86,26.27,26.67,5756400,0
20010802,27.05,27.17,26.40,26.55,7626700,0
20010803,27.07,27.50,26.60,26.60,9317900,0
20010806,26.70,27.02,26.62,26.83,17658800,0
20010807,26.83,27.65,26.80,27.30,6003500,0
20010808,27.27,27.35,26.81,27.02,7196800,0
20010809,27.02,27.30,26.80,27.24,4980700,0
20010810,27.01,27.52,26.87,27.40,7221300,0
20010813,27.39,27.59,27.15,27.24,3463100,0
20010814,27.25,27.48,27.01,27.08,17307800,0
20010815,27.00,27.27,26.57,26.62,26623500,0
20010816,26.53,26.53,26.15,26.45,7364800,0
20010817,26.43,26.70,25.10,25.65,6606500,0
20010820,25.70,25.98,25.50,25.90,4151400,0
20010821,25.98,26.34,25.65,25.76,3957300,0
20010822,25.75,26.39,25.65,26.11,3530900,0
20010823,25.90,26.31,25.88,26.15,2757600,0
20010824,26.15,26.85,26.08,26.63,3358600,0
