DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,35.06,36.50,34.38,34.81,40339,0
20010103,35.44,35.88,34.00,35.19,36683,0
20010104,35.25,37.31,35.00,36.81,32321,0
20010105,34.75,35.50,33.88,34.75,26441,0
20010108,34.50,35.44,34.44,35.13,102195,0
20010109,34.69,34.69,32.69,32.94,30895,0
20010110,32.94,33.00,31.50,32.13,35604,0
20010111,32.25,32.25,30.56,31.38,37954,0
20010112,30.63,31.44,29.81,31.19,36744,0
20010115,31.19,31.19,31.19,31.19,0,0
20010116,31.00,32.31,30.56,32.13,29588,0
20010117,32.31,32.69,31.25,31.94,32103,0
20010118,31.94,32.25,31.44,32.06,140984,0
20010119,31.00,31.38,30.00,31.19,71585,0
20010122,31.19,31.19,31.19,31.19,0,0
20010123,31.00,32.06,30.88,31.63,30618,0
20010124,30.56,32.25,30.56,32.00,28995,0
20010125,31.75,32.81,31.69,32.38,144669,0
20010126,33.31,33.38,32.06,32.56,29187,0
20010129,34.28,34.34,32.00,32.44,19700000,0
20010130,32.88,35.09,32.00,33.94,3390400,0
20010131,33.50,34.57,33.11,34.30,6393600,0
20010201,34.30,34.86,33.10,33.95,5607200,0
20010202,34.11,34.25,33.50,33.63,4332500,0
20010205,33.75,33.77,33.05,33.33,4176600,0
20010206,33.30,33.38,32.18,32.60,4324600,0
20010207,33.25,34.00,32.60,33.65,3091200,0
20010208,33.50,33.50,32.00,32.11,8039100,0
20010209,32.00,32.45,32.00,32.21,1682000,0
20010212,32.30,32.30,31.45,31.50,18939500,0
20010213,31.50,32.39,31.10,31.32,40300000,0
20010214,31.80,32.00,31.30,31.42,1753900,0
20010215,31.29,32.70,31.27,32.54,3419100,0
20010216,32.15,32.37,31.32,31.56,2368800,0
20010219,31.56,31.56,31.56,31.56,0,0
20010220,31.80,32.30,30.60,30.94,2256500,0
20010221,31.10,31.26,30.00,30.93,6794000,0
20010222,30.37,31.10,30.00,30.37,2906400,0
20010223,30.30,30.50,28.98,29.45,3185600,0
20010226,30.00,31.45,29.93,31.44,3881800,0
20010227,30.76,32.39,30.75,32.25,4524100,0
20010228,32.97,33.03,32.16,32.81,3305500,0
20010301,32.81,33.49,32.60,33.28,5816200,0
20010302,33.28,34.60,33.28,34.12,6226600,0
20010305,34.15,35.06,33.95,33.95,2557900,0
20010306,33.40,34.27,32.76,33.50,2838800,0
20010307,33.01,34.76,33.01,34.60,2076300,0
20010308,34.80,36.03,34.06,35.89,2603200,0
20010309,35.81,35.84,35.21,35.65,8925000,0
20010312,35.00,35.46,33.50,33.86,2291400,0
20010313,34.00,34.00,32.30,32.65,3269000,0
20010314,31.80,32.44,31.76,31.85,2822500,0
20010315,32.32,32.36,31.25,31.30,2433700,0
20010316,30.50,32.25,30.50,31.74,3215200,0
20010319,31.99,32.99,31.75,32.76,2163000,0
20010320,32.80,33.40,31.44,31.44,4036900,0
20010321,31.44,31.44,30.05,30.75,9027900,0
20010322,30.50,30.80,28.91,30.16,3848200,0
20010323,30.30,31.24,29.36,31.07,3461300,0
20010326,31.75,32.00,31.26,31.51,12362600,0
20010327,31.80,32.48,31.50,32.15,2208000,0
20010328,31.91,32.29,31.00,32.25,7130600,0
20010329,31.60,32.62,31.30,31.63,20286900,0
20010330,31.63,31.99,31.26,31.51,1224800,0
20010402,32.20,33.50,31.77,32.06,30302000,0
20010403,32.06,32.20,31.04,31.32,1663100,0
20010404,31.25,32.45,31.25,31.97,2673900,0
20010405,32.98,33.60,32.52,33.57,3131300,0
20010406,33.60,33.60,32.17,32.90,2968100,0
20010409,32.91,34.17,32.90,33.05,1961500,0
20010410,33.05,34.40,33.05,34.23,3562800,0
20010411,34.95,34.95,33.00,33.32,19420400,0
20010412,33.25,33.50,32.43,33.43,2915400,0
20010416,33.47,34.70,30.30,33.64,1744500,0
20010417,33.03,33.99,32.88,33.91,1889300,0
20010418,34.15,36.38,33.50,35.67,3725400,0
20010419,35.51,35.51,34.50,34.75,2429100,0
20010420,35.35,35.47,34.36,34.50,2226300,0
20010423,34.00,34.48,33.60,34.17,2653400,0
20010424,34.00,34.45,33.45,33.79,4762300,0
20010425,33.21,33.40,32.88,33.09,2815900,0
20010426,33.10,34.54,33.02,34.20,12900100,0
20010427,34.40,35.00,34.23,34.28,9105700,0
20010430,34.33,34.61,33.00,33.45,2855000,0
20010501,33.46,34.44,33.25,34.00,3116400,0
20010502,34.36,35.50,34.20,35.29,5391100,0
20010503,35.29,35.51,34.27,35.40,3223300,0
20010504,35.10,36.70,35.00,36.61,3545600,0
20010507,37.00,37.48,36.00,36.20,4020700,0
20010508,36.40,37.30,36.34,37.25,2922800,0
20010509,37.25,38.00,36.79,37.32,3945900,0
20010510,37.50,38.07,37.43,37.82,6252300,0
20010511,37.57,37.57,36.65,37.35,15784700,0
20010514,37.35,37.68,36.99,37.54,2563100,0
20010515,37.00,37.85,36.90,37.48,22033700,0
20010516,36.88,39.60,36.88,39.58,3810300,0
20010517,38.96,39.67,38.91,39.26,2915100,0
20010518,38.91,39.01,37.97,38.60,14016400,0
20010521,38.00,38.61,37.75,38.61,2924600,0
20010522,38.05,38.16,37.67,37.98,2608200,0
20010523,37.72,38.14,37.30,37.38,2404100,0
20010524,37.05,37.22,35.20,36.20,4455300,0
20010525,36.20,36.63,35.80,35.94,1579100,0
20010528,35.94,35.94,35.94,35.94,0,0
20010529,36.35,36.65,36.06,36.22,2670900,0
20010530,35.60,36.17,35.25,35.39,2159200,0
20010531,35.39,35.98,35.25,35.81,6379700,0
20010601,35.81,35.90,34.50,35.65,2158300,0
20010604,35.80,36.47,35.56,36.47,1918900,0
20010605,36.22,36.60,35.31,36.20,2287600,0
20010606,36.35,36.89,36.10,36.21,1496800,0
20010607,36.06,37.08,36.06,36.81,2511000,0
20010608,36.00,36.57,36.00,36.27,976400,0
20010611,36.00,36.18,35.30,35.65,1483700,0
20010612,35.15,35.66,35.14,35.50,2065000,0
20010613,35.50,36.06,35.49,35.71,1421600,0
20010614,35.31,35.31,34.00,34.36,9529000,0
20010615,34.00,34.48,33.81,34.06,2460800,0
20010618,33.88,34.49,33.85,34.14,1528800,0
20010619,34.96,34.96,34.25,34.50,1185600,0
20010620,34.70,35.58,34.45,34.87,2456400,0
20010621,34.90,34.90,33.60,33.95,2843600,0
20010622,33.50,33.65,32.91,33.02,2509700,0
20010625,33.22,33.35,32.00,32.82,2612400,0
20010626,32.80,33.88,32.50,33.41,3729400,0
20010627,33.30,34.30,33.30,33.99,2659600,0
20010628,33.99,34.24,33.84,34.04,2297800,0
20010629,33.75,34.29,33.25,33.25,4236000,0
20010702,33.80,34.61,33.50,34.36,1778100,0
20010703,33.80,34.25,33.39,34.01,1941900,0
20010704,34.01,34.01,34.01,34.01,0,0
20010705,34.17,34.70,33.80,34.36,2147500,0
20010706,33.95,34.25,33.60,33.87,3398900,0
20010709,33.57,34.50,33.50,34.06,1936200,0
20010710,34.73,34.90,33.75,33.87,2173600,0
20010711,34.00,34.25,33.27,33.73,1845600,0
20010712,33.75,34.51,33.53,34.47,2759100,0
20010713,34.12,34.80,33.71,34.47,1758300,0
20010716,34.51,34.78,34.11,34.14,1374700,0
20010717,33.75,34.27,33.75,33.82,2065600,0
20010718,34.15,35.47,33.90,34.98,3220600,0
20010719,35.41,36.35,35.22,36.11,2975500,0
20010720,35.90,36.20,35.34,35.79,1883500,0
20010723,35.60,35.61,34.40,34.66,1148400,0
20010724,34.90,34.90,33.60,33.88,1681900,0
20010725,33.60,34.98,33.60,34.69,2486800,0
20010726,35.10,35.55,34.65,35.37,2162500,0
20010727,35.35,36.00,34.70,34.80,1512100,0
20010730,35.46,35.78,35.02,35.40,7370900,0
20010731,35.81,37.00,35.81,36.40,2844000,0
20010801,36.41,36.70,35.85,35.94,1657500,0
20010802,36.50,36.70,36.14,36.60,1177600,0
20010803,36.47,36.86,36.00,36.60,897600,0
20010806,36.35,36.78,35.61,35.85,1261500,0
20010807,35.53,35.65,34.70,35.03,14091500,0
20010808,35.00,35.22,34.50,34.52,1747400,0
20010809,34.63,34.95,34.40,34.62,3977800,0
20010810,34.30,35.46,34.00,35.35,2266600,0
20010813,35.18,35.74,35.11,35.49,13462100,0
20010814,35.40,35.76,34.75,35.14,7686600,0
20010815,35.35,36.05,35.29,35.50,10912900,0
20010816,35.40,35.56,34.60,34.75,2215100,0
20010817,34.40,34.90,34.34,34.56,41330000,0
20010820,34.00,34.44,33.77,34.44,2611300,0
20010821,34.69,35.83,34.48,34.82,2006100,0
20010822,34.70,34.71,34.00,34.45,1989200,0
20010823,34.53,34.79,34.05,34.75,24999200,0
20010824,35.30,36.20,34.91,36.06,27460600,0
20010827,36.45,36.85,36.00,36.01,2278100,0
20010828,35.51,35.90,35.20,35.40,23376700,0
20010829,35.60,35.94,35.00,35.11,1017500,0
20010830,35.25,35.69,34.81,34.84,6271700,0
20010831,34.84,35.39,34.73,35.06,1962500,0
20010903,35.06,35.06,35.06,35.06,0,0
20010904,35.06,36.28,34.85,36.04,2475900,0
20010905,35.60,35.61,35.00,35.45,2752300,0
20010906,34.83,35.18,34.76,35.01,1957000,0
20010907,35.00,35.20,34.61,34.77,16826400,0
20010910,34.40,34.76,34.08,34.12,2034100,0
20010911,34.12,34.12,34.12,34.12,0,0
20010917,31.95,31.95,30.28,30.60,4460800,0
20010918,30.41,31.34,30.41,30.84,2925000,0
20010919,31.47,31.50,30.01,30.54,3279200,0
