DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,30.00,30.85,29.20,29.50,12278,0
20010103,29.88,29.95,28.07,28.13,14664,0
20010104,28.02,28.03,26.27,26.91,24724,0
20010105,27.00,29.13,27.00,28.95,20730,0
20010108,29.05,29.83,28.44,29.34,18584,0
20010109,29.50,29.90,28.10,28.38,0,0
20010110,28.75,29.35,28.67,29.07,14620,0
20010111,29.09,29.72,29.05,29.52,12440,0
20010112,29.65,29.65,28.33,28.57,16196,0
20010115,28.57,28.57,28.57,28.57,0,0
20010116,29.63,29.73,28.92,29.72,20632,0
20010117,29.45,29.45,28.75,28.94,22544,0
20010118,28.94,28.94,26.95,27.51,34288,0
20010119,27.41,28.15,26.81,27.50,114718,0
20010122,27.50,27.50,27.50,27.50,0,0
20010123,27.72,28.85,27.70,28.41,16302,0
20010124,28.41,29.30,28.41,28.83,0,0
20010125,29.05,29.75,29.05,29.57,10736,0
20010126,29.75,29.94,28.93,29.22,0,0
20010129,29.12,29.12,28.24,28.24,1143800,0
20010130,28.05,28.07,27.63,27.92,61234,0
20010131,27.92,28.48,27.35,27.45,38290,0
20010201,27.58,27.67,26.20,26.89,125894,0
20010202,26.70,27.95,26.70,27.82,320884,0
20010205,27.73,28.95,27.73,28.91,39144,0
20010206,29.00,29.08,28.51,29.05,16336,0
20010207,29.24,29.62,28.66,29.50,132510,0
20010208,29.80,29.80,29.32,29.33,14076,0
20010209,29.33,29.90,29.30,29.85,13104,0
20010212,29.88,29.88,29.25,29.48,9172,0
20010213,29.13,29.75,29.10,29.50,14580,0
20010214,29.80,29.96,28.95,29.15,13240,0
20010215,28.53,29.13,28.33,28.86,11668,0
20010216,29.25,29.55,28.52,28.81,14286,0
20010219,28.81,28.81,28.81,28.81,0,0
20010220,28.95,29.40,28.92,29.30,11322,0
20010221,29.70,29.88,28.60,28.60,20884,0
20010222,29.38,29.38,28.25,28.90,12138,0
20010223,28.91,29.08,28.11,28.16,9882,0
20010226,27.88,28.99,27.88,28.85,1680858,0
20010227,28.85,29.38,28.80,29.26,217048,0
20010228,29.63,29.63,28.40,28.50,19488,0
20010301,29.00,29.42,28.53,29.37,49484,0
20010302,29.58,29.99,29.30,29.50,21700,0
20010305,29.75,30.42,29.73,30.24,115370,0
20010306,30.25,30.60,30.08,30.58,15476,0
20010307,31.25,32.05,31.25,31.79,28938,0
20010308,32.00,32.95,31.60,32.60,225526,0
20010309,32.63,33.38,32.50,33.15,61562,0
20010312,32.75,32.75,31.63,31.98,45888,0
20010313,32.00,32.13,30.50,31.50,24390,0
20010314,31.00,31.51,30.55,30.98,11432,0
20010315,31.20,31.20,30.45,30.84,8842,0
20010316,30.84,31.15,30.75,30.84,17870,0
20010319,31.25,31.70,31.00,31.69,21360,0
20010320,31.55,32.75,31.55,32.02,309512,0
20010321,31.95,32.01,31.20,31.44,11904,0
20010322,31.31,31.31,29.08,29.81,20058,0
20010323,29.81,30.50,29.76,30.00,33596,0
20010326,30.25,30.63,29.99,30.00,8628,0
20010327,30.00,30.38,29.05,29.11,77402,0
20010328,29.00,29.70,28.58,29.27,14450,0
20010329,28.75,29.00,28.12,28.22,69524,0
20010330,28.00,29.58,28.00,29.10,21094,0
20010402,28.91,28.95,27.57,27.88,15860,0
20010403,28.35,28.35,26.25,26.25,27962,0
20010404,26.45,27.60,26.20,27.55,37246,0
20010405,27.52,28.23,27.02,28.17,13788,0
20010406,28.10,28.80,27.70,28.60,29012,0
20010409,28.73,29.80,28.73,29.75,31226,0
20010410,30.25,30.64,29.91,30.27,114452,0
20010411,30.42,30.45,29.33,29.50,1100184,0
20010412,29.75,30.25,29.25,29.50,34508,0
20010416,29.85,30.12,29.45,30.12,14602,0
20010417,29.88,30.22,29.58,30.02,110108,0
20010418,30.00,30.02,29.00,29.19,97928,0
20010419,29.27,29.40,27.59,27.75,163158,0
20010420,28.10,28.70,27.60,27.62,42178,0
20010423,27.95,29.00,27.89,28.97,18406,0
20010424,29.25,29.49,28.80,28.96,6148,0
20010425,29.19,29.85,28.87,29.45,147828,0
20010426,29.75,29.94,29.64,29.65,235402,0
20010427,29.65,29.65,29.00,29.51,354216,0
20010430,29.51,29.99,29.15,29.61,34526,0
20010501,29.60,29.63,28.55,28.84,50118,0
20010502,28.25,28.25,27.38,27.42,42114,0
20010503,27.42,27.42,26.18,26.53,45456,0
20010504,26.82,28.00,26.75,28.00,18800,0
20010507,28.25,28.67,27.95,28.12,58074,0
20010508,28.25,28.55,27.75,28.55,211224,0
20010509,28.59,28.83,28.59,28.75,26416,0
20010510,28.92,28.92,28.40,28.51,28070,0
20010511,28.51,28.52,28.05,28.34,10764,0
20010514,28.45,29.15,28.45,29.11,150336,0
20010515,29.13,30.17,29.13,30.09,40504,0
20010516,30.15,31.05,30.10,30.45,31340,0
20010517,30.50,30.57,29.90,30.25,29232,0
20010518,30.30,31.17,30.30,31.00,47626,0
20010521,31.10,31.33,30.92,31.21,15452,0
20010522,31.30,31.30,30.60,30.91,202676,0
20010523,30.75,30.75,30.33,30.48,74774,0
20010524,30.48,30.48,29.81,29.86,16132,0
20010525,29.86,29.86,29.30,29.35,108712,0
20010528,29.35,29.35,29.35,29.35,0,0
20010529,29.45,29.75,28.75,28.93,9716,0
20010530,29.00,29.30,28.40,28.70,60088,0
20010531,28.70,29.30,28.69,29.10,8440,0
20010601,29.50,29.60,28.95,29.42,49254,0
20010604,29.75,30.13,29.61,29.78,50794,0
20010605,29.67,29.75,29.25,29.35,6118,0
20010606,29.25,29.25,28.25,28.50,12578,0
20010607,28.20,28.30,27.65,27.94,12626,0
20010608,28.50,28.50,27.55,27.95,10634,0
20010611,27.95,28.23,27.65,27.69,12952,0
20010612,28.00,29.10,27.85,28.87,30724,0
20010613,28.85,28.93,27.95,28.06,11180,0
20010614,28.17,28.17,27.08,27.21,18268,0
20010615,27.08,27.77,27.00,27.64,10446,0
20010618,27.67,27.67,26.69,27.10,10858,0
20010619,26.90,27.05,26.30,26.63,6780,0
20010620,26.60,27.13,25.83,25.85,15324,0
20010621,25.85,26.00,24.25,24.56,179074,0
20010622,24.58,25.78,24.58,25.75,321712,0
20010625,25.38,25.98,25.15,25.47,17012,0
20010626,25.70,26.13,25.41,25.95,15160,0
20010627,25.75,26.00,25.36,25.61,33618,0
20010628,25.10,25.55,24.95,25.32,88328,0
20010629,25.42,26.65,25.41,26.10,178930,0
20010702,26.37,26.37,25.40,25.45,46482,0
20010703,25.55,25.55,25.33,25.50,13384,0
20010704,25.50,25.50,25.50,25.50,0,0
20010705,25.50,26.38,25.50,25.76,356350,0
20010706,25.85,26.18,25.38,26.07,92356,0
20010709,26.00,26.08,25.15,25.25,121558,0
20010710,25.50,25.65,25.17,25.40,474720,0
20010711,25.50,25.50,24.90,25.16,44358,0
20010712,25.33,25.50,25.05,25.42,127508,0
20010713,25.42,25.94,25.42,25.74,17002,0
20010716,25.75,25.89,24.80,24.86,94784,0
20010717,25.02,25.10,24.00,24.41,120488,0
20010718,24.15,24.17,23.60,23.95,34320,0
20010719,24.00,24.35,23.85,24.06,118998,0
20010720,24.25,25.14,24.25,25.01,26448,0
20010723,25.17,25.90,25.17,25.56,17148,0
20010724,25.60,25.60,24.57,24.76,92220,0
20010725,24.85,25.97,24.22,25.81,58580,0
20010726,25.65,26.25,25.63,26.13,20196,0
20010727,26.17,27.35,25.65,27.20,53658,0
20010730,27.43,27.44,26.66,26.75,34006,0
20010731,27.30,27.63,26.63,27.13,28558,0
20010801,26.75,27.56,26.50,26.70,73810,0
20010802,26.60,27.25,26.50,26.83,24022,0
20010803,26.58,26.70,25.83,25.95,30052,0
20010806,25.95,26.15,25.70,25.95,31298,0
20010807,26.09,26.28,25.55,25.65,228820,0
20010808,25.75,25.75,24.50,24.57,13994,0
20010809,24.58,25.00,24.13,24.90,12810,0
20010810,24.75,25.38,24.70,24.93,5368,0
20010813,25.00,25.47,25.00,25.13,4856,0
20010814,23.50,25.45,23.38,25.38,159262,0
20010815,25.23,26.35,25.00,26.33,52728,0
20010816,26.23,26.30,25.88,26.15,72832,0
20010817,26.05,26.09,25.76,26.00,55212,0
20010820,25.94,25.94,24.99,25.07,20452,0
20010821,25.02,25.17,24.93,25.00,11850,0
20010822,25.10,25.48,24.36,24.50,33046,0
20010823,24.50,24.65,24.25,24.51,11956,0
20010824,24.55,24.55,24.20,24.47,11246,0
20010827,24.48,24.62,24.27,24.52,8836,0
20010828,24.60,24.62,23.80,23.83,302384,0
20010829,24.00,24.35,23.39,23.50,33236,0
20010830,23.50,23.70,23.15,23.50,52278,0
20010831,23.50,23.70,23.13,23.15,16132,0
20010903,23.15,23.15,23.15,23.15,0,0
20010904,22.50,22.50,21.80,21.93,119526,0
20010905,21.93,21.93,21.05,21.50,40846,0
20010906,21.50,21.75,21.04,21.45,99230,0
20010907,21.33,21.75,21.33,21.38,53946,0
20010910,21.13,21.83,21.13,21.69,148308,0
20010911,21.69,21.69,21.69,21.69,0,0
20010917,21.88,22.08,20.92,21.46,32452,0
20010918,21.46,21.46,20.00,20.01,13800,0
20010919,20.01,20.10,18.13,18.90,47444,0
20010920,18.73,18.84,17.83,18.33,150914,0
20010921,17.80,19.10,17.63,18.67,26924,0
20010924,18.25,18.30,16.13,16.55,68722,0
20010925,16.63,16.67,15.75,16.32,95764,0
20010926,16.67,16.95,15.50,15.63,52794,0
20010927,15.58,16.66,15.27,16.55,58208,0
