DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,3.4163,3.4733,2.9156,3.0614,44931721,0
20010103,2.9916,4.0058,2.9916,3.9899,66993289,0
20010104,3.7839,3.9804,3.5177,3.5874,54156500,0
20010105,3.6350,3.6508,3.0931,3.0931,57539740,0
20010108,3.1438,3.1691,2.8839,3.1057,78432803,0
20010109,3.2452,3.5494,3.1691,3.3846,47629636,0
20010110,3.2895,3.9931,3.2325,3.9867,61022575,0
20010111,3.6952,4.2593,3.6508,4.1515,74743878,0
20010112,4.2720,4.2846,3.9487,4.0628,53437647,0
20010115,4.0628,4.0628,4.0628,4.0628,0,0
20010116,4.0501,4.5128,4.0501,4.4431,49866066,0
20010117,4.6649,4.8297,4.3290,4.3607,88644648,0
20010118,4.5255,4.7917,4.3290,4.7537,82120742,0
20010119,5.5269,5.5523,4.8804,5.0833,162790961,0
20010122,5.1403,5.3875,4.9565,5.0135,62480987,0
20010123,4.9945,5.3495,4.9438,5.3114,63382264,0
20010124,5.3051,5.5903,5.2988,5.5269,65014227,0
20010125,5.5713,5.5840,5.0326,5.0516,48454985,0
20010126,4.8868,5.1783,4.8234,5.0579,47865309,0
20010129,5.1530,5.3495,5.0706,5.3051,44347962,0
20010130,5.3748,5.4002,5.2100,5.3938,35166571,0
20010131,5.3621,5.4192,4.9818,5.0072,39328815,0
20010201,4.9977,5.0642,4.8044,4.8931,38072549,0
20010202,4.9565,4.9628,4.5635,4.6871,38613907,0
20010205,4.6269,4.8171,4.3480,4.7347,46413800,0
20010206,4.6206,4.7663,4.5382,4.7537,34696211,0
20010207,4.6649,4.6966,4.4621,4.6840,29911751,0
20010208,4.7473,4.9565,4.6808,4.7790,30298294,0
20010209,4.7220,4.7790,4.3290,4.5192,32072252,0
20010212,4.5192,4.9121,4.5192,4.7854,29426599,0
20010213,4.9185,5.1340,4.8044,4.8107,47735147,0
20010214,4.9565,5.1720,4.9311,5.0896,53347914,0
20010215,5.1530,5.3305,5.0959,5.1213,41539606,0
20010216,4.9945,5.0896,4.9185,4.9438,35978115,0
20010219,4.9438,4.9438,4.9438,4.9438,0,0
20010220,4.9628,4.9818,4.4875,4.5192,38721389,0
20010221,4.3892,4.7283,4.3797,4.6332,43884504,0
20010222,4.6840,4.7663,4.2466,4.5192,54663345,0
20010223,4.3924,4.5255,4.0882,4.4748,57810912,0
20010226,4.5255,4.6206,4.2276,4.6016,39712400,0
20010227,4.6459,4.6808,4.2403,4.2720,40584095,0
20010228,4.2625,4.4748,3.7396,3.8853,54067752,0
20010301,3.8156,4.0184,3.4480,3.8220,80430601,0
20010302,3.7015,4.0818,3.5748,3.8220,54537127,0
20010305,3.9677,4.0058,3.7903,3.8536,27170448,0
20010306,4.0691,4.3480,4.0628,4.0882,47737119,0
20010307,4.2276,4.5445,3.9677,4.3100,102255510,0
20010308,4.2276,4.2593,3.9043,3.9614,50727900,0
20010309,3.6698,3.6762,3.4163,3.4480,70389349,0
20010312,3.4036,3.4353,3.1755,3.2008,76234831,0
20010313,3.3656,3.4987,3.2008,3.4924,53917868,0
20010314,3.2262,3.5241,3.2135,3.4607,42374816,0
20010315,3.6286,3.7015,3.4480,3.5241,51553248,0
20010316,3.4733,3.5748,3.2071,3.2959,46385203,0
20010319,3.3149,3.7839,3.2388,3.7586,47475808,0
20010320,3.7649,3.9424,3.5748,3.5811,60514744,0
20010321,3.6445,3.7776,3.2578,3.2578,64984644,0
20010322,3.2895,3.7522,3.2262,3.7142,49321749,0
20010323,3.8473,3.8917,3.5874,3.7712,46798371,0
20010326,3.8505,4.1515,3.7966,3.8980,53354817,0
20010327,3.8881,4.1072,3.8881,4.0565,35330260,0
20010328,3.9175,3.9997,3.6194,3.6762,40889779,0
20010329,3.5808,3.7401,3.4166,3.4612,43059155,0
20010330,3.5119,3.8790,3.5119,3.6701,46164321,0
20010402,3.7583,3.8029,2.6367,3.5808,43493031,0
20010403,3.5494,3.5717,3.0616,3.1123,78237559,0
20010404,3.0809,3.2513,2.9663,3.0809,74721198,0
20010405,3.4541,3.5748,3.4226,3.5301,67021885,0
20010406,3.4541,3.6823,3.3151,3.5940,56489565,0
20010409,3.8354,3.8972,3.7228,3.8516,40262632,0
20010410,3.9997,4.1731,3.9551,4.0007,681381280,0
20010411,4.1650,4.1832,3.8334,3.9723,473318400,0
20010412,3.9469,4.2329,3.9469,4.1771,47260842,0
20010416,4.0494,4.4418,4.0402,4.1457,41531717,0
20010417,4.0757,4.3952,4.0524,4.3658,47068557,0
20010418,4.5625,4.8982,4.4510,4.6396,74020095,0
20010419,4.7846,5.0706,4.6720,5.0696,66053555,0
20010420,5.2724,5.6841,5.0402,5.1345,173699964,0
20010423,5.0412,5.0412,4.7359,4.7613,66489402,0
20010424,4.6649,4.9215,4.5128,4.5189,64462022,0
20010425,4.5615,4.9479,4.4641,4.9083,86010828,0
20010426,4.9976,5.0148,4.5128,4.6639,57713290,0
20010427,4.8181,4.8475,4.6021,4.7532,38018314,0
20010430,4.9053,5.3069,4.8576,5.1193,93028759,0
20010501,5.1517,5.5107,5.1324,5.5077,108472744,0
20010502,5.5827,5.6000,5.2988,5.4458,66073276,0
20010503,5.2126,5.2947,5.1233,5.2237,41130383,0
20010504,4.9803,5.3424,4.9803,5.3089,34442788,0
20010507,5.2876,5.2988,5.0371,5.1051,27053105,0
20010508,5.2734,5.4235,4.8982,5.3302,63886151,0
20010509,5.1649,5.4559,5.1385,5.3890,50937935,0
20010510,5.5766,5.6486,5.4772,5.5077,85277184,0
20010511,5.4965,5.4965,5.2734,5.4002,45814263,0
20010514,5.4002,5.6628,5.3089,5.5989,53554991,0
20010515,5.6263,5.7896,5.5016,5.6841,79522422,0
20010516,5.5939,5.9448,5.5939,5.8677,66506166,0
20010517,5.8880,6.3636,5.8727,6.3352,132469987,0
20010518,6.2581,6.3930,6.1719,6.3524,60965382,0
20010521,6.4133,6.4954,6.2399,6.4944,75693473,0
20010522,6.4863,6.7439,6.4062,6.5157,73246022,0
20010523,6.4133,6.5198,6.0847,6.1760,68175599,0
20010524,6.1658,6.4630,6.0421,6.4153,40966694,0
20010525,6.4183,6.4741,6.1810,6.3078,28094405,0
20010528,6.3078,6.3078,6.3078,6.3078,0,0
20010529,6.2612,6.2774,6.0299,6.0593,37995635,0
20010530,5.9417,6.3321,5.7551,6.0746,81507401,0
20010531,6.0786,6.2338,5.9589,6.1374,48062525,0
20010601,6.2074,6.2774,6.0208,6.2115,37744184,0
20010604,6.0746,6.4315,6.0340,6.3545,54454296,0
20010605,6.3889,6.6343,6.3737,6.5664,47340715,0
20010606,6.5674,6.7236,6.5400,6.5482,45386304,0
20010607,6.4964,6.6475,6.4194,6.5907,37063789,0
20010608,6.6039,6.6039,6.4092,6.4447,24882743,0
20010611,6.4589,6.6049,6.3281,6.3676,40959791,0
20010612,6.2703,6.5411,6.1537,6.4386,45844831,0
20010613,6.5066,6.5816,6.2591,6.2683,39808050,0
20010614,6.1810,6.5664,6.1810,6.4964,63739225,0
20010615,6.4194,6.6313,6.2825,6.6039,85228867,0
20010618,6.5461,6.6425,6.3534,6.3869,53921813,0
20010619,6.5421,6.7104,6.3179,6.4041,67205296,0
20010620,6.2865,7.0501,6.2865,7.0481,101691472,0
20010621,6.9954,7.1039,6.9295,7.0887,86503868,0
20010622,7.0359,7.1465,6.8443,6.8747,51145997,0
20010625,6.9599,7.2256,6.9477,7.2043,60828317,0
20010626,7.0826,7.1708,6.8717,6.9325,54724482,0
20010627,7.0025,7.0714,6.8990,6.9568,49650114,0
20010628,7.0491,7.1424,6.9366,7.0937,43156777,0
20010629,7.1313,7.1343,6.8443,6.8757,60640962,0
20010702,6.9579,7.1191,6.8605,6.9132,36161526,0
20010703,6.9366,7.0988,6.8960,7.0278,17891436,0
20010704,7.0278,7.0278,7.0278,7.0278,0,0
20010705,6.9213,6.9822,6.7439,6.7489,36080667,0
20010706,6.6993,6.8585,6.5938,6.6161,37516400,0
20010709,6.6678,6.7135,6.2997,6.5390,55215550,0
20010710,6.5907,6.5907,6.0441,6.1101,69854893,0
20010711,6.0046,6.1699,6.0046,6.1030,56830749,0
20010712,6.4538,6.7997,6.4102,6.7865,68984185,0
20010713,6.7429,6.9842,6.6435,6.7956,47067571,0
20010716,6.7743,6.9193,6.6475,6.6780,34848067,0
20010717,6.6019,6.8605,6.5512,6.8453,44742394,0
20010718,6.7885,6.9213,6.7368,6.7479,49658003,0
20010719,6.8088,6.8433,6.4528,6.4964,78554091,0
20010720,6.7510,6.8605,6.7327,6.7743,823376800,0
20010723,6.7875,6.7875,6.5431,6.5867,47845588,0
20010724,6.3646,6.4143,6.0593,6.2561,109864103,0
20010725,6.1790,6.3443,6.0725,6.2490,60208073,0
20010726,6.2470,6.6627,6.1810,6.5907,79262096,0
20010727,6.5279,6.5411,6.3484,6.4508,35900215,0
20010730,6.3048,6.3768,6.0847,6.1902,37043081,0
20010731,6.2003,6.4082,6.1101,6.3453,51560151,0
20010801,6.4133,6.4731,6.2165,6.2490,54227497,0
20010802,6.2875,6.3372,6.0441,6.1658,69440740,0
20010803,6.1760,6.5918,6.1070,6.4599,92781253,0
20010806,6.4396,6.4782,6.3545,6.4396,36980958,0
20010807,6.3950,6.5482,6.3352,6.5208,36295633,0
20010808,6.4731,6.6982,6.2530,6.3271,63268865,0
20010809,6.2865,6.4599,6.2165,6.3727,38156366,0
20010810,6.3555,6.3585,6.0908,6.1952,56689739,0
20010813,6.1770,6.2784,6.0898,6.1587,48959858,0
20010814,6.2165,6.3565,6.1658,6.2236,47066584,0
20010815,6.2439,6.2814,6.0441,6.0847,64587254,0
20010816,5.9488,6.1861,5.7561,6.1861,100140368,0
20010817,6.0360,6.0776,5.8758,5.9833,71945383,0
20010820,5.9498,6.1790,5.9448,6.1354,58325646,0
20010821,6.1202,6.2875,5.8403,5.8738,66314866,0
20010822,5.9377,6.0796,5.4012,5.7713,174029315,0
20010823,5.8819,5.8920,5.2988,5.5837,91780382,0
20010824,5.6436,6.0168,5.5381,5.9843,77725784,0
20010827,5.9032,5.9123,5.6649,5.7196,75048577,0
20010828,5.7105,5.8109,5.4701,5.4742,65473740,0
20010829,5.5198,5.5320,5.3287,5.4661,58867990,0
20010830,5.4128,5.6775,5.3606,5.6334,75669807,0
20010831,5.5959,5.7805,5.5634,5.7024,46466062,0
20010903,5.7024,5.7024,5.7024,5.7024,0,0
20010904,5.6638,5.7514,5.5178,5.5219,53352844,0
20010905,5.4975,5.7139,5.4570,5.5421,83382925,0
20010906,5.4904,5.6791,5.4286,5.5868,66601815,0
20010907,5.3378,5.5229,5.1882,5.3697,98736190,0
20010910,5.3251,5.5523,5.2278,5.5340,68153905,0
20010911,5.5340,5.5340,5.5340,5.5340,0,0
20010917,5.1406,5.2835,4.9895,5.0097,124713482,0
20010918,5.1122,5.2643,4.9550,5.0706,91977598,0
20010919,5.0249,5.0249,4.5645,4.9012,143050626,0
20010920,4.7156,4.7511,4.5006,4.5585,102997042,0
20010921,4.2289,4.5625,4.2157,4.4408,135520919,0
20010924,4.4611,4.7714,4.4611,4.7440,87721677,0
20010925,4.7248,4.8931,4.6599,4.7552,73990513,0
20010926,4.8292,4.8292,4.4547,4.4662,62179247,0
20010927,4.3617,4.6244,4.1071,4.5747,113631915,0
20010928,4.6345,4.7339,4.4084,4.6396,98975808,0
20011001,4.5006,4.8809,4.4672,4.7633,100879928,0
20011002,4.7694,4.9296,4.7298,4.8160,91987459,0
20011003,4.6801,5.1720,4.6345,5.0655,134684723,0
20011004,5.1456,5.4823,5.0899,5.3302,104065953,0
20011005,5.2633,5.4732,5.2014,5.4154,80177179,0
20011008,5.3130,5.6253,5.2795,5.5827,72571544,0
20011009,5.5908,5.5908,5.4651,5.5158,48142398,0
20011010,5.4478,5.7865,5.4154,5.7683,66637314,0
20011011,5.7957,6.1638,5.7805,6.0279,126333611,0
20011012,5.9721,6.0005,5.7308,5.9863,60236669,0
20011015,5.9224,6.3474,5.8362,6.2520,101284221,0
20011016,6.2956,6.4346,6.1506,6.2470,100609742,0
