DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,59.63,60.50,53.13,54.31,24159400,0
20010103,53.00,67.88,53.00,67.81,28645300,0
20010104,68.13,72.31,66.06,70.69,19685000,0
20010105,70.38,70.38,63.38,64.25,13438000,0
20010108,63.00,63.88,59.50,61.50,12500800,0
20010109,63.00,66.50,62.00,63.75,16249500,0
20010110,62.56,69.00,62.06,68.75,15821400,0
20010111,68.69,75.19,67.75,73.13,18836300,0
20010112,73.63,73.88,67.50,68.81,20210000,0
20010115,68.81,68.81,68.81,68.81,0,0
20010116,70.00,72.06,69.00,69.88,10174600,0
20010117,74.00,74.00,72.06,72.31,13883500,0
20010118,73.06,76.44,71.81,76.00,14211100,0
20010119,77.00,78.69,75.44,77.31,16025200,0
20010122,77.31,77.31,77.31,77.31,0,0
20010123,75.25,79.81,74.19,79.56,21165700,0
20010124,79.25,82.00,78.19,79.44,17952600,0
20010125,79.00,79.25,75.00,76.50,12366200,0
20010126,75.00,79.13,75.00,79.06,12134200,0
20010129,78.22,82.09,78.00,81.78,6775500,0
20010130,81.00,81.09,77.00,80.34,8864300,0
20010131,79.50,80.03,75.26,75.99,10869800,0
20010201,75.40,78.69,75.26,77.65,10300000,0
20010202,78.50,78.50,71.38,72.20,12430600,0
20010205,71.62,71.75,68.75,69.76,13228100,0
20010206,69.76,73.25,69.16,70.00,10829900,0
20010207,68.00,68.55,62.50,65.39,23996400,0
20010208,64.00,64.50,59.50,59.50,18396100,0
20010209,60.49,60.49,56.28,56.40,19410700,0
20010212,56.18,56.18,50.00,54.16,29780300,0
20010213,55.20,58.55,55.20,55.31,20988500,0
20010214,55.59,59.00,52.00,56.70,18901600,0
20010215,60.98,61.74,57.75,58.10,17274800,0
20010216,55.10,56.20,53.10,54.05,17386500,0
20010219,54.05,54.05,54.05,54.05,0,0
20010220,55.70,55.74,49.18,49.27,17880900,0
20010221,49.00,49.00,41.90,42.95,36354900,0
20010222,36.50,41.00,34.00,38.27,57277100,0
20010223,39.50,45.00,38.00,45.00,26890900,0
20010226,45.20,45.90,41.81,45.00,21314100,0
20010227,44.75,44.75,41.05,41.66,15244900,0
20010228,42.28,43.12,38.38,39.76,18386300,0
20010301,38.92,45.00,37.50,42.91,20445600,0
20010302,40.00,42.00,38.00,38.40,28864400,0
20010305,39.10,39.63,37.30,38.60,17527800,0
20010306,42.00,43.98,41.40,43.00,22162500,0
20010307,43.12,44.25,40.91,41.00,17318600,0
20010308,41.00,41.00,36.71,37.15,22363300,0
20010309,36.10,36.49,34.25,34.35,28373900,0
20010312,33.28,33.28,29.99,30.25,37138000,0
20010313,31.25,34.50,30.95,34.24,27080100,0
20010314,32.15,37.31,32.15,35.30,28139100,0
20010315,37.00,37.75,34.50,34.95,19107500,0
20010316,34.25,35.60,32.40,32.93,22413000,0
20010319,33.74,34.91,32.30,34.40,18056900,0
20010320,35.50,37.77,33.61,34.00,26692200,0
20010321,34.45,36.45,33.50,35.00,19040300,0
20010322,34.90,36.40,33.59,35.80,25687000,0
20010323,37.30,37.92,35.06,36.10,26405600,0
20010326,37.25,37.66,34.00,34.00,14534900,0
20010327,34.90,37.00,34.32,36.75,15939400,0
20010328,35.50,35.50,32.40,32.58,19904600,0
20010329,32.09,32.09,28.10,29.00,31680700,0
20010330,30.55,30.55,28.20,29.40,23411200,0
20010402,30.03,30.75,28.65,29.31,15764500,0
20010403,28.50,28.50,25.05,25.20,37289100,0
20010404,26.94,28.40,26.06,26.95,25221300,0
20010405,29.85,31.75,29.76,31.75,24374200,0
20010406,30.07,31.40,27.79,30.15,18084400,0
20010409,30.75,31.04,29.60,30.79,20557600,0
20010410,31.98,35.25,31.75,34.40,33109500,0
20010411,34.41,36.46,31.80,32.21,41272000,0
20010412,31.00,31.95,29.14,31.26,30193800,0
20010416,30.95,31.80,29.95,30.65,18620400,0
20010417,30.00,32.10,29.70,31.76,17854600,0
20010418,34.10,38.15,33.70,36.60,35148500,0
20010419,38.99,43.00,38.06,42.81,30389300,0
20010420,41.75,45.95,41.75,45.10,27679700,0
20010423,43.20,43.50,39.50,39.95,20820100,0
20010424,40.00,42.00,37.51,38.85,18619400,0
20010425,38.11,38.83,36.65,38.24,16771400,0
20010426,39.50,40.17,36.40,37.29,15628800,0
20010427,38.95,39.18,37.75,39.18,11778400,0
20010430,40.50,41.90,38.70,39.60,16245000,0
20010501,40.36,41.94,39.70,41.94,17000500,0
20010502,43.05,45.04,42.75,44.00,25076100,0
20010503,41.75,42.20,39.50,40.11,20797200,0
20010504,38.00,41.98,38.00,41.30,19691500,0
20010507,41.75,41.85,39.90,39.90,10664000,0
20010508,41.50,41.50,39.87,41.00,11417500,0
20010509,40.00,42.50,39.15,40.98,16926000,0
20010510,43.00,43.20,39.75,40.25,18074300,0
20010511,40.25,40.60,39.50,39.95,11911000,0
20010514,39.95,39.95,37.70,38.92,11138000,0
20010515,38.98,40.51,38.76,39.21,14223000,0
20010516,38.75,41.65,38.55,41.65,18499100,0
20010517,41.65,42.75,40.94,41.50,15974700,0
20010518,41.73,42.20,40.15,40.35,12721700,0
20010521,39.00,40.95,38.01,40.70,26903300,0
20010522,41.31,41.34,40.00,40.00,15999400,0
20010523,39.25,39.25,38.06,38.20,17971800,0
20010524,38.50,38.74,36.70,38.49,15018800,0
20010525,38.41,38.41,37.00,37.08,11353100,0
20010528,37.08,37.08,37.08,37.08,0,0
20010529,35.60,35.85,33.55,33.99,24902200,0
20010530,33.00,33.00,30.56,30.95,30946000,0
20010531,31.06,32.24,31.01,31.60,18574800,0
20010601,31.80,32.15,31.02,31.45,15003700,0
20010604,31.55,32.00,31.10,31.65,9790700,0
20010605,32.30,34.87,32.28,34.50,15969900,0
20010606,34.60,35.45,33.50,33.87,15330700,0
