DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,39.41,39.63,38.00,38.13,131806,0
20010103,38.44,38.47,36.81,37.97,40054,0
20010104,37.97,38.06,35.13,36.09,288776,0
20010105,36.50,37.63,36.25,36.47,45850,0
20010108,36.47,37.72,36.31,37.72,32122,0
20010109,37.84,38.69,37.28,38.00,130918,0
20010110,38.16,38.31,37.53,37.91,88446,0
20010111,38.06,38.97,37.63,38.75,25926,0
20010112,38.56,38.75,37.81,38.34,23454,0
20010115,38.34,38.34,38.34,38.34,0,0
20010116,38.34,39.00,38.22,38.78,24442,0
20010117,38.34,38.34,36.44,37.44,38664,0
20010118,36.69,36.84,35.56,36.44,44972,0
20010119,36.56,36.69,35.63,36.34,31228,0
20010122,36.34,36.34,36.34,36.34,0,0
20010123,35.53,36.97,35.38,36.88,39062,0
20010124,37.00,37.63,36.69,37.34,0,0
20010125,37.34,37.59,36.94,37.25,21530,0
20010126,37.22,37.22,35.97,36.31,0,0
20010129,37.47,37.47,35.89,36.11,2259800,0
20010130,36.36,38.05,35.00,37.59,3533200,0
20010131,37.25,38.70,37.25,37.97,3270000,0
20010201,37.88,37.90,36.58,36.80,2174200,0
20010202,36.70,36.74,35.88,36.30,2801200,0
20010205,36.60,37.85,36.58,37.85,2326000,0
20010206,37.55,38.10,37.45,37.50,1928200,0
20010207,37.50,37.86,37.28,37.84,1584200,0
20010208,37.78,38.06,37.70,37.76,1013800,0
20010209,37.55,37.71,35.62,35.87,4829800,0
20010212,35.63,36.15,35.50,35.63,3088800,0
20010213,35.75,36.20,35.05,35.05,4568600,0
20010214,35.33,35.67,35.15,35.38,4179000,0
20010215,35.85,36.60,35.79,36.44,2380800,0
20010216,36.20,36.20,34.25,34.73,5090600,0
20010219,34.73,34.73,34.73,34.73,0,0
20010220,34.73,34.73,32.38,33.63,8992400,0
20010221,33.51,34.17,32.40,33.51,6596800,0
20010222,33.43,33.43,32.45,33.18,4163600,0
20010223,33.17,33.25,32.47,32.53,4445000,0
20010226,32.85,33.85,32.70,33.72,3933400,0
20010227,33.92,34.60,33.79,33.90,8389000,0
20010228,34.12,34.20,32.85,33.49,3433400,0
20010301,33.45,33.45,31.71,32.95,5922800,0
20010302,32.88,33.71,32.21,33.16,3110000,0
20010305,33.00,34.10,32.85,33.88,2673000,0
20010306,34.25,34.90,34.25,34.44,3001600,0
20010307,34.44,34.92,33.55,33.60,3436600,0
20010308,33.95,34.15,33.40,33.95,2900800,0
20010309,33.95,34.90,33.01,34.90,10037600,0
20010312,34.90,35.58,34.50,35.09,7808000,0
20010313,35.10,35.10,33.95,34.56,9519000,0
20010314,34.15,34.65,33.15,33.15,7308000,0
20010315,33.38,33.63,32.85,33.49,14477800,0
20010316,33.17,33.17,30.51,30.91,9778000,0
20010319,31.42,32.25,31.22,32.24,6013800,0
20010320,32.50,33.31,31.81,31.83,7835400,0
20010321,31.50,31.58,29.50,29.91,11532600,0
20010322,30.41,30.41,28.88,29.99,10246400,0
20010323,30.65,30.67,29.81,30.00,5877400,0
20010326,30.12,32.08,30.12,31.80,9219200,0
20010327,31.10,33.00,31.10,31.77,19281000,0
20010328,31.35,31.35,29.84,30.50,7328600,0
20010329,30.42,30.95,29.95,30.24,4948800,0
20010330,30.70,31.55,30.45,30.98,3870800,0
20010402,31.48,31.70,30.27,30.80,3313400,0
20010403,30.98,31.05,29.67,30.00,5043400,0
20010404,29.99,30.40,29.77,30.05,6641200,0
20010405,30.85,31.80,30.76,31.48,3325000,0
20010406,31.05,31.34,30.44,30.63,5455600,0
20010409,29.80,31.21,29.80,31.10,13008600,0
20010410,31.50,32.40,30.66,31.83,5552200,0
20010411,32.35,32.41,31.40,31.61,4591400,0
20010412,31.98,32.98,31.69,32.49,4467400,0
20010416,32.50,32.50,32.01,32.35,2347800,0
20010417,32.26,32.49,32.01,32.03,3101200,0
20010418,32.50,33.78,32.33,33.45,9152600,0
20010419,33.58,33.58,32.58,32.96,5176000,0
20010420,33.08,33.22,32.49,32.60,3700600,0
20010423,32.60,32.60,32.06,32.31,2966400,0
20010424,32.35,32.52,31.61,31.61,3858800,0
20010425,31.61,32.65,31.27,32.42,3744000,0
20010426,32.47,33.10,32.40,32.76,3105200,0
20010427,33.13,33.63,32.50,33.57,68931400,0
20010430,33.57,34.65,33.28,33.33,5486200,0
20010501,33.20,33.30,32.50,33.01,4629000,0
20010502,32.75,32.75,31.98,32.55,5694200,0
20010503,32.52,32.52,32.03,32.24,3473200,0
20010504,32.12,33.08,32.00,32.90,174412000,0
20010507,32.72,33.17,32.72,32.97,1257800,0
20010508,33.00,33.29,32.80,32.85,1866600,0
20010509,32.88,33.05,32.25,32.43,2689000,0
20010510,32.67,33.00,32.50,32.83,2288000,0
20010511,33.03,33.03,32.13,32.32,2167800,0
20010514,32.44,32.54,32.10,32.40,3255400,0
20010515,32.50,32.88,32.29,32.75,2434000,0
20010516,32.75,33.85,32.60,33.76,2638200,0
20010517,34.58,34.92,34.26,34.53,3126000,0
20010518,34.80,34.88,34.44,34.59,3766000,0
20010521,34.63,35.80,34.53,35.80,2758400,0
20010522,36.00,36.00,35.28,35.54,2755600,0
20010523,35.25,35.25,34.45,34.82,2436200,0
20010524,34.75,35.50,34.75,35.31,2144200,0
20010525,35.05,35.16,34.42,34.67,2273000,0
20010528,34.67,34.67,34.67,34.67,0,0
20010529,34.47,34.92,34.42,34.50,1402400,0
20010530,34.35,34.61,33.33,33.51,4818000,0
20010531,33.50,34.24,33.46,33.85,3022200,0
20010601,33.97,34.04,33.13,33.84,2375800,0
20010604,33.88,34.02,33.47,33.80,1529400,0
20010605,33.80,34.65,33.60,34.35,1939200,0
20010606,34.70,34.79,33.96,34.15,5230000,0
20010607,34.15,34.35,33.71,34.08,1538400,0
20010608,33.45,33.58,33.01,33.53,2363400,0
20010611,33.38,33.53,32.63,33.14,5862400,0
20010612,33.22,33.65,32.65,33.51,2485800,0
20010613,33.45,33.54,32.88,33.28,1845200,0
20010614,32.92,33.12,32.35,32.53,2735600,0
20010615,32.26,32.63,32.23,32.41,2714000,0
20010618,32.40,32.58,31.81,31.87,1916400,0
20010619,32.10,32.26,31.38,31.67,1736600,0
20010620,31.72,31.92,31.09,31.17,3573400,0
20010621,31.17,32.35,31.17,31.92,3280800,0
20010622,32.00,32.08,31.67,31.74,848600,0
20010625,31.75,31.80,31.16,31.16,7752800,0
20010626,30.70,31.63,30.67,31.47,18277600,0
20010627,31.44,31.44,30.80,31.00,2803400,0
20010628,31.00,31.11,30.65,30.88,5457000,0
20010629,30.83,30.84,30.10,30.25,14130600,0
20010702,29.00,31.00,29.00,30.76,6040800,0
20010703,30.80,30.93,30.36,30.86,1331800,0
20010704,30.86,30.86,30.86,30.86,0,0
20010705,30.86,31.53,30.60,31.52,2959600,0
20010706,31.52,31.58,30.35,30.47,4042400,0
20010709,30.36,30.45,30.00,30.12,4510800,0
20010710,30.38,30.80,30.27,30.70,3923000,0
20010711,27.66,27.89,25.50,26.47,29404000,0
20010712,26.46,27.80,26.46,27.45,15033200,0
20010713,27.00,28.68,27.00,28.17,10059400,0
20010716,28.13,28.52,27.85,28.28,6134800,0
20010717,27.75,28.15,27.56,27.86,6071600,0
20010718,27.55,27.98,27.41,27.92,3851200,0
20010719,27.52,27.89,27.51,27.56,13021800,0
20010720,27.51,27.63,27.43,27.50,5754400,0
20010723,27.50,28.29,27.33,27.95,3963000,0
20010724,27.90,28.00,27.10,27.20,10100400,0
20010725,27.20,27.65,27.18,27.62,4860800,0
20010726,27.67,27.69,27.26,27.55,29948000,0
20010727,27.35,28.00,27.28,27.91,11277600,0
20010730,28.08,28.63,28.08,28.44,3684800,0
20010731,28.24,29.13,28.24,28.68,3477200,0
20010801,28.68,29.02,28.55,28.73,3384400,0
20010802,28.79,29.00,28.70,28.73,2143000,0
20010803,28.67,28.74,28.34,28.66,3154600,0
20010806,28.53,28.53,28.06,28.14,2926200,0
20010807,27.75,29.06,27.55,29.00,4350200,0
20010808,28.75,28.99,27.91,27.95,2585200,0
20010809,27.95,28.35,27.75,28.17,4038200,0
20010810,28.17,28.59,27.52,28.42,1994800,0
20010813,28.20,28.63,28.09,28.19,7502800,0
20010814,28.08,28.27,27.62,27.95,24061800,0
20010815,27.80,28.15,27.38,27.75,2803000,0
20010816,27.48,27.88,27.23,27.69,9747400,0
20010817,27.49,27.63,27.00,27.23,4412200,0
20010820,27.23,27.90,27.03,27.87,2111000,0
