DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,34.88,34.88,33.71,33.88,4279200,0
20010103,34.00,34.50,31.42,31.48,5550000,0
20010104,29.63,30.30,28.40,30.16,8571200,0
20010105,29.88,31.05,29.50,29.85,3872400,0
20010108,30.45,31.00,30.35,30.86,11506600,0
20010109,30.75,31.23,30.50,31.13,2157200,0
20010110,31.23,31.32,29.52,29.63,3413800,0
20010111,29.50,29.50,27.89,28.33,4885200,0
20010112,27.83,28.87,27.83,28.48,24885400,0
20010115,28.48,28.48,28.48,28.48,0,0
20010116,28.60,28.60,26.80,27.75,4950200,0
20010117,27.63,29.67,27.63,29.27,3920400,0
20010118,28.63,29.90,28.50,29.34,33890600,0
20010119,28.75,29.70,28.25,29.68,0,0
20010122,29.68,29.68,29.68,29.68,0,0
20010123,29.50,30.58,29.40,30.06,3957000,0
20010124,29.50,30.73,29.50,30.50,2200200,0
20010125,30.63,31.05,30.50,30.87,3071000,0
20010126,30.65,31.20,29.93,30.42,1708200,0
20010129,31.17,31.98,30.73,31.92,1891400,0
20010130,31.13,32.50,30.50,30.72,108072600,0
20010131,30.50,30.50,29.95,30.25,1833200,0
20010201,30.06,30.36,30.06,30.34,5846600,0
20010202,30.34,30.92,30.17,30.57,3698600,0
20010205,30.58,31.10,30.56,30.66,2951000,0
20010206,30.60,30.89,30.49,30.75,0,0
20010207,30.88,31.39,30.88,31.38,2607800,0
20010208,31.38,32.12,31.38,32.03,1438400,0
20010209,31.98,32.85,31.93,32.63,1810600,0
20010212,32.74,33.24,31.88,32.37,1744200,0
20010213,32.14,32.86,31.64,32.00,3872800,0
20010214,32.13,32.78,31.76,32.36,2009800,0
20010215,32.00,32.16,31.90,32.00,1613200,0
20010216,32.45,32.97,32.00,32.06,2069800,0
20010219,32.06,32.06,32.06,32.06,0,0
20010220,32.67,33.11,32.28,32.43,7782200,0
20010221,32.60,33.35,32.60,32.63,1965600,0
20010222,32.63,33.70,32.46,33.22,2657200,0
20010223,33.45,33.74,31.95,32.38,1683400,0
20010226,32.35,33.14,32.35,32.53,1406600,0
20010227,32.65,33.17,32.56,32.72,1555400,0
20010228,32.83,32.92,31.98,32.69,1585000,0
20010301,32.78,33.49,32.42,32.78,1487600,0
20010302,32.99,33.39,32.65,33.31,2306600,0
20010305,33.50,33.57,33.12,33.14,1209600,0
20010306,32.97,33.17,32.55,32.60,1216200,0
20010307,32.63,32.88,32.13,32.33,2367000,0
20010308,32.58,32.96,32.27,32.65,11237600,0
20010309,32.65,32.85,32.31,32.35,2169000,0
20010312,32.35,32.63,32.19,32.47,2361400,0
