DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,23.81,24.94,23.75,24.31,51660,0
20010103,24.63,25.50,23.88,25.13,111569,0
20010104,28.00,28.00,26.06,26.94,145813,0
20010105,27.00,27.00,25.88,26.25,66731,0
20010108,25.44,26.00,24.94,25.63,59003,0
20010109,25.75,26.75,25.56,26.44,116890,0
20010110,25.63,26.50,24.63,26.25,69737,0
20010111,26.06,27.63,25.94,26.94,68318,0
20010112,26.88,26.94,25.88,26.38,49879,0
20010115,26.38,26.38,26.38,26.38,0,0
20010116,26.38,27.44,26.00,27.13,62331,0
20010117,27.38,27.50,26.63,26.88,29991,0
20010118,26.56,27.81,26.56,27.19,44578,0
20010119,26.75,27.00,25.94,26.31,65362,0
20010122,26.31,26.31,26.31,26.31,0,0
20010123,26.88,27.31,26.75,27.00,34788,0
20010124,27.13,28.00,27.00,27.75,54760,0
20010125,27.69,28.25,27.56,28.06,58672,0
20010126,27.94,28.25,27.56,28.00,41570,0
20010129,27.73,30.06,27.70,28.91,7906200,0
20010130,28.06,30.31,28.00,28.94,4012500,0
20010131,28.35,28.63,27.91,28.12,4291100,0
20010201,27.92,29.09,27.70,28.37,3502600,0
20010202,28.25,28.45,27.87,28.01,4270600,0
20010205,28.10,28.75,28.08,28.45,3789200,0
20010206,28.45,29.00,28.40,28.74,4603500,0
20010207,28.25,28.65,27.25,27.26,6809100,0
20010208,27.95,28.25,27.72,28.01,5302100,0
20010209,28.05,28.05,26.80,26.92,42100000,0
20010212,27.34,28.00,27.30,27.80,6534000,0
20010213,27.95,28.07,27.55,27.92,3330800,0
20010214,27.94,28.42,27.80,27.90,5283800,0
20010215,28.12,28.29,27.90,28.00,4150600,0
20010216,27.80,28.24,27.60,27.60,4199700,0
20010219,27.60,27.60,27.60,27.60,0,0
20010220,27.65,28.46,27.61,27.71,4844700,0
20010221,27.63,28.35,27.63,27.68,3653200,0
20010222,27.70,27.97,27.12,27.51,4769600,0
20010223,27.37,28.65,27.28,28.35,6879000,0
20010226,28.45,29.00,28.00,28.60,6483600,0
20010227,28.60,28.73,28.27,28.43,4131300,0
20010228,28.90,28.95,27.51,27.81,4437300,0
20010301,27.81,28.51,27.81,28.21,6113200,0
20010302,28.21,28.60,27.98,28.06,4060600,0
20010305,27.65,28.48,27.65,28.29,4401000,0
20010306,28.80,29.25,28.55,29.04,4536700,0
20010307,29.02,29.18,28.91,29.08,3968900,0
20010308,29.09,30.50,28.97,30.37,10744600,0
20010309,30.17,30.42,29.91,30.10,9209200,0
20010312,30.05,31.37,29.80,30.24,12801900,0
20010313,30.13,30.13,29.43,29.84,5461800,0
20010314,29.10,30.25,28.69,28.69,8693400,0
20010315,28.12,28.67,28.12,28.60,6953000,0
20010316,27.95,29.00,27.95,28.43,7878900,0
20010319,28.40,30.09,28.40,29.81,51200000,0
20010320,29.58,30.04,28.75,28.82,5885600,0
20010321,29.05,29.33,28.05,28.25,4878400,0
20010322,28.01,28.07,26.99,27.81,6839300,0
20010323,28.00,28.10,27.15,27.94,4893600,0
20010326,28.60,29.55,28.41,28.94,3230700,0
20010327,28.11,28.40,27.74,28.12,7975300,0
20010328,28.25,28.40,27.78,27.94,4391400,0
20010329,27.90,28.67,27.52,28.49,4772500,0
20010330,28.39,28.65,27.77,28.12,3946100,0
20010402,27.90,28.80,27.89,28.61,5222400,0
20010403,28.22,28.28,27.29,27.37,5127800,0
20010404,27.88,28.61,27.87,28.57,7200800,0
20010405,28.70,29.30,27.98,28.35,5313700,0
20010406,27.78,28.13,27.50,27.80,5083900,0
20010409,28.05,29.00,27.96,29.00,4394200,0
20010410,28.90,29.40,28.65,28.96,4609000,0
20010411,28.96,28.96,27.65,28.15,6366000,0
20010412,28.35,29.03,28.03,29.00,5147200,0
20010416,28.85,29.18,28.51,29.18,5971000,0
20010417,28.80,29.22,28.80,28.88,3264500,0
20010418,29.50,31.41,29.26,30.71,11625800,0
20010419,30.00,30.65,29.93,30.30,5613500,0
20010420,30.08,30.35,29.90,30.00,4089100,0
20010423,30.00,30.41,29.96,30.06,3559400,0
20010424,29.99,30.35,29.67,29.67,4238300,0
20010425,28.75,28.87,27.91,28.80,7905000,0
20010426,28.98,29.73,28.75,29.20,7168000,0
20010427,28.95,29.61,28.92,29.56,5171900,0
20010430,29.25,29.92,28.95,29.48,5307600,0
20010501,28.80,29.08,28.00,28.30,8206800,0
20010502,28.50,29.42,28.20,29.25,7917400,0
20010503,29.05,29.05,28.35,28.70,3384500,0
20010504,28.31,29.20,28.30,29.08,2601900,0
20010507,28.60,28.82,28.20,28.45,4414300,0
20010508,28.41,28.42,27.96,28.16,4487600,0
20010509,28.16,28.72,28.00,28.08,4399000,0
20010510,28.37,28.85,28.23,28.42,4440400,0
20010511,28.42,28.50,27.57,27.82,4057500,0
20010514,28.00,28.28,27.42,27.76,3577600,0
20010515,28.30,28.30,27.66,27.96,4584700,0
20010516,27.35,28.35,27.35,28.09,6670700,0
20010517,28.15,28.21,27.25,27.56,7315700,0
20010518,27.58,27.73,26.88,27.13,6386600,0
20010521,26.30,26.68,26.01,26.65,12903600,0
20010522,26.25,26.25,25.20,25.90,10652500,0
