DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,4.28,4.50,4.16,4.16,6586,0
20010103,4.19,4.41,4.16,4.41,27134,0
20010104,4.41,4.44,4.16,4.16,10884,0
20010105,4.16,4.34,4.16,4.16,7940,0
20010108,4.22,4.34,4.22,4.31,5682,0
20010109,4.34,4.38,4.28,4.31,12694,0
20010110,4.31,4.44,4.28,4.38,28638,0
20010111,4.38,4.41,4.22,4.41,7762,0
20010112,4.38,4.50,4.28,4.47,0,0
20010115,4.47,4.47,4.47,4.47,0,0
20010116,4.47,4.53,4.41,4.50,0,0
20010117,4.53,4.56,4.44,4.53,0,0
20010118,4.56,5.38,4.56,5.31,111464,0
20010119,5.47,5.50,5.28,5.44,603272,0
20010122,5.44,5.44,5.44,5.44,0,0
20010123,5.69,5.94,5.66,5.94,20922,0
20010124,5.81,5.84,5.66,5.78,13892,0
20010125,5.72,6.06,5.72,5.75,77140,0
20010126,5.66,5.69,5.47,5.56,0,0
20010129,5.78,5.95,5.73,5.83,0,0
20010130,5.84,6.23,5.73,6.19,0,0
20010131,5.74,5.94,5.73,5.85,0,0
20010201,5.86,6.27,5.85,6.27,1545200,0
20010202,6.22,6.47,6.13,6.39,1263000,0
20010205,6.35,6.44,6.25,6.41,1679400,0
20010206,6.38,6.38,6.23,6.32,0,0
20010207,6.26,6.45,6.18,6.41,1107000,0
20010208,6.41,6.47,6.29,6.41,931200,0
20010209,6.40,6.47,6.38,6.45,470200,0
20010212,6.47,6.47,6.35,6.36,709600,0
20010213,6.38,6.53,6.28,6.28,1282400,0
20010214,6.31,6.36,6.09,6.17,0,0
20010215,6.16,6.34,6.16,6.30,1367400,0
20010216,6.35,6.42,6.23,6.23,1148200,0
20010219,6.23,6.23,6.23,6.23,0,0
20010220,6.24,6.26,6.01,6.01,4913600,0
20010221,6.03,6.25,6.03,6.15,1800400,0
20010222,6.18,6.81,6.18,6.68,33223200,0
20010223,6.68,6.87,6.52,6.57,2247400,0
20010226,6.60,7.10,6.60,7.05,5213000,0
20010227,6.97,7.13,6.90,7.00,2097800,0
20010228,6.97,7.03,6.83,7.03,1648800,0
20010301,7.10,7.10,6.52,7.02,1531000,0
20010302,6.97,7.05,6.93,7.02,1342200,0
20010305,6.99,7.28,6.50,7.28,3009600,0
20010306,7.24,7.24,7.03,7.14,1154600,0
20010307,7.15,7.20,7.03,7.13,1176800,0
20010308,7.13,7.28,7.13,7.22,1762200,0
20010309,7.25,7.34,7.18,7.18,2249600,0
20010312,7.18,7.24,6.81,6.84,1784000,0
20010313,6.80,6.80,6.41,6.58,1513400,0
20010314,6.53,6.53,6.32,6.41,972800,0
20010315,6.41,6.41,6.15,6.38,789400,0
20010316,6.36,6.36,6.07,6.21,2393200,0
20010319,6.22,6.38,6.22,6.34,934200,0
20010320,6.32,6.45,6.30,6.33,864800,0
20010321,6.44,6.46,6.26,6.33,5440800,0
20010322,6.38,6.38,5.99,6.20,1201400,0
