DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,39.45,39.97,38.24,38.29,860700,0
20010103,38.21,41.26,38.00,41.08,2201200,0
20010104,43.00,45.00,39.00,44.26,3337000,0
20010105,44.70,44.70,43.01,43.80,1478800,0
20010108,42.95,43.35,42.67,43.13,1120700,0
20010109,42.75,42.95,42.01,42.27,1124500,0
20010110,40.70,43.25,40.44,41.91,1802900,0
20010111,42.41,43.33,41.20,41.20,1559900,0
20010112,41.07,42.32,40.85,41.71,1044300,0
20010115,41.71,41.71,41.71,41.71,0,0
20010116,41.51,43.15,41.45,42.35,4764700,0
20010117,42.55,44.25,42.55,43.75,1334000,0
20010118,42.50,42.84,41.75,41.75,1515000,0
20010119,41.10,41.63,39.90,39.91,2296800,0
20010122,39.91,39.91,39.91,39.91,0,0
20010123,41.75,43.50,41.55,42.84,1946300,0
20010124,42.50,43.22,42.04,42.04,675800,0
20010125,42.20,43.85,41.76,43.41,1019300,0
20010126,43.75,44.45,43.56,43.71,1032100,0
20010129,44.78,46.09,44.00,44.09,6916200,0
20010130,46.19,47.09,44.19,45.72,1067500,0
20010131,45.25,45.95,45.05,45.38,1566800,0
20010201,45.40,45.52,44.42,45.26,2691100,0
20010202,45.11,45.25,44.28,44.29,4564000,0
20010205,44.00,44.30,43.83,44.18,551400,0
20010206,43.78,44.51,43.78,43.80,75000000,0
20010207,44.15,44.15,42.90,43.09,2475900,0
20010208,43.75,45.00,43.58,44.86,1392200,0
20010209,44.70,44.71,43.00,43.33,1224700,0
20010212,43.45,44.10,43.22,43.80,837700,0
20010213,44.40,44.95,44.17,44.70,1318200,0
20010214,44.70,44.70,43.72,43.81,548400,0
20010215,44.45,45.20,44.45,45.12,893700,0
20010216,44.86,45.01,44.10,44.60,666700,0
20010219,44.60,44.60,44.60,44.60,0,0
20010220,44.30,45.00,43.28,43.28,22299900,0
20010221,43.28,43.45,42.00,42.01,844100,0
20010222,41.60,42.45,41.20,41.90,1004300,0
20010223,42.10,42.49,41.21,41.60,670700,0
