DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20081229,7.4349,7.7263,7.0640,7.7263,5834566,0
20081230,7.8057,7.8587,7.5762,7.8057,6575376,0
20081231,7.7969,8.0706,7.5143,8.0265,7538631,0
20090102,8.0088,8.6534,7.8057,8.5563,6499951,0
20090105,8.4238,8.6093,8.2914,8.3885,11049072,0
20090106,8.4768,8.8300,8.3002,8.6976,8381838,0
20090107,8.4503,8.5298,7.9470,7.9912,13143257,0
20090108,7.9382,7.9912,7.6115,7.8764,13664147,0
20090109,7.9823,8.0618,7.5938,7.7086,9882314,0
20090112,7.6998,7.7439,7.3819,7.4614,9489884,0
20090113,7.6115,7.8411,7.4879,7.6733,17272569,0
20090114,7.4614,7.5673,7.0110,7.1611,21311005,0
20090115,7.1611,7.2230,6.7903,7.0905,25224920,0
20090116,7.2318,7.2318,6.7550,7.0817,63884693,0
20090120,6.9404,6.9757,6.3046,6.3135,26388298,0
20090121,6.4901,6.7903,6.3135,6.7903,19544000,0
20090122,6.0309,6.6049,5.9691,6.3488,28269011,0
20090123,6.2428,6.3488,6.0221,6.1369,18541437,0
20090126,5.9603,6.4018,5.9073,6.1104,22799229,0
20090127,6.1634,6.2163,5.8543,5.9426,17419023,0
20090128,6.2517,6.7196,6.2075,6.6578,17679245,0
20090129,6.4989,6.4989,5.9691,6.0044,20339438,0
20090130,5.9868,6.0486,5.5717,5.6424,24241105,0
20090202,5.4393,5.9603,5.3775,5.8808,26484358,0
20090203,5.7395,6.0309,5.7395,5.9956,21080573,0
20090204,5.9161,6.1369,5.7572,5.8366,25407926,0
20090205,5.6954,6.1457,5.6777,6.1280,30090485,0
20090206,5.9603,6.3576,5.9514,6.1634,30041860,0
20090209,6.1545,6.2517,5.8022,5.9868,21248450,0
20090210,5.8543,6.0044,5.5453,5.6159,29076710,0
20090211,5.6689,5.8808,5.5276,5.7130,21226015,0
20090212,5.4305,5.7748,5.4305,5.7748,19645811,0
20090213,5.7748,5.8455,5.6159,5.7395,15917258,0
20090217,5.3775,5.5806,5.2892,5.4040,21515341,0
20090218,5.3245,5.5188,5.2892,5.4040,20155652,0
20090219,5.5099,5.5541,5.2715,5.3157,25951923,0
20090220,5.2274,5.4305,5.1832,5.3333,33367956,0
20090223,5.3863,5.5188,5.0684,5.1038,26832270,0
20090224,5.1567,5.4658,5.0243,5.4040,36052027,0
20090225,5.3598,5.5099,5.1391,5.3510,20220570,0
20090226,5.3333,5.5717,5.0331,5.0949,25640715,0
20090227,4.9801,5.0773,4.8830,4.9095,25991801,0
20090302,4.8124,4.8918,4.6534,4.6623,23571215,0
20090303,4.7682,4.9007,4.5828,4.7152,24889069,0
20090304,4.7682,5.0773,4.6711,4.9978,21041085,0
20090305,4.7594,4.9801,4.6976,4.7241,30024498,0
20090306,4.7859,4.8565,4.5386,4.6887,23499011,0
20090309,4.6358,4.6534,4.3709,4.4062,23026858,0
20090310,4.5121,4.8830,4.3709,4.8653,34126385,0
20090311,4.9448,5.0861,4.7329,5.0419,27887356,0
20090312,4.9448,5.2009,4.8389,5.1656,20721325,0
20090313,5.2980,5.4746,5.1038,5.2980,14353701,0
20090316,5.5188,5.5806,5.2892,5.3068,16399857,0
20090317,5.3245,5.6159,5.3245,5.6159,13002110,0
20090318,5.5806,5.8631,5.4481,5.7660,15511282,0
20090319,5.8190,5.9161,5.4128,5.4923,24303651,0
20090320,5.6865,5.6954,5.3157,5.3687,23525075,0
20090323,5.5806,5.9603,5.5541,5.9603,20727142,0
20090324,5.8896,6.0397,5.7837,5.8896,18288615,0
20090325,5.9691,6.2252,5.7572,5.9868,18078288,0
20090326,6.1810,6.2781,6.0221,6.2075,21592582,0
20090327,6.0574,6.2075,6.0574,6.1280,19458715,0
20090330,5.9868,6.1192,5.6512,5.7219,22764073,0
20090331,5.8543,5.9868,5.7219,5.8455,23779517,0
20090401,5.7572,6.1898,5.6777,6.1457,21530220,0
20090402,6.4194,6.7373,6.3223,6.6490,20634407,0
20090403,6.8079,6.9404,6.6137,6.8874,16280569,0
20090406,6.8344,6.9316,6.5872,6.6755,12841356,0
