DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,39.09,39.09,37.41,37.53,26198,0
20010103,37.53,37.53,36.06,36.47,29612,0
20010104,36.47,36.47,33.75,34.66,98302,0
20010105,34.59,35.19,34.31,34.59,23456,0
20010108,34.53,34.97,34.50,34.78,13172,0
20010109,34.72,35.31,34.69,34.91,8096,0
20010110,34.94,36.06,34.66,35.00,51418,0
20010111,34.94,35.00,34.19,34.22,18714,0
20010112,34.25,34.41,33.66,33.78,18014,0
20010115,33.78,33.78,33.78,33.78,0,0
20010116,33.97,34.50,33.38,34.31,16660,0
20010117,34.22,34.59,32.69,33.38,56276,0
20010118,33.50,34.28,33.50,33.94,23618,0
20010119,34.00,34.63,33.72,34.19,15766,0
20010122,34.19,34.19,34.19,34.19,0,0
20010123,34.81,35.03,34.50,34.69,12160,0
20010124,34.91,35.38,34.63,34.94,21702,0
20010125,34.94,36.44,34.91,36.19,202732,0
20010126,36.25,36.34,35.66,35.88,6880,0
20010129,35.73,36.53,35.47,36.27,0,0
20010130,36.41,36.41,35.16,36.05,7272400,0
20010131,35.37,35.63,35.35,35.49,20326200,0
20010201,35.50,35.50,34.63,34.97,1706200,0
20010202,34.99,35.04,34.78,34.94,2064600,0
20010205,34.65,34.83,33.58,34.13,2289200,0
20010206,34.17,34.17,33.50,33.65,19266800,0
20010207,33.65,33.65,32.50,32.93,2992800,0
20010208,33.42,34.00,33.35,33.74,6641000,0
20010209,33.75,33.88,33.15,33.38,1483400,0
20010212,33.38,33.40,32.71,33.19,2287600,0
20010213,33.63,34.37,33.45,34.13,2029800,0
20010214,34.50,34.63,34.22,34.58,0,0
20010215,34.15,34.46,34.10,34.46,2650800,0
20010216,34.80,35.38,34.10,35.29,2137600,0
20010219,35.29,35.29,35.29,35.29,0,0
20010220,35.40,35.46,34.78,34.99,1710000,0
20010221,34.99,35.53,34.76,34.90,1902200,0
20010222,34.97,35.08,34.13,34.47,897400,0
20010223,34.47,34.69,34.00,34.69,1096600,0
20010226,34.69,35.38,34.65,35.34,1263000,0
20010227,34.95,35.25,34.83,34.86,1632600,0
20010228,34.99,35.08,33.81,34.09,1301000,0
20010301,34.00,34.00,33.06,33.55,2359200,0
20010302,33.45,33.68,32.96,33.30,2049000,0
20010305,33.97,34.96,33.81,34.56,1641600,0
20010306,34.95,35.05,34.64,34.85,648400,0
20010307,35.05,36.05,34.92,36.03,1222200,0
20010308,35.92,36.10,35.56,36.07,1013000,0
20010309,36.00,36.28,35.56,35.97,20844200,0
20010312,35.97,35.97,34.52,34.56,1333800,0
20010313,35.00,35.05,34.56,34.90,3228200,0
20010314,34.72,34.98,34.63,34.70,5187800,0
20010315,35.00,35.02,34.03,34.31,2023000,0
20010316,34.31,34.76,33.90,33.95,2527600,0
20010319,33.85,34.28,33.85,34.17,994600,0
20010320,34.17,34.17,33.58,33.63,1027400,0
20010321,33.55,33.56,32.69,32.75,1661200,0
20010322,33.50,33.65,31.76,32.18,2589600,0
20010323,32.25,32.49,31.92,32.40,1922000,0
20010326,32.50,32.58,31.75,31.85,21685400,0
20010327,32.08,32.19,31.25,31.27,4635000,0
20010328,31.27,31.27,30.25,30.50,4479600,0
20010329,30.64,31.29,30.50,30.98,12018800,0
20010330,31.38,31.48,30.90,31.33,9282400,0
20010402,31.63,32.26,31.63,32.25,3035800,0
20010403,32.15,32.42,31.75,31.83,22000000,0
20010404,31.95,32.30,31.66,31.88,1922800,0
20010405,32.25,32.47,31.90,32.35,1407200,0
20010406,32.35,34.50,31.73,32.50,1851600,0
20010409,32.30,32.97,32.29,32.85,2617800,0
20010410,33.08,34.05,32.84,34.01,21400000,0
20010411,34.17,35.45,33.35,33.83,2667200,0
20010412,33.78,34.67,33.50,34.67,2133200,0
20010416,34.65,34.68,33.77,34.24,1126800,0
20010417,34.15,34.53,33.75,33.90,1168800,0
20010418,34.30,35.42,34.10,35.24,2174000,0
20010419,35.90,36.94,35.86,36.75,2983400,0
20010420,36.70,36.70,35.95,35.95,2628800,0
20010423,36.65,36.65,35.71,35.95,2709000,0
20010424,36.08,37.06,36.08,37.06,4387000,0
20010425,36.25,36.68,35.88,36.37,5010600,0
20010426,36.85,38.50,36.65,37.75,4530600,0
20010427,37.73,39.00,37.73,38.25,3102800,0
20010430,38.50,38.67,38.25,38.54,8893000,0
20010501,38.55,39.25,38.45,38.85,6665400,0
20010502,38.65,39.70,38.65,39.46,2772000,0
20010503,38.97,39.58,38.50,39.33,3086600,0
20010504,38.76,39.40,38.58,39.26,52777200,0
20010507,38.50,39.15,38.50,39.00,2867000,0
20010508,38.92,39.47,38.90,39.15,1574600,0
20010509,39.08,39.10,37.95,39.08,61185600,0
20010510,39.00,39.14,38.78,38.95,3552800,0
20010511,39.00,39.38,38.88,39.13,1169800,0
20010514,39.00,39.35,38.65,39.33,1272200,0
20010515,39.70,40.00,39.35,39.74,2664200,0
20010516,39.15,40.38,39.15,40.01,2043800,0
20010517,40.01,41.47,40.01,40.94,2372800,0
20010518,40.35,41.25,40.35,40.99,10852400,0
20010521,40.86,41.53,40.86,41.44,5385000,0
20010522,41.45,42.00,41.26,41.83,1424600,0
20010523,41.95,42.14,39.85,40.01,2783200,0
20010524,39.95,40.17,38.38,38.59,11657800,0
20010525,38.60,39.04,38.39,38.72,3389400,0
20010528,38.72,38.72,38.72,38.72,0,0
20010529,38.62,38.84,38.13,38.25,8577400,0
20010530,38.24,39.74,38.24,39.58,1897800,0
20010531,39.58,39.58,38.67,38.78,21303400,0
20010601,38.95,39.38,38.81,39.28,1252800,0
20010604,39.28,39.42,38.60,39.23,790600,0
20010605,39.53,40.14,39.44,40.06,1169400,0
20010606,39.96,40.00,38.92,39.04,1268200,0
20010607,39.00,39.09,38.30,38.90,3129000,0
20010608,38.75,38.75,37.87,38.63,1131200,0
20010611,38.67,38.87,38.08,38.22,8671600,0
20010612,38.22,38.69,37.76,38.40,1343400,0
20010613,38.42,38.60,37.74,37.94,2726600,0
20010614,37.70,37.81,36.92,37.06,4988400,0
20010615,36.76,37.65,36.76,37.17,1990200,0
20010618,37.50,37.55,37.05,37.37,10602600,0
20010619,37.62,37.90,37.08,37.74,51009400,0
20010620,37.74,38.25,37.74,38.08,2204600,0
20010621,38.00,38.00,37.21,37.83,2341600,0
20010622,37.20,37.29,36.63,36.82,2101200,0
20010625,36.82,37.13,36.31,36.58,787600,0
20010626,36.47,37.50,36.25,37.24,1181600,0
20010627,37.28,37.60,37.20,37.40,908000,0
20010628,37.05,37.60,37.00,37.49,1337200,0
20010629,37.50,39.00,37.28,38.90,2447000,0
20010702,38.51,38.63,38.01,38.19,1412600,0
20010703,38.00,38.24,37.70,38.15,828200,0
20010704,38.15,38.15,38.15,38.15,0,0
20010705,38.15,38.33,37.82,38.31,1296200,0
20010706,38.22,38.33,37.25,37.38,925000,0
20010709,37.49,37.88,37.28,37.72,1260200,0
20010710,37.60,37.72,37.30,37.33,708600,0
20010711,37.25,37.67,36.88,37.45,943200,0
20010712,37.45,39.42,37.45,39.25,1484400,0
20010713,39.00,39.82,38.70,39.37,4912600,0
20010716,39.47,40.25,39.47,40.23,1821000,0
20010717,39.85,39.85,39.28,39.61,2838200,0
20010718,39.50,40.80,39.38,40.50,1961600,0
20010719,40.80,42.60,40.76,41.98,4528400,0
20010720,41.93,41.93,40.80,41.47,1660600,0
20010723,40.78,40.90,40.25,40.81,45021200,0
20010724,40.35,40.42,39.65,39.94,29873400,0
20010725,39.38,40.07,39.38,40.07,1718200,0
20010726,40.10,40.72,40.10,40.35,3062800,0
20010727,40.30,40.69,40.28,40.60,8524800,0
20010730,40.58,41.00,40.43,40.65,1234800,0
20010731,40.58,40.75,40.38,40.45,2622400,0
20010801,40.38,41.48,40.17,41.48,1596800,0
20010802,41.47,41.88,40.95,41.71,2214200,0
20010803,41.58,41.64,40.76,41.33,952800,0
20010806,41.34,41.75,40.85,40.90,8745400,0
20010807,40.91,41.74,40.90,41.74,1386200,0
20010808,41.65,41.86,40.83,41.01,1190400,0
20010809,41.00,41.92,40.97,41.92,13216600,0
20010810,42.05,42.62,42.00,42.54,1775600,0
20010813,42.55,42.74,42.13,42.17,12350200,0
20010814,41.99,42.13,41.33,41.37,4160600,0
20010815,41.28,41.72,40.87,40.92,1523200,0
20010816,40.99,41.63,40.75,41.62,2225600,0
20010817,41.42,41.42,40.60,40.85,1145400,0
20010820,40.85,41.25,40.63,41.23,2817000,0
20010821,41.11,41.32,41.00,41.15,9216600,0
20010822,41.17,41.17,39.85,40.19,29149000,0
20010823,40.19,40.75,40.19,40.60,1648400,0
20010824,41.15,41.50,40.79,41.50,1791200,0
20010827,41.38,41.51,40.95,41.30,1910200,0
20010828,40.88,41.50,40.71,40.75,908800,0
20010829,40.51,40.70,40.15,40.17,867800,0
20010830,40.04,40.44,39.58,39.75,5467000,0
20010831,39.71,39.74,39.40,39.47,1111600,0
20010903,39.47,39.47,39.47,39.47,0,0
20010904,39.50,39.50,38.78,38.93,2493200,0
20010905,38.85,38.97,38.42,38.85,1366200,0
20010906,38.82,39.25,38.65,38.87,985800,0
20010907,38.80,39.05,38.13,38.22,1308600,0
20010910,37.95,38.31,37.63,37.99,1370000,0
20010911,37.99,37.99,37.99,37.99,0,0
20010917,43.25,43.30,40.38,41.45,12216800,0
20010918,41.38,42.00,40.35,41.22,5640800,0
20010919,41.10,41.69,40.00,41.40,6686400,0
20010920,41.38,41.54,39.63,39.68,5036600,0
20010921,39.69,42.50,38.80,42.01,4037800,0
20010924,42.03,43.53,42.02,43.10,4048800,0
20010925,42.35,43.38,41.42,42.91,2863000,0
20010926,43.05,43.13,41.60,42.69,2165200,0
20010927,42.38,44.90,42.21,44.80,3098000,0
20010928,44.75,45.10,43.38,44.16,3142600,0
20011001,44.28,44.42,43.20,43.44,2497400,0
20011002,43.44,44.80,43.10,43.47,2983200,0
20011003,43.48,45.30,43.40,44.92,2270800,0
20011004,45.00,46.25,44.24,45.62,3229400,0
20011005,45.62,46.70,45.62,46.28,38419200,0
20011008,46.50,48.00,46.50,47.49,6778800,0
20011009,47.37,47.37,45.36,45.37,5748000,0
20011010,45.38,46.25,44.67,45.00,3594800,0
