DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,46.75,46.81,42.63,43.75,356796,0
20010103,44.25,47.94,43.81,47.81,390563,0
20010104,47.31,48.75,47.13,48.06,263822,0
20010105,47.75,47.81,46.13,47.31,227582,0
20010108,47.25,47.25,44.63,45.56,231983,0
20010109,45.94,46.25,43.75,44.56,197821,0
20010110,44.13,45.13,43.19,44.69,245743,0
20010111,45.63,47.00,45.56,46.63,235456,0
20010112,46.81,46.94,45.00,45.69,165883,0
20010115,45.69,45.69,45.69,45.69,0,0
20010116,45.69,47.56,45.63,47.38,197158,0
20010117,48.00,48.50,46.44,46.69,243280,0
20010118,47.38,48.06,46.63,47.63,192697,0
20010119,47.81,48.13,46.63,47.00,190452,0
20010122,47.00,47.00,47.00,47.00,0,0
20010123,46.00,47.50,45.50,46.69,210885,0
20010124,46.50,47.19,45.81,46.31,190152,0
20010125,46.38,47.19,45.81,45.94,207670,0
20010126,46.44,46.81,40.25,44.63,266138,0
20010129,46.25,47.09,44.00,45.19,22902500,0
20010130,46.38,48.09,45.00,46.78,19835100,0
20010131,46.75,46.95,45.60,46.00,21696300,0
20010201,46.50,46.73,45.90,46.23,17344500,0
20010202,46.25,46.90,45.47,46.28,16036100,0
20010205,46.49,48.10,46.05,47.85,21801300,0
20010206,47.90,48.09,47.23,47.60,15893100,0
20010207,47.67,48.68,42.00,46.95,12992200,0
20010208,47.75,48.14,47.03,47.14,16459000,0
20010209,47.14,47.14,45.40,45.66,18439800,0
20010212,45.66,47.82,45.66,47.51,17936300,0
20010213,47.65,47.99,47.15,47.16,14301000,0
20010214,47.19,47.19,46.12,46.26,11485700,0
20010215,46.40,48.05,46.15,47.98,22219000,0
20010216,46.50,47.30,46.26,47.00,16815200,0
20010219,47.00,47.00,47.00,47.00,0,0
20010220,47.20,48.30,47.20,47.69,19967800,0
20010221,47.70,48.45,47.22,47.30,17785600,0
20010222,47.35,47.48,46.10,47.10,22850100,0
20010223,46.60,46.95,45.03,46.18,23229300,0
20010226,47.00,48.00,46.25,47.98,20895100,0
20010227,47.48,48.00,46.71,48.00,22483700,0
20010228,48.00,48.24,45.60,46.50,26520900,0
20010301,45.50,46.07,44.91,45.91,23936000,0
20010302,45.35,45.65,44.54,44.57,22045100,0
20010305,44.75,45.35,44.60,45.10,16625800,0
20010306,46.25,46.58,45.34,45.42,15490500,0
20010307,45.48,46.25,45.48,45.98,13868700,0
20010308,46.15,46.34,45.00,45.87,16515900,0
20010309,45.25,45.33,43.43,43.81,18694400,0
20010312,43.00,43.24,37.75,39.60,45437000,0
20010313,41.50,42.50,40.90,42.33,42812100,0
20010314,40.75,42.25,40.14,41.03,35114500,0
20010315,41.50,41.75,40.13,41.08,25025300,0
20010316,40.40,41.50,40.15,40.55,43891600,0
20010319,40.70,41.62,40.15,41.10,20749400,0
20010320,41.50,42.10,40.05,40.05,22212800,0
20010321,40.05,40.59,38.87,39.00,26759900,0
20010322,38.75,38.80,36.42,37.70,55228700,0
20010323,38.75,39.99,37.09,39.99,45719900,0
20010326,40.50,40.97,40.29,40.40,25885200,0
20010327,40.75,42.24,40.56,41.91,36404500,0
20010328,41.25,41.60,40.81,41.55,25601600,0
20010329,41.10,41.49,40.70,41.40,26898400,0
20010330,41.65,41.91,41.25,41.86,28554700,0
20010402,41.93,42.64,40.88,41.80,24130700,0
20010403,41.55,41.55,39.26,39.68,23399700,0
20010404,39.25,40.90,39.05,39.60,26767600,0
20010405,41.00,42.23,40.65,42.10,23742000,0
20010406,41.55,41.70,40.35,41.17,23769300,0
20010409,41.44,42.37,41.22,42.00,17654900,0
20010410,42.75,44.00,42.61,43.83,25861700,0
20010411,44.40,44.49,42.75,43.27,20102800,0
20010412,43.55,44.70,43.35,44.70,16927900,0
20010416,44.53,44.74,43.91,44.65,13900200,0
20010417,44.10,45.49,44.04,45.46,19882700,0
20010418,45.88,47.95,45.57,47.90,35424400,0
20010419,47.50,48.55,47.33,48.51,21893600,0
20010420,48.51,48.51,47.51,48.10,22523500,0
20010423,47.75,47.98,46.88,47.20,16114800,0
20010424,47.00,47.79,45.90,45.99,18101300,0
20010425,46.70,48.47,46.40,47.81,17721900,0
20010426,48.95,49.39,48.49,49.30,19970100,0
20010427,49.36,49.95,48.55,49.95,14900500,0
20010430,49.96,50.00,48.01,48.53,18177300,0
20010501,48.05,48.95,47.80,48.91,13049400,0
20010502,49.05,49.44,48.15,49.02,17537500,0
20010503,49.10,49.10,48.01,48.50,18170600,0
