DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,2.6074,2.6094,2.2891,2.3164,38233600,0
20010103,2.3145,2.5000,2.0859,2.4121,42387200,0
20010104,2.4336,2.5195,2.0508,2.0547,40089600,0
20010105,2.0645,2.0645,1.7383,1.8281,107644800,0
20010108,1.8301,1.8594,1.5547,1.6992,104828800,0
20010109,1.7188,1.7695,1.6406,1.6895,77564800,0
20010110,1.6592,1.7773,1.6582,1.7520,53401600,0
20010111,1.8086,1.8184,1.7207,1.7793,38460800,0
20010112,1.7500,1.9609,1.7070,1.8633,33180800,0
20010115,1.8633,1.8633,1.8633,1.8633,0,0
20010116,1.8965,2.1416,1.8789,2.0371,47664000,0
20010117,2.0810,2.0859,1.7891,1.8496,33683200,0
20010118,1.8477,1.8867,1.7656,1.8516,45702400,0
20010119,1.9688,1.9766,1.8281,1.8613,31219200,0
20010122,1.8809,2.0273,1.8750,1.9316,27001600,0
20010123,1.9727,2.1680,1.9180,2.1514,41760000,0
20010124,2.1523,2.1641,2.0156,2.0449,33644800,0
20010125,2.0508,2.0781,2.0000,2.0508,19075200,0
20010126,1.9902,2.0781,1.9688,2.0117,27078400,0
20010129,2.0137,2.1875,1.9961,2.1563,32326400,0
20010130,2.1602,2.1875,2.0898,2.1055,16272000,0
20010131,2.1328,2.1543,2.1035,2.1152,19116800,0
20010201,2.1230,2.1250,1.9961,2.0176,23532800,0
20010202,2.0176,2.0391,1.9336,1.9746,22006400,0
20010205,1.9609,2.0039,1.8516,1.9258,28428800,0
20010206,1.9082,2.0859,1.9082,2.0586,26982400,0
20010207,2.0605,2.0645,1.9297,2.0293,30064000,0
20010208,2.0430,2.1270,1.8867,1.9082,64803200,0
20010209,1.9043,1.9883,1.8828,1.9697,33075200,0
20010212,1.9648,2.2090,1.9629,2.1797,54220800,0
20010213,2.1855,2.2813,2.1113,2.1133,57395200,0
20010214,2.0605,2.1094,2.0313,2.0801,29942400,0
20010215,2.1514,2.1514,2.0547,2.0820,21036800,0
20010216,2.0625,2.1992,2.0430,2.1797,23513600,0
20010219,2.1797,2.1797,2.1797,2.1797,0,0
20010220,2.2852,2.3125,2.0703,2.1914,86508800,0
20010221,2.1602,2.1875,2.0469,2.0664,33779200,0
20010222,2.0605,2.0625,1.9141,1.9805,16433600,0
20010223,1.9883,2.1797,1.9688,2.1602,31873600,0
20010226,2.1758,2.2891,2.1719,2.2813,35699200,0
20010227,2.2813,2.3125,2.1992,2.2461,25366400,0
20010228,2.2656,2.3398,2.2227,2.3359,17377600,0
20010301,2.3086,2.3359,2.0508,2.1953,31848000,0
20010302,2.1719,2.2891,2.1680,2.2422,20843200,0
20010305,2.2578,2.2773,2.0977,2.0977,13139200,0
20010306,2.1543,2.2422,2.1328,2.1875,17363200,0
20010307,2.2344,2.2344,2.0781,2.0898,11865600,0
20010308,2.1211,2.1406,2.0820,2.1133,14043200,0
20010309,2.1406,2.1836,2.0586,2.0977,20880000,0
20010312,2.0430,2.0430,1.8086,1.8516,54982400,0
20010313,1.8496,1.9805,1.8477,1.9414,23731200,0
20010314,1.8984,2.0898,1.8984,2.0742,32184000,0
20010315,2.0781,2.1641,2.0195,2.0391,24489600,0
20010316,2.0391,2.0625,1.8594,1.8867,33121600,0
