DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20101118,35.00,35.99,33.89,34.19,458097672,0
20101119,34.15,34.50,33.11,34.26,107863195,0
20101122,34.20,34.48,33.81,34.08,36657284,0
20101123,33.95,33.99,33.19,33.25,31205498,0
20101124,33.73,33.80,33.22,33.48,26147933,0
20101126,33.41,33.81,33.21,33.80,12301247,0
20101129,33.80,33.81,33.07,33.80,27779596,0
20101130,33.53,34.25,33.36,34.20,57483406,0
20101201,34.65,34.95,34.42,34.78,34636722,0
20101202,34.92,34.98,34.51,34.68,23252038,0
20101203,34.55,34.60,33.97,34.55,19397100,0
20101206,34.48,34.78,34.41,34.48,11679340,0
20101207,34.75,34.89,34.46,34.68,20823723,0
20101208,34.61,34.73,34.33,34.45,12606033,0
20101209,34.36,34.43,33.62,33.74,18411071,0
20101210,33.85,33.99,33.53,33.81,11748583,0
20101213,33.96,34.05,33.70,33.80,11098315,0
20101214,33.73,33.92,33.45,33.89,15223980,0
20101215,33.81,34.01,33.61,33.61,10183633,0
20101216,33.57,33.86,33.56,33.61,9887417,0
20101217,33.53,34.00,33.19,34.00,35682190,0
20101220,33.91,34.05,33.74,33.76,12478176,0
20101221,33.86,33.94,33.72,33.85,9012935,0
20101222,33.72,34.95,33.53,34.92,20943971,0
20101223,34.67,35.52,34.62,34.81,20530860,0
20101227,34.41,34.89,34.19,34.60,7369560,0
20101228,35.38,35.67,35.07,35.32,23504027,0
20101229,35.47,36.30,35.25,36.02,20977863,0
20101230,36.10,36.98,36.02,36.82,16992775,0
20101231,36.84,36.96,36.57,36.86,6169578,0
20110103,37.32,38.00,37.03,37.06,24887527,0
20110104,37.10,37.99,36.68,37.90,32363335,0
20110105,37.47,38.30,37.47,38.07,22504710,0
20110106,38.24,39.48,38.07,38.90,38574796,0
20110107,38.84,39.33,38.51,38.98,19903435,0
20110110,39.34,39.36,38.44,38.56,18345001,0
20110111,38.66,39.43,38.51,38.75,14865842,0
20110112,38.95,39.37,38.37,38.62,16773869,0
20110113,38.66,38.71,38.11,38.27,11366756,0
20110114,38.18,38.47,38.04,38.20,5897150,0
20110118,38.05,38.33,37.32,38.03,8919038,0
20110119,37.78,37.93,37.26,37.40,12667643,0
20110120,37.11,37.29,36.27,37.18,15845623,0
20110121,37.33,37.85,36.82,37.24,9548691,0
20110124,37.71,37.86,37.03,37.64,12202831,0
20110125,37.85,38.49,37.71,38.40,12322634,0
20110126,38.75,38.91,37.86,37.89,11538199,0
20110127,38.20,38.95,38.03,38.67,13952195,0
20110128,38.00,38.02,36.01,36.60,37136046,0
20110131,36.89,37.05,35.89,36.49,13958195,0
20110201,36.93,37.23,36.13,36.45,28094539,0
20110202,36.46,36.56,35.58,35.68,17444689,0
20110203,35.97,36.06,35.13,36.06,19355848,0
20110204,36.25,36.73,35.89,36.59,11117733,0
20110207,36.95,37.09,36.61,36.70,7335115,0
20110208,36.97,37.05,36.40,36.89,6244440,0
20110209,36.82,36.91,36.28,36.41,6400798,0
20110210,36.17,36.64,35.52,35.88,11544935,0
20110211,35.76,36.57,35.55,36.45,13518261,0
20110214,36.55,36.56,35.47,36.29,7124095,0
20110215,36.19,36.41,35.80,36.11,10336657,0
20110216,36.11,36.84,36.02,36.75,8682405,0
20110217,36.55,36.70,36.30,36.37,7464253,0
20110218,36.42,36.76,36.38,36.51,6818766,0
20110222,35.86,36.15,35.45,35.77,13944804,0
20110223,35.85,35.94,33.80,34.59,28209336,0
20110224,34.90,35.00,32.05,33.02,63562771,0
20110225,33.67,34.20,33.05,33.25,29027035,0
20110228,33.49,33.74,32.86,33.53,15891493,0
20110301,33.69,33.75,32.43,32.95,27327979,0
20110302,32.90,33.17,32.59,32.88,14307499,0
20110303,33.03,33.17,32.65,33.03,17614922,0
20110304,33.07,33.08,32.01,32.39,24245673,0
20110307,32.35,32.50,31.52,31.70,15083555,0
20110308,31.74,32.82,31.69,32.72,14545020,0
20110309,32.74,32.76,32.10,32.25,11227891,0
20110310,31.47,31.78,30.95,31.42,38336483,0
20110311,31.25,32.06,31.24,31.93,14024947,0
20110314,32.14,32.30,31.43,31.59,9981420,0
20110315,30.98,32.49,30.65,32.35,21478013,0
20110316,32.42,32.53,31.40,31.78,14155590,0
