DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20040819,50.0501,52.0821,48.0280,50.2177,44661478,0
20040820,50.7908,54.5946,50.3003,54.2092,22836137,0
20040823,55.4354,56.7968,54.5796,54.7548,18262208,0
20040824,55.6757,55.8559,51.8368,52.5526,15245745,0
20040825,52.5325,54.0541,51.9920,53.0531,9189022,0
20040826,52.5275,54.0290,52.3824,54.0090,7095234,0
20040827,54.1041,54.3644,52.8979,53.1281,6211736,0
20040830,52.7978,52.7978,51.0561,51.0561,5190283,0
20040831,51.2112,51.9069,51.1311,51.2362,4921927,0
20040901,51.4014,51.5365,49.8849,50.1752,9140007,0
20040902,49.5946,51.2362,49.5195,50.8058,15118892,0
20040903,50.5255,50.9209,49.7097,50.0551,5152253,0
20040907,50.5556,51.0511,49.8549,50.7958,5846494,0
20040908,50.4204,51.5666,50.3003,51.2012,4985462,0
20040909,51.3013,51.4064,50.5506,51.2062,4061640,0
20040910,50.8509,53.1832,50.7007,52.6627,8696265,0
20040913,53.3684,54.2593,53.2833,53.8038,7846789,0
20040914,53.7738,56.0561,53.4484,55.8008,10965737,0
20040915,55.3353,57.1722,55.1552,56.0561,10714179,0
20040916,56.2262,57.9580,55.8809,57.0420,9266296,0
20040917,57.2673,58.8038,56.8318,58.8038,9487557,0
20040920,58.5335,60.8609,58.4434,59.7397,10654459,0
20040921,60.1602,60.2703,58.8138,58.9790,7228570,0
20040922,58.7838,59.8949,58.4635,59.2492,7581197,0
20040923,59.4795,61.3764,58.5686,60.4705,8537618,0
20040924,60.5455,62.1121,59.9399,59.9750,9124281,0
20040927,59.8398,60.5005,58.9590,59.1892,7066562,0
20040928,60.6356,63.7638,60.1652,63.4935,16935102,0
20040929,63.3283,67.5776,63.1782,65.6056,30519432,0
20040930,65.0145,66.2162,64.5646,64.8649,13766470,0
20041001,65.4655,67.1872,64.5145,66.3564,15127515,0
20041004,67.9780,68.5035,67.0821,67.5976,13070666,0
20041005,67.3974,69.3343,66.1862,69.2543,14999487,0
20041006,68.9039,69.2943,68.0681,68.6086,13386366,0
20041007,68.3483,70.0100,68.3433,69.4945,14119612,0
20041008,69.4344,69.9099,68.5786,68.9339,11076660,0
20041011,68.5736,69.4995,66.9920,67.7427,10471968,0
20041012,67.3123,68.8689,66.7668,68.7888,11827047,0
20041013,71.7317,71.8468,70.1101,70.5205,19769876,0
20041014,70.5806,71.2613,69.3493,71.0711,10458139,0
20041015,72.5475,72.8228,71.0460,72.1271,13195687,0
20041018,71.6717,74.6747,70.6757,74.6547,14051494,0
20041019,75.3253,76.2763,73.7487,74.0440,18120663,0
20041020,74.0440,74.5696,69.8699,70.3153,22756475,0
20041021,72.1371,75.1401,70.8809,74.7648,29966004,0
20041022,85.3028,90.1752,82.1221,86.3013,73765842,0
20041025,88.2282,97.3123,86.3614,93.7938,65485003,0
20041026,93.2633,96.4164,90.0901,91.1061,44576699,0
20041027,91.4515,94.8548,90.9760,93.1081,26712059,0
20041028,93.4334,97.2923,92.8929,96.7467,29680698,0
20041029,99.5345,100.0751,95.3954,95.4154,42324565,0
20041101,96.8719,98.9339,95.7307,98.2232,24442169,0
20041102,99.4645,99.7247,96.7668,97.5325,22709058,0
20041103,99.1942,100.9009,95.4705,95.9309,27767417,0
20041104,94.3143,95.2953,91.7668,92.6677,28802986,0
20041105,91.0911,91.2412,84.3594,84.7598,39664300,0
20041108,85.5505,87.8078,84.7848,86.3614,22377754,0
20041109,87.1371,87.6877,82.7177,84.4344,22298751,0
20041110,85.4204,86.3463,83.2482,84.0140,21281523,0
20041111,84.6496,91.9670,83.8689,91.6016,30016372,0
20041112,92.7077,94.9950,88.7888,91.0911,33458644,0
20041115,90.3153,94.2543,89.4645,92.5275,23779221,0
20041116,88.8388,89.8248,85.5005,86.3589,41815760,0
20041117,84.5946,88.8388,84.5846,86.3363,36239458,0
20041118,85.2853,87.2973,82.9479,83.8539,33233273,0
20041119,84.6146,85.0751,83.3433,84.7848,17615585,0
20041122,84.4069,84.8348,80.7357,82.6326,24719464,0
20041123,84.0415,85.5005,83.3333,83.8438,24828293,0
20041124,87.5075,88.6937,86.3413,87.4675,30550365,0
