DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,18.47,18.88,18.28,18.41,9711200,0
20010103,18.72,18.72,18.00,18.16,11956800,0
20010104,17.94,18.19,17.41,18.09,18216800,0
20010105,18.19,18.47,17.81,18.03,11939200,0
20010108,18.44,18.59,18.25,18.28,12488000,0
20010109,19.00,19.28,18.59,19.03,15222800,0
20010110,19.00,19.84,19.00,19.66,18024400,0
20010111,19.75,20.13,19.53,20.06,15608400,0
20010112,19.72,20.06,19.72,20.03,11094800,0
20010115,20.03,20.03,20.03,20.03,0,0
20010116,20.00,20.34,19.59,20.28,11518000,0
20010117,19.94,19.94,19.31,19.50,13008000,0
20010118,19.44,19.66,18.28,18.78,13622000,0
20010119,18.78,19.47,18.34,18.56,13064800,0
20010122,18.88,19.06,18.63,18.66,7178800,0
20010123,19.09,19.50,18.66,19.31,9830000,0
20010124,19.44,20.06,19.16,19.91,13278400,0
20010125,20.00,20.91,19.63,20.81,13204000,0
20010126,20.84,21.09,20.03,20.38,11251600,0
20010129,20.20,20.30,19.91,19.95,5851200,0
20010130,19.95,20.34,19.53,20.13,7728800,0
20010131,20.25,20.75,19.98,20.59,10542400,0
20010201,20.20,20.26,19.85,20.10,7337600,0
20010202,20.02,20.57,20.00,20.06,10846400,0
20010205,20.35,20.82,20.25,20.55,10086000,0
20010206,20.89,21.50,20.25,21.33,11573600,0
20010207,21.00,21.80,20.72,21.50,14252400,0
20010208,21.58,21.72,20.86,21.40,13132400,0
20010209,21.48,21.80,21.20,21.24,7261200,0
20010212,21.13,21.33,20.73,21.33,11952400,0
20010213,20.90,21.65,20.81,21.63,13876000,0
20010214,21.50,21.88,21.35,21.57,13318400,0
20010215,21.30,21.42,20.63,20.76,12709600,0
20010216,21.52,21.55,20.77,20.95,18713200,0
20010219,20.95,20.95,20.95,20.95,0,0
20010220,21.00,21.45,20.74,20.84,18545200,0
20010221,20.81,21.24,20.68,20.75,9713600,0
20010222,21.15,21.30,19.89,20.04,11038800,0
20010223,20.15,20.40,19.31,19.77,7563200,0
20010226,19.77,20.75,19.60,20.38,10565200,0
20010227,20.70,20.87,20.50,20.73,9450800,0
20010228,20.85,20.90,19.60,19.91,9196000,0
20010301,19.98,20.62,19.91,20.10,6815600,0
20010302,20.10,20.73,20.04,20.66,8695200,0
20010305,20.85,21.25,20.38,21.06,6492800,0
20010306,20.93,21.47,20.76,21.42,9630400,0
20010307,21.42,22.48,21.42,22.38,15864400,0
20010308,22.38,22.60,21.91,22.58,12404000,0
20010309,22.58,22.95,21.97,22.25,11075600,0
20010312,22.35,22.48,21.47,21.53,10106000,0
20010313,21.53,21.62,20.41,20.59,11267600,0
20010314,20.59,21.24,20.18,20.43,14384800,0
20010315,20.52,20.63,19.95,20.00,12227200,0
20010316,19.80,20.33,19.50,19.55,11510800,0
20010319,20.00,20.70,19.85,20.31,12164000,0
20010320,20.65,21.13,20.35,20.55,12580800,0
20010321,20.50,20.58,19.27,19.40,13283200,0
20010322,19.13,19.13,17.95,18.93,17983600,0
20010323,19.10,19.67,18.53,19.42,11943600,0
20010326,19.55,20.09,19.00,19.49,10658800,0
20010327,19.69,19.86,18.75,19.00,12368800,0
20010328,18.73,18.84,18.30,18.40,11430400,0
20010329,18.16,18.16,17.57,17.57,12120800,0
20010330,17.98,18.61,17.98,18.38,14745200,0
20010402,18.38,18.38,17.10,17.10,16028800,0
20010403,17.05,17.25,16.10,16.20,20456000,0
20010404,16.30,16.75,16.27,16.44,19569200,0
20010405,16.95,17.25,16.28,17.13,15159200,0
20010406,17.00,17.42,16.45,17.09,12960000,0
20010409,17.38,17.92,17.25,17.69,8804400,0
20010410,17.99,18.38,17.47,18.20,12996000,0
20010411,18.20,18.37,17.48,17.59,10400400,0
20010412,17.95,18.19,17.46,17.52,10087600,0
20010416,17.50,18.18,17.48,18.15,8943200,0
20010417,18.15,18.63,17.75,18.57,10256000,0
20010418,18.45,18.74,17.80,18.07,14000800,0
20010419,18.38,18.40,17.50,17.61,10689600,0
20010420,18.05,18.67,17.75,18.51,15044800,0
20010423,18.64,19.10,18.60,19.02,9828000,0
20010424,19.02,19.42,18.55,18.78,9493200,0
20010425,18.90,19.42,18.59,19.31,6234400,0
20010426,19.75,21.30,19.75,21.07,28910400,0
20010427,21.10,21.30,20.88,21.06,13792000,0
20010430,21.29,21.69,21.10,21.55,11175200,0
20010501,21.52,21.67,20.91,21.23,8928800,0
20010502,20.75,20.75,19.95,20.15,17327600,0
20010503,20.27,20.52,19.91,20.25,13897200,0
20010504,20.49,21.40,20.31,20.88,12979200,0
20010507,21.09,21.27,20.31,20.49,7435600,0
20010508,20.55,20.71,20.02,20.61,8192800,0
20010509,20.90,21.26,20.77,21.25,12677600,0
20010510,21.38,21.50,20.97,21.30,8766400,0
20010511,21.27,21.28,20.60,20.90,8652400,0
20010514,21.44,21.98,21.21,21.98,13624000,0
20010515,22.00,22.70,22.00,22.67,15325600,0
20010516,22.25,22.72,22.00,22.70,17037600,0
20010517,22.70,23.73,22.52,23.66,16192000,0
20010518,23.77,24.08,23.50,23.91,15122000,0
20010521,23.98,24.63,23.83,24.60,15050000,0
20010522,24.58,24.58,23.80,24.00,16076000,0
20010523,24.00,24.00,23.23,23.31,13390800,0
20010524,23.33,23.33,22.78,23.30,9940800,0
20010525,23.30,23.90,23.30,23.75,8422000,0
20010528,23.75,23.75,23.75,23.75,0,0
20010529,24.00,24.10,23.38,23.52,8151200,0
20010530,23.50,23.62,22.65,22.99,11478800,0
20010531,22.90,23.43,22.45,23.37,14641200,0
20010601,23.37,23.47,22.91,23.06,11182400,0
20010604,23.40,23.95,23.37,23.75,12142400,0
20010605,23.55,23.70,23.13,23.70,9532000,0
20010606,23.27,23.27,22.33,22.50,13046800,0
20010607,22.00,22.48,21.83,22.21,13995200,0
20010608,22.42,22.43,21.75,22.40,6011200,0
20010611,22.52,22.69,21.89,22.03,9326400,0
20010612,22.15,22.55,22.05,22.39,8254400,0
20010613,22.63,23.25,22.08,22.15,15252400,0
20010614,22.00,22.15,21.55,21.64,13212400,0
20010615,21.33,21.92,21.33,21.56,13544800,0
20010618,21.45,21.77,21.13,21.19,7699200,0
20010619,21.25,21.42,21.00,21.29,7380000,0
20010620,21.02,21.70,20.65,20.75,10954400,0
20010621,20.83,20.86,19.44,19.62,27018800,0
20010622,19.63,20.00,19.00,19.63,20412400,0
20010625,19.85,20.08,19.50,19.80,14742000,0
20010626,19.80,20.67,19.80,20.57,15026000,0
20010627,20.25,20.26,19.27,19.33,14473200,0
20010628,19.33,19.44,18.25,18.58,18957200,0
20010629,18.02,19.15,17.60,17.80,30522000,0
20010702,17.63,18.06,17.08,17.08,23566000,0
20010703,17.30,17.55,17.02,17.02,15901600,0
20010704,17.02,17.02,17.02,17.02,0,0
20010705,17.02,17.42,16.90,16.97,29388000,0
20010706,17.13,17.15,16.35,16.58,23405600,0
20010709,16.75,16.75,15.99,16.40,16464800,0
20010710,16.20,17.15,16.20,16.65,20756800,0
20010711,16.52,16.65,15.60,16.61,24172400,0
20010712,16.58,16.88,15.75,15.89,23187600,0
20010713,15.89,16.56,15.40,16.08,19852000,0
