DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,45.69,46.31,44.63,45.56,64919,0
20010103,45.56,51.44,45.06,51.44,175727,0
20010104,49.81,52.50,49.63,51.69,155413,0
20010105,50.00,50.56,49.31,49.75,100635,0
20010108,49.50,49.50,47.00,47.69,68568,0
20010109,47.56,47.75,45.00,45.88,79011,0
20010110,45.81,47.56,45.19,47.44,74817,0
20010111,47.81,49.50,47.50,49.06,61272,0
20010112,49.06,50.25,49.06,49.13,83732,0
20010115,49.13,49.13,49.13,49.13,0,0
20010116,48.75,49.13,47.63,48.88,59489,0
20010117,47.88,48.56,46.13,46.38,89203,0
20010118,46.50,47.00,44.13,44.25,119768,0
20010119,41.75,43.00,41.00,41.00,34243000,0
20010122,41.00,41.00,41.00,41.00,0,0
20010123,43.00,44.88,43.00,44.75,83548,0
20010124,44.81,45.38,44.38,45.06,72848,0
20010125,45.38,46.06,44.19,46.00,98784,0
20010126,45.75,45.75,44.13,44.75,69569,0
20010129,47.63,47.84,45.94,46.56,5347400,0
20010130,47.34,48.09,46.00,46.09,9631400,0
20010131,46.65,49.00,46.30,48.19,13788200,0
20010201,47.52,48.90,47.06,48.65,8798100,0
20010202,48.65,48.65,46.57,46.89,5827800,0
20010205,46.87,46.87,46.10,46.61,4130300,0
20010206,47.11,47.40,45.56,45.65,3802500,0
20010207,45.90,46.74,45.09,45.78,5977600,0
20010208,46.00,46.24,43.58,43.99,7593900,0
20010209,44.50,45.74,43.45,44.43,5924300,0
20010212,44.60,45.88,44.45,45.73,5499000,0
20010213,45.99,46.64,44.85,46.31,6050600,0
20010214,46.75,46.85,45.14,45.72,5802200,0
20010215,44.80,44.97,44.00,44.61,6189300,0
20010216,45.00,45.00,42.50,43.00,7418600,0
20010219,43.00,43.00,43.00,43.00,0,0
20010220,44.50,45.55,43.80,44.09,8240700,0
20010221,43.15,43.45,40.80,40.95,8117900,0
20010222,41.50,41.50,39.91,40.00,12719300,0
20010223,39.95,41.08,39.65,40.01,10656500,0
20010226,41.15,43.86,41.15,43.75,10431100,0
20010227,44.50,44.96,43.60,44.55,8900600,0
20010228,44.60,44.90,42.20,42.50,7965100,0
20010301,42.35,42.49,40.75,41.50,7713700,0
20010302,40.51,42.40,40.32,41.55,6377600,0
20010305,41.80,41.95,41.05,41.43,4188100,0
20010306,42.00,42.35,41.15,41.36,5942900,0
20010307,41.48,43.90,41.48,43.70,8738800,0
20010308,43.90,45.50,43.85,44.72,8444900,0
20010309,44.98,45.07,43.60,44.52,7062500,0
20010312,43.56,43.96,41.63,42.06,8341300,0
