DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,46.50,46.50,42.44,44.25,9858900,0
20010103,44.25,48.13,43.50,48.13,8868000,0
20010104,47.50,48.81,47.38,48.06,3651600,0
20010105,47.44,47.63,46.06,46.94,4208200,0
20010108,46.00,46.63,44.56,45.69,3562500,0
20010109,45.69,46.44,44.13,44.69,5533200,0
20010110,44.06,45.50,43.44,45.19,6354400,0
20010111,45.88,47.69,45.88,47.38,4945600,0
20010112,47.38,47.63,45.50,46.50,4046200,0
20010115,46.50,46.50,46.50,46.50,0,0
20010116,46.25,48.19,46.25,47.88,4420000,0
20010117,48.69,49.27,47.63,48.00,9644900,0
20010118,48.50,49.44,47.63,48.88,4466500,0
20010119,49.13,49.38,47.69,48.38,4205700,0
20010122,48.13,48.60,46.69,47.06,3782200,0
20010123,47.63,48.25,47.32,47.88,4306000,0
20010124,47.88,48.38,46.94,47.38,2534800,0
20010125,47.25,48.50,47.13,47.31,5136300,0
20010126,47.44,48.13,46.00,46.44,5793200,0
20010129,46.35,46.70,45.26,45.80,3114900,0
20010130,45.80,47.50,45.80,47.37,4511100,0
20010131,47.37,48.19,46.90,47.25,4531000,0
20010201,47.65,48.20,47.21,47.74,2603100,0
20010202,47.55,48.25,47.28,47.70,3479500,0
20010205,47.70,49.62,47.65,49.42,3520700,0
20010206,49.25,49.70,48.77,49.25,2825300,0
20010207,49.00,49.35,48.10,48.55,2211200,0
20010208,48.99,49.70,48.50,48.78,2573300,0
20010209,48.53,48.65,46.80,47.20,4790700,0
20010212,47.50,49.45,47.37,49.06,2933000,0
20010213,48.87,49.64,48.69,48.70,2660700,0
20010214,48.60,48.69,47.60,47.67,1711400,0
20010215,47.55,49.49,47.50,48.50,4518300,0
20010216,47.92,48.80,47.70,48.21,2802200,0
20010219,48.21,48.21,48.21,48.21,0,0
20010220,48.21,49.84,48.21,49.20,2969500,0
20010221,49.50,49.94,48.51,48.67,3513500,0
20010222,48.90,48.90,47.10,48.20,6143500,0
20010223,47.60,48.00,45.95,47.00,5185000,0
20010226,47.40,48.84,47.03,48.68,6717800,0
20010227,46.50,48.15,46.50,48.15,9503200,0
20010228,48.08,48.24,45.75,46.73,9645800,0
20010301,45.75,46.10,45.00,46.05,5193300,0
20010302,45.70,45.80,44.54,44.79,3793600,0
20010305,44.75,45.74,44.70,45.65,3841400,0
20010306,46.50,47.13,46.06,46.25,4173600,0
20010307,46.40,46.83,46.09,46.48,2735500,0
20010308,46.55,46.85,45.51,46.33,4486200,0
20010309,45.51,45.70,43.58,43.98,5366100,0
20010312,43.80,43.80,38.60,40.40,8869700,0
20010313,41.50,42.40,40.75,42.23,7347500,0
20010314,40.50,41.97,40.00,40.65,7580900,0
20010315,40.95,41.14,40.28,40.51,5012300,0
20010316,40.06,41.00,39.50,39.50,9680600,0
20010319,39.75,40.95,39.32,40.55,4994800,0
20010320,40.65,41.45,39.10,39.45,4264300,0
20010321,39.10,39.84,37.75,37.77,4241200,0
20010322,37.00,37.25,34.85,35.93,11262700,0
20010323,36.75,38.53,36.46,37.95,7004600,0
20010326,39.60,40.63,38.70,39.30,5640800,0
20010327,39.50,41.50,39.41,41.39,4301100,0
20010328,40.30,40.70,39.87,40.60,5404300,0
20010329,40.35,40.60,39.65,40.45,2124500,0
20010330,40.70,41.15,40.00,40.80,5006100,0
20010402,40.45,41.75,39.60,40.48,3107700,0
20010403,40.05,40.28,37.85,38.25,4686200,0
20010404,38.00,39.90,37.46,38.19,5350400,0
20010405,39.35,40.71,39.30,40.65,7598400,0
20010406,39.85,40.20,38.65,39.50,9734200,0
20010409,39.60,40.70,38.70,39.60,5320900,0
20010410,40.45,43.38,40.40,42.34,8545600,0
20010411,43.00,43.24,41.11,41.60,5027200,0
20010412,41.85,43.45,41.60,43.45,4434600,0
20010416,42.75,43.25,42.20,43.25,4309400,0
20010417,42.30,44.50,42.30,44.35,4388000,0
20010418,45.04,47.50,44.65,47.00,7200700,0
20010419,46.25,47.70,46.25,47.60,3001800,0
20010420,46.80,47.95,46.60,47.22,5449700,0
20010423,47.12,47.12,45.50,46.43,2498400,0
20010424,46.29,46.98,45.20,45.39,2233600,0
20010425,46.10,48.20,45.96,47.51,3456700,0
20010426,48.45,49.28,48.12,49.19,3047300,0
20010427,49.30,49.95,48.51,49.95,3032900,0
20010430,49.50,49.95,47.90,48.88,2382800,0
20010501,48.00,48.99,47.74,48.95,2534100,0
20010502,48.90,49.50,48.10,49.05,3501800,0
20010503,49.15,49.65,48.10,48.40,8417700,0
20010504,47.50,50.00,47.28,49.81,3480300,0
20010507,49.60,50.03,49.30,49.90,3929700,0
20010508,48.90,49.66,48.37,49.26,3379900,0
20010509,48.60,50.17,48.42,49.50,5716700,0
20010510,50.00,50.05,49.20,49.74,1907200,0
20010511,49.80,49.80,48.50,49.50,2298800,0
20010514,49.00,50.00,48.81,49.90,2039400,0
20010515,49.70,50.41,49.43,50.31,4389600,0
20010516,49.52,52.18,49.50,52.10,6350300,0
20010517,51.70,52.82,51.67,52.50,3831500,0
20010518,52.75,53.60,52.20,53.25,4623300,0
20010521,52.90,53.90,52.65,53.50,2864700,0
20010522,53.25,53.53,52.20,52.94,2589700,0
20010523,52.60,52.93,51.20,51.61,3502600,0
20010524,51.61,52.15,50.89,51.50,2892400,0
20010525,51.00,51.24,49.80,50.20,2701100,0
20010528,50.20,50.20,50.20,50.20,0,0
20010529,50.35,50.60,49.30,49.54,6423900,0
20010530,49.40,49.73,48.55,48.63,3217000,0
20010531,48.90,49.02,48.30,48.40,3466400,0
20010601,48.30,48.69,47.40,48.37,2754100,0
20010604,48.62,49.00,48.25,48.74,3787000,0
20010605,48.50,48.95,48.00,48.84,3807000,0
20010606,48.70,49.17,48.30,48.84,5791500,0
20010607,48.55,49.07,48.11,48.75,2769900,0
20010608,48.10,48.11,45.20,46.51,10354500,0
20010611,46.75,47.78,45.05,45.25,11365200,0
20010612,44.01,44.01,41.56,43.47,26877200,0
20010613,45.00,46.00,41.55,42.26,27013500,0
20010614,36.35,41.23,36.00,37.10,86217700,0
20010615,37.40,38.80,35.50,38.70,28101200,0
20010618,38.30,40.10,37.97,40.00,18436900,0
20010619,38.80,39.20,36.70,38.50,19482000,0
20010620,37.06,37.85,36.75,37.04,16827500,0
20010621,37.40,37.40,36.35,36.75,14038100,0
20010622,37.15,37.15,36.17,36.60,9981200,0
20010625,36.50,37.70,35.06,35.60,19479300,0
20010626,34.90,37.40,34.45,36.20,17151800,0
20010627,36.21,38.10,35.25,37.00,16864500,0
20010628,40.60,40.60,37.50,38.20,22855400,0
20010629,38.30,38.30,33.00,34.99,51839500,0
20010702,34.40,34.75,33.88,34.11,16704600,0
20010703,35.40,35.75,34.80,35.10,16615500,0
20010704,35.10,35.10,35.10,35.10,0,0
20010705,35.00,36.64,34.85,36.50,17349100,0
20010706,36.30,36.30,34.92,35.19,14843400,0
20010709,35.00,35.15,34.45,34.68,8432400,0
20010710,34.99,35.05,34.33,34.40,10480900,0
20010711,34.60,36.00,34.43,35.50,8740800,0
20010712,35.50,36.50,35.50,36.11,6128900,0
20010713,36.40,36.50,35.98,36.50,4574900,0
20010716,36.50,36.59,35.95,36.09,3751900,0
20010717,36.00,36.05,35.00,35.90,5631600,0
20010718,35.75,36.90,35.60,36.50,6238000,0
20010719,36.60,37.00,36.15,36.56,3894700,0
20010720,36.40,37.00,36.40,36.90,6735000,0
20010723,36.85,37.09,36.13,36.17,5877800,0
20010724,36.75,37.10,35.98,36.21,7353500,0
20010725,36.25,37.28,36.03,36.80,3746900,0
20010726,37.00,37.19,36.71,37.00,5851000,0
20010727,37.00,37.45,36.61,37.37,3685600,0
20010730,37.48,37.70,36.93,37.19,2506000,0
20010731,37.70,37.70,36.77,36.87,3328700,0
20010801,37.15,37.55,36.71,36.72,3964000,0
20010802,36.99,37.18,36.36,36.85,3700800,0
20010803,37.00,37.04,36.55,36.80,2279400,0
20010806,36.98,37.09,36.42,36.52,2429300,0
20010807,36.90,36.90,36.54,36.54,3549400,0
20010808,36.73,36.75,35.86,36.30,2398400,0
20010809,36.44,36.48,35.80,36.08,2110700,0
20010810,36.07,36.50,35.35,36.50,2069600,0
20010813,36.55,36.55,35.86,36.19,1669300,0
20010814,36.44,36.74,36.21,36.68,2279800,0
20010815,37.02,37.40,36.90,37.32,4576500,0
20010816,37.15,37.71,36.81,37.50,3186400,0
20010817,37.50,37.74,36.75,36.95,3957600,0
20010820,37.20,38.10,37.02,38.10,3674500,0
20010821,38.10,38.49,37.02,37.25,3757400,0
20010822,37.50,37.85,37.10,37.50,3350400,0
20010823,38.05,38.05,37.60,37.92,1551900,0
20010824,38.47,39.08,38.25,38.95,3594700,0
20010827,38.70,39.03,38.54,38.95,1995200,0
20010828,39.00,39.00,37.25,37.51,2272600,0
20010829,38.00,38.05,37.00,37.01,3063000,0
20010830,37.01,37.35,36.35,36.88,3408600,0
20010831,37.35,37.70,36.93,37.26,2269200,0
20010903,37.26,37.26,37.26,37.26,0,0
20010904,37.26,38.25,36.88,36.95,3092900,0
20010905,36.97,37.70,36.50,37.39,1771700,0
20010906,37.05,37.45,36.72,36.90,2720800,0
20010907,36.90,37.02,35.72,35.75,3512200,0
20010910,35.76,36.12,35.52,35.70,5206600,0
20010911,35.70,35.70,35.70,35.70,0,0
20010917,31.29,32.31,28.58,29.50,17930800,0
20010918,28.10,29.50,27.70,28.51,11387700,0
20010919,28.15,28.31,25.50,26.58,10642900,0
20010920,26.00,26.00,23.45,23.59,10514700,0
20010921,22.15,24.95,22.15,24.80,15099400,0
20010924,25.30,28.10,25.30,27.84,9121200,0
20010925,27.84,28.25,26.15,28.25,7447000,0
20010926,28.00,28.00,25.55,26.00,5677900,0
20010927,26.12,26.38,24.80,25.05,4948200,0
20010928,25.60,26.82,25.60,26.40,7778800,0
20011001,26.95,26.95,25.75,26.10,4017300,0
20011002,26.10,26.25,25.32,25.65,5006200,0
20011003,25.75,27.70,25.50,26.95,4948900,0
20011004,27.25,27.95,26.90,27.21,4274200,0
20011005,27.35,28.13,26.65,27.81,3016100,0
20011008,27.46,28.90,27.25,28.53,3089100,0
20011009,28.50,28.65,27.59,28.44,3058400,0
20011010,28.05,29.10,27.86,28.80,3242400,0
20011011,28.80,29.48,28.36,29.35,4570800,0
20011012,28.90,29.46,28.49,29.14,2756600,0
20011015,29.22,29.40,27.75,28.30,2789400,0
20011016,28.55,28.97,28.04,28.35,3013400,0
20011017,28.35,28.57,27.65,27.70,3215100,0
20011018,27.90,27.90,27.30,27.62,1423800,0
20011019,28.00,28.00,27.02,27.30,3072900,0
