DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,14.41,14.93,13.51,13.73,68205,0
20010103,13.85,15.78,13.65,15.46,142477,0
20010104,15.72,16.54,15.55,15.72,97848,0
20010105,15.83,15.83,13.90,13.90,94981,0
20010108,14.30,14.33,13.88,14.24,65255,0
20010109,14.50,14.76,14.13,14.33,320231,0
20010110,14.02,14.53,13.85,14.41,107932,0
20010111,14.41,14.95,14.24,14.70,164379,0
20010112,14.13,14.30,13.62,13.93,213473,0
20010115,13.93,13.93,13.93,13.93,0,0
20010116,13.85,13.99,13.59,13.79,107413,0
20010117,14.24,14.61,14.10,14.36,99286,0
20010118,14.76,15.89,14.67,15.75,117313,0
20010119,16.54,16.54,15.81,16.23,123585,0
20010122,16.23,16.23,16.23,16.23,0,0
20010123,15.41,15.72,15.10,15.58,61404,0
20010124,15.89,16.06,15.72,15.89,64784,0
20010125,15.89,16.00,15.49,15.63,61874,0
20010126,15.29,15.75,13.90,15.63,52620,0
20010129,17.10,17.86,16.34,17.55,8456700,0
20010130,16.94,18.08,16.80,17.93,7492700,0
20010131,16.83,17.23,16.53,16.68,5137300,0
20010201,16.42,16.79,16.24,16.73,4228400,0
20010202,16.71,16.91,16.23,16.23,4463300,0
20010205,16.03,16.20,15.61,16.03,14224500,0
20010206,16.03,16.98,16.01,16.71,5182900,0
20010207,16.48,16.70,16.15,16.34,4860800,0
20010208,16.39,16.39,15.74,15.82,5728600,0
20010209,15.46,15.84,14.93,15.21,6092100,0
20010212,15.21,15.32,14.60,14.80,9515000,0
20010213,15.32,15.50,15.00,15.07,6722700,0
20010214,15.16,15.66,14.81,15.62,7664700,0
20010215,16.00,16.80,15.99,16.50,9954500,0
20010216,14.98,15.13,14.21,15.04,12295100,0
20010219,15.04,15.04,15.04,15.04,0,0
20010220,14.76,14.78,13.62,13.85,11154100,0
20010221,13.69,14.52,13.62,13.62,8315300,0
20010222,13.62,14.03,13.39,13.52,10496200,0
20010223,13.58,13.73,12.92,13.62,8816900,0
20010226,13.85,13.97,13.39,13.62,8293000,0
20010227,13.57,13.57,12.92,12.98,8760300,0
20010228,13.17,13.33,12.72,13.10,9479100,0
20010301,12.73,13.38,12.53,13.17,9689300,0
20010302,12.94,13.96,12.81,13.41,12915200,0
20010305,13.44,14.02,13.44,13.79,4185400,0
20010306,14.23,14.98,14.23,14.60,6975800,0
20010307,14.87,14.92,14.53,14.69,5938600,0
20010308,14.57,14.71,14.12,14.38,5112300,0
20010309,14.38,14.38,13.57,13.73,6100600,0
20010312,13.62,14.60,13.52,13.57,7467600,0
20010313,14.03,14.39,13.71,14.34,6223900,0
20010314,13.97,14.60,13.74,14.05,7295700,0
20010315,14.30,14.39,13.92,13.94,5047900,0
20010316,13.71,14.07,12.94,12.94,13651600,0
20010319,12.96,13.94,12.83,13.85,6831500,0
20010320,14.03,14.30,13.30,13.31,6598700,0
20010321,12.85,13.80,12.71,13.27,6348100,0
20010322,13.28,14.19,13.28,14.02,7788000,0
20010323,14.30,14.52,13.85,14.15,6795700,0
20010326,14.46,14.57,14.23,14.32,9503100,0
20010327,14.37,14.82,14.32,14.66,9183300,0
20010328,14.08,14.21,13.55,13.77,7667400,0
20010329,13.51,14.40,13.44,13.91,4010700,0
20010330,14.12,14.35,13.66,14.20,5484000,0
20010402,14.07,14.18,12.87,13.13,9182300,0
20010403,12.96,12.96,12.21,12.44,9711600,0
20010404,12.47,12.71,11.90,12.40,7725100,0
20010405,13.21,14.14,13.17,13.97,6591000,0
20010406,13.58,13.61,12.94,13.05,6357000,0
20010409,13.17,13.76,12.88,12.94,6173100,0
20010410,13.17,13.73,13.16,13.54,9293900,0
20010411,13.73,14.23,13.41,13.73,7278600,0
20010412,13.62,13.94,13.46,13.90,4843800,0
20010416,13.63,13.79,13.40,13.62,4131700,0
20010417,13.54,13.82,12.69,13.28,7457800,0
20010418,13.69,15.44,13.57,14.48,15066200,0
20010419,14.17,14.85,13.62,14.76,13403300,0
20010420,14.76,14.80,14.09,14.39,8035600,0
20010423,14.07,14.08,13.74,14.05,5099000,0
20010424,13.85,14.19,13.17,13.36,6727500,0
20010425,13.48,13.48,12.97,13.26,6562800,0
20010426,13.26,13.29,12.69,12.69,7435600,0
20010427,12.87,13.05,12.75,12.89,5287600,0
20010430,13.00,13.32,12.76,12.91,5944400,0
20010501,12.67,12.98,12.58,12.92,6993400,0
20010502,13.26,13.26,12.83,13.01,7628500,0
20010503,12.78,12.85,12.43,12.52,9030400,0
20010504,12.33,12.59,12.26,12.59,6914600,0
20010507,12.76,12.91,12.38,12.56,5805800,0
20010508,12.71,12.73,12.20,12.41,6321700,0
