DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,84.50,87.50,84.13,84.81,79761,0
20010103,83.81,95.00,83.81,94.63,127160,0
20010104,94.75,99.75,92.69,93.19,148670,0
20010105,93.94,94.69,91.00,94.00,79865,0
20010108,93.50,93.94,91.56,93.56,60626,0
20010109,94.44,95.75,91.44,92.56,75058,0
20010110,92.50,94.94,91.75,93.44,75636,0
20010111,92.94,94.25,91.31,93.69,94792,0
20010112,93.63,96.44,92.44,93.81,64176,0
20010115,93.81,93.81,93.81,93.81,0,0
20010116,93.75,94.00,91.88,92.75,50904,0
20010117,95.38,97.75,94.38,96.69,90549,0
20010118,103.50,110.00,103.50,108.31,250311,0
20010119,107.44,113.94,107.38,111.38,146300,0
20010122,111.38,111.38,111.38,111.38,0,0
20010123,108.63,109.44,107.63,109.06,98040,0
20010124,109.06,111.44,109.00,110.44,67479,0
20010125,110.13,111.13,109.50,110.75,49942,0
20010126,109.63,114.94,109.19,114.19,90453,0
20010129,113.72,118.00,113.00,117.06,5111100,0
20010130,115.00,118.34,114.00,117.91,8228600,0
20010131,115.75,116.75,111.50,112.00,8135300,0
20010201,112.40,114.34,111.21,114.03,5565700,0
20010202,112.75,113.82,109.61,110.27,5318800,0
20010205,109.40,112.60,109.35,112.22,5106300,0
20010206,112.05,115.69,111.20,114.19,7446100,0
20010207,113.40,117.60,112.68,116.91,8944100,0
20010208,116.91,118.20,114.03,114.10,8249400,0
20010209,114.03,114.92,111.00,112.00,6274200,0
20010212,110.55,115.72,110.35,114.90,6659900,0
20010213,114.20,117.38,113.07,113.75,7126400,0
20010214,113.75,116.17,112.50,115.10,7006800,0
20010215,117.66,118.60,116.65,116.84,7946300,0
20010216,114.55,115.62,113.94,115.00,7023900,0
20010219,115.00,115.00,115.00,115.00,0,0
20010220,114.55,115.53,110.78,111.50,6678400,0
20010221,109.65,111.50,107.29,107.68,9109700,0
20010222,106.50,110.90,103.38,108.90,11567600,0
20010223,106.82,107.25,100.45,104.00,15220200,0
20010226,105.80,105.80,101.85,105.25,8290300,0
20010227,104.90,106.79,102.56,102.59,9619000,0
20010228,103.00,104.00,99.12,99.90,11754000,0
20010301,99.30,106.40,97.65,106.05,14947400,0
20010302,103.51,107.50,101.00,102.31,14631400,0
20010305,102.81,105.60,102.71,104.91,6737200,0
20010306,106.25,108.30,105.25,106.00,8107700,0
20010307,107.45,108.20,105.66,107.43,7725300,0
20010308,107.18,107.20,105.40,106.39,7205800,0
20010309,105.00,105.00,98.00,99.29,16451200,0
20010312,97.90,98.39,95.03,95.49,14407100,0
20010313,95.11,98.44,94.25,98.39,12089800,0
20010314,95.00,98.90,93.31,94.85,14202900,0
20010315,96.16,97.61,95.17,95.46,8388800,0
20010316,93.90,93.90,88.20,90.10,19802200,0
20010319,91.00,92.80,89.25,92.50,101300000,0
20010320,91.60,91.99,88.14,88.30,10077300,0
20010321,88.69,92.25,87.80,88.98,9392800,0
20010322,89.25,91.00,87.75,89.10,13240700,0
20010323,91.75,94.95,90.39,93.50,12215400,0
20010326,95.25,95.57,93.75,94.25,6962700,0
20010327,94.00,100.00,94.00,99.50,11805100,0
20010328,97.65,98.35,94.25,94.41,11858500,0
20010329,94.74,97.06,94.30,95.04,10531000,0
20010330,96.40,97.56,94.75,96.18,9398700,0
20010402,97.61,98.02,93.60,94.66,8765300,0
20010403,94.50,94.50,90.10,90.39,13073800,0
20010404,90.75,94.05,90.10,92.00,13398800,0
20010405,95.80,99.00,95.64,98.21,12376000,0
20010406,97.86,100.00,96.56,97.95,13395700,0
20010409,98.50,98.60,93.80,96.00,9409600,0
20010410,97.00,99.90,96.60,98.66,10413600,0
20010411,101.50,101.68,95.80,97.43,11453100,0
20010412,96.40,97.40,95.16,96.20,9323700,0
20010416,96.20,99.90,95.20,96.75,9005800,0
20010417,97.15,99.82,97.15,99.70,9831500,0
20010418,103.00,110.00,102.32,106.50,18642600,0
20010419,112.00,115.90,110.30,114.47,25633900,0
20010420,114.22,116.30,113.87,114.83,12577600,0
20010423,113.90,114.04,111.68,112.00,8507900,0
20010424,113.40,114.70,112.28,112.67,8663700,0
20010425,112.00,114.85,112.00,114.85,6805200,0
20010426,114.86,116.70,113.68,113.74,7273100,0
20010427,116.80,116.80,114.55,116.20,7395200,0
20010430,116.50,118.02,114.73,115.14,7326400,0
20010501,115.85,118.65,114.90,118.51,7764700,0
20010502,118.25,118.90,113.74,115.40,9637400,0
20010503,114.58,115.04,112.35,113.70,6550800,0
20010504,112.70,115.86,111.40,115.86,8563100,0
20010507,116.60,117.14,115.00,115.90,5991800,0
20010508,117.25,117.75,115.50,117.70,7551100,0
20010509,116.20,118.15,115.31,116.98,7205100,0
20010510,118.50,118.59,115.20,115.20,7719700,0
20010511,113.75,114.12,110.98,111.81,8363700,0
20010514,111.20,113.05,111.00,112.56,5137600,0
20010515,113.50,114.15,112.50,113.58,5861000,0
20010516,112.51,115.80,112.29,115.80,7828100,0
20010517,115.80,116.94,115.05,115.07,6765100,0
20010518,115.07,117.67,114.91,117.44,6598200,0
20010521,117.95,119.90,117.56,119.04,8312000,0
20010522,119.38,119.63,117.77,118.01,5823300,0
20010523,117.76,118.95,117.24,117.40,6369200,0
20010524,117.50,119.60,117.50,119.60,7654700,0
20010525,119.50,119.90,117.80,117.80,5609400,0
20010528,117.80,117.80,117.80,117.80,0,0
20010529,117.36,117.59,115.08,115.27,5746400,0
20010530,113.80,114.00,112.00,112.65,9554100,0
20010531,112.65,113.86,111.65,111.80,6544100,0
20010601,112.50,113.60,111.90,112.89,5133600,0
20010604,113.25,114.75,112.86,113.64,3808500,0
20010605,113.65,117.54,113.56,116.97,6151800,0
20010606,117.60,119.00,116.50,117.50,94400000,0
20010607,117.00,118.25,117.00,117.25,6233600,0
20010608,117.50,117.50,115.60,116.10,3087500,0
20010611,116.40,118.14,116.10,117.36,6510800,0
20010612,116.75,117.80,115.56,117.24,7296700,0
20010613,117.15,118.47,115.94,116.59,5666500,0
20010614,115.60,116.00,114.00,115.75,7294300,0
20010615,115.10,115.40,113.40,113.60,12114400,0
20010618,113.98,115.43,113.30,114.27,5147000,0
20010619,116.26,117.25,114.56,114.88,6109400,0
20010620,113.70,114.98,111.76,113.00,8705600,0
20010621,112.13,114.69,111.38,112.60,8095800,0
20010622,112.60,114.41,112.50,112.87,5598000,0
20010625,113.75,114.90,111.78,112.63,5655500,0
20010626,111.25,114.05,111.11,113.04,6987200,0
20010627,113.10,114.18,112.45,113.52,4757300,0
20010628,113.75,116.95,113.75,115.10,8142900,0
20010629,115.55,116.70,113.00,113.50,9393800,0
20010702,113.50,115.40,113.00,114.35,5740100,0
20010703,114.07,114.15,112.76,112.98,3325800,0
20010704,112.98,112.98,112.98,112.98,0,0
20010705,112.60,113.26,111.79,112.10,4365200,0
20010706,110.90,110.90,105.81,106.33,11581300,0
20010709,106.50,106.91,103.75,104.72,9222900,0
20010710,104.83,105.37,101.60,101.96,10220200,0
20010711,101.60,104.13,101.50,103.85,8810300,0
20010712,105.80,107.80,105.62,107.25,8734100,0
20010713,106.15,109.30,106.11,108.53,7817300,0
20010716,108.51,109.38,107.28,107.82,5236800,0
20010717,106.11,108.58,104.75,108.53,8571300,0
20010718,106.11,107.60,103.20,104.28,10964200,0
20010719,106.00,106.00,103.10,103.96,13386500,0
20010720,103.50,105.70,103.08,105.70,8828900,0
20010723,105.50,106.95,105.30,105.85,6281100,0
20010724,104.85,106.00,103.79,104.51,7275400,0
20010725,104.50,105.40,102.73,104.80,6219000,0
20010726,104.75,106.00,102.93,106.00,8369500,0
20010727,104.81,105.85,104.11,104.70,4219200,0
20010730,105.60,106.25,104.81,105.85,7542500,0
20010731,106.05,107.00,105.15,105.21,7372100,0
20010801,105.35,108.50,105.35,107.06,6029800,0
20010802,108.40,109.47,107.21,108.80,5655200,0
20010803,107.70,108.48,107.11,108.18,3683200,0
20010806,107.26,107.34,105.79,106.51,4132500,0
20010807,105.81,107.37,105.28,106.25,3908100,0
20010808,105.00,106.10,104.10,104.19,6293000,0
20010809,103.63,104.54,102.70,104.08,6692500,0
20010810,103.85,104.95,102.81,104.95,5239100,0
20010813,105.00,106.64,104.66,105.86,5971000,0
20010814,106.50,106.80,105.40,106.20,5617300,0
20010815,106.39,106.55,105.00,105.02,4699300,0
20010816,104.12,106.02,103.73,105.75,6180300,0
20010817,105.26,105.29,103.90,104.59,6896900,0
20010820,104.75,105.00,102.80,104.10,5501100,0
20010821,103.86,104.97,101.53,101.88,6457700,0
20010822,102.55,104.00,101.76,103.96,7915000,0
20010823,104.00,104.61,103.00,103.00,5325900,0
20010824,103.85,107.80,103.50,106.99,7540700,0
20010827,106.99,108.20,106.75,106.86,4473300,0
20010828,106.90,107.03,104.87,104.95,5768800,0
20010829,105.75,105.90,103.82,104.19,4775000,0
20010830,102.75,103.12,98.86,100.36,14590400,0
20010831,100.81,101.30,99.35,99.95,8067600,0
20010903,99.95,99.95,99.95,99.95,0,0
20010904,100.15,103.13,99.36,101.49,9816900,0
20010905,101.50,102.82,99.61,100.69,11806700,0
20010906,100.35,100.35,97.86,98.00,9012400,0
20010907,97.80,98.15,96.00,96.59,10488600,0
20010910,96.00,97.40,95.60,96.47,10162000,0
20010911,96.47,96.47,96.47,96.47,0,0
20010917,93.90,95.86,92.57,93.34,14816100,0
20010918,94.00,96.55,93.98,96.40,12281000,0
20010919,96.40,96.68,92.45,96.00,14860900,0
20010920,94.10,95.54,92.85,93.40,15037000,0
20010921,90.61,93.32,89.50,90.50,18140800,0
20010924,92.00,94.90,91.85,94.80,11117500,0
20010925,94.15,95.95,93.41,94.45,12518500,0
20010926,94.01,94.45,90.30,91.30,13703600,0
20010927,91.30,91.50,87.50,90.00,13140600,0
20010928,90.21,92.71,89.90,92.30,11060900,0
20011001,91.72,93.48,91.35,92.71,8630500,0
20011002,92.31,93.90,92.10,93.77,7135800,0
20011003,92.90,97.62,92.50,96.95,11036300,0
20011004,97.00,98.88,96.81,97.31,9659500,0
20011005,96.63,98.45,95.37,98.02,9644400,0
20011008,97.11,98.94,96.80,98.50,7091200,0
20011009,98.07,98.40,96.76,97.14,7489600,0
20011010,95.00,97.30,94.90,97.25,10484500,0
20011011,97.70,99.40,93.19,99.40,11314300,0
20011012,98.51,101.00,98.00,100.84,11307400,0
20011015,100.84,102.75,100.40,102.00,10125400,0
20011016,101.87,103.00,99.66,101.85,11286200,0
20011017,106.30,106.31,102.90,102.90,18728800,0
20011018,103.20,103.75,100.78,101.26,10615100,0
20011019,101.50,102.74,100.14,102.65,11753500,0
20011022,102.65,105.77,101.90,105.25,7609900,0
20011023,105.75,107.35,104.55,105.81,7316000,0
20011024,106.17,108.75,106.11,108.57,8268900,0
20011025,108.05,110.85,106.77,110.66,9610900,0
20011026,110.00,112.10,109.63,111.16,10069200,0
20011029,110.50,110.70,108.62,108.62,6858000,0
20011030,107.80,109.72,107.76,108.65,8500700,0
20011031,109.60,111.12,108.07,108.07,7138300,0
20011101,107.25,110.17,106.90,109.89,7998600,0
20011102,109.15,110.30,108.78,109.35,6191900,0
20011105,109.95,110.56,109.08,109.97,5691500,0
20011106,109.60,114.80,109.00,114.19,8463300,0
20011107,113.05,115.51,113.05,113.85,10041000,0
20011108,113.96,115.56,113.61,113.81,7877000,0
20011109,113.10,114.90,113.10,114.08,5007400,0
20011112,113.00,114.90,112.05,114.90,5576500,0
20011113,115.70,117.00,115.70,116.70,8922800,0
20011114,116.70,117.00,113.35,114.35,7942800,0
20011115,114.11,116.33,113.84,114.75,6928200,0
20011116,115.00,115.00,112.55,114.50,6633500,0
20011119,114.70,115.80,113.77,115.00,4912800,0
20011120,114.35,116.80,114.27,115.25,6447400,0
20011121,114.95,115.25,113.05,114.34,4178000,0
20011122,114.34,114.34,114.34,114.34,0,0
20011123,114.29,115.37,113.72,115.35,1714000,0
20011126,115.90,116.40,115.20,116.33,4850100,0
20011127,116.25,116.30,114.08,114.20,6864100,0
20011128,114.10,114.35,112.10,112.15,6142100,0
20011129,112.90,114.55,111.81,114.43,6106300,0
20011130,114.43,115.94,113.85,115.59,5476600,0
20011203,114.80,114.80,113.21,114.13,5769900,0
20011204,114.30,116.72,113.38,116.64,6567000,0
20011205,116.85,121.98,116.65,121.40,14538100,0
20011206,120.41,121.70,119.80,120.14,11022500,0
20011207,119.50,121.00,115.01,120.40,6797400,0
20011210,120.00,121.00,119.41,119.66,5335900,0
20011211,120.40,122.71,119.80,121.50,7763900,0
20011212,121.12,123.21,119.00,123.20,7722400,0
20011213,121.55,122.30,120.13,120.25,7881500,0
20011214,120.80,121.45,119.41,121.10,6875500,0
20011217,120.25,122.14,120.18,121.34,6123800,0
20011218,121.51,122.96,121.35,122.20,5480400,0
20011219,121.90,124.70,121.06,123.89,7690400,0
20011220,123.89,123.97,122.15,122.70,6275800,0
20011221,122.70,123.50,121.71,122.00,8151800,0
20011224,122.05,122.48,121.10,121.45,1654400,0
20011226,122.00,123.70,121.81,122.40,3855200,0
20011227,122.75,123.90,122.65,123.50,3515800,0
20011228,123.50,123.88,122.42,122.67,4212800,0
20011231,122.75,123.24,120.95,120.96,3443100,0
20020102,120.60,121.50,119.80,121.50,6659600,0
20020103,121.50,124.21,120.80,123.66,8513000,0
20020104,124.05,125.60,123.98,125.60,8371200,0
20020107,125.01,126.19,123.70,124.05,5920100,0
20020108,124.25,125.20,123.76,124.70,5281300,0
20020109,124.70,126.39,124.15,124.49,6824800,0
20020110,123.75,123.95,121.42,122.14,8759100,0
20020111,121.50,122.18,120.28,120.31,4763500,0
20020114,120.00,120.30,117.10,118.05,10020500,0
20020115,118.05,119.70,117.73,118.85,5637600,0
20020116,118.00,118.75,117.25,117.27,5334600,0
20020117,119.85,120.55,118.90,119.90,9201300,0
20020118,114.50,114.90,112.81,114.25,18314200,0
20020121,114.25,114.25,114.25,114.25,0,0
20020122,114.25,114.25,110.33,110.50,9926000,0
20020123,110.80,111.25,107.36,107.90,12498600,0
20020124,108.80,109.68,107.07,108.60,85300000,0
20020125,108.50,110.69,108.10,109.19,6752100,0
20020128,109.50,110.17,107.06,108.15,6972600,0
20020129,108.15,108.48,102.41,103.00,14204800,0
20020130,104.25,105.75,101.00,105.55,17581400,0
20020131,106.40,107.98,104.50,107.89,9746500,0
20020201,107.54,109.22,106.64,108.00,6751000,0
20020204,108.00,108.00,105.99,106.80,6513000,0
20020205,106.25,108.44,106.00,106.30,6704200,0
20020206,106.70,107.82,105.34,106.63,6629700,0
20020207,106.64,107.00,103.88,103.91,7154800,0
20020208,103.00,105.72,102.50,104.99,81600000,0
20020211,105.00,107.69,104.51,107.38,6234800,0
20020212,106.75,107.88,106.07,106.57,4545800,0
20020213,106.70,108.48,106.20,108.07,5082400,0
20020214,109.00,109.15,107.20,107.89,5765700,0
20020215,104.80,104.80,101.70,102.88,18171700,0
20020218,102.88,102.88,102.88,102.88,0,0
20020219,101.50,101.68,98.86,99.54,13367700,0
20020220,99.54,99.85,97.00,99.31,14502400,0
20020221,98.75,99.65,96.02,96.38,10059900,0
20020222,96.38,99.20,95.76,98.45,10464100,0
20020225,98.45,99.23,97.15,98.25,9891000,0
20020226,99.00,99.19,96.00,97.15,11502500,0
20020227,98.10,100.31,96.70,97.83,11972200,0
20020228,98.49,99.55,97.83,98.12,7902500,0
20020301,98.60,103.10,98.50,103.02,10463100,0
20020304,103.35,106.53,103.15,105.90,10679200,0
20020305,104.25,106.49,104.18,105.67,7480500,0
20020306,105.15,107.05,104.75,106.30,7623500,0
20020307,107.30,107.50,103.25,103.71,10742900,0
20020308,104.82,107.31,102.70,105.09,10707500,0
20020311,104.35,105.97,103.60,105.24,8616500,0
20020312,105.51,108.50,105.51,108.50,11025600,0
20020313,108.30,108.65,106.70,107.18,6385400,0
20020314,107.18,107.95,106.59,106.60,4949900,0
20020315,106.55,108.16,105.59,106.79,10695900,0
20020318,107.35,108.57,106.23,106.35,5231900,0
20020319,106.85,108.05,106.50,107.49,4580700,0
20020320,106.90,106.90,105.49,105.50,4712800,0
20020321,105.70,106.78,104.70,106.78,5689600,0
20020322,106.50,106.60,105.07,105.60,5445100,0
20020325,105.80,106.66,103.50,103.56,6117300,0
20020326,103.57,105.66,102.30,102.90,8146400,0
20020327,103.75,103.79,102.50,103.39,5587800,0
20020328,103.55,105.14,103.40,104.00,5269000,0
20020401,104.00,104.00,102.40,102.86,5329000,0
20020402,102.00,102.00,100.51,101.01,7359000,0
20020403,101.40,101.50,98.90,99.96,7572000,0
20020404,99.96,101.14,99.50,100.84,5883200,0
20020405,100.84,101.25,97.25,97.25,9768400,0
20020408,87.50,88.46,85.00,87.41,41202700,0
20020409,88.50,88.50,87.10,87.74,17328000,0
20020410,88.45,89.90,88.13,89.01,13123900,0
20020411,88.00,88.06,83.34,84.19,22733200,0
20020412,87.52,87.96,84.30,85.60,15805000,0
20020415,86.50,86.60,84.70,85.35,8834400,0
20020416,86.35,86.85,85.58,86.20,7903600,0
20020417,87.05,87.20,84.28,84.50,10806900,0
20020418,86.97,89.10,86.97,88.95,14634400,0
20020419,89.90,89.91,87.60,89.00,9269700,0
20020422,88.95,88.95,87.36,87.93,6712400,0
20020423,88.35,89.08,87.24,87.33,5106000,0
20020424,88.20,88.20,86.27,86.50,6510200,0
20020425,86.05,86.90,85.79,86.71,6856800,0
20020426,86.70,86.96,84.70,84.71,6660500,0
20020429,84.71,85.07,83.55,83.89,6531700,0
20020430,83.91,85.19,83.53,83.76,8850100,0
20020501,83.85,84.65,81.67,84.30,12198400,0
20020502,83.75,84.80,83.13,83.86,6580200,0
20020503,83.10,83.49,81.11,81.78,8648100,0
20020506,81.70,81.80,76.00,76.00,13507300,0
20020507,76.89,77.50,75.92,76.50,17770700,0
20020508,78.50,82.80,78.35,82.45,12727500,0
20020509,81.90,83.00,79.00,79.93,10031700,0
20020510,79.95,80.42,79.25,79.68,7429300,0
20020513,80.25,82.29,79.51,82.19,6525600,0
20020514,84.50,85.48,83.65,85.48,9575900,0
20020515,84.60,86.28,84.05,84.50,8489400,0
20020516,84.20,86.00,83.42,85.45,6708600,0
20020517,86.25,86.40,85.00,85.69,5826500,0
20020520,84.45,85.46,83.93,84.45,5826500,0
20020521,84.41,87.00,83.30,83.45,4447100,0
20020522,83.76,84.39,82.75,84.00,4933500,0
20020523,84.25,84.95,82.52,84.35,6819600,0
20020524,83.65,83.75,82.62,83.10,4110500,0
20020527,83.10,83.10,83.10,83.10,0,0
20020528,82.80,83.10,81.69,82.08,4510500,0
20020529,81.50,81.99,81.31,81.60,4490500,0
20020530,80.60,82.25,80.22,82.25,7341800,0
20020531,82.05,82.05,80.19,80.45,4972200,0
20020603,80.75,80.85,78.00,78.11,8325500,0
20020604,78.11,79.65,77.61,79.31,7253400,0
20020605,79.65,80.80,79.12,80.55,7119100,0
20020606,80.55,80.95,79.11,79.66,5564400,0
20020607,78.48,78.85,77.01,78.30,9307300,0
20020610,77.75,78.39,76.60,76.80,7050400,0
20020611,77.85,78.24,75.20,75.49,7923100,0
20020612,75.40,75.95,73.25,74.65,13251100,0
20020613,75.45,77.40,75.30,75.60,8877100,0
20020614,74.20,76.77,73.30,76.20,8581600,0
20020617,76.18,77.75,75.16,77.14,7704500,0
20020618,75.60,76.81,75.47,75.94,7124800,0
20020619,74.20,75.20,73.25,73.30,9447900,0
20020620,74.00,74.09,71.43,71.58,10980400,0
20020621,70.00,70.99,68.19,68.75,15131600,0
20020624,67.25,71.49,67.25,69.70,14638700,0
20020625,70.30,71.45,68.41,68.60,8425000,0
20020626,66.10,70.59,66.10,70.05,11479400,0
20020627,71.20,72.15,69.11,71.90,10563000,0
20020628,71.35,73.62,71.25,72.00,10524900,0
20020701,72.01,72.41,67.16,67.60,11922700,0
20020702,67.85,69.40,67.71,68.58,12005800,0
20020703,67.95,70.71,67.87,70.51,8458800,0
20020704,70.51,70.51,70.51,70.51,0,0
20020705,72.45,74.25,72.09,73.50,5243000,0
20020708,73.00,73.41,71.03,71.30,9451800,0
20020709,71.40,72.24,69.46,69.67,10949800,0
20020710,70.60,71.20,68.54,68.76,9973000,0
20020711,68.00,69.74,67.55,69.41,10962700,0
20020712,70.84,71.68,68.80,69.21,8489400,0
20020715,68.40,71.00,66.60,70.93,10327100,0
20020716,69.96,71.39,68.48,69.01,10345900,0
20020717,71.00,71.60,69.02,70.69,11034000,0
20020718,70.50,74.20,70.02,72.05,15222400,0
20020719,70.96,75.57,70.00,72.00,11576300,0
20020722,71.25,72.14,68.31,68.50,14856900,0
20020723,68.25,69.94,66.66,67.05,12715000,0
20020724,66.00,70.00,65.75,69.54,13635900,0
20020725,68.90,70.00,67.30,69.35,10918800,0
20020726,68.76,69.44,65.76,66.40,11367000,0
20020729,68.00,71.40,68.00,71.18,11921600,0
20020730,70.50,72.70,70.09,71.79,9662100,0
20020731,70.75,71.60,69.11,70.40,12664500,0
20020801,70.40,70.49,67.23,68.25,8758000,0
20020802,68.21,68.23,67.12,67.88,6768300,0
20020805,67.94,68.35,65.85,65.99,7106300,0
20020806,67.00,69.42,66.76,67.90,8345700,0
20020807,68.97,69.75,66.80,69.17,8003400,0
20020808,69.20,72.05,68.35,71.61,8412400,0
20020809,70.61,72.95,70.42,71.83,6902900,0
20020812,71.05,72.64,70.61,71.77,5207200,0
20020813,71.55,73.78,71.19,71.90,7749900,0
20020814,71.95,75.02,71.41,74.92,8108700,0
20020815,75.40,76.70,74.77,76.50,9118600,0
20020816,76.50,79.97,76.20,79.35,11589600,0
20020819,79.35,82.85,79.02,82.49,10765500,0
20020820,81.56,82.00,80.20,81.27,7600200,0
20020821,81.90,82.30,79.55,81.00,7740500,0
20020822,80.95,82.45,80.21,81.99,5395600,0
20020823,81.20,81.47,79.35,80.40,5851900,0
20020826,80.40,80.89,77.95,79.42,6925400,0
20020827,80.40,80.40,77.30,77.96,7062900,0
20020828,76.00,76.78,75.67,76.06,6564200,0
20020829,75.60,77.34,75.17,76.62,5772300,0
20020830,75.55,76.34,75.10,75.38,4903000,0
20020902,75.38,75.38,75.38,75.38,0,0
20020903,74.20,74.35,72.30,72.35,6805300,0
20020904,72.35,73.99,71.60,73.73,6213600,0
20020905,72.15,73.32,71.64,72.18,6448400,0
20020906,73.50,73.97,73.07,73.20,4551300,0
20020909,72.45,74.97,71.90,74.50,5563900,0
20020910,74.60,75.60,73.90,75.60,5372700,0
20020911,76.40,77.10,74.06,74.20,5365200,0
20020912,74.05,74.05,71.64,71.87,6579100,0
20020913,71.50,72.88,71.35,72.50,5878300,0
20020916,72.00,72.60,71.23,72.32,4236700,0
20020917,73.00,73.41,71.35,71.75,6152500,0
20020918,70.65,70.82,68.90,69.52,11164100,0
20020919,64.80,66.40,64.70,64.80,21783000,0
20020920,65.40,65.40,63.91,63.92,13927600,0
20020923,63.75,63.75,62.40,63.37,8273900,0
20020924,61.69,63.26,59.55,59.75,16440600,0
20020925,61.20,63.77,61.09,63.01,13008200,0
20020926,64.25,64.85,61.33,62.02,12216300,0
20020927,61.43,63.42,60.31,60.36,8649800,0
20020930,59.55,59.86,58.00,58.31,12877100,0
20021001,59.20,61.98,59.05,61.17,11480300,0
20021002,61.00,62.00,58.50,59.63,10437200,0
20021003,60.30,61.10,58.99,60.00,10863200,0
20021004,59.50,59.51,55.77,56.60,14356500,0
20021007,56.60,58.49,56.60,56.86,9635200,0
20021008,57.78,58.09,54.81,57.05,14726200,0
20021009,56.05,56.05,54.85,55.09,12077300,0
20021010,54.65,58.48,54.05,57.58,12604200,0
20021011,61.75,63.92,61.50,63.92,17647400,0
20021014,61.54,63.80,61.54,63.42,7824800,0
20021015,67.75,68.48,66.61,68.48,14198700,0
20021016,66.60,66.96,64.24,64.90,14301500,0
20021017,72.80,72.80,71.24,72.20,20988600,0
20021018,71.60,74.25,70.35,74.25,12394100,0
20021021,73.65,75.90,72.95,75.55,10877300,0
