DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,52.00,52.34,50.78,50.97,87788,0
20010103,51.50,51.84,48.94,49.38,113214,0
20010104,49.03,49.03,48.31,48.31,147800,0
20010105,48.69,49.94,47.88,48.94,92426,0
20010108,48.59,49.75,48.50,48.88,55196,0
20010109,49.00,49.50,48.78,49.22,63456,0
20010110,49.47,49.50,47.69,47.84,74594,0
20010111,48.00,48.22,46.09,46.22,81944,0
20010112,46.75,47.41,46.56,47.28,67480,0
20010115,47.28,47.28,47.28,47.28,0,0
20010116,47.09,47.47,46.78,47.09,60952,0
20010117,47.03,47.03,45.63,45.84,77634,0
20010118,46.31,47.47,46.28,47.00,92880,0
20010119,46.44,47.34,46.41,47.06,78764,0
20010122,47.06,47.06,47.06,47.06,0,0
20010123,47.13,47.44,46.25,46.34,83188,0
20010124,45.84,45.84,45.19,45.28,110394,0
20010125,45.31,46.16,45.25,45.88,78950,0
20010126,46.38,46.75,45.88,45.97,142790,0
20010129,46.70,47.05,46.00,46.44,5174600,0
20010130,46.00,47.55,46.00,46.44,4975400,0
20010131,46.49,46.68,45.35,46.56,8539200,0
20010201,46.56,47.17,46.56,46.94,6093200,0
20010202,47.25,47.81,47.24,47.55,6522600,0
20010205,47.67,47.78,46.85,46.97,5622800,0
20010206,46.97,47.20,46.60,46.70,5111000,0
20010207,47.10,47.67,46.82,47.45,5431200,0
20010208,47.35,47.65,47.13,47.31,4346600,0
20010209,47.80,47.99,47.47,47.49,5778400,0
20010212,48.25,49.13,48.25,49.05,8799600,0
20010213,48.75,48.97,48.25,48.45,8224800,0
20010214,48.45,48.45,47.50,47.83,7376400,0
20010215,47.43,47.47,46.84,47.10,7680600,0
20010216,46.75,47.38,46.62,47.33,7781400,0
20010219,47.33,47.33,47.33,47.33,0,0
20010220,47.30,48.03,47.30,48.01,5342800,0
20010221,48.42,48.92,48.25,48.46,5560400,0
20010222,48.46,48.79,47.55,48.26,5562400,0
20010223,47.60,47.90,47.25,47.76,6941800,0
20010226,47.76,47.99,47.19,47.88,5049200,0
20010227,47.88,48.22,47.70,47.97,4066200,0
20010228,48.08,48.95,48.08,48.67,6907400,0
20010301,48.90,49.72,48.90,49.54,10273800,0
20010302,49.63,49.92,48.70,49.58,6957200,0
20010305,49.13,49.28,48.67,49.24,4280400,0
20010306,49.13,49.13,48.23,48.40,5988000,0
20010307,48.30,48.30,47.10,47.40,6923600,0
20010308,47.40,49.00,47.22,48.94,7887200,0
20010309,49.00,49.08,47.50,48.35,8276800,0
20010312,48.35,48.50,47.28,47.47,281363000,0
20010313,47.45,47.45,46.24,47.00,11125800,0
20010314,46.95,47.00,46.04,46.63,6921200,0
20010315,46.50,46.67,46.06,46.67,7448200,0
20010316,46.50,47.04,45.75,45.99,11103800,0
20010319,45.60,46.22,45.45,46.01,5728400,0
20010320,45.90,46.15,45.34,45.40,6387000,0
20010321,45.26,45.26,43.19,43.62,11502200,0
20010322,43.00,44.00,42.00,43.90,13478200,0
20010323,43.83,44.40,43.47,44.10,10583400,0
20010326,43.75,43.75,42.52,42.64,46532600,0
20010327,41.20,41.65,40.26,41.60,65347400,0
20010328,41.75,43.15,41.61,43.13,31733600,0
20010329,43.08,44.26,43.08,44.19,19919200,0
20010330,44.45,44.60,43.61,43.74,14902000,0
20010402,43.35,43.74,43.01,43.66,11314200,0
20010403,43.35,43.85,42.90,43.06,10862800,0
20010404,43.00,43.74,42.60,43.46,13136800,0
20010405,43.46,44.50,43.05,44.44,13447400,0
20010406,44.33,45.75,44.26,45.19,14374800,0
20010409,45.42,45.62,45.10,45.62,9921400,0
20010410,46.20,46.25,45.45,46.02,16152400,0
20010411,45.76,45.76,45.16,45.42,15223400,0
20010412,45.08,45.70,45.08,45.47,17545000,0
20010416,45.75,46.45,45.51,46.30,5850000,0
20010417,46.42,47.31,46.42,47.22,9740600,0
20010418,47.22,47.22,45.85,46.97,12422200,0
20010419,46.63,46.63,45.88,46.42,6973600,0
20010420,45.96,46.35,45.46,46.06,21577800,0
