DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,44.63,44.81,43.31,44.00,7803200,0
20010103,43.44,50.88,43.19,50.63,21303700,0
20010104,51.50,54.00,50.81,52.00,26409800,0
20010105,50.75,51.50,48.31,48.94,16215700,0
20010108,49.00,50.13,48.31,49.25,9938300,0
20010109,49.88,50.00,47.88,48.69,7285100,0
20010110,49.50,51.69,48.94,50.94,10867000,0
20010111,51.13,54.25,51.13,54.13,16078740,0
20010112,54.00,54.06,52.38,53.31,8946800,0
20010115,53.31,53.31,53.31,53.31,0,0
20010116,53.50,54.69,52.50,53.19,10508500,0
20010117,52.94,54.06,52.13,53.00,10317300,0
20010118,51.50,51.88,50.56,51.44,13565100,0
20010119,50.75,51.69,49.81,50.56,10789100,0
20010122,50.56,52.19,50.06,50.88,10581500,0
20010123,50.13,52.06,50.13,51.69,8794400,0
20010124,52.69,53.50,52.25,53.25,9316500,0
20010125,53.00,53.88,51.75,53.06,8347100,0
20010126,53.44,54.50,52.75,54.19,7967800,0
20010129,54.19,56.00,54.18,55.12,9494400,0
20010130,55.10,56.18,54.63,55.98,9452800,0
20010131,56.49,57.33,54.50,54.99,13130800,0
20010201,54.99,55.85,53.51,55.85,9172800,0
20010202,55.00,55.33,54.29,54.64,7075200,0
20010205,54.51,54.95,53.70,54.60,5273700,0
20010206,54.01,54.46,52.00,52.28,7560200,0
20010207,52.35,53.50,51.88,52.33,7988800,0
20010208,52.33,53.05,51.53,51.68,5730800,0
20010209,51.69,52.60,51.05,51.95,5490500,0
20010212,52.47,53.10,51.68,52.55,5203800,0
20010213,52.54,53.70,51.10,51.14,7334700,0
20010214,51.75,51.88,50.90,51.19,6835100,0
20010215,51.38,52.75,50.90,51.11,7408400,0
20010216,50.40,52.00,50.25,51.99,7363300,0
20010219,51.99,51.99,51.99,51.99,0,0
20010220,51.99,52.60,49.63,49.95,9075200,0
20010221,48.95,50.10,47.01,47.35,9835100,0
20010222,47.75,48.30,45.39,48.30,12409800,0
20010223,47.05,48.25,46.20,47.05,9708400,0
20010226,48.00,49.30,46.81,48.55,8783500,0
20010227,48.95,49.78,46.85,47.60,11743300,0
20010228,47.89,48.00,45.30,46.66,10510600,0
20010301,45.60,46.25,44.78,46.11,10551800,0
20010302,45.60,47.60,45.19,45.80,7559700,0
20010305,45.90,46.95,45.30,46.76,5988200,0
20010306,48.25,48.95,47.50,47.96,6844500,0
20010307,48.40,50.45,48.02,50.25,7296600,0
20010308,50.25,51.19,49.80,50.24,7064300,0
20010309,49.60,49.80,47.80,48.95,6377600,0
20010312,47.50,47.85,45.49,45.49,8549500,0
20010313,46.75,47.80,45.60,47.40,7065900,0
20010314,45.00,45.97,43.39,43.75,16205000,0
20010315,44.90,45.95,44.75,45.26,8561300,0
20010316,45.26,45.90,44.12,44.58,10739300,0
20010319,44.40,45.40,42.65,45.15,9742500,0
20010320,45.46,45.46,42.50,42.59,10213200,0
20010321,42.79,43.13,40.05,40.20,12028900,0
20010322,40.05,40.06,37.58,38.91,15677400,0
20010323,40.30,41.90,39.81,41.71,10763200,0
20010326,42.15,42.99,41.65,42.11,8319900,0
20010327,42.11,43.40,41.10,43.36,12254200,0
20010328,42.70,43.35,41.95,42.55,7315300,0
20010329,42.80,43.25,42.02,43.00,6688200,0
20010330,43.15,45.00,42.90,44.90,8444000,0
20010402,44.50,45.40,43.65,44.60,8743100,0
20010403,44.12,44.20,41.50,41.60,9050600,0
20010404,41.40,41.75,39.21,40.49,11634000,0
20010405,41.30,42.97,41.26,42.50,8644900,0
20010406,41.60,41.85,39.50,40.39,9789600,0
20010409,39.90,41.58,39.90,40.42,7386400,0
20010410,41.40,43.31,41.23,43.30,7978200,0
20010411,44.25,45.80,44.05,44.74,9898000,0
20010412,44.25,45.75,44.00,45.37,6740700,0
20010416,45.37,46.38,45.02,45.50,6377000,0
20010417,45.05,45.98,44.77,45.37,5116100,0
20010418,46.95,50.12,46.50,49.10,15214300,0
20010419,49.00,49.49,48.20,48.80,11595100,0
