DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,30.16,30.97,30.13,30.41,106058,0
20010103,30.47,31.09,29.53,29.63,124662,0
20010104,29.28,29.38,28.38,28.78,149756,0
20010105,28.81,29.38,28.75,28.84,119092,0
20010108,28.94,29.84,28.94,29.31,81638,0
20010109,29.13,29.97,28.81,29.69,100312,0
20010110,29.22,29.63,28.94,29.56,83378,0
20010111,29.38,29.44,28.56,28.69,69034,0
20010112,28.47,28.69,28.13,28.31,71730,0
20010115,28.31,28.31,28.31,28.31,0,0
20010116,28.53,28.66,28.09,28.50,71542,0
20010117,28.94,29.34,28.56,28.97,74170,0
20010118,28.66,29.34,28.47,28.56,78106,0
20010119,28.31,28.53,27.66,27.91,98212,0
20010122,27.91,27.91,27.91,27.91,0,0
20010123,27.78,28.59,27.72,28.44,75926,0
20010124,28.47,29.03,28.06,29.03,90658,0
20010125,29.03,29.50,28.91,29.31,70874,0
20010126,29.44,29.59,28.75,28.97,62592,0
20010129,29.44,29.55,28.50,28.69,6461600,0
20010130,29.08,30.05,28.91,29.92,5254200,0
20010131,28.96,29.10,28.28,29.00,8513000,0
20010201,28.63,28.75,28.31,28.71,6618800,0
20010202,28.99,28.99,28.59,28.87,6056200,0
20010205,28.85,29.81,28.81,29.63,9182000,0
20010206,29.33,29.89,29.17,29.71,6236800,0
20010207,29.65,30.27,29.64,30.00,9611200,0
20010208,29.88,30.50,29.80,30.31,10583800,0
20010209,30.31,30.47,29.98,30.07,4345000,0
20010212,29.85,30.43,29.75,30.41,6665800,0
20010213,29.98,30.03,29.73,29.98,6660200,0
20010214,29.76,29.92,29.57,29.75,50381400,0
20010215,29.15,29.48,28.50,29.18,11104600,0
20010216,29.30,29.74,29.23,29.68,7139600,0
20010219,29.68,29.68,29.68,29.68,0,0
20010220,29.92,30.49,29.20,29.20,15478000,0
20010221,28.13,28.35,27.08,27.46,19211800,0
20010222,27.46,27.46,25.75,26.50,18939200,0
20010223,26.30,26.40,25.75,26.00,9061000,0
20010226,26.00,26.29,25.73,26.24,8572800,0
20010227,26.24,26.40,25.77,26.00,7363600,0
20010228,26.11,26.58,25.95,26.51,11156600,0
20010301,26.73,26.94,26.17,26.35,9693400,0
20010302,26.52,26.52,26.00,26.27,9114800,0
20010305,25.63,25.63,24.76,25.10,14497200,0
20010306,25.10,25.10,24.70,24.90,9274600,0
20010307,24.91,25.40,24.91,25.22,10034200,0
20010308,25.63,25.71,25.11,25.63,9043200,0
20010309,25.70,25.94,25.50,25.75,7856600,0
20010312,25.30,25.63,25.02,25.05,7802800,0
20010313,24.50,24.50,24.00,24.38,10219000,0
20010314,23.80,24.13,23.13,23.83,14069200,0
20010315,23.83,23.88,23.10,23.83,9408800,0
20010316,23.60,24.85,23.56,24.33,18185000,0
20010319,24.02,24.55,24.02,24.20,8945200,0
20010320,24.15,24.39,23.52,23.72,8841200,0
20010321,23.70,24.00,22.63,22.63,18096400,0
20010322,22.85,23.04,22.25,22.86,14654800,0
20010323,22.25,22.75,22.00,22.75,15534200,0
20010326,23.00,23.05,22.25,22.44,8407200,0
20010327,22.70,23.44,22.28,23.31,13162000,0
20010328,23.31,23.62,22.42,22.98,14193400,0
20010329,22.56,22.60,21.88,22.26,14893000,0
20010330,22.42,22.75,22.20,22.57,35126400,0
20010402,22.61,23.46,22.43,22.92,10337200,0
20010403,22.80,22.85,22.05,22.33,9265800,0
20010404,22.25,23.02,22.08,22.63,8767800,0
20010405,23.10,23.30,22.31,22.65,9227600,0
20010406,22.22,22.67,21.92,22.50,7907800,0
20010409,22.50,22.80,21.98,22.06,8101600,0
20010410,21.95,22.15,21.63,21.83,11814000,0
20010411,21.50,22.38,21.25,22.06,13737200,0
20010412,21.75,22.45,21.33,22.28,8537200,0
20010416,22.28,22.75,22.08,22.70,8068600,0
20010417,22.50,22.85,22.43,22.85,8369000,0
20010418,23.15,23.53,22.86,23.38,14265000,0
20010419,23.05,23.89,23.02,23.75,10903600,0
20010420,23.50,23.61,23.14,23.50,9166800,0
20010423,23.75,23.94,23.52,23.73,6650400,0
20010424,23.67,24.23,23.58,23.69,8497200,0
20010425,23.75,24.20,23.70,24.10,6177600,0
20010426,23.76,23.99,23.45,23.45,8351600,0
20010427,23.75,23.75,23.00,23.50,13105200,0
20010430,23.38,23.38,22.93,23.09,6992800,0
20010501,23.15,24.10,23.09,23.82,7228600,0
20010502,23.90,23.92,23.58,23.78,7582200,0
20010503,23.78,23.78,23.20,23.38,8501800,0
20010504,23.05,23.48,22.91,23.42,8557400,0
20010507,23.42,23.42,23.21,23.38,7003000,0
20010508,23.26,23.35,23.00,23.28,6875600,0
20010509,23.28,23.28,22.70,22.88,7682800,0
20010510,22.98,23.10,22.77,22.83,7276800,0
20010511,22.81,22.94,22.30,22.65,9523800,0
20010514,22.85,23.05,22.67,23.00,7584200,0
20010515,23.00,23.05,22.60,22.95,6814400,0
20010516,22.80,24.20,22.78,24.11,11051000,0
20010517,24.25,24.35,23.83,24.07,9541800,0
20010518,24.13,24.15,23.85,24.05,9371200,0
20010521,24.13,24.17,23.66,24.15,7986000,0
20010522,24.00,24.08,23.77,23.90,5870200,0
20010523,23.65,24.35,23.65,24.35,8515400,0
20010524,24.35,24.67,24.25,24.52,6692000,0
20010525,24.33,24.55,23.95,24.08,5612200,0
20010528,24.08,24.08,24.08,24.08,0,0
20010529,24.13,24.40,24.08,24.17,4177600,0
20010530,24.20,24.33,23.89,23.94,5185200,0
20010531,23.73,23.76,23.48,23.70,7216200,0
20010601,23.70,23.95,23.50,23.91,12236200,0
20010604,23.75,23.80,23.45,23.78,3984800,0
20010605,23.53,23.83,23.25,23.80,6426000,0
20010606,23.63,23.75,23.18,23.38,7086800,0
20010607,23.48,23.59,22.93,23.06,6303000,0
20010608,23.10,23.11,22.83,23.00,4416800,0
20010611,22.76,23.06,22.76,22.97,3475400,0
20010612,22.83,23.06,22.75,22.95,4839200,0
20010613,22.94,22.95,22.70,22.92,5391800,0
20010614,22.68,22.84,22.42,22.51,6712400,0
20010615,22.06,22.59,22.06,22.13,13713000,0
20010618,22.13,22.21,21.75,21.89,5810600,0
20010619,21.89,22.05,21.77,21.88,6913400,0
20010620,21.73,22.08,21.73,21.97,8040200,0
20010621,22.08,22.24,21.77,21.80,10289800,0
20010622,21.80,21.85,21.30,21.42,9144000,0
20010625,21.98,22.10,21.63,21.80,14690600,0
20010626,21.80,22.15,21.52,21.98,20101800,0
20010627,22.05,22.17,21.88,22.09,12154200,0
20010628,22.13,22.70,22.13,22.67,15590000,0
20010629,22.75,22.83,22.43,22.50,14294800,0
20010702,22.35,23.02,22.34,22.80,7304400,0
20010703,23.00,23.00,22.81,22.92,3896200,0
20010704,22.92,22.92,22.92,22.92,0,0
20010705,22.84,22.94,22.51,22.61,5426600,0
20010706,22.73,22.75,22.28,22.30,5007400,0
20010709,22.48,22.84,22.28,22.61,4525000,0
