DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,93.00,95.00,90.50,91.50,39763,0
20010103,90.44,91.00,85.38,86.31,66171,0
20010104,84.06,84.81,79.31,81.13,122669,0
20010105,81.00,82.38,79.56,80.75,58578,0
20010108,81.00,81.88,79.50,80.75,33427,0
20010109,81.44,84.75,81.13,84.50,41256,0
20010110,84.50,85.25,82.38,83.38,179082,0
20010111,83.94,83.94,81.44,81.63,30833,0
20010112,81.75,83.19,80.00,80.00,34514,0
20010115,80.00,80.00,80.00,80.00,0,0
20010116,80.13,84.38,79.25,83.25,28870,0
20010117,82.38,82.75,81.00,81.56,40182,0
20010118,82.63,83.56,81.63,81.75,27947,0
20010119,81.75,82.56,80.44,80.69,25142,0
20010122,80.69,80.69,80.69,80.69,0,0
20010123,80.94,83.50,80.94,83.13,22902,0
20010124,82.13,83.31,81.38,82.75,17764,0
20010125,81.00,83.81,80.69,83.06,35365,0
20010126,83.94,84.44,82.31,82.44,28530,0
20010129,84.97,85.09,81.00,81.31,2625200,0
20010130,81.00,83.09,79.06,81.50,3193400,0
20010131,79.83,79.83,78.01,78.80,5000500,0
20010201,78.80,80.76,78.80,80.15,3017300,0
20010202,81.20,82.14,81.01,81.90,2955800,0
20010205,82.48,83.70,79.90,79.90,4048600,0
20010206,77.00,78.79,77.00,77.50,8086100,0
20010207,77.50,79.40,77.06,78.95,5426700,0
20010208,80.00,81.50,79.60,80.99,2905400,0
20010209,81.49,81.99,79.30,80.75,4412000,0
20010212,81.50,81.70,79.72,80.40,4176800,0
20010213,81.00,81.00,79.41,79.99,2624000,0
20010214,79.50,79.99,76.87,77.08,7456700,0
20010215,75.60,75.99,74.80,75.25,5385400,0
20010216,74.55,74.98,72.98,73.00,4439700,0
20010219,73.00,73.00,73.00,73.00,0,0
20010220,74.00,74.60,73.25,73.68,6486000,0
20010221,74.40,74.64,73.75,73.76,10784800,0
20010222,74.86,74.90,72.91,74.13,4225900,0
20010223,74.31,76.20,72.80,75.95,3657400,0
20010226,76.00,77.49,74.85,77.39,8536900,0
20010227,76.91,78.35,76.56,78.00,2881300,0
20010228,78.75,79.99,78.59,79.45,3047900,0
20010301,78.21,80.10,78.21,78.98,3366700,0
20010302,79.00,80.39,78.54,79.33,1928000,0
20010305,78.25,80.19,77.50,79.46,2768700,0
20010306,79.36,79.36,77.53,77.86,3297800,0
20010307,79.20,79.20,75.75,76.77,4613800,0
20010308,75.76,77.50,75.37,77.46,4279100,0
20010309,77.70,79.28,77.61,79.00,3179700,0
20010312,78.00,79.39,78.00,78.50,13900000,0
20010313,78.00,78.47,77.01,78.30,3103600,0
20010314,77.50,78.60,76.23,76.81,2512100,0
20010315,76.69,76.75,74.99,75.74,3542500,0
20010316,75.20,75.91,73.42,74.43,5895900,0
20010319,73.92,76.75,73.75,76.00,3512800,0
20010320,76.01,77.19,75.50,76.11,3279700,0
20010321,76.50,76.60,73.65,74.22,3761700,0
20010322,74.00,74.00,70.01,73.35,7140300,0
20010323,73.10,73.10,70.80,72.59,5537000,0
20010326,73.15,74.80,72.60,74.49,3276800,0
20010327,74.39,76.22,74.39,76.22,2819300,0
20010328,75.10,77.50,74.56,77.36,4143500,0
20010329,76.55,77.19,74.65,75.70,3747500,0
20010330,75.70,77.01,74.80,76.66,4071100,0
20010402,76.00,76.25,74.62,75.46,3129100,0
20010403,75.00,77.48,74.93,75.01,3152100,0
20010404,74.10,76.99,74.05,76.21,3044100,0
20010405,75.60,77.12,75.50,76.90,4511800,0
