DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,33.95,34.65,33.71,34.10,0,0
20010103,33.50,34.50,33.14,33.65,2388600,0
20010104,33.40,33.80,32.50,33.40,2184700,0
20010105,33.00,33.10,32.40,32.90,622400,0
20010108,32.60,33.61,32.40,32.91,729700,0
20010109,32.25,34.50,32.25,34.24,10506100,0
20010110,33.61,34.19,33.00,33.77,1041400,0
20010111,33.25,34.25,33.00,33.59,2961900,0
20010112,33.84,34.00,32.51,33.55,1152800,0
20010115,33.55,33.55,33.55,33.55,0,0
20010116,33.55,33.90,32.55,33.40,3717500,0
20010117,32.90,34.00,32.00,32.02,2804200,0
20010118,32.50,32.80,31.62,31.95,1684200,0
20010119,31.00,31.95,31.00,31.73,1513800,0
20010122,31.73,31.73,31.73,31.73,0,0
20010123,32.30,33.37,32.25,33.00,750100,0
20010124,32.75,33.35,31.20,32.00,1392000,0
20010125,33.50,35.00,33.05,34.51,4271600,0
20010126,34.95,35.20,34.10,34.88,44865400,0
20010129,36.13,37.09,35.00,35.31,1470600,0
20010130,36.66,36.97,34.94,36.28,1158500,0
20010131,34.95,34.95,34.55,34.68,2852500,0
20010201,34.68,36.50,34.59,36.20,2214500,0
20010202,36.25,37.25,35.60,36.40,2457700,0
20010205,35.66,36.90,35.40,36.30,16191200,0
20010206,36.31,36.44,35.90,35.94,3883200,0
20010207,36.15,36.55,35.15,36.13,1846500,0
20010208,35.80,36.84,35.78,36.63,15078000,0
20010209,36.90,37.00,35.75,36.13,948100,0
20010212,36.30,36.55,34.74,34.90,2067000,0
20010213,34.90,37.00,34.50,36.91,3573800,0
20010214,36.85,37.51,35.50,35.82,2159900,0
20010215,36.59,36.59,35.50,35.69,11471900,0
20010216,35.69,37.20,35.33,36.25,5497300,0
20010219,36.25,36.25,36.25,36.25,0,0
20010220,36.94,37.85,36.20,37.48,1786600,0
20010221,37.65,38.25,36.65,36.85,1839300,0
20010222,37.10,38.20,37.10,37.75,2036600,0
20010223,37.00,37.56,36.31,36.95,1541300,0
20010226,36.90,38.01,36.60,37.98,1776200,0
20010227,37.65,38.00,37.42,38.00,2414400,0
20010228,37.96,38.15,36.90,37.46,1788000,0
20010301,37.10,37.25,35.65,36.73,1857400,0
20010302,36.35,38.30,36.23,38.30,1910800,0
20010305,37.90,38.64,37.71,38.44,1830400,0
20010306,39.00,39.00,36.90,37.38,1742000,0
20010307,37.75,39.25,37.47,39.05,36733900,0
20010308,38.95,39.50,38.15,38.60,2301900,0
20010309,38.70,38.90,38.01,38.56,1443400,0
20010312,38.31,39.42,38.12,39.00,21039100,0
20010313,38.60,38.85,37.55,38.34,707800,0
20010314,37.55,38.40,36.15,37.53,2859600,0
20010315,37.25,37.38,36.15,37.36,1864100,0
20010316,36.50,37.60,36.31,37.00,2257000,0
20010319,36.60,36.61,34.80,36.20,2206400,0
20010320,36.00,36.00,34.75,34.97,1586800,0
