DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,11.28,11.34,11.13,11.19,198252,0
20010103,11.16,13.25,11.16,13.25,195896,0
20010104,12.91,13.88,12.78,13.41,299948,0
20010105,13.27,13.27,12.73,12.95,107388,0
20010108,12.92,12.92,12.09,12.34,116044,0
20010109,12.33,12.47,11.88,12.13,275940,0
20010110,11.78,12.63,11.78,12.59,365452,0
20010111,12.56,12.77,12.30,12.47,98972,0
20010112,12.45,12.64,12.45,12.59,60508,0
20010115,12.59,12.59,12.59,12.59,0,0
20010116,12.31,12.44,12.02,12.38,118464,0
20010117,12.36,12.36,12.02,12.03,816836,0
20010118,12.02,12.02,11.52,11.53,323988,0
20010119,11.50,11.50,10.94,11.09,481804,0
20010122,11.09,11.09,11.09,11.09,0,0
20010123,11.73,11.97,11.56,11.97,65268,0
20010124,12.00,12.00,11.67,11.83,53032,0
20010125,11.89,12.36,11.66,12.11,66208,0
20010126,12.33,12.33,11.98,12.20,0,0
20010129,12.95,13.02,12.50,12.88,38955200,0
20010130,12.89,13.24,12.46,13.11,32591200,0
20010131,12.86,13.51,12.84,13.36,18610800,0
20010201,13.36,13.74,13.01,13.66,57835600,0
20010202,13.65,13.70,13.43,13.46,15191600,0
20010205,13.41,13.41,13.15,13.27,50704800,0
20010206,13.27,13.41,13.06,13.07,10808400,0
20010207,13.01,13.18,12.95,13.05,9620400,0
20010208,13.07,13.09,12.39,12.50,11302400,0
20010209,13.06,13.65,13.06,13.38,22597200,0
20010212,13.13,13.51,13.07,13.50,21069200,0
20010213,13.50,14.13,13.44,14.06,24210800,0
20010214,14.06,14.50,14.02,14.10,22489600,0
20010215,14.33,14.38,14.03,14.22,18067600,0
20010216,14.12,14.27,13.85,14.13,21323200,0
20010219,14.13,14.13,14.13,14.13,0,0
20010220,14.18,14.85,14.18,14.58,18041600,0
20010221,14.40,14.48,13.56,13.58,14680800,0
20010222,13.61,13.63,13.31,13.53,9074000,0
20010223,13.53,13.77,13.31,13.65,13310800,0
20010226,14.26,14.88,14.18,14.73,23348000,0
20010227,14.56,14.72,14.30,14.38,19342400,0
20010228,14.33,14.49,13.75,13.97,8656400,0
20010301,14.05,14.09,12.25,13.75,10076800,0
20010302,13.50,14.35,13.43,14.27,9834800,0
20010305,14.27,14.61,14.20,14.29,12164000,0
20010306,14.44,14.88,14.41,14.73,10839600,0
20010307,14.98,15.63,14.97,15.57,27226400,0
20010308,15.55,16.13,15.47,15.48,26172000,0
20010309,15.41,15.74,15.00,15.62,13029600,0
20010312,15.50,15.50,14.86,14.91,13781600,0
20010313,15.01,15.05,14.46,14.90,55056800,0
20010314,14.40,14.82,14.40,14.68,12087200,0
20010315,15.00,15.38,14.94,15.18,79269600,0
20010316,15.06,15.24,14.77,15.01,12854000,0
20010319,15.04,15.38,14.90,15.31,10512800,0
20010320,15.43,16.02,15.36,15.59,17934800,0
20010321,15.59,15.73,15.25,15.51,17808800,0
20010322,15.38,15.38,13.81,14.41,23931600,0
20010323,14.40,14.40,13.80,13.98,17472000,0
20010326,14.35,14.35,14.06,14.22,19918800,0
20010327,14.21,14.75,13.91,14.65,19808800,0
20010328,14.43,14.60,14.28,14.37,44008800,0
20010329,14.13,14.73,13.82,14.66,15222000,0
20010330,14.76,14.90,14.45,14.61,78279200,0
20010402,14.42,14.48,14.14,14.36,11738400,0
20010403,14.44,14.57,13.93,14.27,10202400,0
20010404,14.24,14.32,13.94,14.10,11366800,0
20010405,14.35,14.60,14.20,14.54,9084400,0
20010406,14.49,14.62,14.10,14.34,9144400,0
20010409,14.34,14.42,13.78,13.85,13375600,0
20010410,13.86,14.50,13.86,14.22,10470000,0
20010411,14.65,14.65,13.61,14.00,21102400,0
20010412,13.75,13.75,13.19,13.63,18325600,0
20010416,13.40,13.60,13.36,13.51,9920800,0
20010417,13.55,13.55,13.07,13.19,10772800,0
20010418,13.29,15.00,13.29,14.82,28019600,0
20010419,14.58,14.77,14.52,14.74,10214400,0
20010420,14.68,14.77,14.30,14.58,18236400,0
20010423,14.57,14.99,14.32,14.58,11385200,0
20010424,14.26,14.35,14.06,14.20,11554000,0
20010425,14.15,14.50,14.07,14.15,10495200,0
20010426,14.31,14.74,14.28,14.57,7391200,0
20010427,14.84,15.75,14.79,15.52,24553600,0
20010430,15.68,15.93,15.61,15.75,16566000,0
20010501,15.75,16.21,15.73,16.18,18672800,0
20010502,16.20,16.20,15.89,16.06,10053600,0
20010503,16.00,16.00,15.52,15.73,11065600,0
20010504,15.40,16.16,15.31,16.05,31492800,0
20010507,15.88,16.05,15.75,15.88,8311600,0
20010508,15.88,15.90,15.49,15.63,9499600,0
20010509,15.58,15.58,15.15,15.18,7718800,0
20010510,15.68,16.23,15.64,16.01,12982400,0
20010511,16.01,16.22,15.95,16.05,7586000,0
20010514,16.11,16.20,16.03,16.20,61506000,0
20010515,16.25,16.66,16.25,16.45,17064400,0
