DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,33.81,33.81,33.00,33.50,33354,0
20010103,33.50,34.63,33.38,33.69,32522,0
20010104,33.25,33.88,32.88,33.00,54822,0
20010105,32.75,33.00,32.56,32.94,39887,0
20010108,32.88,33.31,32.75,33.00,27583,0
20010109,32.56,33.25,32.56,33.06,26108,0
20010110,32.88,33.31,32.31,33.19,30737,0
20010111,33.31,33.31,32.63,32.63,21771,0
20010112,32.69,33.94,32.69,33.63,32689,0
20010115,33.63,33.63,33.63,33.63,0,0
20010116,32.75,34.13,32.13,34.13,45404,0
20010117,33.88,35.06,33.63,34.63,52218,0
20010118,34.13,34.31,33.63,33.63,47406,0
20010119,33.44,33.44,32.69,32.88,508972,0
20010122,32.88,32.88,32.88,32.88,0,0
20010123,33.00,33.38,32.63,32.88,32533,0
20010124,31.88,32.13,30.31,30.81,108346,0
20010125,30.81,31.13,28.25,29.56,205809,0
20010126,29.50,29.94,28.81,29.00,94235,0
20010129,30.63,31.19,29.81,30.63,8488200,0
20010130,30.56,30.69,29.38,30.41,5547200,0
20010131,29.25,29.49,29.00,29.35,7850300,0
20010201,29.50,29.75,28.96,29.03,6915100,0
20010202,29.03,29.51,29.00,29.43,5710300,0
20010205,29.29,29.52,29.10,29.36,4159400,0
20010206,29.27,30.48,29.26,30.03,6741300,0
20010207,30.01,30.23,29.19,29.27,6102100,0
20010208,29.42,29.67,28.95,29.34,6916800,0
20010209,29.33,30.10,29.32,29.76,3405400,0
20010212,29.76,30.25,29.65,29.83,3863000,0
20010213,29.90,30.35,29.73,30.00,5222300,0
20010214,30.05,30.09,29.00,29.24,4760300,0
20010215,29.70,30.17,29.42,30.08,7031200,0
20010216,30.00,30.45,29.85,30.23,4583100,0
20010219,30.23,30.23,30.23,30.23,0,0
20010220,30.07,30.84,30.07,30.44,3712600,0
20010221,30.32,30.80,29.61,29.68,4221000,0
20010222,29.65,30.35,29.60,30.05,4020200,0
20010223,30.15,30.49,29.95,30.02,6089300,0
20010226,30.05,30.17,29.75,29.88,2794900,0
20010227,30.02,30.15,29.73,30.05,3665100,0
20010228,29.99,29.99,29.00,29.40,4552200,0
20010301,29.04,29.48,29.00,29.21,4117000,0
20010302,29.21,29.21,28.62,28.85,4822700,0
20010305,28.57,28.68,28.46,28.56,2652400,0
20010306,28.10,28.91,27.85,28.85,5605300,0
20010307,28.86,28.96,28.11,28.40,3783700,0
20010308,28.20,29.30,28.17,29.30,3861000,0
20010309,29.30,29.30,28.62,28.95,3742000,0
20010312,28.65,28.65,27.95,28.06,4951100,0
20010313,27.70,28.02,27.14,27.80,7821500,0
20010314,26.31,28.10,26.31,27.55,9957200,0
20010315,27.30,27.30,26.55,27.24,5755800,0
20010316,26.80,27.45,26.15,26.50,8283200,0
20010319,26.24,26.60,26.21,26.38,4391500,0
20010320,26.40,26.40,25.70,25.77,4862900,0
20010321,25.61,26.10,25.33,25.65,7006800,0
20010322,25.10,25.43,24.88,25.11,7555900,0
20010323,25.28,25.33,24.75,25.00,5207200,0
20010326,25.14,25.35,24.75,25.24,7700200,0
20010327,25.25,25.60,25.10,25.44,8060200,0
20010328,25.28,25.51,25.00,25.28,3954800,0
20010329,25.10,26.98,25.10,26.49,5668400,0
20010330,25.57,26.55,25.52,26.55,5813500,0
20010402,26.89,27.25,26.40,26.56,4560200,0
20010403,26.55,26.57,25.62,25.79,5563000,0
20010404,25.80,26.09,25.39,26.09,5453600,0
20010405,26.25,26.54,25.72,26.00,4342000,0
20010406,26.20,26.25,25.75,26.25,3312400,0
20010409,25.95,26.94,25.95,26.69,3641600,0
20010410,26.72,27.37,26.70,27.00,3718200,0
20010411,26.84,27.25,26.56,26.73,3343200,0
20010412,26.44,27.03,26.44,26.89,2872800,0
20010416,26.95,27.29,26.77,27.22,2444300,0
20010417,27.02,27.30,26.91,27.17,2844000,0
20010418,26.86,27.95,26.86,27.49,4293600,0
20010419,27.49,27.87,27.18,27.47,4831400,0
20010420,27.25,27.44,26.71,27.09,4009600,0
20010423,27.07,27.25,26.80,26.96,3435100,0
20010424,27.18,27.21,26.78,26.84,4995200,0
20010425,27.01,27.03,26.60,27.00,4285400,0
20010426,26.86,27.19,26.69,27.02,2773800,0
20010427,27.29,27.47,26.79,27.11,2955900,0
20010430,27.40,27.68,26.90,27.34,5158400,0
20010501,27.25,27.95,27.13,27.78,5130900,0
20010502,27.79,27.79,27.25,27.55,3572300,0
20010503,27.56,27.56,26.75,26.90,6424400,0
20010504,26.42,26.86,26.41,26.82,5543900,0
20010507,26.95,27.01,26.65,26.77,6135700,0
20010508,26.78,26.95,26.50,26.55,4155100,0
20010509,26.30,27.20,26.26,27.20,41398700,0
20010510,27.20,27.20,26.91,26.91,7008300,0
20010511,27.11,27.78,27.05,27.74,4725100,0
20010514,27.50,27.90,27.36,27.75,6282700,0
20010515,27.75,28.11,27.45,27.50,4315900,0
20010516,27.55,27.98,27.41,27.70,5521800,0
20010517,27.51,28.75,27.51,28.50,7775000,0
20010518,28.52,29.90,28.52,29.80,32576300,0
20010521,29.78,29.97,29.04,29.86,5593900,0
20010522,30.70,30.96,30.20,30.50,6815400,0
20010523,30.15,30.35,29.85,30.24,4139400,0
20010524,30.15,30.76,30.12,30.76,2959100,0
20010525,30.48,30.59,30.28,30.51,1978900,0
20010528,30.51,30.51,30.51,30.51,0,0
