DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,60.25,60.69,59.50,59.50,35596,0
20010103,59.44,60.31,58.25,58.88,46922,0
20010104,58.50,58.50,53.94,54.81,80924,0
20010105,54.81,54.81,51.94,53.69,69712,0
20010108,53.13,54.38,53.00,53.38,378000,0
20010109,53.38,54.38,53.00,53.50,39262,0
20010110,53.50,53.56,52.00,52.63,38018,0
20010111,53.50,54.00,52.63,52.88,31808,0
20010112,53.50,54.94,53.00,54.81,42884,0
20010115,54.81,54.81,54.81,54.81,0,0
20010116,54.81,55.25,53.88,55.19,33279,0
20010117,55.31,55.63,54.00,54.00,100973,0
20010118,54.00,54.94,53.00,54.63,55874,0
20010119,54.75,55.19,54.63,54.88,29892,0
20010122,54.88,54.88,54.88,54.88,0,0
20010123,55.69,56.88,54.69,55.06,41603,0
20010124,55.13,55.13,52.94,53.63,48486,0
20010125,53.63,54.69,53.38,54.63,36449,0
20010126,54.63,55.38,54.38,54.94,86422,0
20010129,55.47,57.09,55.00,55.88,5882200,0
20010130,56.66,57.09,54.00,55.72,7729000,0
20010131,54.55,54.55,53.02,54.00,1952300,0
20010201,53.90,54.14,52.87,54.09,5602200,0
20010202,54.15,54.70,53.41,53.59,2620400,0
20010205,53.59,53.70,52.70,53.11,2743400,0
20010206,53.00,53.00,51.88,51.88,2965700,0
20010207,51.00,51.17,50.55,50.75,5812500,0
20010208,50.76,52.50,50.76,51.75,39300000,0
20010209,51.78,52.20,51.20,51.78,3170200,0
20010212,52.00,53.13,51.76,52.16,2464600,0
20010213,52.50,52.60,51.11,52.40,3153800,0
20010214,52.45,52.83,51.79,51.79,14420000,0
20010215,50.86,52.25,50.10,50.77,3446400,0
20010216,50.05,51.59,49.85,51.05,2898300,0
20010219,51.05,51.05,51.05,51.05,0,0
20010220,51.25,51.49,50.25,51.38,4825200,0
20010221,50.75,53.00,50.44,51.50,3725400,0
20010222,51.50,51.50,48.25,50.00,6028300,0
20010223,49.95,50.01,48.11,48.91,3234900,0
20010226,49.00,51.55,48.91,51.20,3451800,0
20010227,51.85,53.00,51.63,51.93,5416300,0
20010228,52.00,52.35,50.04,51.18,4239900,0
20010301,51.10,51.10,47.50,49.20,26040600,0
20010302,48.75,49.30,48.70,49.10,5590000,0
20010305,49.25,49.50,48.52,49.20,2522800,0
20010306,50.00,50.20,48.95,49.30,2865000,0
20010307,49.35,49.69,47.85,48.99,2996900,0
20010308,49.00,50.95,49.00,50.35,4639500,0
20010309,50.35,50.70,49.92,50.50,2465500,0
20010312,50.50,50.70,47.74,47.74,3459600,0
20010313,47.75,47.75,45.40,46.88,6739100,0
20010314,44.50,46.20,44.35,44.93,5063200,0
20010315,46.50,48.26,46.35,48.02,5707700,0
20010316,48.05,48.28,46.35,46.54,6069700,0
20010319,47.40,47.40,45.50,46.70,4033500,0
20010320,47.70,48.57,47.20,47.30,5471400,0
20010321,47.30,47.30,45.45,45.95,4629000,0
20010322,45.10,45.10,41.99,43.22,7509900,0
20010323,44.30,44.60,43.56,44.25,9125200,0
20010326,45.00,45.09,44.00,44.28,2750500,0
20010327,44.75,46.50,44.35,45.44,4526100,0
20010328,45.65,46.92,45.30,46.55,3429500,0
20010329,46.60,48.00,46.41,46.77,4181000,0
20010330,47.05,47.40,45.10,45.74,4013600,0
20010402,45.55,45.55,44.00,44.17,3815200,0
20010403,44.17,44.17,41.50,41.88,4870800,0
20010404,41.50,41.50,39.95,40.68,7113200,0
20010405,41.90,43.90,41.90,43.59,5546600,0
20010406,43.50,43.63,42.00,42.51,3467200,0
20010409,42.51,43.36,42.05,42.31,2393600,0
20010410,43.00,43.00,41.00,41.95,4066000,0
20010411,42.33,42.49,40.70,40.99,3346000,0
20010412,41.00,43.09,40.96,42.87,2858900,0
20010416,43.00,44.00,42.84,43.25,2421700,0
20010417,43.15,45.22,43.15,45.15,4014000,0
20010418,46.25,47.50,44.81,45.42,4235400,0
20010419,45.80,47.50,45.00,46.97,4100200,0
20010420,46.85,47.01,45.45,46.15,4666000,0
20010423,45.50,46.00,45.00,45.75,3145500,0
20010424,45.00,45.00,43.61,44.00,7404000,0
20010425,43.98,44.90,43.91,44.29,4086100,0
20010426,43.95,43.95,42.65,42.86,4892500,0
20010427,42.86,44.50,42.50,44.25,7349800,0
20010430,44.50,45.30,44.32,44.60,9108100,0
20010501,44.85,46.00,44.30,45.12,5420300,0
20010502,45.05,45.95,44.96,45.50,3257600,0
20010503,45.40,45.50,44.18,44.61,3902000,0
20010504,43.65,46.00,43.50,45.71,9728000,0
20010507,45.64,45.66,44.40,44.79,4069400,0
20010508,44.79,44.79,43.76,43.86,2419900,0
