DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,35.06,35.12,33.81,34.00,2331300,0
20010103,34.25,36.62,34.25,34.88,3327700,0
20010104,34.88,35.00,31.38,32.62,5051100,0
20010105,33.38,33.50,31.12,31.56,3128400,0
20010108,31.56,33.25,31.56,32.88,2237200,0
20010109,33.50,34.38,33.38,33.88,3361100,0
20010110,33.75,33.81,32.88,33.31,2635400,0
20010111,33.88,33.88,32.31,32.50,3529600,0
20010112,32.56,32.69,30.44,31.00,3451900,0
20010115,31.00,31.00,31.00,31.00,0,0
20010116,30.25,31.75,30.25,30.94,2674500,0
20010117,31.19,31.50,31.00,31.19,1539200,0
20010118,31.56,32.44,30.75,31.56,2140600,0
20010119,31.56,31.69,30.81,31.06,2227200,0
20010122,31.06,31.06,31.06,31.06,0,0
20010123,33.00,33.44,32.31,32.94,1430400,0
20010124,33.25,33.94,32.81,33.69,1207500,0
20010125,33.94,34.00,32.88,33.31,1200900,0
20010126,33.50,33.56,32.44,32.88,1512000,0
20010129,32.88,33.50,32.72,33.17,1419700,0
20010130,32.75,33.80,32.56,33.49,885400,0
20010131,33.40,33.40,32.69,32.82,2622000,0
20010201,32.84,33.50,32.82,33.50,1690300,0
20010202,33.75,33.85,33.00,33.40,1646700,0
20010205,33.65,33.75,32.80,33.75,973700,0
20010206,33.75,33.75,32.00,32.69,1147500,0
20010207,32.69,33.69,32.69,33.57,900300,0
20010208,33.10,33.34,32.30,32.50,935100,0
20010209,33.00,33.10,32.00,32.45,1716300,0
20010212,32.20,33.25,31.50,33.11,1648300,0
20010213,33.00,33.60,32.20,32.32,1686700,0
20010214,32.80,33.00,32.30,32.50,1120100,0
20010215,32.10,32.35,31.30,31.50,3317600,0
20010216,31.70,32.67,31.70,32.15,2405700,0
20010219,32.15,32.15,32.15,32.15,0,0
20010220,32.25,32.30,31.20,31.40,1336800,0
20010221,31.00,31.80,30.60,30.95,1683500,0
20010222,30.20,30.68,29.55,30.16,3114500,0
20010223,30.18,30.69,29.58,30.34,1334800,0
20010226,31.10,31.39,30.49,31.02,2185400,0
20010227,31.27,31.64,30.40,30.93,1664400,0
20010228,31.18,31.25,30.45,30.85,920300,0
20010301,30.80,31.08,30.50,31.00,1008300,0
20010302,30.95,32.11,30.55,31.83,1194400,0
20010305,31.83,32.20,31.20,31.95,1063800,0
20010306,31.95,32.05,31.31,31.61,1213300,0
20010307,31.80,32.05,31.50,31.86,918300,0
20010308,31.95,32.35,31.80,32.17,608200,0
20010309,32.17,32.45,31.60,32.43,1432600,0
20010312,32.90,32.90,30.69,30.85,2214900,0
20010313,31.00,31.70,30.60,31.68,1159500,0
20010314,28.25,29.50,28.14,28.75,5852300,0
20010315,29.15,29.20,28.72,29.00,2614200,0
20010316,28.85,29.00,28.39,28.40,2482400,0
20010319,28.35,28.36,27.60,27.78,1579300,0
20010320,28.00,28.10,27.02,27.20,2387300,0
