DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,56.09,57.69,55.79,56.60,4651200,0
20010103,56.03,56.92,55.26,55.94,4754400,0
20010104,55.97,56.74,54.87,56.51,4060400,0
20010105,55.56,55.56,52.50,54.40,8367000,0
20010108,53.65,54.78,52.02,54.72,5486600,0
20010109,54.58,54.69,53.24,53.86,3962800,0
20010110,52.53,53.42,51.76,53.33,4344400,0
20010111,53.36,54.10,52.02,53.24,4190600,0
20010112,53.24,53.27,51.52,52.08,3655800,0
20010115,52.08,52.08,52.08,52.08,0,0
20010116,52.53,53.90,52.26,53.90,4247400,0
20010117,50.57,52.23,50.27,52.23,11552200,0
20010118,52.23,52.23,51.16,51.76,5365800,0
20010119,51.72,51.72,50.42,50.69,4061600,0
20010122,50.60,51.76,50.06,51.69,4052400,0
20010123,51.69,53.03,51.49,52.71,3528800,0
20010124,51.99,52.53,50.22,50.87,3703000,0
20010125,50.81,52.14,49.41,51.99,4224000,0
20010126,52.02,52.50,50.74,50.96,2956000,0
20010129,50.96,51.19,50.27,50.94,3075400,0
20010130,50.69,53.18,50.54,52.90,4625200,0
20010131,52.90,53.60,52.42,52.54,4077800,0
20010201,52.66,53.89,52.00,52.97,3784600,0
20010202,52.61,53.03,51.09,51.63,3324200,0
20010205,51.42,53.01,51.42,52.12,3290600,0
20010206,52.75,53.78,52.33,53.02,3080600,0
20010207,52.75,54.20,52.75,53.13,2803600,0
20010208,53.60,53.63,52.79,53.21,2102400,0
20010209,53.32,53.33,52.44,52.54,1741800,0
20010212,52.46,53.41,52.41,53.41,2721800,0
20010213,53.41,54.79,53.28,54.19,3377200,0
20010214,54.19,54.19,51.76,52.69,4208000,0
20010215,52.63,54.56,52.26,54.49,2804200,0
20010216,54.49,54.58,52.93,53.76,3509600,0
20010219,53.76,53.76,53.76,53.76,0,0
20010220,53.76,54.48,53.72,54.06,3459400,0
20010221,53.94,54.53,53.10,53.11,3193800,0
20010222,53.63,53.70,51.85,52.63,4349600,0
20010223,52.96,53.17,52.44,52.70,5620400,0
20010226,52.99,53.42,52.54,53.15,3368000,0
20010227,53.60,54.17,52.84,53.94,3815800,0
20010228,53.94,54.45,53.47,53.82,4183200,0
20010301,53.82,53.91,52.17,52.31,5021800,0
20010302,52.29,53.93,51.80,53.14,5335400,0
20010305,53.56,53.99,53.20,53.56,2659000,0
20010306,54.18,54.18,53.40,53.58,3172200,0
