DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,10.34,10.92,10.32,10.85,453151,0
20010103,10.78,10.80,9.87,9.92,849022,0
20010104,9.81,9.87,9.31,9.50,937031,0
20010105,9.57,9.81,9.41,9.42,486399,0
20010108,9.54,10.01,9.51,9.88,481124,0
20010109,9.84,10.31,9.81,10.19,506279,0
20010110,10.14,10.48,10.10,10.38,520928,0
20010111,10.36,10.36,9.65,9.78,507521,0
20010112,9.81,9.95,9.75,9.92,327567,0
20010115,9.92,9.92,9.92,9.92,0,0
20010116,9.89,10.75,9.73,10.00,409729,0
20010117,9.87,10.09,9.87,10.06,309619,0
20010118,10.03,10.13,9.97,10.13,250673,0
20010119,10.10,10.29,10.07,10.20,311123,0
20010122,10.20,10.20,10.20,10.20,0,0
20010123,10.28,10.44,10.28,10.32,249922,0
20010124,10.32,10.56,10.31,10.45,240787,0
20010125,10.36,10.63,10.31,10.53,316340,0
20010126,10.39,10.45,10.25,10.29,512272,0
20010129,10.37,10.97,10.37,10.64,24159515,0
20010130,10.70,11.06,10.53,11.00,39609379,0
20010131,10.57,10.74,10.11,10.34,46774896,0
20010201,10.44,10.80,10.42,10.76,34845423,0
20010202,10.77,10.80,10.67,10.67,24395373,0
20010205,10.62,11.04,10.62,10.92,32648639,0
20010206,10.91,11.03,10.77,10.84,23319118,0
20010207,10.84,11.08,10.80,10.80,42351952,0
20010208,10.80,11.08,10.79,11.03,26041255,0
20010209,11.06,11.38,11.06,11.27,44951907,0
20010212,11.27,11.35,11.12,11.26,35330331,0
20010213,11.20,11.21,11.04,11.18,22548966,0
20010214,11.18,11.25,10.80,10.81,45677356,0
20010215,10.76,10.89,10.75,10.80,28541588,0
20010216,10.76,11.10,10.76,10.93,87027131,0
20010219,10.93,10.93,10.93,10.93,0,0
20010220,10.93,11.40,10.93,11.26,339735200,0
20010221,11.27,11.48,11.27,11.29,29513538,0
20010222,11.30,11.51,11.16,11.28,36541117,0
20010223,11.27,11.39,11.00,11.05,33711269,0
20010226,10.95,11.22,10.89,10.92,33305969,0
20010227,10.99,11.40,10.99,11.34,34946322,0
20010228,11.36,11.51,11.14,11.32,34777303,0
20010301,11.47,11.63,11.39,11.40,38698735,0
20010302,11.45,11.70,11.45,11.67,38359000,0
20010305,11.67,11.67,11.67,11.67,0,0
20010306,11.53,11.53,11.40,11.47,22564717,0
20010307,11.40,11.83,11.40,11.75,38829434,0
20010308,11.74,11.98,11.67,11.92,33029669,0
20010309,12.07,12.22,11.99,12.16,37024751,0
20010312,12.05,12.12,11.65,11.65,36319736,0
20010313,11.46,11.65,11.25,11.63,39514866,0
20010314,11.30,11.50,11.24,11.28,32267605,0
20010315,11.25,11.25,11.01,11.10,30654077,0
20010316,11.08,11.34,11.08,11.31,43493769,0
20010319,11.29,11.39,11.08,11.08,28014529,0
20010320,11.04,11.04,10.39,10.55,62793963,0
20010321,10.41,10.41,10.22,10.41,48012927,0
20010322,10.30,10.30,9.74,10.08,66844392,0
20010323,10.11,10.31,9.97,10.19,56956734,0
20010326,10.33,10.79,10.22,10.78,52575513,0
20010327,10.61,11.13,10.45,11.09,46666334,0
20010328,11.02,11.06,10.63,10.90,38399443,0
20010329,10.79,11.25,10.71,11.00,32533691,0
20010330,11.10,11.33,11.07,11.15,36620303,0
20010402,11.25,11.27,10.82,10.85,26365240,0
20010403,10.83,10.83,10.34,10.45,35226878,0
20010404,10.46,10.75,10.34,10.72,29880519,0
20010405,10.80,10.95,10.80,10.86,41859805,0
20010406,10.69,11.15,10.69,10.98,33238705,0
20010409,10.97,11.08,10.96,11.04,25297076,0
20010410,11.05,11.24,11.05,11.17,29161883,0
20010411,11.08,11.08,10.65,10.74,26849298,0
20010412,10.74,10.83,10.58,10.78,17192814,0
20010416,10.80,10.98,10.78,10.94,17925502,0
20010417,10.88,11.35,10.86,11.23,25667888,0
20010418,11.21,11.27,10.85,11.00,38224894,0
20010419,10.95,10.99,10.71,10.92,35819927,0
20010420,10.92,11.17,10.88,11.08,28857481,0
20010423,11.21,11.41,11.19,11.26,27504077,0
20010424,11.35,11.39,11.16,11.26,19929429,0
20010425,11.50,11.91,11.49,11.91,51692968,0
20010426,11.74,11.96,11.63,11.96,41750815,0
20010427,11.81,12.04,11.70,11.98,28774463,0
20010430,11.97,12.20,11.77,11.77,27962164,0
