DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,13.53,14.56,13.44,14.34,1604,0
20010103,15.06,16.31,14.50,15.69,214334,0
20010104,15.63,15.88,15.25,15.25,0,0
20010105,15.13,15.13,14.50,14.84,0,0
20010108,14.84,14.91,14.66,14.84,0,0
20010109,14.84,14.84,14.66,14.66,0,0
20010110,14.81,15.06,14.72,14.78,642,0
20010111,14.56,14.63,14.19,14.56,0,0
20010112,14.50,15.00,14.50,15.00,0,0
20010115,15.00,15.00,15.00,15.00,0,0
20010116,15.38,15.97,15.13,15.13,3216,0
20010117,15.25,15.47,15.06,15.25,0,0
20010118,15.38,15.50,15.16,15.41,0,0
20010119,15.41,15.41,14.44,14.56,0,0
20010122,14.56,14.56,14.56,14.56,0,0
20010123,14.63,14.63,14.06,14.25,0,0
20010124,14.19,14.50,14.19,14.47,1150,0
20010125,14.34,14.66,14.25,14.66,0,0
20010126,14.66,15.06,14.53,15.06,0,0
20010129,15.77,16.55,15.50,15.50,399600,0
20010130,16.28,16.83,15.00,15.55,10350800,0
20010131,15.39,15.80,15.30,15.76,201000,0
20010201,15.77,15.86,15.50,15.51,0,0
20010202,16.00,16.00,15.20,15.20,274000,0
20010205,15.01,15.23,14.85,15.00,0,0
20010206,15.15,15.65,15.15,15.35,816600,0
20010207,15.25,15.73,15.25,15.70,307200,0
20010208,15.88,16.02,15.68,16.00,4631800,0
20010209,16.50,16.88,16.40,16.68,1101600,0
20010212,16.77,17.30,16.36,17.20,919800,0
20010213,17.45,17.84,17.25,17.75,1248200,0
20010214,17.75,17.80,16.50,16.98,747800,0
20010215,17.00,17.00,16.72,16.86,0,0
20010216,16.80,16.80,15.65,15.85,0,0
20010219,15.85,15.85,15.85,15.85,0,0
20010220,15.89,15.90,14.25,14.38,835200,0
20010221,14.75,15.15,14.75,14.95,1531600,0
20010222,15.00,15.20,14.98,14.99,1107400,0
20010223,15.00,15.00,14.10,14.10,716000,0
20010226,14.45,15.10,14.45,14.97,201600,0
20010227,15.00,15.05,14.85,14.95,99800,0
20010228,15.75,16.13,15.05,16.00,1111200,0
20010301,15.88,16.25,15.85,16.20,278600,0
20010302,16.05,16.50,16.05,16.33,209200,0
