DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,93.38,95.25,92.50,92.94,59938,0
20010103,92.81,93.00,88.13,89.13,98461,0
20010104,88.44,88.50,83.75,85.00,182198,0
20010105,85.00,85.81,83.25,83.31,93307,0
20010108,84.00,84.50,82.69,83.50,49014,0
20010109,83.94,85.00,83.06,84.00,60789,0
20010110,84.06,84.81,82.06,83.19,61665,0
20010111,83.50,83.63,80.94,81.63,66350,0
20010112,82.63,83.31,81.00,81.44,50234,0
20010115,81.44,81.44,81.44,81.44,0,0
20010116,81.38,84.44,80.50,83.31,54742,0
20010117,83.00,83.31,81.00,81.25,61561,0
20010118,81.50,84.00,81.50,82.88,51452,0
20010119,82.13,83.69,82.13,82.44,53647,0
20010122,82.44,82.44,82.44,82.44,0,0
20010123,82.31,83.00,78.75,79.56,113691,0
20010124,79.75,79.94,78.63,78.88,83834,0
20010125,79.56,82.00,79.44,82.00,72095,0
20010126,82.75,84.00,81.94,82.25,60831,0
20010129,82.38,84.03,80.00,80.97,4066200,0
20010130,82.78,83.09,80.03,81.00,3658600,0
20010131,80.80,83.00,79.80,82.18,5932800,0
20010201,82.73,84.48,82.44,84.48,5028100,0
20010202,84.50,85.32,83.55,83.77,3756400,0
20010205,83.97,85.45,83.97,84.49,2990700,0
20010206,84.49,84.87,84.01,84.36,3593400,0
20010207,84.37,84.69,81.60,81.85,7737900,0
20010208,80.85,84.00,79.78,82.97,9890700,0
20010209,82.90,82.97,82.09,82.72,3913200,0
20010212,82.97,83.28,82.06,82.85,3802900,0
20010213,82.25,82.73,79.55,80.75,5791500,0
20010214,80.30,80.67,79.62,79.63,3550200,0
20010215,77.58,78.10,76.40,78.10,7647000,0
20010216,77.50,78.20,76.88,77.29,5510800,0
20010219,77.29,77.29,77.29,77.29,0,0
20010220,77.31,78.41,77.05,77.90,4323100,0
20010221,78.60,79.58,78.50,78.71,4243100,0
20010222,78.71,78.91,76.60,77.70,5178400,0
20010223,77.05,77.93,76.70,77.08,12639600,0
20010226,77.10,79.44,76.75,79.33,4163000,0
20010227,78.00,79.99,78.00,79.91,4093700,0
20010228,80.00,81.42,79.75,80.20,6273500,0
20010301,80.50,81.03,79.70,79.74,4563800,0
20010302,79.65,80.40,79.58,80.15,3482400,0
20010305,79.50,79.90,78.20,79.53,3363300,0
20010306,78.90,78.90,76.78,77.38,5237600,0
20010307,76.11,76.11,73.00,74.40,8053000,0
20010308,75.55,75.55,73.60,74.73,7720800,0
20010309,75.70,76.28,75.09,75.69,5014900,0
20010312,75.50,75.73,73.59,74.15,5024400,0
20010313,73.10,73.65,71.20,72.93,8703000,0
20010314,71.92,72.72,71.19,71.93,5537500,0
