DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,75.04,75.94,66.17,69.16,5803400,0
20010103,69.23,80.26,68.09,80.26,11131700,0
20010104,81.51,85.53,81.15,85.05,12224800,0
20010105,85.05,85.05,79.83,81.15,7911400,0
20010108,80.55,80.98,77.14,79.95,4763300,0
20010109,79.95,80.55,78.34,79.11,5113900,0
20010110,77.77,83.00,77.77,82.70,5852500,0
20010111,82.76,85.70,82.22,84.14,6666600,0
20010112,82.34,84.57,81.56,81.86,4326300,0
20010115,81.86,81.86,81.86,81.86,0,0
20010116,80.78,83.66,79.76,80.72,4936700,0
20010117,80.72,82.16,76.81,77.77,7969400,0
20010118,77.77,77.77,75.36,77.05,6546900,0
20010119,77.17,81.44,77.17,81.13,5755500,0
20010122,81.13,82.46,79.93,80.65,4223900,0
20010123,81.86,84.02,81.32,83.48,4310000,0
20010124,83.48,85.64,79.69,81.02,12328400,0
20010125,81.02,81.44,78.37,79.69,5563400,0
20010126,79.69,80.54,77.29,79.34,4872000,0
20010129,80.00,81.73,79.73,80.76,4198100,0
20010130,81.36,82.70,79.38,81.74,5416000,0
20010131,82.03,84.63,80.78,81.55,6682400,0
20010201,81.79,86.36,81.38,86.36,7401400,0
20010202,86.26,87.02,82.61,82.95,5984500,0
20010205,83.46,83.78,82.22,83.18,3251300,0
20010206,83.57,83.66,80.79,81.69,3836300,0
20010207,81.50,82.22,75.01,77.12,6542800,0
20010208,78.13,78.42,74.25,75.01,5334000,0
20010209,75.01,76.93,72.97,76.31,5245700,0
20010212,76.26,76.98,74.31,76.93,4940900,0
20010213,77.03,78.52,74.68,76.17,4942900,0
20010214,76.16,76.17,73.28,73.99,5876900,0
20010215,73.76,76.43,72.65,73.39,6347200,0
20010216,72.12,72.68,71.15,71.88,6522800,0
20010219,71.88,71.88,71.88,71.88,0,0
20010220,72.36,72.36,65.76,66.22,7290800,0
20010221,65.68,68.03,62.99,63.51,7419400,0
20010222,64.14,66.82,61.06,66.29,7833300,0
20010223,65.82,65.82,61.06,64.43,9139200,0
20010226,64.67,67.29,61.79,66.55,6874900,0
20010227,67.32,68.60,65.25,66.99,6971900,0
20010228,66.02,66.02,61.93,62.63,7348400,0
20010301,60.10,61.31,57.70,61.16,10818200,0
20010302,59.62,61.62,58.42,58.71,8440600,0
20010305,59.05,60.20,57.81,60.20,5423300,0
20010306,61.45,64.18,61.11,62.88,7213500,0
20010307,62.75,64.77,61.64,64.19,6040900,0
20010308,64.19,66.21,61.65,61.91,6233600,0
20010309,61.31,61.55,58.42,58.91,6686600,0
20010312,58.42,58.42,52.99,53.85,9871800,0
20010313,55.78,56.93,54.68,56.74,8568000,0
20010314,54.09,56.64,53.12,54.81,8427100,0
20010315,56.26,57.80,55.63,56.75,6768100,0
20010316,56.76,58.58,55.56,55.70,9588100,0
20010319,56.26,58.95,56.21,58.40,7509900,0
20010320,58.40,59.44,53.89,54.33,9075700,0
20010321,53.85,56.64,52.31,52.54,9459700,0
20010322,52.03,52.05,47.79,51.21,12955800,0
20010323,52.17,52.65,50.49,51.46,8714600,0
20010326,52.17,53.54,51.27,52.41,7261600,0
20010327,52.17,55.29,50.78,54.43,7313300,0
20010328,52.89,53.85,51.40,51.93,5519800,0
