DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,21.9900,22.4300,21.3700,21.6200,41210300,0
20010103,21.5300,24.3600,21.5000,23.8900,67981700,0
20010104,23.8300,25.1700,23.3600,24.1400,56203300,0
20010105,24.1700,24.8600,23.7000,24.4900,46711400,0
20010108,24.3900,24.8000,23.2700,24.3900,39913700,0
20010109,24.9200,26.2300,24.8000,25.8200,57484200,0
20010110,25.4200,26.8200,25.2900,26.3600,45118000,0
20010111,26.4200,27.7900,26.0700,27.4100,50931600,0
20010112,27.3500,27.4100,26.1700,26.6600,36859400,0
20010115,26.6600,26.6600,26.6600,26.6600,0,0
20010116,26.6000,26.6600,25.4800,26.2000,34231900,0
20010117,26.7300,27.3500,26.2000,26.3900,36423300,0
20010118,26.7600,28.0000,26.2300,27.6600,54896900,0
20010119,29.9000,30.6200,29.3500,30.4000,104676900,0
20010122,30.2800,30.4000,29.4100,29.9700,38340200,0
20010123,29.7800,30.3700,29.3800,30.1800,35151900,0
20010124,30.4000,31.6200,30.2800,31.3700,55231700,0
20010125,31.2700,31.9000,30.6800,30.8100,42833600,0
20010126,30.4000,32.0500,30.4000,31.9000,46540000,0
20010129,31.6800,32.2100,31.6500,32.1500,42493000,0
20010130,32.1500,32.2700,31.3400,31.5900,28643100,0
20010131,31.4000,31.7700,30.4000,30.4300,40954700,0
20010201,30.3100,31.2100,30.0900,31.0900,35900000,0
20010202,31.1500,31.5900,30.2800,30.3100,35550000,0
20010205,30.2800,30.9300,30.0300,30.8700,25705000,0
20010206,30.9300,31.8000,30.7500,31.1800,48221600,0
20010207,30.9000,32.4300,30.8100,32.2400,63031400,0
20010208,31.7700,32.1500,30.9000,31.0300,44020900,0
20010209,30.5600,30.6800,29.1600,29.4700,50291900,0
20010212,29.3100,29.6200,28.5000,29.2800,35647300,0
20010213,29.7200,30.4300,28.9700,29.0000,38038300,0
20010214,28.7200,29.4100,28.1000,29.1000,30866600,0
20010215,29.4100,30.0000,28.8500,29.3100,32816100,0
20010216,28.4100,29.0300,27.9800,28.5600,33484400,0
20010219,28.5600,28.5600,28.5600,28.5600,0,0
20010220,28.6000,29.0300,27.6000,27.8500,30368400,0
20010221,27.5400,28.9400,27.5100,28.0300,31975600,0
20010222,28.0600,28.3100,26.8500,27.5100,50412800,0
20010223,27.1300,28.6600,27.0700,28.2800,46310500,0
20010226,28.7200,29.8700,28.6000,29.6800,43973100,0
20010227,29.5900,30.5000,29.2400,29.5900,49576700,0
20010228,29.6800,29.9400,29.0000,29.4100,42306600,0
20010301,29.1900,29.6500,28.0300,29.5800,40891200,0
20010302,28.6600,28.9700,28.1300,28.2500,39900600,0
20010305,28.5300,29.2200,28.1900,28.6300,24692800,0
20010306,29.2200,29.9000,29.1000,29.6200,33391400,0
20010307,29.8400,30.4700,29.5600,30.2500,29872800,0
20010308,30.0600,30.2000,29.1300,29.5300,27314700,0
20010309,28.8800,29.0000,27.3500,28.2500,51901200,0
20010312,27.2600,27.4100,25.7300,25.8900,57192500,0
20010313,26.0100,27.2900,25.9200,27.0100,45522200,0
20010314,26.1700,27.5400,26.0100,26.9100,45344800,0
20010315,27.5700,27.9500,26.6600,26.7600,35824400,0
20010316,26.1700,27.4800,26.1600,27.1900,56426900,0
20010319,27.1600,27.6600,26.4800,27.0700,30522800,0
20010320,27.1900,27.9800,26.2300,26.2600,45912200,0
20010321,26.0400,26.5400,24.8000,24.9500,62496700,0
20010322,25.2000,26.9400,25.1700,26.9100,63182500,0
20010323,27.3800,28.4100,27.1000,28.1900,49765300,0
20010326,28.4700,28.6600,27.6900,27.9400,31564500,0
20010327,27.9400,29.1900,27.8500,29.0300,47572200,0
20010328,28.6000,28.8800,27.6000,27.6900,39341200,0
20010329,27.6000,28.5000,27.1900,27.6000,43493900,0
20010330,27.7900,28.0000,26.8500,27.2600,45601200,0
20010402,27.3200,28.3800,27.2300,27.8200,37963100,0
20010403,27.5700,27.5700,26.2900,26.6000,47095900,0
20010404,26.6000,27.4100,25.4500,25.8900,52025200,0
20010405,26.7900,28.6000,26.6600,28.2800,56683100,0
20010406,28.1000,28.5000,27.4400,28.0000,46311600,0
20010409,28.1900,28.6200,27.7400,28.4800,28147800,0
20010410,28.8800,29.9500,28.8000,29.7400,54599700,0
20010411,30.2300,30.6500,29.7500,29.9200,54939800,0
20010412,29.6800,31.0600,29.5800,30.9900,43760000,0
20010416,30.6000,30.6900,29.9600,30.3000,32928700,0
20010417,30.1600,30.9600,29.9200,30.6400,42574600,0
20010418,31.5900,33.0500,31.4000,32.6100,78348200,0
20010419,32.8000,34.3900,32.7700,33.9100,79687800,0
20010420,35.0400,35.4400,34.1400,34.3900,96459800,0
20010423,33.9500,34.1300,33.3400,34.0200,46085600,0
20010424,33.9900,34.8500,33.4600,33.6700,44588300,0
20010425,33.6800,34.7800,33.5200,34.7300,38372000,0
20010426,34.9200,35.3900,34.0200,34.4500,59368800,0
20010427,34.6500,34.7300,33.0000,33.4500,60786200,0
20010430,34.1600,34.4200,33.7300,33.7700,37184100,0
20010501,33.7200,35.0400,33.6900,34.9700,41851400,0
20010502,35.3900,35.4600,34.5600,34.7700,46432200,0
20010503,34.5100,34.9800,33.9600,34.1600,33136700,0
20010504,33.8900,35.4100,33.8700,35.2600,59769200,0
20010507,35.3000,35.9600,35.2400,35.5800,54678100,0
20010508,35.7600,35.9300,35.2600,35.9100,37542000,0
20010509,35.5100,35.5400,34.8200,35.0900,38338300,0
20010510,35.4500,35.5100,34.8700,34.8900,32167300,0
20010511,34.8700,34.8900,34.2200,34.5900,25564400,0
20010514,34.4500,34.4900,34.0400,34.2500,22484000,0
20010515,34.2600,34.5400,33.8900,34.0300,30692800,0
20010516,33.7400,34.8300,33.5600,34.4700,45946900,0
20010517,34.4400,34.9600,33.6700,33.9800,53492400,0
20010518,33.7400,34.4900,33.5200,33.9400,45302700,0
20010521,33.9200,34.8800,33.7700,34.2800,51745800,0
20010522,34.6100,35.0600,34.4800,35.0400,41727800,0
20010523,35.0800,35.6900,34.6400,34.7400,46818700,0
20010524,34.8600,35.7800,34.5200,35.7500,40390800,0
20010525,35.7200,35.8300,35.0700,35.3400,26373800,0
20010528,35.3400,35.3400,35.3400,35.3400,0,0
20010529,35.2900,35.7600,34.9100,35.0600,35605400,0
20010530,34.6700,35.1800,34.2200,34.4800,43250900,0
20010531,34.6300,35.0800,34.0900,34.4800,35341300,0
20010601,34.6900,35.2400,34.2400,35.0600,28793800,0
20010604,35.1600,35.4000,34.7900,35.2800,21868300,0
20010605,35.2700,36.4200,35.1400,36.1800,44727100,0
20010606,36.3300,36.6200,35.6600,36.0600,40011400,0
20010607,35.9400,36.7500,35.9200,36.7200,33480000,0
20010608,36.7300,36.7600,35.9100,36.4800,25933500,0
