DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,19.63,19.84,19.00,19.13,0,0
20010103,19.09,19.22,17.69,18.31,19764,0
20010104,18.25,18.28,17.47,17.66,14588,0
20010105,17.69,18.53,17.59,17.81,7154,0
20010108,17.69,18.38,17.69,18.03,125216,0
20010109,18.19,18.72,18.19,18.28,0,0
20010110,18.31,19.03,18.31,19.03,7316,0
20010111,18.91,19.06,18.66,18.69,5044,0
20010112,18.59,19.09,18.47,18.47,8850,0
20010115,18.47,18.47,18.47,18.47,0,0
20010116,18.38,18.53,17.69,17.69,10166,0
20010117,18.13,18.13,17.63,17.63,0,0
20010118,17.69,17.75,16.56,16.91,13926,0
20010119,17.00,17.47,16.47,17.47,24898,0
20010122,17.47,17.47,17.47,17.47,0,0
20010123,17.13,17.50,17.06,17.22,0,0
20010124,17.28,17.44,17.00,17.00,13426,0
20010125,17.75,18.25,17.50,18.16,20072,0
20010126,18.88,18.91,17.91,18.50,12746,0
20010129,19.39,19.44,18.77,19.23,0,0
20010130,19.23,19.55,18.05,18.63,0,0
20010131,18.30,18.45,18.00,18.25,584600,0
20010201,18.25,18.25,17.50,17.55,0,0
20010202,17.61,17.77,17.58,17.60,0,0
20010205,17.50,18.23,17.50,18.23,938800,0
20010206,18.35,19.35,18.09,19.35,965000,0
20010207,19.30,19.75,18.90,19.50,0,0
20010208,20.00,20.62,19.52,19.55,5307000,0
20010209,19.55,20.14,19.51,19.71,2600400,0
20010212,19.71,19.78,19.50,19.63,0,0
20010213,19.67,20.03,19.50,19.97,1055400,0
20010214,20.00,20.31,19.77,20.25,0,0
20010215,20.00,20.05,19.92,19.93,2332600,0
20010216,19.93,20.49,19.93,20.02,1336400,0
20010219,20.02,20.02,20.02,20.02,0,0
20010220,20.35,20.45,20.00,20.00,18449000,0
20010221,20.00,20.45,19.76,19.85,524400,0
20010222,20.27,20.27,19.75,20.00,8728800,0
20010223,20.00,20.36,18.25,18.72,2051200,0
20010226,18.77,19.38,18.65,19.38,1461800,0
20010227,19.15,19.23,18.38,18.74,1384400,0
20010228,18.63,18.65,17.95,18.10,6697600,0
20010301,18.15,18.63,18.15,18.42,1178800,0
20010302,18.25,19.20,18.25,19.20,1187400,0
20010305,19.25,19.58,19.15,19.31,425200,0
20010306,19.46,19.49,19.20,19.40,10587400,0
20010307,19.45,19.95,19.33,19.87,1818400,0
20010308,19.88,20.01,19.57,20.00,14638600,0
20010309,20.00,20.15,19.94,19.97,31742800,0
20010312,20.09,20.09,19.68,19.68,1055600,0
20010313,19.67,19.67,18.88,19.45,4583000,0
20010314,19.25,19.70,18.40,19.17,2838000,0
20010315,19.17,19.17,18.24,18.40,8026200,0
20010316,18.50,19.15,18.47,18.83,11188800,0
20010319,18.93,19.58,18.86,19.50,8985200,0
20010320,19.50,20.35,19.42,20.00,2923200,0
20010321,20.00,20.00,19.27,19.41,6822000,0
20010322,19.45,19.45,18.03,18.73,1203600,0
20010323,18.85,19.27,18.30,19.13,1161000,0
20010326,19.60,19.60,19.03,19.58,730000,0
20010327,19.48,19.65,18.42,18.57,1857800,0
20010328,18.40,18.48,18.00,18.03,1189800,0
20010329,18.14,18.14,16.70,16.83,3095800,0
20010330,17.00,17.65,17.00,17.32,1198800,0
20010402,17.00,17.08,15.93,16.05,1661800,0
20010403,16.13,16.58,15.44,15.48,1017400,0
20010404,15.65,20.00,15.65,16.01,1381000,0
20010405,16.20,17.00,15.98,16.80,897200,0
20010406,16.70,17.35,16.05,17.00,693800,0
20010409,16.95,17.85,16.95,17.59,894800,0
20010410,17.59,18.34,17.33,18.10,937400,0
20010411,18.20,18.20,17.72,17.94,171000,0
20010412,18.15,18.43,18.04,18.23,6261200,0
20010416,18.17,18.65,18.13,18.33,569600,0
20010417,18.42,18.46,17.85,18.44,1115200,0
20010418,17.88,18.10,17.10,17.40,1744800,0
20010419,17.17,17.17,16.59,16.89,2537200,0
20010420,17.75,17.75,17.25,17.50,8824600,0
20010423,17.90,18.40,17.81,18.17,4621600,0
20010424,18.10,18.70,18.05,18.40,1256200,0
20010425,18.48,19.02,18.02,18.92,810800,0
20010426,19.03,19.80,18.95,19.43,1205600,0
20010427,19.55,19.55,19.00,19.39,821000,0
20010430,19.40,20.00,19.29,19.77,863000,0
20010501,19.85,19.88,19.28,19.51,1017800,0
20010502,18.70,18.75,17.20,17.56,2322600,0
20010503,17.30,17.50,16.35,16.75,2481400,0
20010504,16.95,17.50,16.94,17.50,6911200,0
20010507,17.65,17.88,16.95,17.06,843000,0
