DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,13.81,14.13,13.63,13.69,0,0
20010103,13.75,14.25,13.69,14.13,28245,0
20010104,14.31,16.00,14.31,15.44,58044,0
20010105,15.44,15.50,15.19,15.38,17411,0
20010108,15.44,16.25,15.38,16.13,21454,0
20010109,16.13,16.31,16.13,16.13,16380,0
20010110,16.13,16.19,15.69,15.88,8916,0
20010111,15.81,15.94,15.69,15.81,9314,0
20010112,15.63,15.63,15.38,15.44,17470,0
20010115,15.44,15.44,15.44,15.44,0,0
20010116,15.44,16.13,15.44,16.13,8034,0
20010117,16.50,16.50,16.19,16.50,10012,0
20010118,16.50,16.69,16.44,16.56,8981,0
20010119,16.50,16.56,16.00,16.13,25397,0
20010122,16.13,16.13,16.13,16.13,0,0
20010123,16.31,16.63,16.13,16.31,20274,0
20010124,15.50,15.69,14.75,15.56,34785,0
20010125,15.13,15.69,14.94,15.25,17982,0
20010126,15.25,15.56,15.13,15.31,15750,0
20010129,16.75,17.00,16.41,16.75,1082600,0
20010130,16.75,17.31,16.56,17.19,4481900,0
20010131,15.80,16.49,15.50,16.25,3823900,0
20010201,16.55,16.69,16.33,16.55,6894000,0
20010202,16.48,16.74,15.45,16.40,143081000,0
20010205,16.17,16.50,16.01,16.29,13200000,0
20010206,16.40,16.48,16.21,16.35,1147800,0
20010207,16.47,16.51,16.12,16.15,0,0
20010208,16.15,17.15,16.13,17.00,16260300,0
20010209,17.75,17.99,17.05,17.46,2754600,0
20010212,17.40,17.96,17.34,17.78,1168100,0
20010213,17.90,18.50,17.80,18.16,3117100,0
20010214,18.16,18.24,17.34,17.48,0,0
20010215,17.53,17.99,17.44,17.65,1166700,0
20010216,17.79,18.25,17.62,18.03,898900,0
20010219,18.03,18.03,18.03,18.03,0,0
20010220,18.70,18.86,18.36,18.50,1062500,0
20010221,18.28,18.64,18.05,18.17,5772000,0
20010222,18.32,18.58,17.91,18.18,1065600,0
20010223,17.94,18.26,17.51,17.77,1437000,0
20010226,17.77,18.15,17.71,18.03,1406700,0
20010227,18.18,18.30,17.92,18.19,1536600,0
20010228,18.39,18.40,18.02,18.09,482200,0
20010301,17.85,17.90,17.26,17.70,2605700,0
20010302,17.45,17.66,17.00,17.22,2319600,0
20010305,17.25,17.50,17.02,17.41,1631200,0
20010306,17.36,17.73,17.11,17.37,286500,0
20010307,17.30,17.97,17.25,17.58,660500,0
20010308,17.60,18.00,17.50,17.95,12381300,0
20010309,17.77,17.95,17.43,17.74,522600,0
20010312,17.72,17.80,17.26,17.34,596000,0
20010313,17.01,17.10,16.15,16.35,2899300,0
20010314,16.35,16.35,15.55,15.87,898200,0
20010315,15.70,15.95,15.35,15.82,819900,0
20010316,15.00,15.39,14.78,14.89,1641600,0
20010319,14.97,15.72,14.82,15.52,4755100,0
20010320,15.55,15.66,15.21,15.35,1075700,0
20010321,15.29,15.48,15.02,15.16,781500,0
20010322,14.90,15.36,14.20,14.72,1068500,0
20010323,14.66,14.98,14.39,14.95,1353600,0
20010326,15.24,15.24,14.61,14.84,634600,0
20010327,15.25,16.05,15.25,16.00,1675800,0
20010328,16.15,16.17,15.72,16.13,1193500,0
20010329,16.15,16.24,15.95,16.05,3688000,0
20010330,16.29,17.25,16.14,16.74,1285700,0
20010402,17.23,17.40,16.51,16.77,8225300,0
20010403,16.77,16.90,16.36,16.72,5816400,0
20010404,16.40,16.85,16.26,16.50,4064100,0
20010405,16.70,16.75,16.45,16.60,1302400,0
20010406,16.82,16.84,16.27,16.55,690800,0
20010409,16.60,17.19,16.55,16.65,998500,0
20010410,16.90,17.59,16.72,17.52,1127000,0
20010411,17.21,17.34,16.86,16.99,370700,0
20010412,16.80,17.09,16.80,17.00,382100,0
20010416,16.95,17.24,16.80,17.10,30242000,0
20010417,16.77,17.25,16.76,17.23,763000,0
20010418,17.12,17.50,16.85,17.48,11303900,0
20010419,17.49,17.49,17.26,17.38,1722200,0
20010420,17.00,17.19,16.97,16.99,658900,0
20010423,16.10,16.60,15.81,16.18,1423100,0
20010424,16.29,16.33,15.80,16.00,556500,0
20010425,16.47,16.88,15.88,16.09,23244700,0
20010426,18.20,19.00,17.81,18.57,5245400,0
20010427,18.80,20.15,18.79,20.10,13809000,0
20010430,20.00,20.10,19.45,19.74,1504800,0
20010501,19.51,19.62,19.12,19.43,5639700,0
20010502,19.19,19.47,18.86,19.16,997800,0
20010503,19.16,19.18,18.70,19.01,794600,0
20010504,19.00,19.49,18.59,19.44,2247500,0
20010507,19.67,20.02,19.05,20.00,1492500,0
20010508,20.25,20.94,20.19,20.81,2200100,0
20010509,20.71,20.88,20.32,20.88,2976300,0
20010510,21.12,22.49,20.88,22.48,3185600,0
20010511,22.23,22.86,21.96,22.38,2621600,0
20010514,22.16,22.24,21.71,22.01,2378100,0
20010515,22.26,22.26,21.78,21.90,2865300,0
20010516,21.98,22.75,21.96,22.75,2612300,0
20010517,22.45,24.00,22.45,23.51,3033600,0
20010518,23.50,24.11,23.42,23.87,2991800,0
20010521,23.85,23.85,23.27,23.49,7517500,0
20010522,23.26,23.26,22.73,22.77,11518700,0
20010523,22.55,22.72,22.21,22.34,1086500,0
20010524,22.30,22.30,21.95,22.11,1142700,0
20010525,21.80,22.00,21.40,21.82,964300,0
20010528,21.82,21.82,21.82,21.82,0,0
20010529,21.49,21.83,21.40,21.82,1028600,0
20010530,21.75,22.10,21.28,21.47,954100,0
20010531,21.50,22.22,21.45,22.16,7924500,0
20010601,22.15,22.30,21.80,22.01,5491000,0
20010604,21.96,22.32,21.90,22.14,2735100,0
20010605,22.25,22.70,22.21,22.63,4005000,0
20010606,22.40,22.68,22.13,22.21,680500,0
20010607,22.80,23.50,22.66,22.78,1585500,0
20010608,22.45,22.60,21.76,22.08,1926500,0
20010611,22.00,22.06,21.52,21.62,561700,0
20010612,21.31,21.31,20.86,21.12,3325200,0
20010613,21.00,21.14,20.57,20.57,4592100,0
20010614,20.55,20.56,19.70,19.87,1031900,0
20010615,19.45,19.98,19.30,19.69,4666700,0
20010618,19.50,19.77,19.40,19.58,2424000,0
20010619,19.97,20.15,19.25,19.55,1082300,0
20010620,19.31,19.70,19.10,19.37,658500,0
20010621,19.35,19.94,19.20,19.92,1079200,0
