DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,29.56,29.75,25.63,26.38,45070500,0
20010103,25.25,32.13,25.25,32.00,75634900,0
20010104,31.63,33.06,31.56,32.56,57362100,0
20010105,32.56,32.56,29.63,30.13,38035100,0
20010108,30.06,30.19,27.56,30.00,40385800,0
20010109,30.63,31.88,30.25,31.50,44597500,0
20010110,30.44,33.38,30.25,32.75,63771700,0
20010111,32.31,34.00,32.25,33.31,48940200,0
20010112,33.06,34.00,32.00,32.31,40067700,0
20010115,32.31,32.31,32.31,32.31,0,0
20010116,33.00,33.31,31.06,31.81,31085200,0
20010117,33.31,34.06,33.00,33.25,51219400,0
20010118,33.59,34.00,32.94,33.81,32898200,0
20010119,34.38,34.75,33.25,34.56,49552100,0
20010122,33.56,33.63,31.31,31.81,56207000,0
20010123,31.94,32.38,31.31,31.47,41736200,0
20010124,32.00,32.00,30.00,30.06,64443000,0
20010125,30.56,30.69,29.50,29.94,60702900,0
20010126,29.63,30.50,28.94,30.38,46336500,0
20010129,30.19,31.13,29.81,30.44,33160900,0
20010130,30.75,31.50,30.00,30.31,42565800,0
20010131,30.56,30.81,29.06,29.13,45851200,0
20010201,29.25,30.69,29.19,30.06,38083400,0
20010202,29.94,30.06,27.75,27.75,38465700,0
20010205,27.50,28.94,26.50,27.50,35780200,0
20010206,27.38,28.50,27.25,27.63,28537100,0
20010207,27.13,28.34,26.50,27.69,42326100,0
20010208,28.44,28.88,26.69,27.13,41727500,0
20010209,25.25,25.69,23.25,23.56,91000500,0
20010212,23.63,23.88,22.50,23.00,51837800,0
20010213,23.69,24.31,22.50,22.56,44071400,0
20010214,23.00,26.50,22.75,25.00,40411300,0
20010215,25.50,26.44,25.19,25.50,45666100,0
20010216,24.31,25.25,23.25,24.00,40082400,0
20010219,24.00,24.00,24.00,24.00,0,0
20010220,24.38,24.63,23.00,23.13,39315100,0
20010221,22.75,24.22,22.31,23.00,56709300,0
20010222,23.50,24.19,22.31,23.38,53068800,0
20010223,22.81,23.19,20.69,22.00,72771800,0
20010226,22.31,23.25,21.56,23.19,44503200,0
20010227,22.44,22.63,21.25,21.69,41065600,0
20010228,21.88,21.94,18.81,19.00,60910000,0
20010301,19.00,21.50,18.75,21.38,69101700,0
20010302,16.19,17.88,16.19,16.88,22158900,0
20010305,17.31,17.38,16.75,17.00,51290500,0
20010306,17.63,18.00,17.44,17.63,57150300,0
20010307,18.31,18.75,17.88,18.63,52253800,0
20010308,18.38,18.50,17.31,17.38,39799100,0
20010309,17.06,17.19,16.25,16.38,58251800,0
20010312,16.00,16.13,15.06,15.25,66293900,0
20010313,15.94,17.00,15.75,17.00,57686500,0
20010314,16.25,16.69,15.63,16.00,52352700,0
20010315,16.56,16.56,14.00,14.69,73334200,0
20010316,14.13,14.56,13.81,14.06,87734900,0
20010319,14.38,15.69,14.00,15.44,50213700,0
20010320,15.94,16.06,14.31,14.38,65131500,0
20010321,14.81,15.63,14.31,14.75,50118800,0
20010322,15.25,15.63,14.38,15.50,63462900,0
20010323,16.31,16.38,15.66,15.88,71960700,0
20010326,16.41,16.41,15.62,15.69,33711300,0
20010327,16.15,16.75,15.60,16.64,43042600,0
20010328,16.17,16.17,14.90,15.10,45719500,0
20010329,14.95,15.82,14.00,14.52,53609600,0
20010330,14.81,15.46,14.62,14.98,36257700,0
20010402,15.63,16.00,15.02,15.32,38016400,0
20010403,14.98,15.00,13.15,13.25,71144100,0
20010404,13.42,14.07,13.18,13.48,47673900,0
20010405,14.71,15.00,14.00,14.74,43912600,0
20010406,14.52,14.52,13.50,13.84,43349100,0
20010409,14.09,14.18,13.63,14.05,28818600,0
20010410,14.47,15.47,14.42,14.97,48033800,0
20010411,15.60,15.73,14.50,15.53,67008600,0
20010412,15.45,16.00,15.35,15.82,46019300,0
20010416,16.00,16.71,15.64,15.96,43537200,0
20010417,15.47,16.70,15.42,16.22,38912100,0
20010418,17.36,19.78,17.05,17.92,94538600,0
20010419,19.61,20.54,19.39,20.31,101777000,0
20010420,20.59,20.83,19.32,19.75,59886000,0
20010423,18.35,18.40,16.67,17.15,60461800,0
20010424,16.90,18.03,16.76,16.97,52809200,0
20010425,17.11,18.29,16.68,17.23,42267400,0
20010426,18.16,18.25,16.62,16.90,44154200,0
20010427,17.41,17.44,16.37,17.14,46917500,0
20010430,17.77,17.85,15.90,16.16,92444800,0
20010501,16.36,16.36,14.75,16.04,63172100,0
20010502,16.84,17.96,15.57,17.17,64885800,0
20010503,16.83,17.13,16.25,16.45,48634100,0
20010504,16.14,17.20,15.99,17.09,48020400,0
20010507,17.15,17.20,15.54,16.87,45797100,0
20010508,17.23,17.25,16.55,17.00,34215800,0
20010509,16.66,17.55,16.50,17.00,39366200,0
20010510,17.28,17.40,16.39,16.39,40322800,0
20010511,16.38,16.48,15.88,15.90,33950500,0
20010514,16.08,16.29,16.00,16.04,26960200,0
20010515,16.22,16.50,15.70,15.93,38221200,0
20010516,15.72,16.64,15.46,16.40,60925500,0
20010517,16.42,16.97,15.95,16.12,43758500,0
20010518,16.01,16.34,15.89,16.28,29159600,0
20010521,16.27,18.21,15.55,18.10,68255100,0
20010522,18.32,18.48,17.46,17.55,60181500,0
20010523,17.21,17.21,16.77,16.84,40673700,0
20010524,16.86,17.38,16.40,17.30,30157600,0
20010525,16.97,17.14,16.42,16.51,27482900,0
20010528,16.51,16.51,16.51,16.51,0,0
20010529,16.35,16.95,15.44,15.61,44159700,0
20010530,15.36,15.54,14.45,14.51,59954000,0
20010531,14.65,15.88,14.63,15.30,77187000,0
20010601,15.50,15.99,14.82,15.86,38358400,0
20010604,16.50,16.97,15.93,16.06,34070900,0
20010605,16.12,16.96,15.85,16.76,37329700,0
20010606,16.94,17.19,16.85,17.00,43411400,0
20010607,16.86,17.40,16.65,17.33,33336700,0
20010608,17.28,17.28,16.95,17.01,20564800,0
20010611,16.99,17.00,16.02,16.24,25321200,0
20010612,16.01,16.73,15.28,16.15,34593600,0
20010613,16.35,16.43,15.35,15.50,33805000,0
20010614,15.36,15.36,14.70,14.85,44530900,0
20010615,14.77,15.98,14.32,15.00,57788500,0
20010618,15.23,15.28,14.67,14.84,46303300,0
20010619,17.00,17.02,16.44,16.76,12273400,0
20010620,16.49,17.75,16.47,17.52,64378800,0
20010621,17.50,18.04,17.34,17.89,40354400,0
20010622,17.80,17.97,17.41,17.48,29584200,0
20010625,17.64,18.02,17.51,17.77,30395200,0
20010626,17.35,18.48,17.11,18.44,57614900,0
20010627,18.56,18.80,17.71,18.04,56132100,0
20010628,18.38,19.63,18.38,19.18,72147900,0
20010629,19.19,20.00,17.80,19.67,56777700,0
20010702,19.25,20.00,19.11,19.58,28938800,0
20010703,19.39,19.99,19.17,19.77,22039400,0
20010704,19.77,19.77,19.77,19.77,0,0
20010705,19.36,19.79,18.90,18.93,28845400,0
20010706,18.64,18.93,18.04,18.21,27480600,0
20010709,18.17,19.33,18.10,18.92,32700700,0
20010710,19.09,19.09,16.67,17.59,37583200,0
20010711,17.57,18.25,17.08,18.00,34735300,0
20010712,18.92,19.93,18.54,19.64,45385300,0
20010713,19.26,19.89,19.14,19.50,30788700,0
20010716,19.31,19.77,18.51,18.70,27071900,0
20010717,18.52,19.58,18.52,19.49,28613700,0
20010718,18.84,19.38,18.58,18.78,27214500,0
20010719,19.04,19.64,18.56,19.17,32628300,0
20010720,19.00,19.98,18.71,19.07,24989600,0
20010723,19.11,19.30,18.11,18.13,25543100,0
20010724,18.21,18.68,17.88,18.21,32713600,0
20010725,18.39,19.33,17.76,19.26,35873500,0
20010726,19.08,19.55,18.70,19.36,35843600,0
20010727,19.14,19.84,18.82,19.23,27537800,0
20010730,18.77,19.63,18.46,18.67,25260100,0
20010731,18.60,18.90,18.04,18.08,43186300,0
20010801,18.37,19.25,18.10,18.32,36302800,0
20010802,18.68,18.80,17.26,18.31,33330800,0
20010803,18.32,18.33,17.91,18.00,28548300,0
20010806,17.68,17.97,17.31,17.46,24640300,0
20010807,17.40,17.43,17.01,17.24,33119200,0
20010808,17.03,17.60,16.15,16.30,47047600,0
20010809,16.32,16.40,15.36,15.99,46254000,0
20010810,15.78,15.87,15.00,15.16,60149400,0
20010813,15.04,15.87,14.79,15.69,47190400,0
20010814,15.94,16.32,15.46,15.55,36997300,0
20010815,15.60,15.81,14.96,15.01,33356700,0
20010816,14.82,15.35,14.72,15.31,38022800,0
20010817,14.90,15.08,14.63,14.72,25705200,0
20010820,14.70,14.91,14.46,14.81,24957500,0
20010821,14.87,15.25,14.10,14.13,28517500,0
20010822,14.38,15.27,14.07,14.64,26944800,0
20010823,14.52,15.01,14.00,14.01,29271000,0
20010824,14.41,15.29,14.14,15.17,33242200,0
20010827,15.13,15.28,14.75,14.92,23710600,0
20010828,14.94,15.05,13.98,14.01,34968300,0
20010829,14.20,14.20,13.24,13.35,43293900,0
20010830,13.09,13.37,11.83,12.00,75974200,0
20010831,12.10,12.76,12.10,12.21,37940100,0
20010903,12.21,12.21,12.21,12.21,0,0
20010904,12.53,13.03,12.01,12.10,44059900,0
20010905,12.25,12.51,11.62,12.07,56557200,0
20010906,11.81,12.03,10.86,10.92,73830100,0
20010907,10.86,11.30,10.57,11.06,47796100,0
20010910,10.88,11.52,10.88,11.46,53482500,0
20010911,11.46,11.46,11.46,11.46,0,0
20010917,10.27,11.45,10.26,11.01,62902800,0
20010918,10.96,11.62,10.71,11.38,77013500,0
20010919,11.24,11.52,10.28,11.20,67017600,0
20010920,10.78,11.54,10.76,11.31,56282200,0
20010921,10.27,11.15,10.19,10.76,79331700,0
20010924,11.31,12.74,11.30,12.52,74537500,0
20010925,12.66,13.01,12.15,12.25,55822300,0
20010926,12.50,12.53,11.93,12.20,38473600,0
20010927,11.97,12.32,11.80,12.03,41177000,0
20010928,12.17,12.97,12.00,12.58,41476900,0
20011001,12.47,12.70,12.20,12.33,29316200,0
20011002,12.66,13.10,12.34,12.60,42048500,0
20011003,12.38,14.13,12.28,13.66,70551800,0
20011004,14.12,14.59,13.57,13.79,55948400,0
20011005,13.51,14.41,13.37,14.19,39207200,0
20011008,13.78,14.38,13.65,13.90,30925200,0
20011009,14.01,14.03,13.42,13.70,28192600,0
20011010,13.50,14.45,13.39,14.29,38749300,0
20011011,14.53,14.99,14.51,14.97,49004000,0
20011012,14.55,15.52,14.22,14.94,41388100,0
20011015,14.47,14.60,13.33,14.44,49530200,0
20011016,14.55,14.98,14.40,14.94,32583400,0
20011017,15.25,15.29,13.65,13.66,53921600,0
20011018,13.71,14.45,13.60,14.26,40582300,0
20011019,14.07,14.97,13.85,14.54,35076000,0
20011022,14.33,14.99,14.21,14.95,23491600,0
20011023,15.04,15.45,14.80,15.00,38458600,0
20011024,14.66,15.04,14.43,14.66,59013500,0
20011025,14.00,14.60,13.26,13.92,82400500,0
20011026,13.70,14.08,13.01,13.58,45678500,0
20011029,13.42,14.23,13.25,13.40,39097000,0
20011030,13.33,13.80,13.00,13.48,39532200,0
20011031,13.86,14.18,13.47,13.56,35776500,0
20011101,13.59,14.22,13.47,14.17,36320300,0
20011102,14.08,14.54,13.90,14.45,30315100,0
20011105,14.82,15.15,14.74,14.95,34648600,0
20011106,14.68,15.29,14.44,15.23,34446100,0
20011107,15.07,16.76,14.54,15.58,43774500,0
20011108,15.63,16.28,14.75,15.45,45963800,0
20011109,15.37,15.68,15.18,15.38,29686300,0
20011112,15.14,16.22,14.65,15.40,27631100,0
20011113,15.14,15.23,14.05,14.52,89478900,0
20011114,14.80,15.09,14.24,14.92,52720500,0
20011115,14.68,15.25,14.19,14.79,40315300,0
20011116,14.86,15.51,14.25,14.55,39745600,0
20011119,14.82,15.03,14.47,14.88,29012700,0
20011120,14.81,15.14,14.05,14.56,39579900,0
20011121,14.50,14.72,13.97,14.08,33429100,0
20011122,14.08,14.08,14.08,14.08,0,0
