DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,12.00,12.59,12.00,12.09,62644,0
20010103,12.00,12.16,11.59,11.81,37760,0
20010104,11.72,11.88,11.55,11.75,0,0
20010105,11.75,12.28,11.75,12.03,206018,0
20010108,11.94,12.16,11.63,11.97,7982,0
20010109,11.84,11.88,11.47,11.59,30744,0
20010110,11.63,11.81,11.63,11.72,251920,0
20010111,11.69,11.88,11.69,11.69,16220,0
20010112,11.63,11.66,11.44,11.53,16514,0
20010115,11.53,11.53,11.53,11.53,0,0
20010116,11.56,11.59,11.28,11.47,19016,0
20010117,11.53,11.59,11.16,11.28,21704,0
20010118,11.31,11.38,11.09,11.13,17182,0
20010119,11.03,11.22,10.94,11.16,32944,0
20010122,11.16,11.16,11.16,11.16,0,0
20010123,11.16,11.53,11.13,11.50,21862,0
20010124,11.19,11.44,11.16,11.38,20114,0
20010125,11.25,11.44,11.25,11.28,188262,0
20010126,11.28,11.34,11.00,11.19,27248,0
20010129,11.78,11.91,11.23,11.53,2089000,0
20010130,11.55,12.03,11.00,11.53,5886600,0
20010131,11.38,11.44,11.23,11.35,2114600,0
20010201,11.30,11.30,10.99,11.05,4335600,0
20010202,11.15,11.37,11.13,11.31,1840400,0
20010205,11.38,11.74,11.38,11.71,2254000,0
20010206,11.75,11.81,11.61,11.81,9563400,0
20010207,11.81,11.97,11.75,11.92,3348800,0
20010208,11.99,12.15,11.91,12.05,15439200,0
20010209,11.85,12.30,11.85,12.20,2102400,0
20010212,12.09,12.23,12.00,12.18,19733600,0
20010213,12.06,12.17,11.94,12.10,1736800,0
20010214,12.02,12.25,11.98,12.06,0,0
20010215,11.95,12.13,11.95,12.06,2010600,0
20010216,12.35,12.35,11.98,12.01,2044800,0
20010219,12.01,12.01,12.01,12.01,0,0
20010220,12.13,12.26,11.95,12.06,2384000,0
20010221,12.10,12.16,11.86,11.88,13770000,0
20010222,12.00,12.10,11.82,11.84,2053400,0
20010223,12.00,12.05,11.69,11.89,4992000,0
20010226,12.00,12.27,11.93,12.12,1595000,0
20010227,12.23,12.30,12.00,12.04,1216800,0
20010228,12.01,12.09,11.89,11.99,1455200,0
20010301,11.95,12.15,11.89,11.94,1371000,0
20010302,12.07,12.40,12.02,12.32,2281200,0
20010305,12.45,12.56,12.40,12.52,2134400,0
20010306,12.51,12.63,12.42,12.52,1606800,0
20010307,12.51,12.70,12.51,12.70,2114600,0
20010308,12.87,13.25,12.65,13.19,4378800,0
20010309,13.25,13.25,12.61,12.98,2196400,0
20010312,12.95,12.95,12.60,12.61,1875000,0
20010313,12.62,12.72,12.20,12.48,4032200,0
20010314,12.60,12.60,12.08,12.18,1903400,0
20010315,12.30,12.30,11.85,11.94,1781800,0
20010316,11.90,12.13,11.89,11.97,2706000,0
20010319,11.97,12.47,11.93,12.43,4483400,0
20010320,12.32,12.55,12.27,12.28,2122200,0
20010321,12.05,12.23,11.97,12.05,2406800,0
20010322,11.93,11.93,11.35,11.64,3075800,0
20010323,11.57,11.86,11.43,11.86,1905800,0
20010326,11.98,12.20,11.98,12.12,1903400,0
20010327,12.07,12.24,11.91,12.04,3705200,0
20010328,12.15,12.20,12.03,12.15,21519400,0
20010329,12.02,12.08,11.90,11.98,1746200,0
20010330,12.00,12.43,12.00,12.38,4362600,0
20010402,12.40,12.41,12.13,12.30,8269000,0
20010403,12.27,12.35,12.02,12.19,6025600,0
20010404,12.26,12.73,12.24,12.53,2329800,0
20010405,12.56,12.74,12.47,12.68,2569000,0
20010406,12.73,12.75,12.20,12.72,2591600,0
20010409,12.77,13.12,12.77,13.03,6356400,0
20010410,13.13,13.30,13.09,13.19,3816600,0
20010411,13.15,13.22,12.95,13.11,2404600,0
20010412,13.13,13.30,12.88,13.06,3417000,0
20010416,13.06,13.38,13.06,13.37,3055400,0
20010417,13.25,13.81,13.21,13.80,3432400,0
20010418,13.88,13.88,13.28,13.55,3963200,0
20010419,13.55,13.65,13.40,13.53,3208800,0
20010420,13.52,13.80,13.52,13.68,2399600,0
20010423,13.98,14.41,13.87,14.36,21695200,0
20010424,14.50,14.60,14.43,14.55,4906200,0
20010425,14.63,14.95,14.55,14.88,5640400,0
20010426,14.88,15.12,14.88,14.90,16679400,0
20010427,14.91,14.94,14.81,14.88,2864200,0
20010430,15.00,15.22,14.94,15.06,4108400,0
20010501,15.06,15.06,14.60,14.75,15496600,0
20010502,14.52,14.52,14.00,14.03,4482200,0
20010503,14.00,14.34,13.65,14.26,3681400,0
20010504,14.40,14.55,14.34,14.48,2643400,0
20010507,14.45,14.63,14.25,14.44,2056800,0
20010508,14.38,14.62,14.30,14.50,7974600,0
20010509,14.52,14.75,14.51,14.72,7466600,0
20010510,14.57,14.94,14.57,14.72,1993600,0
20010511,14.68,14.75,14.52,14.75,1600400,0
20010514,14.63,14.99,14.63,14.97,2796600,0
20010515,14.99,15.23,14.94,15.14,4997000,0
20010516,15.09,15.48,15.01,15.26,3961400,0
20010517,15.16,15.32,15.07,15.27,3294800,0
20010518,15.27,15.55,15.21,15.54,2603800,0
20010521,15.54,15.55,15.32,15.43,2363200,0
20010522,15.40,15.43,15.13,15.22,1539800,0
20010523,15.10,15.17,14.95,15.04,2545000,0
20010524,14.98,15.02,14.88,14.94,1510400,0
20010525,15.06,15.09,14.76,14.77,1477800,0
20010528,14.77,14.77,14.77,14.77,0,0
20010529,14.84,15.15,14.81,15.07,1918600,0
20010530,15.15,15.24,14.90,14.95,1607800,0
20010531,14.96,15.05,14.77,14.98,2609000,0
20010601,15.00,15.00,14.70,14.80,5133200,0
20010604,14.93,15.12,14.90,15.05,5711000,0
20010605,15.02,15.38,14.91,15.31,2301600,0
20010606,15.19,15.19,14.90,14.91,16628200,0
20010607,14.66,14.90,14.63,14.73,2304600,0
20010608,14.73,14.85,14.65,14.76,1568600,0
20010611,14.98,15.03,14.77,14.82,2320200,0
20010612,14.82,15.06,14.82,15.06,1633000,0
20010613,15.06,15.24,14.73,14.80,3007800,0
20010614,14.80,14.84,14.51,14.56,1220800,0
20010615,14.26,14.85,14.26,14.68,2699200,0
20010618,14.68,14.75,14.48,14.48,1100000,0
20010619,14.38,14.50,14.38,14.49,2754400,0
20010620,14.62,14.79,14.25,14.32,1376600,0
20010621,14.30,14.43,13.77,14.00,2867600,0
20010622,14.35,14.35,13.76,14.16,1823400,0
20010625,14.08,14.24,13.87,13.87,6888600,0
20010626,13.88,13.99,13.70,13.91,1025800,0
20010627,13.85,13.85,13.55,13.63,1667600,0
20010628,13.62,13.62,12.76,13.25,3236800,0
20010629,13.38,13.52,13.27,13.35,9683600,0
20010702,13.41,13.41,13.10,13.23,2567600,0
20010703,13.25,13.31,13.11,13.22,944800,0
20010704,13.22,13.22,13.22,13.22,0,0
20010705,13.14,13.60,13.14,13.44,9866600,0
20010706,13.49,13.70,13.30,13.57,1692600,0
20010709,13.44,13.47,13.23,13.25,1369000,0
20010710,13.38,13.50,13.18,13.41,2596200,0
20010711,13.39,13.43,13.16,13.38,2285400,0
20010712,13.32,13.49,13.23,13.46,13544000,0
20010713,13.45,13.68,13.31,13.50,874000,0
20010716,13.52,13.63,13.25,13.32,1353600,0
20010717,13.32,13.45,13.23,13.28,23800000,0
20010718,13.19,13.19,12.76,12.82,2618600,0
20010719,13.13,13.19,12.94,13.03,2497000,0
20010720,13.02,13.17,13.00,13.10,15077800,0
20010723,13.13,13.34,13.10,13.18,1908400,0
20010724,13.18,13.23,12.78,12.88,25615000,0
20010725,12.95,13.45,12.89,13.38,1979800,0
20010726,13.45,13.70,13.34,13.63,21448000,0
20010727,13.73,13.82,13.40,13.70,1992400,0
20010730,13.90,13.98,13.77,13.83,1787200,0
20010731,13.88,14.05,13.76,13.82,6449600,0
20010801,13.95,13.99,13.65,13.71,1387600,0
20010802,13.77,13.86,13.60,13.77,1387200,0
20010803,13.77,13.80,13.52,13.65,902200,0
20010806,13.66,13.76,13.49,13.55,1054000,0
20010807,13.65,13.84,13.60,13.63,3490800,0
20010808,13.70,13.82,13.31,13.38,21124400,0
20010809,13.38,13.57,13.23,13.50,1449800,0
20010810,13.45,13.86,13.41,13.72,611600,0
20010813,13.80,13.94,13.73,13.74,1045600,0
20010814,13.80,13.90,13.63,13.80,7124800,0
20010815,13.85,14.43,13.85,14.27,6269600,0
20010816,14.23,14.40,14.02,14.20,1571200,0
20010817,14.06,14.25,14.00,14.02,5284200,0
20010820,14.03,14.06,13.88,14.01,2738800,0
20010821,14.02,14.15,13.88,14.00,20715200,0
20010822,14.06,14.38,13.75,13.77,2635000,0
20010823,13.77,13.96,13.77,13.89,1508800,0
20010824,13.90,14.14,13.85,14.07,1213400,0
20010827,14.07,14.21,13.94,13.94,2983000,0
20010828,14.00,14.13,13.91,13.98,5536200,0
20010829,14.10,14.24,13.93,13.95,1611000,0
20010830,13.95,14.22,13.76,13.85,1492400,0
20010831,13.77,13.93,13.70,13.76,1465000,0
20010903,13.76,13.76,13.76,13.76,0,0
20010904,13.78,14.27,13.78,14.10,1536200,0
20010905,14.08,14.30,13.91,14.16,5999800,0
20010906,14.25,14.32,14.06,14.19,2495800,0
20010907,14.31,14.31,14.07,14.20,3553400,0
20010910,14.13,14.22,13.93,14.00,1892200,0
20010911,14.00,14.00,14.00,14.00,0,0
20010917,13.68,13.75,13.50,13.55,3558400,0
20010918,13.54,13.54,13.01,13.06,1899000,0
20010919,12.82,12.93,12.06,12.33,3895000,0
20010920,12.18,12.23,11.97,12.02,3456600,0
20010921,11.20,12.15,11.20,11.90,3559400,0
20010924,11.70,11.76,11.31,11.44,4686800,0
20010925,11.32,11.44,10.95,10.95,4645400,0
20010926,11.13,11.38,11.01,11.35,2928600,0
20010927,11.35,11.94,11.20,11.69,1370200,0
20010928,11.87,12.24,11.81,12.16,8326600,0
20011001,12.17,12.17,11.60,12.02,1659600,0
20011002,12.15,12.40,11.69,12.40,1770200,0
20011003,12.06,12.15,11.92,12.02,2902200,0
20011004,12.16,12.44,12.11,12.40,2878200,0
20011005,12.43,12.67,12.18,12.65,3548000,0
20011008,12.60,12.90,12.50,12.82,2949400,0
20011009,12.82,12.99,12.62,12.85,1981600,0
20011010,12.85,13.19,12.81,13.12,2796600,0
20011011,13.14,13.27,12.85,13.24,2332400,0
20011012,13.13,13.27,12.85,13.07,752400,0
20011015,13.02,13.07,12.51,12.69,1820800,0
20011016,12.69,12.94,12.65,12.93,49856000,0
20011017,13.05,13.17,12.70,12.90,2022000,0
20011018,12.90,12.90,12.38,12.44,1707600,0
20011019,12.32,12.64,12.15,12.50,3046400,0
20011022,12.52,12.80,12.40,12.74,23780000,0
20011023,12.77,12.92,12.44,12.65,2381600,0
20011024,12.55,12.64,12.38,12.59,1552800,0
20011025,12.50,12.76,12.50,12.73,2174400,0
20011026,12.75,13.22,12.70,13.09,2063400,0
20011029,12.97,13.20,12.93,13.00,1752800,0
20011030,12.98,12.99,12.50,12.59,1516200,0
20011031,12.69,12.85,12.27,12.65,3116400,0
20011101,12.60,13.32,12.41,12.95,2258000,0
20011102,12.85,12.85,12.47,12.56,1543800,0
20011105,12.63,12.74,12.30,12.56,2007600,0
20011106,12.56,12.59,12.26,12.53,1396600,0
20011107,12.54,12.80,12.43,12.69,1655400,0
20011108,12.77,12.85,12.55,12.57,2323200,0
20011109,12.75,13.07,12.75,13.01,2019400,0
20011112,12.80,12.94,12.57,12.82,1363600,0
20011113,12.93,12.93,12.60,12.93,21856200,0
20011114,13.18,13.18,12.31,12.43,3806400,0
20011115,11.95,12.05,11.70,11.78,5181800,0
20011116,11.88,12.09,11.65,11.98,2440000,0
20011119,12.12,12.13,11.83,11.93,2845600,0
20011120,12.18,12.49,12.00,12.48,6168200,0
20011121,12.48,12.55,12.19,12.34,1042800,0
20011122,12.34,12.34,12.34,12.34,0,0
20011123,12.21,12.48,12.02,12.45,1048200,0
20011126,12.45,12.45,12.06,12.36,11430000,0
20011127,12.27,12.61,12.15,12.48,2104200,0
20011128,12.49,12.81,12.26,12.26,2164000,0
20011129,12.32,12.49,12.32,12.44,1268000,0
20011130,12.50,12.55,12.35,12.50,1469200,0
20011203,12.32,12.85,12.27,12.69,2299600,0
20011204,12.77,13.00,12.58,13.00,2274400,0
20011205,13.01,13.42,13.01,13.35,10954200,0
20011206,13.13,13.14,12.69,12.69,22856800,0
20011207,12.70,12.90,12.53,12.90,1981400,0
20011210,12.60,12.63,12.40,12.48,2226200,0
20011211,12.52,12.62,12.36,12.39,124115200,0
20011212,12.48,12.48,12.26,12.36,8965400,0
20011213,12.27,12.40,12.06,12.17,1215400,0
20011214,12.24,12.45,12.18,12.38,1959400,0
20011217,12.35,12.50,12.22,12.38,1171800,0
20011218,12.38,12.63,12.36,12.59,134000000,0
20011219,12.45,12.77,12.45,12.74,8020800,0
20011220,12.98,13.02,12.85,12.95,2587000,0
20011221,13.05,13.15,13.03,13.07,2552400,0
20011224,13.07,13.22,13.03,13.20,1087000,0
20011226,13.23,13.49,13.23,13.41,1386000,0
20011227,13.35,13.46,13.20,13.35,1170400,0
20011228,13.40,13.60,13.34,13.47,1605800,0
20011231,13.30,13.55,13.27,13.27,1456600,0
20020102,13.23,13.30,12.98,13.26,1972800,0
20020103,13.35,13.35,13.10,13.19,1866200,0
20020104,13.15,13.33,13.10,13.32,1181200,0
20020107,13.23,13.40,13.11,13.26,1460400,0
20020108,13.27,13.27,13.02,13.06,1051800,0
20020109,13.00,13.15,12.90,13.02,2448400,0
20020110,13.00,13.11,12.94,13.02,11053000,0
20020111,13.05,13.05,12.65,12.70,1870400,0
20020114,12.70,12.80,12.59,12.69,1465800,0
20020115,12.82,12.91,12.78,12.88,1242400,0
20020116,12.88,12.88,12.50,12.50,2537000,0
20020117,12.53,12.62,12.45,12.49,1641600,0
20020118,12.28,12.43,12.27,12.31,2363400,0
20020121,12.31,12.31,12.31,12.31,0,0
20020122,12.30,12.38,12.15,12.20,4904800,0
20020123,12.26,12.60,12.26,12.60,1163400,0
20020124,12.60,12.75,12.52,12.72,1436600,0
20020125,12.72,12.86,12.63,12.74,1718400,0
20020128,12.77,12.77,12.59,12.69,1456200,0
20020129,12.65,12.69,12.34,12.38,2152800,0
20020130,12.40,12.76,12.26,12.54,2681000,0
20020131,12.73,12.98,12.65,12.98,2758800,0
20020201,13.02,13.11,12.93,13.07,1528600,0
20020204,13.02,13.02,12.69,12.76,1881400,0
20020205,12.85,12.88,12.72,12.81,1954600,0
20020206,12.78,13.01,12.71,12.80,2618000,0
20020207,12.60,12.73,12.53,12.69,5286000,0
20020208,12.59,12.70,12.51,12.69,2323000,0
20020211,12.60,12.91,12.50,12.90,1286400,0
20020212,12.65,12.82,12.60,12.74,1944400,0
20020213,12.64,12.69,12.53,12.68,2560800,0
20020214,12.60,12.88,12.60,12.85,5271600,0
20020215,12.77,12.90,12.70,12.83,1941800,0
20020218,12.83,12.83,12.83,12.83,0,0
20020219,12.65,12.72,12.50,12.60,23874800,0
20020220,12.57,12.67,12.38,12.53,1626200,0
20020221,12.60,12.81,12.60,12.66,1552800,0
20020222,12.69,13.01,12.68,12.97,1745200,0
20020225,12.88,13.25,12.88,13.19,2585400,0
20020226,13.38,13.38,13.07,13.34,2650000,0
20020227,13.35,13.44,13.25,13.37,1540400,0
20020228,13.31,13.52,13.30,13.42,1843000,0
20020301,13.40,13.95,13.39,13.78,36704400,0
20020304,13.77,14.06,13.70,14.00,2647200,0
20020305,13.80,14.05,13.76,13.98,2221600,0
20020306,13.77,14.24,13.77,14.23,2264800,0
20020307,14.23,14.23,14.02,14.10,3473600,0
20020308,14.23,14.44,13.94,13.99,1352200,0
20020311,13.99,14.20,13.93,14.15,2520200,0
20020312,13.93,14.31,13.93,14.30,2072800,0
20020313,14.36,14.44,14.23,14.29,19214000,0
20020314,14.30,14.32,14.10,14.30,1968400,0
20020315,14.40,14.49,14.34,14.43,2641600,0
20020318,14.40,14.50,14.34,14.49,2158200,0
20020319,14.50,14.57,14.44,14.57,2082800,0
20020320,14.48,14.48,14.32,14.32,2147800,0
20020321,14.22,14.41,14.20,14.32,2671000,0
20020322,14.27,14.27,14.15,14.19,1777600,0
20020325,14.13,14.24,14.03,14.07,1382600,0
20020326,14.13,14.29,14.13,14.23,2016200,0
20020327,14.36,14.52,14.32,14.43,1938000,0
20020328,14.52,14.59,14.43,14.57,1961400,0
20020401,14.57,14.82,14.57,14.81,2968000,0
20020402,14.88,14.98,14.85,14.89,2325800,0
20020403,14.89,14.89,14.68,14.75,2411000,0
20020404,14.86,14.86,14.32,14.44,2713800,0
20020405,14.50,14.54,14.27,14.27,2419200,0
20020408,14.48,14.64,14.40,14.51,2002000,0
20020409,14.48,14.48,14.26,14.39,2932800,0
20020410,14.45,14.70,14.40,14.70,3431400,0
20020411,14.70,14.77,14.55,14.60,1982800,0
20020412,14.49,14.50,14.11,14.16,3384800,0
20020415,14.27,14.45,14.27,14.35,2588600,0
20020416,14.48,14.57,14.45,14.52,3959000,0
20020417,14.57,14.65,14.48,14.63,3394800,0
20020418,14.65,14.72,14.51,14.60,3097400,0
20020419,14.55,14.64,14.44,14.60,3178400,0
20020422,14.64,14.65,14.43,14.53,1617400,0
20020423,14.43,14.73,14.34,14.61,2053800,0
20020424,14.45,14.48,14.26,14.27,2433400,0
